Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL
2022-10-25,CLOSED,HEDGE,2022-10-25,FINNIFTY,18200PE,09:16:00,15:22:00,1.9,0.25,824.1758241758242,-1359.89010989011
2022-10-25,CLOSED,HEDGE,2022-10-25,FINNIFTY,18800CE,09:16:00,15:22:00,0.6,0.1,797.872340425532,-398.936170212766
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18400CE,09:16:00,15:22:00,87.35,0.55,-163.04347826086956,14152.173913043478
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18400PE,09:16:00,15:22:00,20.5,65.0,-163.04347826086956,-7255.434782608696
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18450CE,09:16:00,15:14:00,54.7,0.1,-162.60162601626016,8878.048780487805
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18450PE,09:16:00,15:14:00,37.8,167.9,-162.60162601626016,-21154.47154471545
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18500CE,09:16:00,12:35:00,30.1,1.3,-162.16216216216216,4670.27027027027
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18500PE,09:16:00,12:35:00,61.2,169.65,-162.16216216216216,-17586.486486486487
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18550CE,09:16:00,09:21:00,14.65,4.5,-161.72506738544473,1641.509433962264
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18550PE,09:16:00,09:21:00,95.9,174.9,-161.72506738544473,-12776.280323450133
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18600CE,09:16:00,09:18:00,5.65,3.3,-161.29032258064515,379.0322580645162
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18600PE,09:16:00,09:18:00,138.5,186.3,-161.29032258064515,-7709.67741935484
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18350CE,09:18:00,15:22:00,86.95,3.3,-163.48773841961852,13675.74931880109
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18350PE,09:18:00,15:22:00,20.35,17.8,-163.48773841961852,416.8937329700274
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18300CE,09:21:00,15:22:00,95.5,37.6,-163.9344262295082,9491.803278688525
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18300PE,09:21:00,15:22:00,15.7,1.95,-163.9344262295082,2254.098360655738
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18250CE,12:35:00,15:22:00,86.3,86.8,-164.3835616438356,-82.1917808219178
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18250PE,12:35:00,15:22:00,4.75,0.35,-164.3835616438356,723.2876712328767
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18200CE,15:14:00,15:22:00,81.75,136.45,-164.83516483516485,-9016.483516483515
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18200PE,15:14:00,15:22:00,0.2,0.25,-164.83516483516485,-8.241758241758241
2022-11-01,CLOSED,HEDGE,2022-11-01,FINNIFTY,18350PE,09:16:00,15:22:00,1.4,0.15,817.4386920980926,-1021.7983651226157
2022-11-01,CLOSED,HEDGE,2022-11-01,FINNIFTY,18950CE,09:16:00,15:22:00,0.85,0.15,791.5567282321899,-554.089709762533
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18550CE,09:16:00,10:56:00,89.95,169.0,-161.72506738544473,-12784.366576819406
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18550PE,09:16:00,10:56:00,15.5,1.65,-161.72506738544473,2239.8921832884093
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18600CE,09:16:00,15:22:00,55.55,4.1,-161.29032258064515,8298.387096774193
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18600PE,09:16:00,15:22:00,31.25,32.05,-161.29032258064515,-129.03225806451567
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18650CE,09:16:00,15:22:00,30.05,0.75,-160.85790884718497,4713.1367292225195
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18650PE,09:16:00,15:22:00,56.95,79.35,-160.85790884718497,-3603.217158176942
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18700CE,09:16:00,15:22:00,14.7,0.35,-160.42780748663102,2302.139037433155
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18700PE,09:16:00,15:22:00,91.05,128.4,-160.42780748663102,-5991.97860962567
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18750CE,09:16:00,13:12:00,5.7,0.9,-160.0,768.0
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18750PE,09:16:00,13:12:00,130.35,182.7,-160.0,-8376.0
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18800CE,10:56:00,12:36:00,6.65,1.2,-159.5744680851064,869.6808510638299
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18800PE,10:56:00,12:36:00,89.05,173.0,-159.5744680851064,-13396.276595744683
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18550CE,12:36:00,15:22:00,84.4,27.6,-161.72506738544473,9185.98382749326
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18550PE,12:36:00,15:22:00,6.25,5.5,-161.72506738544473,121.29380053908355
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18500CE,13:12:00,15:22:00,77.2,73.3,-162.16216216216216,632.4324324324333
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18500PE,13:12:00,15:22:00,7.3,1.25,-162.16216216216216,981.081081081081
2022-11-07,CLOSED,HEDGE,2022-11-07,FINNIFTY,18450PE,09:16:00,15:22:00,1.25,0.2,813.0081300813008,-853.6585365853659
2022-11-07,CLOSED,HEDGE,2022-11-07,FINNIFTY,19050CE,09:16:00,15:22:00,0.75,0.1,787.4015748031496,-511.8110236220473
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18650CE,09:16:00,15:22:00,107.85,35.8,-160.85790884718497,11589.812332439677
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18650PE,09:16:00,15:22:00,10.7,2.65,-160.85790884718497,1294.906166219839
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18700CE,09:16:00,15:22:00,70.6,4.7,-160.42780748663102,10572.192513368984
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18700PE,09:16:00,15:22:00,22.5,21.4,-160.42780748663102,176.47058823529434
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18750CE,09:16:00,15:22:00,40.5,0.4,-160.0,6416.0
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18750PE,09:16:00,15:22:00,42.25,67.15,-160.0,-3984.000000000001
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18800CE,09:16:00,12:34:00,21.6,1.2,-159.5744680851064,3255.3191489361707
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18800PE,09:16:00,12:34:00,72.0,169.35,-159.5744680851064,-15534.574468085106
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18850CE,09:16:00,09:46:00,9.5,2.2,-159.15119363395226,1161.8037135278514
2022-11-07,CLOSED,STRADDLE,2022-11-07,FINNIFTY,18850PE,09:16:00,09:46:00,108.45,171.45,-159.15119363395226,-10026.52519893899
2022-11-07,CLOSED,REBALANCE,2022-11-07,FINNIFTY,18600CE,09:46:00,15:22:00,90.55,83.0,-161.29032258064515,1217.7419354838705
2022-11-07,CLOSED,REBALANCE,2022-11-07,FINNIFTY,18600PE,09:46:00,15:22:00,9.65,0.4,-161.29032258064515,1491.9354838709676
2022-11-07,CLOSED,REBALANCE,2022-11-07,FINNIFTY,18550CE,12:34:00,15:05:00,86.45,178.05,-161.72506738544473,-14814.01617250674
2022-11-07,CLOSED,REBALANCE,2022-11-07,FINNIFTY,18550PE,12:34:00,15:05:00,5.8,0.2,-161.72506738544473,905.6603773584905
2022-11-07,CLOSED,REBALANCE,2022-11-07,FINNIFTY,18800CE,15:05:00,15:22:00,0.25,0.2,-159.5744680851064,7.978723404255318
2022-11-07,CLOSED,REBALANCE,2022-11-07,FINNIFTY,18800PE,15:05:00,15:22:00,72.15,117.05,-159.5744680851064,-7164.8936170212755
2022-11-15,CLOSED,HEDGE,2022-11-15,FINNIFTY,18750PE,09:16:00,15:22:00,1.4,0.2,800.0,-960.0
2022-11-15,CLOSED,HEDGE,2022-11-15,FINNIFTY,19350CE,09:16:00,15:22:00,0.7,0.1,775.1937984496124,-465.1162790697674
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,18950CE,09:16:00,15:22:00,92.1,105.0,-158.31134564643799,-2042.2163588390508
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,18950PE,09:16:00,15:22:00,17.1,0.5,-158.31134564643799,2627.9683377308706
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19000CE,09:16:00,15:22:00,57.9,55.95,-157.89473684210526,307.8947368421046
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19000PE,09:16:00,15:22:00,32.9,1.65,-157.89473684210526,4934.210526315789
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19050CE,09:16:00,15:22:00,31.8,15.85,-157.48031496062993,2511.8110236220473
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19050PE,09:16:00,15:22:00,56.25,11.25,-157.48031496062993,7086.614173228347
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19100CE,09:16:00,15:22:00,15.2,2.0,-157.06806282722513,2073.2984293193717
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19100PE,09:16:00,15:22:00,90.0,47.2,-157.06806282722513,6722.513089005235
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19150CE,09:16:00,09:31:00,6.4,3.0,-156.6579634464752,532.6370757180158
2022-11-15,CLOSED,STRADDLE,2022-11-15,FINNIFTY,19150PE,09:16:00,09:31:00,130.0,172.6,-156.6579634464752,-6673.629242819843
2022-11-15,CLOSED,REBALANCE,2022-11-15,FINNIFTY,18900CE,09:31:00,15:12:00,94.2,174.45,-158.73015873015873,-12738.095238095237
2022-11-15,CLOSED,REBALANCE,2022-11-15,FINNIFTY,18900PE,09:31:00,15:12:00,13.4,0.1,-158.73015873015873,2111.1111111111113
2022-11-15,CLOSED,REBALANCE,2022-11-15,FINNIFTY,19150CE,15:12:00,15:22:00,0.15,0.4,-156.6579634464752,-39.1644908616188
2022-11-15,CLOSED,REBALANCE,2022-11-15,FINNIFTY,19150PE,15:12:00,15:22:00,75.8,96.0,-156.6579634464752,-3164.4908616187995
2022-11-22,CLOSED,HEDGE,2022-11-22,FINNIFTY,18650PE,09:16:00,15:22:00,0.8,0.15,804.2895442359248,-522.7882037533511
2022-11-22,CLOSED,HEDGE,2022-11-22,FINNIFTY,19250CE,09:16:00,15:22:00,0.85,0.25,779.2207792207791,-467.5324675324675
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,18850CE,09:16:00,15:22:00,125.0,109.15,-159.15119363395226,2522.5464190981425
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,18850PE,09:16:00,15:22:00,3.8,0.3,-159.15119363395226,557.0291777188329
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,18900CE,09:16:00,15:22:00,82.3,59.95,-158.73015873015873,3547.619047619047
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,18900PE,09:16:00,15:22:00,10.85,1.1,-158.73015873015873,1547.6190476190477
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,18950CE,09:16:00,15:22:00,47.05,19.0,-158.31134564643799,4440.633245382585
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,18950PE,09:16:00,15:22:00,25.5,10.05,-158.31134564643799,2445.9102902374666
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,19000CE,09:16:00,15:22:00,22.9,3.2,-157.89473684210526,3110.5263157894733
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,19000PE,09:16:00,15:22:00,51.6,44.2,-157.89473684210526,1168.4210526315787
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,19050CE,09:16:00,15:22:00,8.9,0.65,-157.48031496062993,1299.2125984251968
2022-11-22,CLOSED,STRADDLE,2022-11-22,FINNIFTY,19050PE,09:16:00,15:22:00,87.85,91.8,-157.48031496062993,-622.0472440944886
2022-11-29,CLOSED,HEDGE,2022-11-29,FINNIFTY,18900PE,09:16:00,15:22:00,0.9,0.2,793.6507936507937,-555.5555555555555
2022-11-29,CLOSED,HEDGE,2022-11-29,FINNIFTY,19500CE,09:16:00,15:22:00,0.7,0.25,769.2307692307692,-346.1538461538461
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19100CE,09:16:00,09:33:00,112.15,170.05,-157.06806282722513,-9094.240837696336
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19100PE,09:16:00,09:33:00,4.8,2.1,-157.06806282722513,424.0837696335078
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19150CE,09:16:00,15:22:00,69.85,88.0,-156.6579634464752,-2843.3420365535258
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19150PE,09:16:00,15:22:00,12.5,0.75,-156.6579634464752,1840.7310704960837
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19200CE,09:16:00,15:22:00,37.4,44.4,-156.25,-1093.75
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19200PE,09:16:00,15:22:00,30.05,4.15,-156.25,4046.875
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19250CE,09:16:00,15:22:00,16.05,10.0,-155.84415584415584,942.8571428571429
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19250PE,09:16:00,15:22:00,58.5,18.75,-155.84415584415584,6194.805194805194
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19300CE,09:16:00,15:22:00,5.85,1.4,-155.44041450777203,691.7098445595855
2022-11-29,CLOSED,STRADDLE,2022-11-29,FINNIFTY,19300PE,09:16:00,15:22:00,98.6,60.0,-155.44041450777203,6000.0
2022-11-29,CLOSED,REBALANCE,2022-11-29,FINNIFTY,19350CE,09:33:00,15:22:00,5.85,0.45,-155.03875968992247,837.2093023255812
2022-11-29,CLOSED,REBALANCE,2022-11-29,FINNIFTY,19350PE,09:33:00,15:22:00,87.8,108.35,-155.03875968992247,-3186.0465116279065
2022-12-06,CLOSED,HEDGE,2022-12-06,FINNIFTY,18950PE,09:16:00,15:22:00,1.3,0.2,791.5567282321899,-870.712401055409
2022-12-06,CLOSED,HEDGE,2022-12-06,FINNIFTY,19550CE,09:16:00,15:22:00,1.15,0.15,767.2634271099744,-767.2634271099743
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19150CE,09:16:00,15:22:00,102.4,65.7,-156.6579634464752,5749.347258485641
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19150PE,09:16:00,15:22:00,10.4,1.1,-156.6579634464752,1456.9190600522195
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19200CE,09:16:00,15:22:00,64.15,23.55,-156.25,6343.750000000001
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19200PE,09:16:00,15:22:00,22.6,9.05,-156.25,2117.1875
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19250CE,09:16:00,15:22:00,34.8,3.45,-155.84415584415584,4885.714285714285
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19250PE,09:16:00,15:22:00,43.0,39.0,-155.84415584415584,623.3766233766233
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19300CE,09:16:00,15:22:00,17.95,0.55,-155.44041450777203,2704.663212435233
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19300PE,09:16:00,15:22:00,76.3,86.1,-155.44041450777203,-1523.3160621761656
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19350CE,09:16:00,15:22:00,8.15,0.25,-155.03875968992247,1224.8062015503876
2022-12-06,CLOSED,STRADDLE,2022-12-06,FINNIFTY,19350PE,09:16:00,15:22:00,116.35,135.75,-155.03875968992247,-3007.7519379844966
2022-12-13,CLOSED,HEDGE,2022-12-13,FINNIFTY,19050PE,09:16:00,15:22:00,0.95,0.15,787.4015748031496,-629.9212598425197
2022-12-13,CLOSED,HEDGE,2022-12-13,FINNIFTY,19650CE,09:16:00,15:22:00,0.7,0.25,763.3587786259543,-343.5114503816794
2022-12-13,CLOSED,STRADDLE,2022-12-13,FINNIFTY,19250CE,09:16:00,11:23:00,104.7,172.95,-155.84415584415584,-10636.363636363634
