Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL
2023-09-07,CLOSED,HEDGE,2023-09-07,NIFTY,19300PE,09:16:00,15:22:00,0.9,0.1,777.2020725388602,-621.7616580310882
2023-09-07,CLOSED,HEDGE,2023-09-07,NIFTY,19900CE,09:16:00,15:22:00,0.6,0.25,753.7688442211055,-263.8190954773869
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19500CE,09:16:00,14:16:00,77.9,180.95,-153.84615384615384,-15853.84615384615
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19500PE,09:16:00,14:16:00,9.25,0.65,-153.84615384615384,1323.0769230769229
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19550CE,09:16:00,14:39:00,41.75,204.9,-153.4526854219949,-25035.805626598467
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19550PE,09:16:00,14:39:00,22.6,0.95,-153.4526854219949,3322.2506393861895
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19600CE,09:16:00,15:22:00,18.0,148.85,-153.0612244897959,-20028.061224489793
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19600PE,09:16:00,15:22:00,49.15,0.55,-153.0612244897959,7438.775510204081
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19650CE,09:16:00,15:22:00,6.25,98.9,-152.67175572519085,-14145.038167938934
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19650PE,09:16:00,15:22:00,87.15,0.6,-152.67175572519085,13213.740458015269
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19700CE,09:16:00,15:22:00,2.25,50.45,-152.28426395939087,-7340.10152284264
2023-09-07,CLOSED,STRADDLE,2023-09-07,NIFTY,19700PE,09:16:00,15:22:00,133.55,2.2,-152.28426395939087,20002.538071065996
2023-09-07,CLOSED,REBALANCE,2023-09-07,NIFTY,19750CE,14:16:00,15:22:00,1.55,10.25,-151.8987341772152,-1321.5189873417721
2023-09-07,CLOSED,REBALANCE,2023-09-07,NIFTY,19750PE,14:16:00,15:22:00,70.85,13.4,-151.8987341772152,8726.582278481013
2023-09-07,CLOSED,REBALANCE,2023-09-07,NIFTY,19800CE,14:39:00,15:22:00,6.8,1.4,-151.5151515151515,818.1818181818181
2023-09-07,CLOSED,REBALANCE,2023-09-07,NIFTY,19800PE,14:39:00,15:22:00,52.15,54.6,-151.5151515151515,-371.2121212121216
2023-09-14,CLOSED,HEDGE,2023-09-14,NIFTY,19850PE,09:16:00,15:22:00,1.95,0.2,755.6675062972292,-1322.4181360201512
2023-09-14,CLOSED,HEDGE,2023-09-14,NIFTY,20450CE,09:16:00,15:22:00,0.75,0.05,733.4963325183373,-513.4474327628361
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20050CE,09:16:00,15:22:00,84.8,44.7,-149.62593516209478,6000.0
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20050PE,09:16:00,15:22:00,20.15,0.45,-149.62593516209478,2947.630922693267
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20100CE,09:16:00,15:22:00,52.85,8.7,-149.2537313432836,6589.552238805972
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20100PE,09:16:00,15:22:00,37.7,13.9,-149.2537313432836,3552.23880597015
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20150CE,09:16:00,15:22:00,29.35,1.2,-148.8833746898263,4191.06699751861
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20150PE,09:16:00,15:22:00,64.55,56.05,-148.8833746898263,1265.5086848635235
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20200CE,09:16:00,15:22:00,14.8,0.45,-148.5148514851485,2131.1881188118814
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20200PE,09:16:00,15:22:00,100.15,105.3,-148.5148514851485,-764.8514851485136
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20250CE,09:16:00,10:41:00,6.7,2.65,-148.14814814814815,600.0000000000001
2023-09-14,CLOSED,STRADDLE,2023-09-14,NIFTY,20250PE,09:16:00,10:41:00,141.3,216.4,-148.14814814814815,-11125.925925925925
2023-09-14,CLOSED,REBALANCE,2023-09-14,NIFTY,20000CE,10:41:00,15:22:00,53.0,95.35,-150.0,-6352.499999999999
2023-09-14,CLOSED,REBALANCE,2023-09-14,NIFTY,20000PE,10:41:00,15:22:00,16.6,0.35,-150.0,2437.5
2023-09-21,CLOSED,HEDGE,2023-09-21,NIFTY,19550PE,09:16:00,15:22:00,1.15,0.25,767.2634271099744,-690.5370843989768
2023-09-21,CLOSED,HEDGE,2023-09-21,NIFTY,20150CE,09:16:00,15:22:00,1.2,0.1,744.4168734491315,-818.8585607940445
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19750CE,09:16:00,15:22:00,90.05,2.5,-151.8987341772152,13298.73417721519
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19750PE,09:16:00,15:22:00,12.2,14.05,-151.8987341772152,-281.01265822784836
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19800CE,09:16:00,15:22:00,54.5,0.4,-151.5151515151515,8196.969696969696
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19800PE,09:16:00,15:22:00,26.9,61.9,-151.5151515151515,-5303.030303030302
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19850CE,09:16:00,15:22:00,28.45,0.25,-151.13350125944584,4261.9647355163725
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19850PE,09:16:00,15:22:00,50.65,111.95,-151.13350125944584,-9264.48362720403
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19900CE,09:16:00,13:00:00,13.75,0.8,-150.7537688442211,1952.2613065326632
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19900PE,09:16:00,13:00:00,85.8,176.45,-150.7537688442211,-13665.829145728641
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19950CE,09:16:00,10:04:00,6.2,2.35,-150.37593984962405,578.9473684210526
2023-09-21,CLOSED,STRADDLE,2023-09-21,NIFTY,19950PE,09:16:00,10:04:00,128.15,208.25,-150.37593984962405,-12045.112781954886
2023-09-21,CLOSED,REBALANCE,2023-09-21,NIFTY,19700CE,10:04:00,15:22:00,55.65,39.25,-152.28426395939087,2497.46192893401
2023-09-21,CLOSED,REBALANCE,2023-09-21,NIFTY,19700PE,10:04:00,15:22:00,12.15,1.15,-152.28426395939087,1675.1269035532996
2023-09-21,CLOSED,REBALANCE,2023-09-21,NIFTY,19650CE,13:00:00,15:22:00,76.3,88.25,-152.67175572519085,-1824.427480916031
2023-09-21,CLOSED,REBALANCE,2023-09-21,NIFTY,19650PE,13:00:00,15:22:00,2.4,0.35,-152.67175572519085,312.9770992366412
2023-09-28,CLOSED,HEDGE,2023-09-28,NIFTY,19450PE,09:16:00,15:22:00,1.55,0.55,771.2082262210797,-771.2082262210797
2023-09-28,CLOSED,HEDGE,2023-09-28,NIFTY,20050CE,09:16:00,15:22:00,1.0,0.1,748.1296758104738,-673.3167082294265
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19650CE,09:16:00,15:22:00,88.95,0.6,-152.67175572519085,13488.549618320612
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19650PE,09:16:00,15:22:00,14.45,110.75,-152.67175572519085,-14702.290076335878
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19700CE,09:16:00,14:57:00,53.7,0.6,-152.28426395939087,8086.294416243655
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19700PE,09:16:00,14:57:00,28.65,159.15,-152.28426395939087,-19873.096446700507
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19750CE,09:16:00,13:25:00,29.05,2.05,-151.8987341772152,4101.265822784811
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19750PE,09:16:00,13:25:00,53.95,183.25,-151.8987341772152,-19640.506329113927
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19800CE,09:16:00,12:05:00,14.8,2.9,-151.5151515151515,1803.030303030303
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19800PE,09:16:00,12:05:00,89.55,194.35,-151.5151515151515,-15878.787878787876
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19850CE,09:16:00,11:10:00,6.75,2.7,-151.13350125944584,612.0906801007557
2023-09-28,CLOSED,STRADDLE,2023-09-28,NIFTY,19850PE,09:16:00,11:10:00,131.55,197.0,-151.13350125944584,-9891.687657430728
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19600CE,11:10:00,15:22:00,65.8,0.7,-153.0612244897959,9964.285714285712
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19600PE,11:10:00,15:22:00,10.0,60.6,-153.0612244897959,-7744.897959183673
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19550CE,12:05:00,15:22:00,70.2,4.05,-153.4526854219949,10150.895140664963
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19550PE,12:05:00,15:22:00,11.05,14.3,-153.4526854219949,-498.72122762148337
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19500CE,13:25:00,15:22:00,73.0,41.75,-153.84615384615384,4807.692307692308
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19500PE,13:25:00,15:22:00,4.6,2.15,-153.84615384615384,376.92307692307685
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19450CE,14:57:00,15:22:00,92.9,90.7,-154.24164524421593,339.3316195372755
2023-09-28,CLOSED,REBALANCE,2023-09-28,NIFTY,19450PE,14:57:00,15:22:00,0.6,0.55,-154.24164524421593,7.712082262210786
2023-10-05,CLOSED,HEDGE,2023-10-05,NIFTY,19200PE,09:16:00,15:22:00,1.0,0.05,781.25,-742.1875
2023-10-05,CLOSED,HEDGE,2023-10-05,NIFTY,19800CE,09:16:00,15:22:00,0.85,0.1,757.5757575757575,-568.1818181818181
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19400CE,09:16:00,11:23:00,118.3,183.3,-154.63917525773195,-10051.54639175258
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19400PE,09:16:00,11:23:00,6.85,1.15,-154.63917525773195,881.443298969072
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19450CE,09:16:00,15:22:00,76.25,101.75,-154.24164524421593,-3933.1619537275064
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19450PE,09:16:00,15:22:00,14.45,0.1,-154.24164524421593,2213.3676092544983
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19500CE,09:16:00,15:22:00,43.85,52.05,-153.84615384615384,-1261.5384615384608
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19500PE,09:16:00,15:22:00,32.4,0.25,-153.84615384615384,4946.153846153846
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19550CE,09:16:00,,21.5,10000.0,-153.4526854219949,0.0
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19550PE,09:16:00,15:22:00,60.2,4.25,-153.4526854219949,8585.677749360615
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19600CE,09:16:00,15:22:00,9.15,0.35,-153.0612244897959,1346.938775510204
2023-10-05,CLOSED,STRADDLE,2023-10-05,NIFTY,19600PE,09:16:00,15:22:00,98.05,48.85,-153.0612244897959,7530.612244897958
2023-10-05,CLOSED,REBALANCE,2023-10-05,NIFTY,19650CE,11:23:00,15:22:00,3.2,0.15,-152.67175572519085,465.6488549618321
2023-10-05,CLOSED,REBALANCE,2023-10-05,NIFTY,19650PE,11:23:00,15:22:00,70.4,98.25,-152.67175572519085,-4251.908396946565
2023-10-12,CLOSED,HEDGE,2023-10-12,NIFTY,19550PE,09:16:00,15:22:00,1.05,0.1,767.2634271099744,-728.9002557544757
2023-10-12,CLOSED,HEDGE,2023-10-12,NIFTY,20150CE,09:16:00,15:22:00,0.6,0.1,744.4168734491315,-372.20843672456573
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19750CE,09:16:00,15:22:00,96.1,53.05,-151.8987341772152,6539.240506329114
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19750PE,09:16:00,15:22:00,9.8,0.35,-151.8987341772152,1435.4430379746839
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19800CE,09:16:00,15:22:00,58.25,6.25,-151.5151515151515,7878.787878787878
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19800PE,09:16:00,,21.85,10000.0,-151.5151515151515,0.0
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19850CE,09:16:00,15:22:00,28.85,0.3,-151.13350125944584,4314.861460957179
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19850PE,09:16:00,15:22:00,41.8,46.8,-151.13350125944584,-755.6675062972292
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19900CE,09:16:00,15:22:00,11.8,0.15,-150.7537688442211,1756.2814070351758
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19900PE,09:16:00,15:22:00,74.85,96.65,-150.7537688442211,-3286.432160804022
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19950CE,09:16:00,15:22:00,4.0,0.1,-150.37593984962405,586.4661654135338
2023-10-12,CLOSED,STRADDLE,2023-10-12,NIFTY,19950PE,09:16:00,15:22:00,116.45,146.5,-150.37593984962405,-4518.796992481202
2023-10-19,CLOSED,HEDGE,2023-10-19,NIFTY,19250PE,09:16:00,15:22:00,1.0,0.05,779.2207792207791,-740.2597402597402
2023-10-19,CLOSED,HEDGE,2023-10-19,NIFTY,19850CE,09:16:00,15:22:00,1.15,0.1,755.6675062972292,-793.4508816120906
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19450CE,09:16:00,11:28:00,122.3,199.85,-154.24164524421593,-11961.439588688945
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19450PE,09:16:00,11:28:00,5.75,1.45,-154.24164524421593,663.2390745501285
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19500CE,09:16:00,14:05:00,79.4,183.7,-153.84615384615384,-16046.153846153842
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19500PE,09:16:00,14:05:00,13.15,0.4,-153.84615384615384,1961.5384615384614
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19550CE,09:16:00,15:22:00,42.9,92.5,-153.4526854219949,-7611.253196930947
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19550PE,09:16:00,15:22:00,26.7,0.25,-153.4526854219949,4058.8235294117644
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19600CE,09:16:00,15:22:00,19.45,42.7,-153.0612244897959,-3558.673469387755
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19600PE,09:16:00,15:22:00,52.9,0.65,-153.0612244897959,7997.448979591836
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19650CE,09:16:00,15:22:00,7.5,2.8,-152.67175572519085,717.557251908397
2023-10-19,CLOSED,STRADDLE,2023-10-19,NIFTY,19650PE,09:16:00,15:22:00,91.1,10.75,-152.67175572519085,12267.175572519083
2023-10-19,CLOSED,REBALANCE,2023-10-19,NIFTY,19700CE,11:28:00,15:22:00,7.9,0.2,-152.28426395939087,1172.5888324873097
2023-10-19,CLOSED,REBALANCE,2023-10-19,NIFTY,19700PE,11:28:00,15:22:00,60.0,58.0,-152.28426395939087,304.56852791878174
2023-10-19,CLOSED,REBALANCE,2023-10-19,NIFTY,19750CE,14:05:00,15:22:00,1.9,0.15,-151.8987341772152,265.8227848101266
2023-10-19,CLOSED,REBALANCE,2023-10-19,NIFTY,19750PE,14:05:00,15:22:00,68.55,108.2,-151.8987341772152,-6022.784810126584
2023-10-26,CLOSED,HEDGE,2023-10-26,NIFTY,18700PE,09:16:00,15:22:00,1.9,0.35,802.1390374331552,-1243.3155080213903
2023-10-26,CLOSED,HEDGE,2023-10-26,NIFTY,19300CE,09:16:00,15:22:00,2.2,0.25,777.2020725388602,-1515.5440414507775
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,18900CE,09:16:00,15:22:00,138.8,2.6,-158.73015873015873,21619.047619047622
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,18900PE,09:16:00,15:22:00,12.9,33.7,-158.73015873015873,-3301.587301587302
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,18950CE,09:16:00,15:22:00,97.15,0.85,-158.31134564643799,15245.38258575198
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,18950PE,09:16:00,15:22:00,21.5,81.9,-158.31134564643799,-9562.005277044855
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,19000CE,09:16:00,15:22:00,62.35,0.55,-157.89473684210526,9757.894736842105
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,19000PE,09:16:00,15:22:00,37.25,131.9,-157.89473684210526,-14944.736842105263
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,19050CE,09:16:00,11:01:00,35.4,5.1,-157.48031496062993,4771.653543307087
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,19050PE,09:16:00,11:01:00,60.2,210.2,-157.48031496062993,-23622.04724409449
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,19100CE,09:16:00,09:47:00,18.25,7.35,-157.06806282722513,1712.041884816754
2023-10-26,CLOSED,STRADDLE,2023-10-26,NIFTY,19100PE,09:16:00,09:47:00,92.2,185.0,-157.06806282722513,-14575.916230366493
2023-10-26,CLOSED,REBALANCE,2023-10-26,NIFTY,18850CE,09:47:00,15:22:00,90.4,21.55,-159.15119363395226,10957.559681697614
2023-10-26,CLOSED,REBALANCE,2023-10-26,NIFTY,18850PE,09:47:00,15:22:00,17.95,2.85,-159.15119363395226,2403.183023872679
