,Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI,Datetime
0,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000CE,09:16:00,15:22:00,58.0,105.3,-166.6666667,-7883.333333,-47.3,-0.7883333333,2017-01-05 09:16:00
1,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000PE,09:16:00,15:22:00,50.0,0.05,-166.6666667,8325.0,49.95,0.8325,2017-01-05 09:16:00
2,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900PE,09:16:00,15:22:00,18.35,0.05,-167.5977654,3067.039106,18.3,0.3067039106,2017-01-05 09:16:00
3,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200PE,09:16:00,15:22:00,192.55,73.45,-164.8351648,19631.86813,119.1,1.963186813,2017-01-05 09:16:00
4,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900CE,09:16:00,15:22:00,117.65,195.0,-167.5977654,-12963.68715,-77.35,-1.296368715,2017-01-05 09:16:00
5,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800PE,09:16:00,13:56:00,4.95,0.1,-168.5393258,817.4157303,4.85,0.08174157303,2017-01-05 09:16:00
6,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200CE,09:16:00,15:22:00,7.35,0.05,-164.8351648,1203.296703,7.3,0.1203296703,2017-01-05 09:16:00
7,2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,18300CE,09:16:00,15:22:00,2.3,0.05,819.6721311,-1844.262295,-2.25,-0.1844262295,2017-01-05 09:16:00
8,2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,17700PE,09:16:00,15:22:00,1.1,0.05,847.4576271,-889.8305085,-1.05,-0.08898305085,2017-01-05 09:16:00
9,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100PE,09:16:00,15:22:00,111.4,0.2,-165.7458564,18430.93923,111.2,1.843093923,2017-01-05 09:16:00
10,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100CE,09:16:00,15:22:00,22.65,8.6,-165.7458564,2328.729282,14.05,0.2328729282,2017-01-05 09:16:00
11,2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800CE,09:16:00,13:56:00,200.0,302.65,-168.5393258,-17300.5618,-102.65,-1.73005618,2017-01-05 09:16:00
12,2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300CE,13:56:00,15:22:00,0.6,0.05,-163.9344262,90.16393443,0.55,0.009016393443,2017-01-05 13:56:00
13,2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300PE,13:56:00,15:22:00,170.0,174.3,-163.9344262,-704.9180328,-4.3,-0.07049180328,2017-01-05 13:56:00
14,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000CE,09:16:00,,10.55,10000.0,-157.8947368,0.0,-9989.45,0.0,2017-01-12 09:16:00
15,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19100CE,09:16:00,,2.75,10000.0,-157.0680628,0.0,-9997.25,0.0,2017-01-12 09:16:00
16,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000PE,09:16:00,15:22:00,166.9,121.5,-157.8947368,7168.421053,45.4,0.7168421053,2017-01-12 09:16:00
17,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18900PE,09:16:00,15:22:00,90.0,18.0,-158.7301587,11428.57143,72.0,1.142857143,2017-01-12 09:16:00
18,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18700CE,09:16:00,15:22:00,136.6,162.3,-160.4278075,-4122.994652,-25.7,-0.4122994652,2017-01-12 09:16:00
19,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18800PE,09:16:00,,34.7,10000.0,-159.5744681,0.0,-9965.3,0.0,2017-01-12 09:16:00
20,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18800CE,09:16:00,15:22:00,67.3,64.25,-159.5744681,486.7021277,3.05,0.04867021277,2017-01-12 09:16:00
21,2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18700PE,09:16:00,15:22:00,9.3,0.05,-160.4278075,1483.957219,9.25,0.1483957219,2017-01-12 09:16:00
