Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL
2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,17700PE,09:16:00,15:22:00,1.1,0.05,847.457627118644,-889.8305084745763
2017-01-05,CLOSED,HEDGE,2017-01-05,BANKNIFTY,18300CE,09:16:00,15:22:00,2.3,0.05,819.672131147541,-1844.2622950819673
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800CE,09:16:00,13:56:00,200.0,302.65,-168.53932584269663,-17300.561797752805
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17800PE,09:16:00,13:56:00,4.95,0.1,-168.53932584269663,817.4157303370787
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900CE,09:16:00,15:22:00,117.65,195.0,-167.5977653631285,-12963.687150837988
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,17900PE,09:16:00,15:22:00,18.35,0.05,-167.5977653631285,3067.039106145252
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000CE,09:16:00,15:22:00,58.0,105.3,-166.66666666666666,-7883.333333333332
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18000PE,09:16:00,15:22:00,50.0,0.05,-166.66666666666666,8325.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100CE,09:16:00,15:22:00,22.65,8.6,-165.74585635359117,2328.729281767956
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18100PE,09:16:00,15:22:00,111.4,0.2,-165.74585635359117,18430.93922651934
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200CE,09:16:00,15:22:00,7.35,0.05,-164.83516483516485,1203.2967032967033
2017-01-05,CLOSED,STRADDLE,2017-01-05,BANKNIFTY,18200PE,09:16:00,15:22:00,192.55,73.45,-164.83516483516485,19631.868131868134
2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300CE,13:56:00,15:22:00,0.6,0.05,-163.9344262295082,90.1639344262295
2017-01-05,CLOSED,REBALANCE UP,2017-01-05,BANKNIFTY,18300PE,13:56:00,15:22:00,170.0,174.3,-163.9344262295082,-704.9180327868871
2017-01-12,CLOSED,HEDGE,2017-01-12,BANKNIFTY,18600PE,09:16:00,15:22:00,2.25,0.05,806.4516129032257,-1774.1935483870968
2017-01-12,CLOSED,HEDGE,2017-01-12,BANKNIFTY,19200CE,09:16:00,15:22:00,0.75,0.05,781.25,-546.875
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18700CE,09:16:00,15:22:00,136.6,162.3,-160.42780748663102,-4122.99465240642
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18700PE,09:16:00,15:22:00,9.3,0.05,-160.42780748663102,1483.957219251337
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18800CE,09:16:00,15:22:00,67.3,64.25,-159.5744680851064,486.70212765957405
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18800PE,09:16:00,,34.7,10000.0,-159.5744680851064,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18900CE,09:16:00,,29.0,10000.0,-158.73015873015873,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,18900PE,09:16:00,15:22:00,90.0,18.0,-158.73015873015873,11428.57142857143
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000CE,09:16:00,,10.55,10000.0,-157.89473684210526,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19000PE,09:16:00,15:22:00,166.9,121.5,-157.89473684210526,7168.42105263158
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19100CE,09:16:00,,2.75,10000.0,-157.06806282722513,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,BANKNIFTY,19100PE,,,10000.0,10000.0,-157.06806282722513,0.0
2017-01-19,CLOSED,HEDGE,2017-01-19,BANKNIFTY,18800PE,09:16:00,,1.15,10000.0,797.872340425532,0.0
2017-01-19,CLOSED,HEDGE,2017-01-19,BANKNIFTY,19400CE,09:16:00,15:22:00,2.45,0.05,773.1958762886597,-1855.6701030927836
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,18900CE,09:16:00,15:22:00,224.5,217.3,-158.73015873015873,1142.857142857141
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,18900PE,09:16:00,15:22:00,2.8,0.05,-158.73015873015873,436.5079365079365
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19000CE,09:16:00,15:22:00,138.0,120.25,-157.89473684210526,2802.6315789473683
2017-01-19,CLOSED,STRADDLE,2017-01-19,BANKNIFTY,19000PE,09:16:00,15:22:00,12.45,0.05,-157.89473684210526,1957.894736842105
