Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL
2017-01-05,CLOSED,HEDGE,2017-01-05,NIFTY,8150PE,,,10000.0,10000.0,1840.4907975460123,0.0
2017-01-05,CLOSED,HEDGE,2017-01-05,NIFTY,8350CE,,,10000.0,10000.0,1796.4071856287424,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8150CE,,,10000.0,10000.0,-368.09815950920245,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8150PE,,,10000.0,10000.0,-368.09815950920245,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8200CE,,,10000.0,10000.0,-365.8536585365854,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8200PE,,,10000.0,10000.0,-365.8536585365854,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8250CE,,,10000.0,10000.0,-363.6363636363636,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8250PE,,,10000.0,10000.0,-363.6363636363636,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8300CE,,,10000.0,10000.0,-361.4457831325301,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8300PE,,,10000.0,10000.0,-361.4457831325301,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8350CE,,,10000.0,10000.0,-359.2814371257485,0.0
2017-01-05,CLOSED,STRADDLE,2017-01-05,NIFTY,8350PE,,,10000.0,10000.0,-359.2814371257485,0.0
2017-01-12,CLOSED,HEDGE,2017-01-12,NIFTY,8250PE,,,10000.0,10000.0,1818.181818181818,0.0
2017-01-12,CLOSED,HEDGE,2017-01-12,NIFTY,8550CE,,,10000.0,10000.0,1754.3859649122808,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8300CE,,,10000.0,10000.0,-361.4457831325301,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8300PE,,,10000.0,10000.0,-361.4457831325301,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8350CE,,,10000.0,10000.0,-359.2814371257485,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8350PE,,,10000.0,10000.0,-359.2814371257485,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8400CE,,,10000.0,10000.0,-357.14285714285717,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8400PE,,,10000.0,10000.0,-357.14285714285717,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8450CE,,,10000.0,10000.0,-355.0295857988166,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8450PE,,,10000.0,10000.0,-355.0295857988166,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8500CE,,,10000.0,10000.0,-352.94117647058823,0.0
2017-01-12,CLOSED,STRADDLE,2017-01-12,NIFTY,8500PE,,,10000.0,10000.0,-352.94117647058823,0.0
2017-01-19,CLOSED,HEDGE,2017-01-19,NIFTY,8250PE,,,10000.0,10000.0,1818.181818181818,0.0
2017-01-19,CLOSED,HEDGE,2017-01-19,NIFTY,8550CE,,,10000.0,10000.0,1754.3859649122808,0.0
2017-01-19,CLOSED,STRADDLE,2017-01-19,NIFTY,8300CE,,,10000.0,10000.0,-361.4457831325301,0.0
2017-01-19,CLOSED,STRADDLE,2017-01-19,NIFTY,8300PE,,,10000.0,10000.0,-361.4457831325301,0.0
2017-01-19,CLOSED,STRADDLE,2017-01-19,NIFTY,8350CE,,,10000.0,10000.0,-359.2814371257485,0.0
2017-01-19,CLOSED,STRADDLE,2017-01-19,NIFTY,8350PE,,,10000.0,10000.0,-359.2814371257485,0.0
2017-01-19,CLOSED,STRADDLE,2017-01-19,NIFTY,8400CE,,,10000.0,10000.0,-357.14285714285717,0.0
