Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI
2022-10-25,CLOSED,HEDGE,2022-10-25,FINNIFTY,18200PE,09:16:00,15:22:00,1.9,0.25,824.1758242,-1359.89011,-1.65,-0.135989011
2022-10-25,CLOSED,HEDGE,2022-10-25,FINNIFTY,18800CE,09:16:00,15:22:00,0.6,0.1,797.8723404,-398.9361702,-0.5,-0.03989361702
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18400CE,09:16:00,15:22:00,87.35,0.55,-163.0434783,14152.17391,86.8,1.415217391
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18400PE,09:16:00,15:22:00,20.5,65,-163.0434783,-7255.434783,-44.5,-0.7255434783
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18450CE,09:16:00,15:14:00,54.7,0.1,-162.601626,8878.04878,54.6,0.887804878
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18450PE,09:16:00,15:14:00,37.8,167.9,-162.601626,-21154.47154,-130.1,-2.115447154
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18500CE,09:16:00,12:35:00,30.1,1.3,-162.1621622,4670.27027,28.8,0.467027027
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18500PE,09:16:00,12:35:00,61.2,169.65,-162.1621622,-17586.48649,-108.45,-1.758648649
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18550CE,09:16:00,09:21:00,14.65,4.5,-161.7250674,1641.509434,10.15,0.1641509434
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18550PE,09:16:00,09:21:00,95.9,174.9,-161.7250674,-12776.28032,-79,-1.277628032
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18600CE,09:16:00,09:18:00,5.65,3.3,-161.2903226,379.0322581,2.35,0.03790322581
2022-10-25,CLOSED,STRADDLE,2022-10-25,FINNIFTY,18600PE,09:16:00,09:18:00,138.5,186.3,-161.2903226,-7709.677419,-47.8,-0.7709677419
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18350CE,09:18:00,15:22:00,86.95,3.3,-163.4877384,13675.74932,83.65,1.367574932
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18350PE,09:18:00,15:22:00,20.35,17.8,-163.4877384,416.893733,2.55,0.0416893733
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18300CE,09:21:00,15:22:00,95.5,37.6,-163.9344262,9491.803279,57.9,0.9491803279
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18300PE,09:21:00,15:22:00,15.7,1.95,-163.9344262,2254.098361,13.75,0.2254098361
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18250CE,12:35:00,15:22:00,86.3,86.8,-164.3835616,-82.19178082,-0.5,-0.008219178082
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18250PE,12:35:00,15:22:00,4.75,0.35,-164.3835616,723.2876712,4.4,0.07232876712
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18200CE,15:14:00,15:22:00,81.75,136.45,-164.8351648,-9016.483516,-54.7,-0.9016483516
2022-10-25,CLOSED,REBALANCE,2022-10-25,FINNIFTY,18200PE,15:14:00,15:22:00,0.2,0.25,-164.8351648,-8.241758242,-0.05,-0.0008241758242
2022-11-01,CLOSED,HEDGE,2022-11-01,FINNIFTY,18350PE,09:16:00,15:22:00,1.4,0.15,817.4386921,-1021.798365,-1.25,-0.1021798365
2022-11-01,CLOSED,HEDGE,2022-11-01,FINNIFTY,18950CE,09:16:00,15:22:00,0.85,0.15,791.5567282,-554.0897098,-0.7,-0.05540897098
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18550CE,09:16:00,10:56:00,89.95,169,-161.7250674,-12784.36658,-79.05,-1.278436658
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18550PE,09:16:00,10:56:00,15.5,1.65,-161.7250674,2239.892183,13.85,0.2239892183
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18600CE,09:16:00,15:22:00,55.55,4.1,-161.2903226,8298.387097,51.45,0.8298387097
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18600PE,09:16:00,15:22:00,31.25,32.05,-161.2903226,-129.0322581,-0.8,-0.01290322581
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18650CE,09:16:00,15:22:00,30.05,0.75,-160.8579088,4713.136729,29.3,0.4713136729
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18650PE,09:16:00,15:22:00,56.95,79.35,-160.8579088,-3603.217158,-22.4,-0.3603217158
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18700CE,09:16:00,15:22:00,14.7,0.35,-160.4278075,2302.139037,14.35,0.2302139037
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18700PE,09:16:00,15:22:00,91.05,128.4,-160.4278075,-5991.97861,-37.35,-0.599197861
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18750CE,09:16:00,13:12:00,5.7,0.9,-160,768,4.8,0.0768
2022-11-01,CLOSED,STRADDLE,2022-11-01,FINNIFTY,18750PE,09:16:00,13:12:00,130.35,182.7,-160,-8376,-52.35,-0.8376
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18800CE,10:56:00,12:36:00,6.65,1.2,-159.5744681,869.6808511,5.45,0.08696808511
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18800PE,10:56:00,12:36:00,89.05,173,-159.5744681,-13396.2766,-83.95,-1.33962766
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18550CE,12:36:00,15:22:00,84.4,27.6,-161.7250674,9185.983827,56.8,0.9185983827
2022-11-01,CLOSED,REBALANCE,2022-11-01,FINNIFTY,18550PE,12:36:00,15:22:00,6.25,5.5,-161.7250674,121.2938005,0.75,0.01212938005
