,Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI,PnL_w_cs,ROI_w_cs,Trade Year
0,2017-02-23,CLOSED,HEDGE,2017-02-23,NIFTY,8800PE,9:16:00,15:22:00,0.8,0.1,1704.545455,-1193.181818,-0.7,-0.001193181818,-1191.6477270905,-0.11916477270905,2017
1,2017-02-23,CLOSED,HEDGE,2017-02-23,NIFTY,9100CE,9:16:00,15:22:00,0.15,0.1,1648.351648,-82.41758242,-0.05,-8.241758242e-05,-82.005494508,-0.0082005494508,2017
2,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,8850CE,9:16:00,15:22:00,77.4,112.0,-338.9830508,-11728.81356,-34.6,-0.01172881356,-11793.01694982152,-1.179301694982152,2017
3,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,8850PE,9:16:00,15:22:00,2.35,0.1,-338.9830508,762.7118644,2.25,0.0007627118643999999,761.88135592554,0.076188135592554,2017
4,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,8900CE,9:16:00,15:22:00,41.6,64.05,-337.0786517,-7567.41573,-22.45,-0.00756741573,-7603.028089552105,-0.7603028089552104,2017
5,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,8900PE,9:16:00,15:22:00,11.95,1.0,-337.0786517,3691.011236,10.95,0.003691011236,3686.646067460485,0.3686646067460485,2017
6,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,8950CE,9:16:00,15:22:00,15.85,17.65,-335.1955307,-603.3519553,-1.8,-0.0006033519553,-614.58100557845,-0.061458100557845,2017
7,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,8950PE,9:16:00,15:22:00,33.55,4.75,-335.1955307,9653.631285,28.8,0.009653631284999999,9640.79329617419,0.9640793296174189,2017
8,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,9000CE,9:16:00,15:22:00,4.4,0.8,-333.3333333,1200.0,3.6,0.0012,1198.26666666684,0.11982666666668398,2017
9,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,9000PE,9:16:00,15:22:00,70.9,33.1,-333.3333333,12600.0,37.8,0.0126,12565.3333333368,1.25653333333368,2017
10,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,9050CE,9:16:00,15:22:00,0.6,0.1,-331.4917127,165.7458564,0.5,0.0001657458564,165.51381220111,0.016551381220111,2017
11,2017-02-23,CLOSED,STRADDLE,2017-02-23,NIFTY,9050PE,9:17:00,15:22:00,110.3,85.0,-331.4917127,8386.740331,25.3,0.008386740331,8321.999999509691,0.8321999999509692,2017
12,2017-03-30,CLOSED,HEDGE,2017-03-30,NIFTY,9000PE,9:16:00,15:22:00,0.55,0.05,1666.666667,-833.3333333,-0.5,-0.0008333333333,-832.3333332998001,-0.08323333332998001,2017
13,2017-03-30,CLOSED,HEDGE,2017-03-30,NIFTY,9300CE,9:16:00,15:22:00,0.05,0.05,1612.903226,0.0,0.0,0.0,0.1612903226,1.612903226e-05,2017
14,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9050CE,9:16:00,15:22:00,93.0,102.85,-331.4917127,-3265.19337,-9.85,-0.00326519337,-3330.116021932295,-0.3330116021932295,2017
15,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9050PE,9:16:00,15:22:00,1.6,0.1,-331.4917127,497.2375691,1.5,0.0004972375691,496.67403318840996,0.049667403318840994,2017
16,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9100CE,9:16:00,15:22:00,50.35,52.05,-329.6703297,-560.4395604,-1.7,-0.0005604395604,-594.19780216128,-0.059419780216128,2017
17,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9100PE,9:16:00,15:22:00,6.45,0.6,-329.6703297,1928.571429,5.85,0.001928571429,1926.247253175615,0.1926247253175615,2017
18,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9150CE,9:16:00,15:22:00,17.9,12.0,-327.8688525,1934.42623,5.9,0.00193442623,1924.62295131025,0.192462295131025,2017
19,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9150PE,9:16:00,15:22:00,20.8,6.0,-327.8688525,4852.459016,14.8,0.004852459016,4843.672130753,0.48436721307529995,2017
20,2017-03-30,CLOSED,STRADDLE,2017-03-30,NIFTY,9200CE,9:16:00,15:22:00,4.1,0.2,-326.0869565,1271.73913,3.9,0.00127173913,1270.3369560870499,0.12703369560870498,2017
