date,high level,low level,atr_multiplier,side,strike,type,expiry,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index_lev,qty,pnl,ROI%,Trade Year
2019-01-01,10912.800000000003,10840.499999999996,3,LONG,10900,PE,2019-01-31,2019-01-01 09:27:00,195.0,202.0,2019-01-01 09:33:00,SL Hit,-7.0,3.97,-10.97,10000000,8,7339.4495412844035,-80513.76146788991,-0.8051376146788991,2019
2019-01-01,10912.800000000003,10840.499999999996,3,LONG,10900,PE,2019-01-31,2019-01-01 09:36:00,198.0,198.1,2019-01-01 09:51:00,SL Hit,-0.09999999999999432,3.9610000000000003,-4.060999999999995,10000000,8,7339.4495412844035,-29805.504587155923,-0.29805504587155923,2019
2019-01-03,10809.584242660865,10736.615757339136,3,SHORT,10750,CE,2019-01-31,2019-01-03 10:21:00,238.0,166.45,2019-01-03 15:21:00,EOD Exit,71.55000000000001,4.0445,67.50550000000001,10000000,8,7441.860465116279,502366.51162790705,5.023665116279071,2019
2019-01-04,10740.316633093586,10669.983366906414,3,LONG,10750,PE,2019-01-31,2019-01-04 09:51:00,196.2,198.4,2019-01-04 09:54:00,SL Hit,-2.200000000000017,3.946,-6.146000000000017,10000000,8,7441.860465116279,-45737.67441860477,-0.45737674418604773,2019
2019-01-04,10740.316633093586,10669.983366906414,3,LONG,10750,PE,2019-01-31,2019-01-04 11:00:00,190.0,161.5,2019-01-04 15:21:00,EOD Exit,28.5,3.515,24.985,10000000,8,7441.860465116279,185934.88372093023,1.859348837209302,2019
2019-01-07,10862.346006609185,10769.053993390817,3,LONG,10850,PE,2019-01-31,2019-01-07 14:54:00,190.95,199.6,2019-01-07 14:57:00,SL Hit,-8.650000000000006,3.9054999999999995,-12.555500000000006,10000000,8,7373.271889400921,-92575.11520737331,-0.9257511520737332,2019
2019-01-08,10770.381084611226,10705.818915388774,3,SHORT,10700,CE,2019-01-31,2019-01-08 10:48:00,228.5,232.3,2019-01-08 10:51:00,SL Hit,-3.8000000000000114,4.6080000000000005,-8.408000000000012,10000000,8,7476.6355140186915,-62863.55140186925,-0.6286355140186924,2019
2019-01-08,10770.381084611226,10705.818915388774,3,SHORT,10700,CE,2019-01-31,2019-01-08 10:54:00,222.7,235.85,2019-01-08 12:45:00,SL Hit,-13.150000000000006,4.5855,-17.735500000000005,10000000,8,7476.6355140186915,-132601.86915887854,-1.3260186915887855,2019
2019-01-09,10904.015264265588,10830.384735734413,3,LONG,10900,PE,2019-01-31,2019-01-09 12:36:00,167.6,183.4,2019-01-09 13:51:00,SL Hit,-15.800000000000011,3.5100000000000002,-19.310000000000013,10000000,8,7339.4495412844035,-141724.77064220194,-1.4172477064220195,2019
2019-01-09,10904.015264265588,10830.384735734413,3,LONG,10900,PE,2019-01-31,2019-01-09 14:51:00,159.9,158.45,2019-01-09 15:21:00,EOD Exit,1.450000000000017,3.1835000000000004,-1.7334999999999834,10000000,8,7339.4495412844035,-12722.935779816391,-0.1272293577981639,2019
2019-01-11,10859.99419225134,10810.105807748658,3,LONG,10850,PE,2019-01-31,2019-01-11 10:45:00,143.7,146.2,2019-01-11 10:48:00,SL Hit,-2.5,2.899,-5.399,10000000,8,7373.271889400921,-39808.29493087557,-0.3980829493087557,2019
2019-01-11,10859.99419225134,10810.105807748658,3,LONG,10850,PE,2019-01-31,2019-01-11 10:51:00,143.95,145.0,2019-01-11 11:06:00,SL Hit,-1.0500000000000114,2.8895,-3.9395000000000113,10000000,8,7373.271889400921,-29047.004608295014,-0.29047004608295013,2019
2019-01-14,10790.862559431635,10718.837440568366,3,LONG,10800,PE,2019-01-31,2019-01-14 10:15:00,165.2,167.15,2019-01-14 10:18:00,SL Hit,-1.950000000000017,3.3235,-5.273500000000017,10000000,8,7407.407407407408,-39062.962962963094,-0.390629629629631,2019
2019-01-14,10790.862559431635,10718.837440568366,3,LONG,10800,PE,2019-01-31,2019-01-14 10:21:00,164.7,170.65,2019-01-14 10:24:00,SL Hit,-5.950000000000017,3.3535000000000004,-9.303500000000017,10000000,8,7407.407407407408,-68914.81481481495,-0.6891481481481494,2019
2019-01-16,10925.046640428225,10880.853359571776,3,LONG,10950,PE,2019-01-31,2019-01-16 11:21:00,138.75,145.35,2019-01-16 14:06:00,SL Hit,-6.599999999999994,2.841,-9.440999999999995,10000000,8,7305.936073059361,-68975.34246575339,-0.6897534246575339,2019
