date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,spot_price_at_entry,exit price,exit_time,spot_level_at_exit,remarks,points,index_lev,slippage,final_points,portfolio,qty,pnl,ROI%,Trade Year
2019-01-25,17.98850037614266,LONG,10900,P,2019-01-31,6,09:15:00,55.8,1,10919.9,68.2,2019-01-25 11:25:00,10894.75,TSL Hit,-12.400000000000006,9,1.24,-13.640000000000006,10000000,8256.880733944954,-112623.85321100922,-1.1262385321100923,2019.0
2019-01-25,17.98850037614266,SHORT,10900,C,2019-01-31,6,11:25:00,85.05,2,10894.75,34.0,2019-01-25 15:25:00,10775.45,EOD Exit,51.05,3,1.1905,49.8595,10000000,2752.293577981651,137227.98165137612,1.372279816513761,2019.0
2019-01-28,21.88236540611848,SHORT,10750,C,2019-01-31,3,09:25:00,83.9,1,10744.55,47.1,2019-01-28 15:25:00,10675.8,EOD Exit,36.800000000000004,8,1.31,35.49,10000000,7441.860465116279,264111.62790697673,2.641116279069767,2019.0
2019-01-29,21.067977827160515,LONG,10650,P,2019-01-31,2,09:45:00,56.95,1,10670.5,69.5,2019-01-29 10:45:00,10630.25,TSL Hit,-12.549999999999997,9,1.2645,-13.814499999999997,10000000,8450.704225352112,-116742.25352112672,-1.1674225352112673,2019.0
2019-01-29,21.067977827160515,SHORT,10650,C,2019-01-31,2,10:45:00,71.05,2,10630.25,57.0,2019-01-29 14:55:00,10627.45,TSL Hit,14.049999999999997,3,1.2805000000000002,12.769499999999997,10000000,2816.9014084507044,35970.42253521126,0.3597042253521126,2019.0
2019-01-29,21.067977827160515,LONG,10650,P,2019-01-31,2,14:55:00,68.65,3,10627.45,34.45,2019-01-29 15:25:00,10679.1,EOD Exit,34.2,9,1.0310000000000001,33.169000000000004,10000000,8450.704225352112,280301.40845070424,2.8030140845070424,2019.0
2019-01-30,21.035915508063802,SHORT,10650,C,2019-01-31,1,10:25:00,46.45,1,10647.65,62.45,2019-01-30 12:55:00,10671.9,TSL Hit,-16.0,8,1.0890000000000002,-17.089,10000000,7511.737089201878,-128368.07511737088,-1.2836807511737087,2019.0
2019-01-30,21.035915508063802,LONG,10650,P,2019-01-31,1,12:55:00,29.8,2,10671.9,45.15,2019-01-30 14:35:00,10643.15,TSL Hit,-15.349999999999998,8,0.7495,-16.0995,10000000,7511.737089201878,-120935.21126760563,-1.2093521126760562,2019.0
2019-01-30,21.035915508063802,SHORT,10650,C,2019-01-31,1,14:35:00,35.95,3,10643.15,39.15,2019-01-30 15:15:00,10663.15,TSL Hit,-3.1999999999999957,8,0.751,-3.9509999999999956,10000000,7511.737089201878,-29678.873239436587,-0.2967887323943659,2019.0
2019-01-31,23.9136985036453,LONG,10750,P,2019-01-31,0,10:35:00,36.25,1,10729.6,0.05,2019-01-31 15:25:00,10817.35,EOD Exit,36.2,10,0.363,35.837,10000000,9302.32558139535,333367.44186046516,3.3336744186046516,2019.0
