date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,spot_price_at_entry,exit price,exit_time,spot_level_at_exit,remarks,points,index_lev,slippage,final_points,portfolio,qty,pnl,ROI%,Trade Year
2025-05-02,42.774367253515464,LONG,24400,P,2025-05-08,6,09:15:00,170.75,1,24403.65,138.5,2025-05-02 10:25:00,24492.3,TSL Hit,32.25,9,3.0925000000000002,29.1575,10000000,3688.5245901639346,107548.15573770492,1.075481557377049,2025.0
2025-05-02,42.774367253515464,SHORT,24500,C,2025-05-08,6,10:25:00,200.95,2,24492.3,117.3,2025-05-02 13:15:00,24354.1,TSL Hit,83.64999999999999,3,3.1825,80.46749999999999,10000000,1224.4897959183672,98531.6326530612,0.9853163265306121,2025.0
2025-05-02,42.774367253515464,LONG,24300,P,2025-05-08,6,13:15:00,153.75,3,24354.1,190.9,2025-05-02 14:25:00,24299.15,TSL Hit,-37.150000000000006,9,3.4465,-40.596500000000006,10000000,3703.703703703704,-150357.40740740745,-1.5035740740740744,2025.0
2025-05-02,42.774367253515464,SHORT,24350,C,2025-05-08,6,14:25:00,146.0,4,24299.15,144.0,2025-05-02 15:25:00,24313.65,EOD Exit,2.0,3,2.9,-0.8999999999999999,10000000,1232.0328542094455,-1108.8295687885009,-0.011088295687885009,2025.0
2025-05-05,50.39052141430131,LONG,24500,P,2025-05-08,3,10:25:00,114.15,1,24504.05,151.1,2025-05-05 11:45:00,24422.8,TSL Hit,-36.94999999999999,8,2.6525,-39.60249999999999,10000000,3265.3061224489797,-129314.2857142857,-1.293142857142857,2025.0
2025-05-05,50.39052141430131,SHORT,24450,C,2025-05-08,3,11:45:00,101.3,2,24422.8,108.0,2025-05-05 15:25:00,24459.5,EOD Exit,-6.700000000000003,8,2.093,-8.793000000000003,10000000,3271.9836400817994,-28770.552147239272,-0.2877055214723927,2025.0
2025-05-06,28.80769461181924,SHORT,24450,C,2025-05-08,2,09:15:00,83.35,1,24437.75,31.25,2025-05-06 15:25:00,24335.9,EOD Exit,52.099999999999994,3,1.146,50.95399999999999,10000000,1226.993865030675,62520.245398773004,0.62520245398773,2025.0
2025-05-07,33.31379838408348,LONG,24300,P,2025-05-08,1,09:15:00,75.95,1,24359.95,74.5,2025-05-07 09:45:00,24326.05,TSL Hit,1.4500000000000028,8,1.5045,-0.054499999999997106,10000000,3292.1810699588477,-179.4238683127477,-0.001794238683127477,2025.0
2025-05-07,33.31379838408348,SHORT,24400,C,2025-05-08,1,09:45:00,50.0,2,24326.05,57.0,2025-05-07 10:25:00,24372.85,TSL Hit,-7.0,8,1.07,-8.07,10000000,3278.688524590164,-26459.016393442624,-0.26459016393442625,2025.0
2025-05-07,33.31379838408348,LONG,24350,P,2025-05-08,1,10:25:00,69.0,3,24372.85,70.7,2025-05-07 11:45:00,24356.95,TSL Hit,-1.7000000000000028,8,1.397,-3.097000000000003,10000000,3285.4209445585216,-10174.948665297752,-0.10174948665297752,2025.0
2025-05-07,33.31379838408348,SHORT,24350,C,2025-05-08,1,11:45:00,65.95,4,24356.95,85.0,2025-05-07 14:25:00,24412.7,TSL Hit,-19.049999999999997,8,1.5094999999999998,-20.559499999999996,10000000,3285.4209445585216,-67546.6119096509,-0.6754661190965091,2025.0
2025-05-07,33.31379838408348,LONG,24400,P,2025-05-08,1,14:25:00,75.65,5,24412.7,62.85,2025-05-07 15:25:00,24409.3,EOD Exit,12.800000000000004,8,1.385,11.415000000000004,10000000,3278.688524590164,37426.22950819674,0.3742622950819674,2025.0
2025-05-08,30.041665046459606,SHORT,24400,C,2025-05-08,0,09:25:00,17.55,1,24381.8,0.1,2025-05-08 15:05:00,24309.15,TSL Hit,17.45,10,0.17650000000000002,17.2735,10000000,4098.360655737705,70793.03278688525,0.7079303278688525,2025.0
2025-05-09,49.789709235103345,LONG,24050,P,2025-05-15,6,09:15:00,247.9,1,24090.0,267.3,2025-05-09 09:25:00,24047.0,TSL Hit,-19.400000000000006,9,5.152,-24.552000000000007,10000000,3742.2037422037424,-91878.58627858631,-0.9187858627858632,2025.0
2025-05-09,49.789709235103345,SHORT,24050,C,2025-05-15,6,09:25:00,257.1,2,24047.0,257.6,2025-05-09 10:05:00,24060.65,TSL Hit,-0.5,3,5.147,-5.647,10000000,1247.4012474012475,-7044.074844074845,-0.07044074844074845,2025.0
2025-05-09,49.789709235103345,LONG,24050,P,2025-05-15,6,10:05:00,254.5,3,24060.65,297.5,2025-05-09 10:45:00,23980.25,TSL Hit,-43.0,9,5.5200000000000005,-48.52,10000000,3742.2037422037424,-181571.7255717256,-1.8157172557172558,2025.0
2025-05-09,49.789709235103345,SHORT,24000,C,2025-05-15,6,10:45:00,238.05,4,23980.25,308.2,2025-05-09 11:25:00,24093.2,TSL Hit,-70.14999999999998,3,5.4625,-75.61249999999998,10000000,1250.0,-94515.62499999999,-0.9451562499999998,2025.0
2025-05-09,49.789709235103345,LONG,24100,P,2025-05-15,6,11:25:00,248.5,5,24093.2,292.95,2025-05-09 12:25:00,24012.05,TSL Hit,-44.44999999999999,9,5.4145,-49.86449999999999,10000000,3734.4398340248963,-186215.9751037344,-1.862159751037344,2025.0
2025-05-09,49.789709235103345,SHORT,24000,C,2025-05-15,6,12:25:00,237.9,6,24012.05,236.45,2025-05-09 15:25:00,24038.65,EOD Exit,1.450000000000017,3,4.7435,-3.293499999999983,10000000,1250.0,-4116.874999999979,-0.04116874999999979,2025.0
