,Entry Time,Trade Type,Entry Price,Stoploss In Points,Initial SL,Exit Time,Exit Price,SL or Target,Points Captured,After Costs,ROI%,year
0,2017-01-05 17:30:00,LONG,3659.0,20.0,3639.0,2017-01-05 17:30:00,3651.0,SL,-8.0,-11.0,-0.165,2017
1,2017-01-06 20:00:00,SHORT,3672.0,28.0,3700.0,2017-01-06 20:00:00,3666.0,Target,6.0,3.0,0.045,2017
2,2017-01-09 16:30:00,LONG,3637.0,10.0,3627.0,2017-01-09 16:30:00,3630.0,SL,-7.0,-10.0,-0.15,2017
3,2017-01-10 18:30:00,LONG,3560.0,8.0,3552.0,2017-01-10 18:30:00,3562.0,Target,2.0,-1.0,-0.015,2017
4,2017-01-11 18:30:00,LONG,3495.0,11.0,3484.0,2017-01-11 18:30:00,3501.0,Target,6.0,3.0,0.045,2017
5,2017-01-13 18:00:00,LONG,3586.0,12.0,3574.0,2017-01-13 18:00:00,3589.0,Target,3.0,0.0,0.0,2017
6,2017-01-16 16:00:00,SHORT,3579.0,16.0,3595.0,2017-01-16 16:00:00,3578.0,Target,1.0,-2.0,-0.03,2017
7,2017-01-16 23:30:00,LONG,3588.0,25.0,3563.0,2017-01-16 23:30:00,3573.0,SL,-15.0,-18.0,-0.27,2017
8,2017-01-19 19:00:00,SHORT,3514.0,10.0,3524.0,2017-01-19 19:00:00,3517.0,SL,-3.0,-6.0,-0.09,2017
9,2017-01-20 20:30:00,LONG,3655.0,16.0,3639.0,2017-01-20 20:30:00,3658.0,Target,3.0,0.0,0.0,2017
10,2017-01-23 16:00:00,SHORT,3596.0,17.0,3613.0,2017-01-23 16:00:00,3592.0,Target,4.0,1.0,0.015,2017
11,2017-01-24 17:00:00,SHORT,3606.0,21.0,3627.0,2017-01-24 17:00:00,3612.0,SL,-6.0,-9.0,-0.135,2017
12,2017-01-25 18:30:00,SHORT,3592.0,21.0,3613.0,2017-01-25 18:30:00,3601.0,SL,-9.0,-12.0,-0.18,2017
13,2017-02-01 18:30:00,LONG,3596.0,9.0,3587.0,2017-02-01 18:30:00,3600.0,Target,4.0,1.0,0.015,2017
14,2017-02-03 19:00:00,LONG,3626.0,11.0,3615.0,2017-02-03 19:00:00,3619.0,SL,-7.0,-10.0,-0.15,2017
15,2017-02-06 19:00:00,SHORT,3608.0,17.0,3625.0,2017-02-06 19:00:00,3606.0,Target,2.0,-1.0,-0.015,2017
16,2017-02-09 19:00:00,SHORT,3528.0,13.0,3541.0,2017-02-09 19:00:00,3531.0,SL,-3.0,-6.0,-0.09,2017
17,2017-02-10 17:30:00,LONG,3584.0,43.0,3541.0,2017-02-10 17:30:00,3592.0,Target,8.0,5.0,0.075,2017
18,2017-02-15 16:00:00,LONG,3545.0,7.0,3538.0,2017-02-15 16:00:00,3539.0,SL,-6.0,-9.0,-0.135,2017
19,2017-02-17 17:00:00,LONG,3557.0,6.0,3551.0,2017-02-17 17:00:00,3561.0,Target,4.0,1.0,0.015,2017
20,2017-02-20 18:30:00,LONG,3633.0,9.0,3624.0,2017-02-20 18:30:00,3628.0,SL,-5.0,-8.0,-0.12,2017
21,2017-02-21 11:00:00,SHORT,3628.0,5.0,3633.0,2017-02-21 13:00:00,3637.0,SL,-9.0,-12.0,-0.18,2017
22,2017-02-23 19:30:00,LONG,3661.0,16.0,3645.0,2017-02-23 19:30:00,3658.0,SL,-3.0,-6.0,-0.09,2017
23,2017-02-24 17:30:00,SHORT,3607.0,30.0,3637.0,2017-02-24 17:30:00,3608.0,SL,-1.0,-4.0,-0.06,2017
24,2017-02-27 10:30:00,LONG,3629.0,-1.0,3616.0,2017-02-27 15:00:00,3642.0,Target,13.0,10.0,0.15,2017
25,2017-02-27 16:30:00,SHORT,3633.0,8.0,3641.0,2017-02-27 16:30:00,3625.0,Target,8.0,5.0,0.075,2017
26,2017-03-03 17:30:00,SHORT,3531.0,6.0,3537.0,2017-03-03 17:30:00,3533.0,SL,-2.0,-5.0,-0.075,2017
27,2017-03-06 17:00:00,SHORT,3537.0,17.0,3554.0,2017-03-06 17:00:00,3539.0,SL,-2.0,-5.0,-0.075,2017
28,2017-03-10 20:00:00,SHORT,3295.0,34.0,3329.0,2017-03-10 20:00:00,3288.0,Target,7.0,4.0,0.06,2017
29,2017-03-13 18:30:00,LONG,3202.0,11.0,3191.0,2017-03-13 18:30:00,3210.0,Target,8.0,5.0,0.075,2017
30,2017-03-14 12:30:00,SHORT,3204.0,20.0,3224.0,2017-03-14 15:00:00,3216.0,SL,-12.0,-15.0,-0.225,2017
31,2017-03-14 16:30:00,SHORT,3215.0,16.0,3231.0,2017-03-14 16:30:00,3211.0,Target,4.0,1.0,0.015,2017
32,2017-03-16 11:00:00,LONG,3219.0,7.0,3179.0,2017-03-16 15:00:00,3234.0,Target,15.0,12.0,0.18,2017
