date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%,Cumulative ROI%,Max Cumulative ROI%,DD
2019-01-25,Friday,2019-01-31,6,10900,C,87.2,11:45:00,108.95,0.05,2019-01-31,15:25:00,32.86802030456852,EOD exit,87.15,0.8725,919.5402298850574,79335.63218390805,7.933563218390804,2019,1,89.55,0.05,8.013793103448277,125.28735632183908,2019-01-25 11:45:00,11450,1.25,0.05,-1.2,-1103.4482758620688,-0.11034482758620688,7.8232183908045965,7.8232183908045965,7.8232183908045965,0.0
2019-01-28,Monday,2019-01-31,3,10750,P,103.15,14:25:00,142.0,142.0,2019-01-29,12:45:00,49.2548435171386,SL hit,-38.85,2.4515,514.8005148005149,-21262.03346203346,-2.1262033462033463,2019,1,145.0,94.9,0.4247104247104247,69.17631917631918,2019-01-28 14:25:00,0,,,,,0.0,-2.1262033462033463,5.69701504460125,7.8232183908045965,-2.1262033462033463
2019-01-30,Wednesday,2019-01-31,1,10700,P,65.4,13:35:00,103.5,103.5,2019-01-30,14:45:00,33.180076628352495,SL hit,-38.1,1.689,524.9343832020999,-20886.61417322835,-2.088661417322835,2019,1,107.45,40.6,1.301837270341208,70.20997375328085,2019-01-30 13:35:00,0,,,,,0.0,-2.088661417322835,3.608353627278415,7.8232183908045965,-4.214864763526181
2019-01-30,Wednesday,2019-01-31,1,10600,P,20.65,15:05:00,45.1,0.05,2019-01-31,15:25:00,48.43324250681199,EOD exit,20.6,0.207,817.9959100204499,16681.390593047032,1.6681390593047032,2019,1,27.95,0.05,1.6850715746421263,108.3844580777096,2019-01-30 15:05:00,10050,0.05,0.05,0.0,0.0,0.0,1.6681390593047032,5.2764926865831185,7.8232183908045965,-2.546725704221478
2019-02-11,Monday,2019-02-14,3,10850,P,44.0,12:05:00,59.5,59.5,2019-02-13,15:05:00,48.84848484848485,SL hit,-15.5,1.035,1290.3225806451612,-21335.483870967742,-2.133548387096774,2019,2,60.75,20.35,3.051612903225806,175.0,2019-02-11 12:05:00,10400,1.2,0.35,-0.85,-1096.774193548387,-0.10967741935483871,-2.243225806451613,3.0332668801315057,7.8232183908045965,-4.789951510673091
2019-02-11,Monday,2019-02-14,3,10900,C,57.0,14:45:00,96.1,0.05,2019-02-14,15:25:00,48.80838894184938,EOD exit,56.95,0.5705,511.5089514066497,28838.618925831208,2.8838618925831208,2019,2,62.1,0.05,2.9130434782608705,69.69309462915602,2019-02-11 14:45:00,0,,,,,0.0,2.8838618925831208,5.9171287727146265,7.8232183908045965,-1.90608961808997
2019-02-15,Friday,2019-02-21,6,10800,C,54.55,09:15:00,73.0,0.05,2019-02-21,15:25:00,42.43346007604562,EOD exit,54.5,0.5459999999999999,1084.010840108401,58486.72086720867,5.848672086720868,2019,2,55.85,0.05,5.907859078590786,146.34146341463415,2019-02-15 09:15:00,11350,1.2,0.2,-1.0,-1084.010840108401,-0.1084010840108401,5.7402710027100285,11.657399775424654,11.657399775424654,0.0
2019-02-15,Friday,2019-02-21,6,10750,P,120.9,13:35:00,157.2,157.2,2019-02-19,15:05:00,37.35108619481432,SL hit,-36.29999999999998,2.781,550.964187327824,-21532.23140495868,-2.153223140495868,2019,2,158.85,55.95,3.578512396694217,74.03581267217635,2019-02-15 13:35:00,0,,,,,0.0,-2.153223140495868,9.504176634928786,11.657399775424654,-2.153223140495868
2019-02-20,Wednesday,2019-02-21,1,10650,P,29.8,14:25:00,59.35,0.05,2019-02-21,15:25:00,47.140522875817,EOD exit,29.75,0.2985,676.818950930626,19933.33333333333,1.9933333333333327,2019,2,31.2,0.05,2.0135363790186123,90.10152284263958,2019-02-20 14:25:00,0,,,,,0.0,1.9933333333333327,11.497509968262118,11.657399775424654,-0.15988980716253565
2019-02-22,Friday,2019-02-28,6,10800,C,73.35,10:15:00,77.65,77.65,2019-02-22,14:15:00,40.404797601199405,SL hit,-4.300000000000011,1.51,1851.851851851852,-10759.25925925928,-1.0759259259259282,2019,2,79.5,63.8,1.7685185185185182,250.0,2019-02-22 10:15:00,11100,3.8,3.35,-0.44999999999999973,-833.3333333333329,-0.08333333333333329,-1.1592592592592614,10.338250709002857,11.657399775424654,-1.3191490664217973
2019-02-22,Friday,2019-02-28,6,10750,P,52.45,11:55:00,64.9,64.9,2019-02-26,09:55:00,38.8235294117647,SL hit,-12.450000000000005,1.1735000000000002,1606.4257028112447,-21885.140562249,-2.1885140562249,2019,2,90.0,14.35,6.120481927710843,215.86345381526095,2019-02-22 11:55:00,10450,8.7,12.4,3.700000000000001,5943.775100401607,0.5943775100401607,-1.5941365461847392,8.744114162818118,11.657399775424654,-2.9132856126065363
