,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
0,2019-01-25,Friday,2019-01-31,6,10900,C,49.85,14:05:00,108.95,0.05,2019-01-31,15:25:00,0,EOD exit,49.800000000000004,0.499,507.61421319796955,25025.888324873096,2.5025888324873096,2019,1,52.9,0.05,2.5279187817258886,69.16243654822335,2019-01-25 14:05:00
303,2019-02-12,Tuesday,2019-02-14,2,10850,P,24.15,11:25:00,38.6,38.6,2019-02-12,14:35:00,0,SL hit,-14.450000000000003,0.6275000000000001,1843.3179723502303,-27792.6267281106,-2.77926267281106,2019,2,44.0,20.35,0.7004608294930871,250.0,2019-02-12 11:25:00
1,2019-02-12,Tuesday,2019-02-14,2,10900,C,34.0,14:35:00,62.1,0.05,2019-02-14,15:25:00,0,EOD exit,33.95,0.34049999999999997,1067.6156583629893,35882.02846975089,3.5882028469750886,2019,2,39.7,0.05,3.6245551601423487,145.46263345195726,2019-02-12 14:35:00
2,2019-02-18,Monday,2019-02-21,3,10750,C,41.05,11:05:00,72.9,35.0,2019-02-21,15:25:00,0,EOD exit,6.049999999999997,0.7605,941.9152276295131,4982.260596546306,0.49822605965463057,2019,2,56.75,5.8,3.320251177394033,126.56985871271583,2019-02-18 11:05:00
304,2019-02-25,Monday,2019-02-28,3,10800,P,46.4,09:15:00,53.95,53.95,2019-02-25,09:25:00,0,SL hit,-7.550000000000004,1.0035,1851.851851851852,-15839.814814814825,-1.5839814814814823,2019,2,55.3,46.4,0.0,250.0,2019-02-25 09:15:00
305,2019-02-25,Monday,2019-02-28,3,10800,P,42.35,12:05:00,60.65,60.65,2019-02-26,09:15:00,0,SL hit,-18.299999999999997,1.03,1639.3442622950822,-31688.524590163935,-3.1688524590163936,2019,2,76.85,22.35,3.278688524590164,221.3114754098361,2019-02-25 12:05:00
3,2019-02-26,Tuesday,2019-02-28,2,10800,C,58.7,09:35:00,86.25,86.25,2019-02-26,11:45:00,0,SL hit,-27.549999999999997,1.4495,1088.9292196007261,-31578.402903811253,-3.1578402903811256,2019,2,89.15,42.2,1.796733212341198,147.00544464609803,2019-02-26 09:35:00
306,2019-03-01,Friday,2019-03-07,6,10800,P,48.3,14:25:00,68.65,0.05,2019-03-07,15:25:00,0,EOD exit,48.25,0.48349999999999993,1474.2014742014735,70417.44471744468,7.041744471744468,2019,3,55.0,0.05,7.113022113022109,199.01719901719892,2019-03-01 14:25:00
4,2019-03-05,Tuesday,2019-03-07,2,10900,C,33.9,09:15:00,52.8,52.8,2019-03-05,11:55:00,0,SL hit,-18.9,0.8669999999999999,1587.3015873015875,-31376.190476190477,-3.1376190476190473,2019,3,54.65,29.0,0.7777777777777777,216.26984126984127,2019-03-05 09:15:00
307,2019-03-11,Monday,2019-03-14,3,11050,P,37.15,09:15:00,67.15,0.05,2019-03-14,15:25:00,0,EOD exit,37.1,0.37199999999999994,999.9999999999998,36727.99999999999,3.672799999999999,2019,3,38.35,0.05,3.7099999999999995,138.125,2019-03-11 09:15:00
