entry date,entry time,index,strike,expiry,dte,option type,entry price,qty,exit date,exit time,exit price,points,slippage,final points,PnL,portfolio,index leverage,ROI%
2019-01-01,10:00:00,nifty,11150,2019-01-31,30,C,60.0,7200,2019-01-31,15:20:00,0.05,59.95,0.6005,59.349500000000006,427316.4,10000000,8,4.273164
2019-01-01,10:00:00,nifty,10500,2019-01-31,30,P,79.5,7650,2019-01-31,15:20:00,0.05,79.45,0.7955,78.6545,601706.925,10000000,8,6.0170692500000005
2019-02-01,10:00:00,nifty,11200,2019-02-28,27,C,54.85,7125,2019-02-19,15:12:00,4.0,50.85,0.5885,50.2615,358113.1875,10000000,8,3.581131875
2019-02-01,10:00:00,nifty,10600,2019-02-28,27,P,85.5,7575,2019-02-19,15:12:00,109.6,-24.099999999999994,1.951,-26.050999999999995,-197336.32499999995,10000000,8,-1.9733632499999996
2019-03-01,15:13:00,nifty,11150,2019-03-28,27,C,59.55,7200,2019-03-11,13:14:00,141.7,-82.14999999999999,2.0125,-84.1625,-605970.0,10000000,8,-6.0597
2019-03-01,15:13:00,nifty,10550,2019-03-28,27,P,70.5,7575,2019-03-11,13:14:00,14.2,56.3,0.8470000000000001,55.452999999999996,420056.475,10000000,8,4.20056475
2019-03-11,13:15:00,nifty,11350,2019-03-28,17,C,47.0,7050,2019-03-13,15:24:00,126.85,-79.85,1.7385,-81.5885,-575198.9249999999,10000000,8,-5.751989249999999
2019-03-11,13:15:00,nifty,10950,2019-03-28,17,P,53.05,7275,2019-03-13,15:24:00,26.1,26.949999999999996,0.7915000000000001,26.158499999999997,190303.08749999997,10000000,8,1.9030308749999996
2019-03-13,15:25:00,nifty,11500,2019-03-28,15,C,58.75,6975,2019-03-18,09:15:00,124.6,-65.85,1.8335,-67.6835,-472092.4125,10000000,8,-4.720924125
2019-03-13,15:25:00,nifty,11200,2019-03-28,15,P,60.0,7125,2019-03-18,09:15:00,24.3,35.7,0.843,34.857,248356.125,10000000,8,2.48356125
2019-04-01,09:16:00,nifty,11950,2019-04-25,24,C,70.0,6675,2019-04-25,15:20:00,0.05,69.95,0.7005,69.2495,462240.4125,10000000,8,4.622404125
2019-04-01,09:16:00,nifty,11400,2019-04-25,24,P,89.7,7050,2019-04-25,15:20:00,0.05,89.65,0.8975,88.75250000000001,625705.1250000001,10000000,8,6.257051250000002
2019-05-02,10:00:00,nifty,12050,2019-05-30,28,C,176.55,6675,2019-05-08,11:45:00,0.05,176.5,1.7660000000000002,174.734,1166349.45,10000000,8,11.6634945
2019-05-02,10:00:00,nifty,11400,2019-05-30,28,P,160.0,7050,2019-05-08,11:45:00,293.0,-133.0,4.53,-137.53,-969586.5,10000000,8,-9.695865
2019-05-08,11:46:00,nifty,11650,2019-05-30,22,C,230.15,6900,2019-05-13,15:10:00,115.0,115.15,3.4515,111.69850000000001,770719.65,10000000,8,7.7071965
2019-05-08,11:46:00,nifty,11150,2019-05-30,22,P,,0,2019-05-13,15:10:00,255.0,,,,,10000000,8,
2019-05-13,15:11:00,nifty,11350,2019-05-30,17,C,221.0,7050,2019-05-17,12:45:00,293.0,-72.0,5.14,-77.14,-543837.0,10000000,8,-5.43837
2019-05-13,15:11:00,nifty,10950,2019-05-30,17,P,,0,2019-05-17,12:45:00,150.0,,,,,10000000,8,
2019-06-03,12:46:00,nifty,12250,2019-06-27,24,C,60.8,6525,2019-06-18,14:52:00,2.7,58.099999999999994,0.635,57.464999999999996,374959.125,10000000,8,3.74959125
2019-06-03,12:46:00,nifty,11650,2019-06-27,24,P,66.2,6900,2019-06-18,14:52:00,93.0,-26.799999999999997,1.5919999999999999,-28.391999999999996,-195904.79999999996,10000000,8,-1.9590479999999997
2019-07-01,14:53:00,nifty,12100,2019-07-25,24,C,84.0,6600,2019-07-08,14:17:00,9.75,74.25,0.9375,73.3125,483862.5,10000000,8,4.838625
2019-07-01,14:53:00,nifty,11550,2019-07-25,24,P,64.5,6900,2019-07-08,14:17:00,128.9,-64.4,1.9340000000000002,-66.334,-457704.60000000003,10000000,8,-4.577046
