,date,day,expiry,DTE,trade_num,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,ROC on Entry,Opt RSI on Entry,Spot RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Cumulative ROI%,Max Cumulative ROI%,DD,is_win
698,2019-01-25,Friday,2019-01-31,6,1,10900,P,60.0,09:15:00,78.0,78.0,2019-01-25,13:15:00,-31.506849315068493,0.0,64.57345971563981,SL hit,-18.0,1.3800000000000001,6422.018348623853,-124458.71559633026,-1.2445871559633026,2019,1,84.0,52.9,0.4559633027522937,100.0,2019-01-25 09:15:00,-1.2445871559633026,-1.2445871559633026,0.0,False
0,2019-01-25,Friday,2019-01-31,6,1,10950,C,64.55,10:15:00,78.95,0.05,2019-01-31,15:15:00,-30.430107526881716,74.78510028653295,74.10666666666681,EOD exit,64.5,0.6459999999999999,6392.6940639269405,408199.0867579909,4.081990867579909,2019,1,68.95,0.05,4.123287671232877,100.0,2019-01-25 10:15:00,2.8374037116166058,2.8374037116166058,0.0,True
699,2019-01-25,Friday,2019-01-31,6,2,10850,P,62.8,13:15:00,63.05,63.05,2019-01-25,13:45:00,-7.7149155033063925,93.6320754716981,62.5791594703516,SL hit,-0.25,1.2585,6451.612903225807,-9732.258064516129,-0.09732258064516128,2019,1,93.35,56.85,0.38387096774193524,100.0,2019-01-25 13:15:00,2.7400811309714443,2.8374037116166058,-0.09732258064516142,False
700,2019-01-30,Wednesday,2019-01-31,1,3,10650,P,35.55,09:15:00,35.95,35.95,2019-01-30,09:45:00,-30.88092933204259,2.274795268425848,23.11864406779685,SL hit,-0.4000000000000057,0.715,6572.769953051643,-7328.638497652618,-0.07328638497652618,2019,1,38.05,27.35,0.5389671361502344,100.0,2019-01-30 09:15:00,2.666794745994918,2.8374037116166058,-0.1706089656216876,False
701,2019-01-30,Wednesday,2019-01-31,1,4,10650,P,45.4,11:15:00,69.4,69.4,2019-01-30,14:45:00,-23.47024308466052,60.74856046065259,31.21464226289531,SL hit,-24.000000000000007,1.1480000000000001,6572.769953051643,-165292.01877934276,-1.6529201877934279,2019,1,69.5,20.45,1.639906103286385,100.0,2019-01-30 11:15:00,1.0138745582014903,2.8374037116166058,-1.8235291534151155,False
702,2019-01-31,Thursday,2019-01-31,0,5,10700,P,14.35,10:15:00,38.9,0.05,2019-01-31,15:15:00,-84.12784398699891,13.097345132743357,79.64001180289094,EOD exit,14.299999999999999,0.14400000000000002,6542.056074766355,92609.34579439252,0.9260934579439252,2019,1,17.5,0.05,0.9355140186915887,100.0,2019-01-31 10:15:00,1.9399680161454156,2.8374037116166058,-0.8974356954711902,True
1,2019-02-13,Wednesday,2019-02-14,1,1,10900,C,26.8,09:15:00,39.7,0.05,2019-02-14,15:15:00,-46.3855421686747,20.34700315457414,19.010096035459497,EOD exit,26.75,0.2685,6422.018348623853,170064.67889908256,1.7006467889908254,2019,2,30.0,0.05,1.7178899082568806,100.0,2019-02-13 09:15:00,3.640614805136241,3.640614805136241,0.0,True
703,2019-02-13,Wednesday,2019-02-14,1,1,10850,P,30.3,10:15:00,39.15,39.15,2019-02-13,13:15:00,-35.73667711598746,32.89689034369886,33.887822563446065,SL hit,-8.849999999999998,0.6945,6451.612903225807,-61577.4193548387,-0.6157741935483869,2019,2,43.6,22.6,0.49677419354838703,100.0,2019-02-13 10:15:00,3.0248406115878543,3.640614805136241,-0.6157741935483867,False
704,2019-02-13,Wednesday,2019-02-14,1,2,10850,P,27.3,13:45:00,46.4,46.4,2019-02-13,14:45:00,-16.257668711656443,47.299509001636665,25.15056612864349,SL hit,-19.099999999999998,0.737,6451.612903225807,-127980.6451612903,-1.279806451612903,2019,2,60.75,27.05,0.016129032258064516,100.0,2019-02-13 13:45:00,1.7450341599749513,3.640614805136241,-1.8955806451612898,False
705,2019-02-14,Thursday,2019-02-14,0,3,10750,P,6.0,13:45:00,32.5,0.55,2019-02-14,15:15:00,-52.263374485596714,36.65283540802213,53.91419725785069,EOD exit,5.45,0.0655,6511.627906976744,35061.86046511628,0.35061860465116285,2019,2,14.4,0.1,0.38418604651162797,100.0,2019-02-14 13:45:00,2.0956527646261143,3.640614805136241,-1.5449620405101268,True
2,2019-02-18,Monday,2019-02-21,3,1,10700,C,71.3,09:15:00,113.65,76.3,2019-02-21,15:15:00,-41.04694640631491,46.439393939393945,46.75038554747742,EOD exit,-5.0,1.476,6542.056074766355,-42366.35514018691,-0.4236635514018691,2019,2,104.25,13.6,3.774766355140186,100.0,2019-02-18 09:15:00,1.671989213224245,3.640614805136241,-1.968625591911996,False
706,2019-02-19,Tuesday,2019-02-21,2,1,10650,P,52.0,09:15:00,72.75,72.75,2019-02-19,14:45:00,-18.196078431372552,41.6223404255319,43.37733272644515,SL hit,-20.75,1.2475,6572.769953051643,-144584.5070422535,-1.4458450704225352,2019,2,85.0,21.65,1.9948356807511736,100.0,2019-02-19 09:15:00,0.2261441428017099,3.640614805136241,-3.414470662334531,False
707,2019-02-20,Wednesday,2019-02-21,1,2,10650,P,35.15,11:45:00,59.35,0.05,2019-02-21,15:15:00,-35.811423390752495,86.38743455497382,77.0635500365225,EOD exit,35.1,0.352,6572.769953051643,228390.61032863852,2.283906103286385,2019,2,41.75,0.05,2.307042253521127,100.0,2019-02-20 11:45:00,2.5100502460880953,3.640614805136241,-1.1305645590481457,True
708,2019-02-22,Friday,2019-02-28,6,1,10750,P,48.5,09:45:00,64.9,64.9,2019-02-26,09:45:00,-60.92184368737475,39.863013698630134,75.89918613809404,SL hit,-16.400000000000006,1.1340000000000001,6511.627906976744,-114174.88372093027,-1.1417488372093025,2019,2,90.0,14.35,2.2237209302325582,100.0,2019-02-22 09:45:00,1.3683014088787928,3.640614805136241,-2.272313396257448,False
3,2019-02-25,Monday,2019-02-28,3,1,10850,C,44.75,10:45:00,54.95,54.95,2019-02-25,13:45:00,-16.037735849056602,37.28813559322035,50.69938650306758,SL hit,-10.200000000000003,0.997,6451.612903225807,-72238.70967741938,-0.7223870967741938,2019,2,56.95,41.2,0.22903225806451596,100.0,2019-02-25 10:45:00,0.645914312104599,3.640614805136241,-2.994700493031642,False
