Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
LONG,2018-01-17 09:15:00+05:30,26071.65,25810.933500000003,27201.486999999997,2018-01-25 13:15:00+05:30,27184.85,1113.199999999997,1107.874349999997,1262976.7589999966,TSL,1140,6,25.259535179999933,2018,1
LONG,2018-01-25 13:45:00+05:30,27411.25,27137.1375,27390.496,2018-01-30 09:15:00+05:30,27328.55,-82.70000000000073,-88.17398000000072,-95227.89840000078,TSL,1080,6,-1.9045579680000158,2018,1
LONG,2018-02-01 12:45:00+05:30,27464.8,27190.152,27391.355,2018-02-01 12:45:00+05:30,27181.05,-283.75,-289.214585,-312351.7518,Gap SL,1080,6,-6.247035036000001,2018,2
SHORT,2018-02-14 14:15:00+05:30,25472.65,25727.376500000002,25565.237999999998,2018-02-15 12:15:00+05:30,25566.85,-94.19999999999709,-99.30394999999709,-116185.62149999659,TSL,1170,6,-2.3237124299999317,2018,2
SHORT,2018-02-15 12:45:00+05:30,25486.85,25741.7185,24937.517999999996,2018-02-22 14:45:00+05:30,24974.3,512.5499999999993,507.5038849999993,593779.5454499992,TSL,1170,6,11.875590908999984,2018,2
SHORT,2018-03-01 13:15:00+05:30,25087.6,25338.476,24448.655999999995,2018-03-09 12:15:00+05:30,24473.95,613.6499999999978,608.6938449999979,730432.6139999974,TSL,1200,6,14.608652279999948,2018,3
LONG,2018-03-14 14:15:00+05:30,24830.45,24582.1455,24742.952,2018-03-16 11:15:00+05:30,24739.0,-91.45000000000073,-96.40694500000073,-115688.33400000088,TSL,1200,6,-2.3137666800000174,2018,3
SHORT,2018-03-21 12:45:00+05:30,24251.8,24494.318,24024.642999999996,2018-03-26 14:15:00+05:30,24105.45,146.34999999999854,141.51427499999855,174062.55824999823,TSL,1230,6,3.4812511649999647,2018,3
LONG,2018-04-03 09:15:00+05:30,24414.25,24170.1075,24353.256,2018-04-04 13:15:00+05:30,24170.1075,-244.14250000000175,-249.00093575000176,-306271.1509725022,ISL,1230,6,-6.125423019450044,2018,4
LONG,2018-04-05 09:45:00+05:30,24470.15,24225.448500000002,25039.013000000003,2018-04-12 09:15:00+05:30,25028.5,558.3499999999985,553.4001349999985,680682.1660499981,TSL,1230,6,13.613643320999962,2018,4
