,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2022-01-28 09:15:00+05:30,2022-01-28 13:45:00+05:30,Long,7493.15,7335.62,7329.990000000001,7465.1,Trailing SL Hit,-28.049999999999272,7.479125,-35.52912499999927,2451.5812699191138,-87102.53738661314,-0.8710253738661313,2022
1,1,1,2022-02-02 09:15:00+05:30,2022-02-04 09:15:00+05:30,Long,7703.05,7591.839999999999,7583.2699999999995,7583.2699999999995,Initial SL Hit,-119.78000000000065,7.64316,-127.42316000000065,3339.455668725979,-425523.9939889796,-4.255239939889796,2022
2,2,2,2022-02-15 14:45:00+05:30,2022-02-15 15:15:00+05:30,Long,7318.15,7213.85,7199.62,7310.3,Trailing SL Hit,-7.849999999999454,7.314225,-15.164224999999455,3374.6730785455234,-51174.30186450515,-0.5117430186450515,2022
3,3,3,2022-02-16 09:15:00+05:30,2022-02-16 14:15:00+05:30,Long,7357.1,7275.75,7268.579999999999,7315.1,Trailing SL Hit,-42.0,7.336100000000001,-49.3361,4518.752824220446,-222937.64121102236,-2.2293764121102235,2022
4,4,4,2022-02-28 14:45:00+05:30,2022-03-02 09:15:00+05:30,Long,7014.9,6958.719999999999,6932.76,6932.76,Initial SL Hit,-82.13999999999942,6.97383,-89.11382999999942,4869.734599464364,-433960.7012417826,-4.339607012417826,2022
5,5,5,2022-03-09 12:15:00+05:30,2022-03-22 09:45:00+05:30,Long,6806.2,6761.110000000001,6748.82,7052.1,Trailing SL Hit,245.90000000000055,6.92915,238.97085000000055,6971.0700592540825,1665882.5374695023,16.658825374695024,2022
6,6,6,2022-03-22 12:45:00+05:30,2022-03-28 09:45:00+05:30,Long,7111.1,7069.44,7042.960000000001,7148.9,Trailing SL Hit,37.79999999999927,7.13,30.669999999999273,5870.267097152971,180041.09186967733,1.8004109186967734,2022
7,7,7,2022-03-29 09:15:00+05:30,2022-04-12 09:15:00+05:30,Long,7252.2,7176.85,7171.19,7516.15,Trailing SL Hit,263.9499999999998,7.384174999999999,256.5658249999998,4937.662017034921,1266835.3289717275,12.668353289717276,2022
8,8,8,2022-05-17 09:15:00+05:30,2022-05-19 09:15:00+05:30,Long,6588.95,6541.7,6522.539999999999,6536.5,Trailing SL Hit,-52.44999999999982,6.562725,-59.01272499999982,6023.1892787230145,-355444.8125282285,-3.5544481252822853,2022
9,9,9,2022-05-20 09:15:00+05:30,2022-05-20 11:45:00+05:30,Long,6617.1,6491.45,6486.14,6598.2,Trailing SL Hit,-18.900000000000546,6.60765,-25.507650000000545,3054.367745876603,-77909.743433111,-0.7790974343311099,2022
