,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2018-01-04 13:15:00+05:30,2018-01-04 14:15:00+05:30,Long,33935.6,33884.39518518519,33831.33703703704,33915.0,Trailing SL Hit,-20.599999999998545,6.7850600000000005,-27.385059999998546,2877.3400589678154,-78796.13015523298,-0.7879613015523299,2018
1,1,1,2018-01-04 14:45:00+05:30,2018-01-12 12:15:00+05:30,Long,33969.66,33899.263703703706,33850.31444444444,34361.16,Trailing SL Hit,391.5,6.833082000000001,384.666918,2513.709024215242,966940.7030936646,9.669407030936647,2018
2,2,2,2018-01-12 14:15:00+05:30,2018-01-31 09:15:00+05:30,Long,34582.33,34525.375555555554,34470.12962962963,35996.8,Trailing SL Hit,1414.4700000000012,7.057913000000001,1407.412087000001,2673.7879653132914,3763121.5004570656,37.631215004570656,2018
3,3,3,2018-02-01 09:15:00+05:30,2018-02-01 11:45:00+05:30,Long,36109.63,36052.03259259259,35968.902962962966,35968.902962962966,Initial SL Hit,-140.72703703703155,7.207853296296296,-147.93489033332784,2131.786516055594,-315365.60446675133,-3.1536560446675135,2018
4,4,4,2018-02-01 13:15:00+05:30,2018-02-01 14:45:00+05:30,Long,36198.55,36051.13333333333,35929.36037037037,35929.36037037037,Initial SL Hit,-269.1896296296327,7.212791037037038,-276.40242066666974,1114.45600788098,-308038.33830481605,-3.08038338304816,2018
5,5,5,2018-02-15 09:45:00+05:30,2018-02-15 13:15:00+05:30,Long,34390.48,34304.474444444444,34229.72925925926,34338.74,Trailing SL Hit,-51.74000000000524,6.872922000000001,-58.61292200000524,1866.2433443080056,-109385.97557295406,-1.0938597557295406,2018
6,6,6,2018-02-16 09:15:00+05:30,2018-02-16 10:15:00+05:30,Long,34409.53,34369.90666666667,34289.37259259259,34321.78,Trailing SL Hit,-87.75,6.873131,-94.623131,2496.7249749556627,-236247.9343762014,-2.362479343762014,2018
7,7,7,2018-02-23 09:15:00+05:30,2018-02-28 09:15:00+05:30,Long,33918.01,33800.79851851852,33744.903333333335,34167.76,Trailing SL Hit,249.75,6.8085770000000005,242.941423,1733.0355079719643,421026.11241623684,4.210261124162368,2018
8,8,8,2018-03-12 09:15:00+05:30,2018-03-14 11:15:00+05:30,Long,33577.97,33355.52481481481,33286.18148148148,33632.95,Trailing SL Hit,54.979999999995925,6.7210920000000005,48.25890799999593,1028.14189373581,49617.00506073805,0.49617005060738045,2018
9,9,9,2018-03-21 09:45:00+05:30,2018-03-21 11:15:00+05:30,Long,33310.49,33071.55666666667,32987.26296296296,33269.85,Trailing SL Hit,-40.63999999999942,6.658034,-47.29803399999942,928.1401789591716,-43899.20574117645,-0.43899205741176445,2018
10,10,10,2018-03-26 14:15:00+05:30,2018-03-28 09:15:00+05:30,Long,32971.03,32733.60814814815,32637.24407407407,33018.32,Trailing SL Hit,47.29000000000087,6.598935000000001,40.691065000000876,898.7796569546638,36572.30144182071,0.3657230144182071,2018
