,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2018-01-03 09:45:00+05:30,2018-01-03 11:45:00+05:30,Long,25430.05,25347.55,25303.574999999997,25399.65,Trailing SL Hit,-30.399999999997817,5.0829699999999995,-35.48296999999782,247.0844040324132,-8767.288495749459,-0.7013830796599567,2018
1,1,1,2018-01-04 11:15:00+05:30,2018-01-10 09:15:00+05:30,Long,25411.4,25382.57083333333,25332.1375,25647.8,Trailing SL Hit,236.39999999999782,5.10592,231.29407999999782,394.2595805078027,91189.9069547373,7.295192556378983,2018
2,2,2,2018-01-11 12:15:00+05:30,2018-01-12 12:15:00+05:30,Long,25667.9,25619.95,25581.100000000002,25581.100000000002,Initial SL Hit,-86.79999999999927,5.1249,-91.92489999999927,360.0230414746574,-33095.082085253474,-2.647606566820278,2018
3,3,3,2018-01-12 14:15:00+05:30,2018-01-25 12:45:00+05:30,Long,25742.7,25713.708333333332,25664.8125,27266.9,Trailing SL Hit,1524.2000000000007,5.300960000000001,1518.8990400000007,401.2197079120489,609412.2291766917,48.75297833413534,2018
4,4,4,2018-01-25 14:45:00+05:30,2018-01-30 09:15:00+05:30,Long,27445.5,27392.6875,27285.554166666665,27328.55,Trailing SL Hit,-116.95000000000073,5.477405000000001,-122.42740500000073,195.37864381170502,-23919.7003542865,-1.9135760283429197,2018
5,5,5,2018-01-31 14:15:00+05:30,2018-02-01 12:15:00+05:30,Long,27396.9,27266.791666666668,27186.94583333333,27186.94583333333,Initial SL Hit,-209.95416666667006,5.458384583333333,-215.4125512500034,148.84200916866536,-32062.4369281986,-2.564994954255888,2018
6,6,6,2018-02-01 13:15:00+05:30,2018-02-01 14:15:00+05:30,Long,27555.95,27469.754166666666,27325.325,27325.325,Initial SL Hit,-230.625,5.4881275,-236.1131275,135.50135501355012,-31993.648712737122,-2.5594918970189697,2018
7,7,7,2018-02-07 09:45:00+05:30,2018-02-07 10:15:00+05:30,Long,25927.95,25585.445833333335,25463.954166666666,25828.1,Trailing SL Hit,-99.85000000000218,5.175605000000001,-105.02560500000219,67.34974272398266,-7073.447476180774,-0.565875798094462,2018
8,8,8,2018-02-08 10:15:00+05:30,2018-02-09 09:15:00+05:30,Long,25974.05,25799.029166666664,25679.8875,25421.2,Gap,-552.8499999999985,5.139525,-557.9895249999986,106.23379934560032,-59277.34723579668,-4.742187778863735,2018
9,9,9,2018-02-12 13:45:00+05:30,2018-02-14 09:15:00+05:30,Long,25676.1,25603.229166666668,25540.675000000003,25540.675000000003,Initial SL Hit,-135.42499999999563,5.1216775000000005,-140.54667749999564,230.75503045967145,-32431.85284751711,-2.594548227801369,2018
10,10,10,2018-02-15 12:15:00+05:30,2018-02-15 12:45:00+05:30,Long,25566.65,25530.208333333332,25435.395833333332,25486.85,Trailing SL Hit,-79.80000000000291,5.1053500000000005,-84.90535000000291,238.08767975619338,-20214.91778038821,-1.6171934224310567,2018
11,11,11,2018-02-20 12:15:00+05:30,2018-02-20 12:45:00+05:30,Long,25134.85,25054.3125,24971.325,25070.75,Trailing SL Hit,-64.09999999999854,5.02056,-69.12055999999855,191.10227793915558,-13209.096468429803,-1.0567277174743843,2018
12,12,12,2018-02-22 14:45:00+05:30,2018-02-27 13:45:00+05:30,Long,24972.35,24890.350000000002,24832.333333333332,25431.35,Trailing SL Hit,459.0,5.04037,453.95963,223.1877157481256,101318.21286156427,8.10545702892514,2018
13,13,13,2018-03-06 09:15:00+05:30,2018-03-06 10:15:00+05:30,Long,25001.05,24814.545833333337,24755.320833333335,24921.95,Trailing SL Hit,-79.09999999999854,4.9923,-84.09229999999854,127.17253073336285,-10694.230606188983,-0.8555384484951187,2018
14,14,14,2018-03-08 14:15:00+05:30,2018-03-09 13:45:00+05:30,Long,24391.0,24255.395833333332,24170.366666666665,24390.35,Trailing SL Hit,-0.6500000000014552,4.878135,-5.5281350000014555,141.63770962380914,-782.9923798914223,-0.06263939039131379,2018
15,15,15,2018-03-12 13:15:00+05:30,2018-03-13 13:45:00+05:30,Long,24484.3,24448.358333333334,24374.75833333333,24639.35,Trailing SL Hit,155.04999999999927,4.912364999999999,150.13763499999928,285.2795739824997,42831.20055153983,3.426496044123186,2018
