,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2018-01-03 09:45:00+05:30,2018-01-03 11:45:00+05:30,Long,25429.6,25347.55,25303.574999999997,25399.65,Trailing SL Hit,-29.94999999999709,5.082925,-35.03292499999709,19.837333862328673,-694.9598293988631,-0.2779839317595452,2018
1,1,1,2018-01-04 11:15:00+05:30,2018-01-10 09:15:00+05:30,Long,25411.3,25382.57083333333,25332.1375,25647.8,Trailing SL Hit,236.5,5.10591,231.39409,31.58060950576404,7307.56639823162,2.923026559292648,2018
2,2,2,2018-01-11 12:15:00+05:30,2018-01-12 12:15:00+05:30,Long,25665.85,25619.95,25581.100000000002,25581.100000000002,Initial SL Hit,-84.74999999999636,5.124695,-89.87469499999636,29.49852507374758,-2651.170943952809,-1.0604683775811234,2018
3,3,3,2018-01-12 14:15:00+05:30,2018-01-25 12:45:00+05:30,Long,25743.5,25713.708333333332,25664.8125,27266.9,Trailing SL Hit,1523.4000000000015,5.30104,1518.0989600000014,31.771247021445593,48231.897061159696,19.292758824463878,2018
4,4,4,2018-01-25 14:45:00+05:30,2018-01-30 09:15:00+05:30,Long,27449.4,27392.6875,27285.554166666665,27328.55,Trailing SL Hit,-120.85000000000218,5.477795,-126.32779500000218,15.25824581033971,-1927.5405487882372,-0.7710162195152949,2018
5,5,5,2018-01-31 14:15:00+05:30,2018-02-01 12:15:00+05:30,Long,27398.5,27266.791666666668,27186.94583333333,27186.94583333333,Initial SL Hit,-211.5541666666686,5.4585445833333335,-217.01271125000193,11.817304472849635,-2564.5052833198743,-1.0258021133279496,2018
6,6,6,2018-02-01 13:15:00+05:30,2018-02-01 14:15:00+05:30,Long,27555.5,27469.754166666666,27325.325,27325.325,Initial SL Hit,-230.17499999999927,5.4880825,-235.66308249999926,10.861301183881864,-2559.6077169544915,-1.0238430867817965,2018
7,7,7,2018-02-07 09:45:00+05:30,2018-02-07 10:15:00+05:30,Long,25927.7,25585.445833333335,25463.954166666666,25828.1,Trailing SL Hit,-99.60000000000218,5.175580000000001,-104.77558000000218,5.390884015130403,-564.8329993980285,-0.2259331997592114,2018
8,8,8,2018-02-08 10:15:00+05:30,2018-02-09 09:15:00+05:30,Long,25975.75,25799.029166666664,25679.8875,25421.2,Gap,-554.5499999999993,5.139695,-559.6896949999992,8.449871139465143,-4729.305800836542,-1.891722320334617,2018
9,9,9,2018-02-12 13:45:00+05:30,2018-02-14 09:15:00+05:30,Long,25675.25,25603.229166666668,25540.675000000003,25540.675000000003,Initial SL Hit,-134.5749999999971,5.1215925,-139.69659249999708,18.577001671930553,-2595.1438324354467,-1.0380575329741786,2018
10,10,10,2018-02-15 12:15:00+05:30,2018-02-15 12:45:00+05:30,Long,25566.85,25530.208333333332,25435.395833333332,25486.85,Trailing SL Hit,-80.0,5.10537,-85.10537,19.0180354369394,-1618.5369425338392,-0.6474147770135358,2018
11,11,11,2018-02-20 12:15:00+05:30,2018-02-20 12:45:00+05:30,Long,25135.7,25054.3125,24971.325,25070.75,Trailing SL Hit,-64.95000000000073,5.020645,-69.97064500000073,15.209125475285171,-1064.1923193916462,-0.42567692775665844,2018
12,12,12,2018-02-22 14:45:00+05:30,2018-02-27 13:45:00+05:30,Long,24974.3,24890.350000000002,24832.333333333332,25431.35,Trailing SL Hit,457.0499999999993,5.040565,452.00943499999926,17.609767551068266,7959.781081239687,3.183912432495875,2018
13,13,13,2018-03-06 09:15:00+05:30,2018-03-06 10:15:00+05:30,Long,25002.85,24814.545833333337,24755.320833333335,24921.95,Trailing SL Hit,-80.89999999999782,4.9924800000000005,-85.89247999999782,10.099819886545486,-867.4985776086884,-0.34699943104347536,2018
14,14,14,2018-03-08 14:15:00+05:30,2018-03-09 13:45:00+05:30,Long,24393.35,24255.395833333332,24170.366666666665,24390.35,Trailing SL Hit,-3.0,4.87837,-7.87837,11.211600269078394,-88.32913521189916,-0.03533165408475966,2018
15,15,15,2018-03-12 13:15:00+05:30,2018-03-13 13:45:00+05:30,Long,24484.55,24448.358333333334,24374.75833333333,24639.35,Trailing SL Hit,154.79999999999927,4.912389999999999,149.88760999999928,22.77039848197318,3413.000607210572,1.365200242884229,2018
16,16,16,2018-03-14 14:15:00+05:30,2018-03-15 15:15:00+05:30,Long,24830.45,24668.458333333332,24563.245833333334,24745.8,Trailing SL Hit,-84.65000000000146,4.957625,-89.60762500000146,9.356141527234177,-838.3816214193412,-0.3353526485677365,2018
17,17,17,2018-03-21 09:15:00+05:30,2018-03-21 11:45:00+05:30,Long,24358.85,24263.300000000003,24193.19166666667,24337.6,Trailing SL Hit,-21.25,4.869645,-26.119645,15.091302379395717,-394.1794607374714,-0.15767178429498854,2018
18,18,18,2018-03-26 12:45:00+05:30,2018-03-28 14:15:00+05:30,Long,23908.0,23770.804166666665,23707.170833333334,24248.45,Trailing SL Hit,340.4500000000007,4.815645,335.6343550000007,12.44839104545739,4178.107699329876,1.6712430797319504,2018
19,19,19,2018-04-02 13:15:00+05:30,2018-04-04 13:15:00+05:30,Long,24314.45,24263.704166666666,24174.729166666668,24174.729166666668,Initial SL Hit,-139.72083333333285,4.848917916666667,-144.5697512499995,17.89282199624257,-2586.7608251573083,-1.0347043300629233,2018
