,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2018-01-04 13:15:00+05:30,2018-01-12 12:15:00+05:30,Long,10484.85,10466.33382352941,10447.357352941177,10602.4,Trailing SL Hit,117.54999999999927,4.21745,113.33254999999927,66.67974112571112,7556.985095116663,3.022794038046665,2018
1,1,1,2018-01-12 14:15:00+05:30,2018-01-31 10:15:00+05:30,Long,10675.5,10648.760294117648,10631.263235294118,11031.3,Trailing SL Hit,355.7999999999993,4.34136,351.45863999999926,56.51407865430077,19862.361224693537,7.944944489877415,2018
2,2,2,2018-02-01 10:45:00+05:30,2018-02-01 11:45:00+05:30,Long,11091.95,11067.867647058823,11041.407352941176,11041.407352941176,Initial SL Hit,-50.542647058824514,4.426671470588236,-54.969318529412746,49.463179027611126,-2718.9572434461243,-1.0875828973784498,2018
3,3,3,2018-02-01 13:15:00+05:30,2018-02-01 14:15:00+05:30,Long,11095.45,11057.10588235294,11021.91911764706,11021.91911764706,Initial SL Hit,-73.53088235294126,4.423473823529412,-77.95435617647067,33.999320013599686,-2650.3951020979575,-1.0601580408391829,2018
4,4,4,2018-02-15 09:45:00+05:30,2018-02-15 13:15:00+05:30,Long,10572.3,10528.13088235294,10506.480882352942,10553.75,Trailing SL Hit,-18.549999999999272,4.22521,-22.775209999999273,37.98288535871573,-865.0681904506484,-0.34602727618025936,2018
5,5,5,2018-02-15 13:45:00+05:30,2018-02-15 14:15:00+05:30,Long,10566.5,10554.316176470587,10531.235294117647,10538.0,Trailing SL Hit,-28.5,4.2209,-32.7209,70.89241034195119,-2319.6634695579505,-0.9278653878231802,2018
6,6,6,2018-02-16 09:15:00+05:30,2018-02-16 10:15:00+05:30,Long,10583.95,10558.995588235293,10535.761764705883,10556.3,Trailing SL Hit,-27.650000000001455,4.2280500000000005,-31.878050000001455,51.879882812500185,-1653.829498291097,-0.6615317993164388,2018
7,7,7,2018-02-23 09:45:00+05:30,2018-02-28 09:15:00+05:30,Long,10415.9,10387.447058823529,10365.166176470588,10494.2,Trailing SL Hit,78.30000000000109,4.18202,74.1179800000011,49.276790631612386,3652.296182498088,1.460918472999235,2018
8,8,8,2018-03-12 09:15:00+05:30,2018-03-14 12:15:00+05:30,Long,10316.5,10235.85882352941,10211.283823529413,10351.95,Trailing SL Hit,35.45000000000073,4.1336900000000005,31.316310000000726,23.76060491704781,744.0944693698108,0.2976377877479243,2018
9,9,9,2018-03-26 14:45:00+05:30,2018-03-28 09:45:00+05:30,Long,10135.3,10054.333823529412,10025.995588235293,10114.2,Trailing SL Hit,-21.099999999998545,4.0499,-25.149899999998546,22.87190388418743,-575.2260954968922,-0.23009043819875685,2018
