Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
0,250000,2018-01-03,25429.6,25399.65,-29.94999999999709,19.837333862328677,5.082925,-694.9598293988632,-0.2779839317595453,BNF
1,250000,2018-01-04,25411.3,25478.4,67.10000000000218,31.58060950576404,1.021182,2086.809347860521,0.8347237391442084,BNF
1,250000,2018-01-05,25478.4,25619.9,141.5,31.58060950576404,1.021182,4436.406695089297,1.7745626780357187,BNF
1,250000,2018-01-08,25619.9,25670.0,50.099999999998545,31.58060950576404,1.021182,1549.9389862624173,0.6199755945049669,BNF
1,250000,2018-01-09,25670.0,25688.0,18.0,31.58060950576404,1.021182,536.2014211274376,0.21448056845097502,BNF
1,250000,2018-01-10,25688.0,25647.8,-40.20000000000073,31.58060950576404,1.021182,-1301.7900521080526,-0.520716020843221,BNF
2,250000,2018-01-11,25665.85,25658.4,-7.44999999999709,29.49852507374758,2.5623475,-295.349483775738,-0.1181397935102952,BNF
2,250000,2018-01-12,25658.4,25565.0,-93.40000000000146,29.49852507374758,2.5623475,-2830.7477138644713,-1.1322990855457886,BNF
3,250000,2018-01-12,25743.5,25721.9,-21.599999999998545,31.771247021445596,0.530104,-703.1010007942351,-0.28124040031769404,BNF
3,250000,2018-01-15,25721.9,26053.45,331.5499999999993,31.771247021445596,0.530104,10516.914884829208,4.206765953931683,BNF
3,250000,2018-01-16,26053.45,25969.4,-84.04999999999927,31.771247021445596,0.530104,-2687.2153772835354,-1.074886150913414,BNF
3,250000,2018-01-17,25969.4,26330.35,360.9499999999971,31.771247021445596,0.530104,11450.98954725964,4.580395818903856,BNF
3,250000,2018-01-18,26330.35,26561.4,231.0500000000029,31.771247021445596,0.530104,7323.904559174041,2.9295618236696166,BNF
3,250000,2018-01-19,26561.4,26893.6,332.1999999999971,31.771247021445596,0.530104,10537.566195393078,4.215026478157231,BNF
3,250000,2018-01-22,26893.6,27034.5,140.90000000000146,31.771247021445596,0.530104,4459.7266401906745,1.7838906560762697,BNF
3,250000,2018-01-23,27034.5,27382.6,348.09999999999854,31.771247021445596,0.530104,11042.72902303411,4.417091609213644,BNF
3,250000,2018-01-24,27382.6,27418.2,35.60000000000218,31.771247021445596,0.530104,1114.2143288324762,0.44568573153299046,BNF
3,250000,2018-01-25,27418.2,27266.9,-151.29999999999927,31.771247021445596,0.530104,-4823.831739475751,-1.9295326957903005,BNF
4,250000,2018-01-25,27449.4,27381.4,-68.0,15.25824581033971,1.8259316666666667,-1065.4212293059836,-0.4261684917223934,BNF
4,250000,2018-01-29,27381.4,27475.2,93.79999999999927,15.25824581033971,1.8259316666666667,1403.3629428069705,0.5613451771227882,BNF
4,250000,2018-01-30,27475.2,27328.55,-146.65000000000146,15.25824581033971,1.8259316666666667,-2265.482262289224,-0.9061929049156895,BNF
5,250000,2018-01-31,27398.5,27392.65,-5.849999999998545,11.817304472849637,2.7292722916666667,-101.38387282609027,-0.04055354913043611,BNF
5,250000,2018-02-01,27392.65,27173.6,-219.0500000000029,11.817304472849637,2.7292722916666667,-2620.833186437684,-1.0483332745750735,BNF
6,250000,2018-02-01,27555.5,27369.75,-185.75,10.861301183881864,5.4880825,-2077.0944118605476,-0.830837764744219,BNF
7,250000,2018-02-07,25927.7,25828.1,-99.60000000000218,5.390884015130403,5.175580000000001,-564.8329993980285,-0.2259331997592114,BNF
8,250000,2018-02-08,25975.75,25929.05,-46.70000000000073,8.449871139465143,2.5698475,-416.323862436105,-0.166529544974442,BNF
8,250000,2018-02-09,25929.05,25517.25,-411.7999999999993,8.449871139465143,2.5698475,-3501.3718154548164,-1.4005487261819267,BNF
9,250000,2018-02-12,25675.25,25723.55,48.29999999999927,18.577001671930557,2.56079625,849.6972645365088,0.3398789058146035,BNF
9,250000,2018-02-14,25723.55,25559.85,-163.70000000000073,18.577001671930557,2.56079625,-3088.6270899127694,-1.2354508359651077,BNF
10,250000,2018-02-15,25566.85,25486.85,-80.0,19.0180354369394,5.10537,-1618.5369425338392,-0.6474147770135358,BNF
