,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Max Qty,RPT Qty,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
0,2017-01-06 11:15:00,LONG,2017-01-06,12:15:00,18295.95,18086.65,18884.809999999998,2017-01-11 14:15:00,18808.55,512.5999999999985,3.7104500000000002,508.88954999999856,832034.4142499977,TSL Hit,1635,477.7830864787403,1635,3,8.320344142499977,2017,1,0.0
1,2017-01-12 10:15:00,LONG,2017-01-12,11:15:00,18888.05,18703.8,19121.517272727277,2017-01-16 15:15:00,19110.65,222.60000000000218,3.79987,218.80013000000218,347892.2067000035,TSL Hit,1590,542.7408412483039,1590,3,3.478922067000035,2017,1,0.0
2,2017-01-17 12:15:00,LONG,2017-01-17,13:15:00,19083.05,18981.85,19213.857272727273,2017-01-18 12:15:00,19186.65,103.60000000000218,3.8269699999999998,99.77303000000218,157142.52225000344,TSL Hit,1575,988.1422924901115,1575,3,1.5714252225000342,2017,1,0.0
3,2017-01-24 12:15:00,LONG,2017-01-24,13:15:00,19002.35,18767.9,19728.102727272737,2017-01-27 11:15:00,19714.55,712.2000000000007,3.8716899999999996,708.3283100000008,1115617.0882500012,TSL Hit,1575,426.53017701002875,1575,3,11.156170882500012,2017,1,0.0
4,2017-01-27 12:15:00,LONG,2017-01-27,13:15:00,19729.2,19276.35,19548.205454545452,2017-01-31 09:15:00,19535.7,-193.5,3.9264900000000003,-197.42649,-299101.13235,TSL Hit,1515,220.82367229766925,1515,3,-2.9910113235000004,2017,1,-2.9910113235000004
5,2017-02-02 11:15:00,LONG,2017-02-02,12:15:00,20005.65,19748.25,20418.052727272727,2017-02-06 11:15:00,20416.65,411.0,4.042230000000001,406.95777,610436.655,TSL Hit,1500,388.5003885003863,1500,3,6.10436655,2017,2,0.0
6,2017-02-17 10:15:00,LONG,2017-02-17,11:15:00,20707.2,20210.25,20681.415454545444,2017-02-21 10:15:00,20648.65,-58.54999999999927,4.135585000000001,-62.68558499999927,-91207.52617499894,TSL Hit,1455,201.22748767481608,1455,3,-0.9120752617499894,2017,2,-0.9120752617499903
7,2017-02-22 10:15:00,LONG,2017-02-22,11:15:00,20944.65,20652.3,20652.3,2017-02-27 14:15:00,20652.3,-292.3500000000022,4.159695,-296.5096950000022,-422526.3153750031,Initial SL hit,1425,342.0557550880768,1425,3,-4.2252631537500305,2017,2,-5.137338415500022
8,2017-03-01 13:15:00,LONG,2017-03-01,14:15:00,20791.1,20581.9,20581.9,2017-03-02 14:15:00,20581.9,-209.1999999999971,4.1373,-213.3372999999971,-307205.7119999958,Initial SL Hit,1440,478.01147227534125,1440,3,-3.072057119999958,2017,3,-8.20939553549998
9,2017-03-06 13:15:00,LONG,2017-03-06,14:15:00,20627.1,20462.1,20624.76909090909,2017-03-08 10:15:00,20595.5,-31.599999999998545,4.12226,-35.72225999999854,-51975.88829999788,TSL Hit,1455,606.060606060606,1455,3,-0.5197588829999789,2017,3,-8.72915441849996
10,2017-03-09 13:15:00,LONG,2017-03-09,14:15:00,20697.8,20605.85,20751.88,2017-03-10 11:15:00,20729.9,32.10000000000218,4.14277,27.957230000002184,40677.769650003174,TSL Hit,1455,1087.5475802066255,1455,3,0.4067776965000317,2017,3,-8.322376721999927
11,2017-03-14 10:15:00,LONG,2017-03-14,11:15:00,21180.85,20653.5,21167.57090909091,2017-03-14 12:15:00,21145.7,-35.14999999999782,4.232655,-39.38265499999782,-55529.543549996924,TSL Hit,1410,189.62738219398935,1410,3,-0.5552954354999693,2017,3,-8.877672157499894
12,2017-03-14 15:15:00,LONG,2017-03-15,09:15:00,21116.2,21062.0,21266.412727272727,2017-03-16 14:15:00,21246.6,130.39999999999782,4.236280000000001,126.16371999999782,179783.3009999969,TSL Hit,1425,1845.0184501844772,1425,3,1.797833009999969,2017,3,-7.079839147499925
13,2017-03-24 09:15:00,LONG,2017-03-24,10:15:00,21124.85,20776.45,21140.657272727287,2017-03-24 12:15:00,21118.6,-6.25,4.224345,-10.474345,-14925.941625,TSL Hit,1425,287.0264064293933,1425,3,-0.14925941625,2017,3,-7.229098563749925
14,2017-03-29 11:15:00,LONG,2017-03-29,12:15:00,21383.65,21181.3,21383.11727272727,2017-03-29 13:15:00,21375.35,-8.30000000000291,4.2759,-12.57590000000291,-17732.019000004104,TSL Hit,1410,494.1932295527498,1410,3,-0.17732019000004104,2017,3,-7.406418753749968
15,2017-03-29 14:15:00,LONG,2017-03-29,15:15:00,21396.95,21256.95,21626.12,2017-04-11 11:15:00,21624.0,227.04999999999927,4.302095,222.74790499999926,310733.32747499895,TSL Hit,1395,714.2857142857143,1395,3,3.1073332747499895,2017,3,-4.299085478999977
16,2017-04-11 12:15:00,LONG,2017-04-11,13:15:00,21655.35,21483.0,21901.44727272727,2017-04-18 12:15:00,21845.75,190.40000000000146,4.35011,186.04989000000145,256748.84820000202,TSL Hit,1380,580.2146794313945,1380,3,2.5674884820000203,2017,4,-1.7315969969999578
17,2017-04-24 10:15:00,LONG,2017-04-24,11:15:00,21737.15,21390.25,22311.05909090909,2017-04-27 15:15:00,22264.05,526.8999999999978,4.40012,522.4998799999978,721049.834399997,TSL Hit,1380,288.2675122513681,1380,3,7.21049834399997,2017,4,0.0
18,2017-05-02 11:15:00,LONG,2017-05-02,12:15:00,22334.05,22242.25,22242.25,2017-05-03 12:15:00,22242.25,-91.79999999999927,4.457630000000001,-96.25762999999927,-129947.80049999901,Initial SL Hit,1350,1089.324618736392,1350,3,-1.29947800499999,2017,5,-1.2994780049999903
19,2017-05-04 12:15:00,LONG,2017-05-04,13:15:00,22648.1,22268.25,22803.30272727272,2017-05-08 13:15:00,22802.1,154.0,4.54502,149.45498,197280.5736,TSL Hit,1320,263.2618138738986,1320,3,1.972805736,2017,5,0.0
20,2017-05-10 11:15:00,LONG,2017-05-10,12:15:00,22836.95,22694.95,22694.95,2017-05-12 11:15:00,22694.95,-142.0,4.553190000000001,-146.55319,-193450.2108,Initial SL Hit,1320,704.2253521126761,1320,3,-1.934502108,2017,5,-1.9345021080000002
21,2017-05-16 11:15:00,LONG,2017-05-16,12:15:00,22834.45,22729.85,22729.85,2017-05-18 10:15:00,22729.85,-104.60000000000218,4.556430000000001,-109.15643000000219,-144086.4876000029,Initial SL Hit,1320,956.0229445506493,1320,3,-1.4408648760000289,2017,5,-3.3753669840000278
