,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Max Qty,RPT Qty,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
0,2022-01-25 11:30:00,LONG,2022-01-25,11:45:00,7316.75,7254.75,7304.426,2022-01-25 12:30:00,7294.1,-22.649999999999636,1.4610850000000002,-24.111084999999637,-197831.45242499703,TSL Hit,8205,1612.9032258064517,8205,6,-1.9783145242499702,2022,1,0.0
1,2022-01-25 12:45:00,LONG,2022-01-25,13:00:00,7295.5,7276.95,7333.245384615383,2022-01-27 09:15:00,7276.95,-18.550000000000182,1.4572450000000001,-20.007245000000182,-164459.5539000015,Initial SL hit,8220,5390.835579514772,8220,6,-1.644595539000015,2022,1,-1.644595539000015
2,2022-01-27 14:15:00,LONG,2022-01-27,14:30:00,7332.85,7280.85,7565.909230769231,2022-01-28 11:15:00,7558.3,225.44999999999982,1.4891150000000002,223.96088499999982,1830880.2348749985,TSL Hit,8175,1923.076923076923,8175,6,18.308802348749982,2022,1,0.0
3,2022-01-28 11:30:00,LONG,2022-01-28,11:45:00,7569.4,7543.8,7543.8,2022-01-28 13:15:00,7543.8,-25.599999999999454,1.5113200000000002,-27.111319999999456,-214721.6543999957,Initial SL Hit,7920,3906.250000000083,7920,6,-2.147216543999957,2022,1,-2.1472165439999564
4,2022-02-01 09:45:00,LONG,2022-02-01,10:00:00,7563.65,7528.15,7573.089538461541,2022-02-01 11:15:00,7556.0,-7.649999999999636,1.511965,-9.161964999999636,-72700.19227499711,TSL Hit,7935,2816.9014084507044,7935,6,-0.7270019227499711,2022,2,-2.8742184667499266
5,2022-02-01 11:30:00,LONG,2022-02-01,11:45:00,7556.45,7509.95,7509.95,2022-02-01 13:00:00,7509.95,-46.5,1.50664,-48.00664,-380932.6884,Initial SL Hit,7935,2150.537634408602,7935,6,-3.809326884,2022,2,-6.683545350749927
6,2022-02-01 15:00:00,LONG,2022-02-01,15:15:00,7601.65,7570.85,7698.216153846154,2022-02-02 11:00:00,7695.1,93.45000000000073,1.5296750000000001,91.92032500000073,725251.3642500058,TSL Hit,7890,3246.7532467533233,7890,6,7.252513642500058,2022,2,0.0
7,2022-02-02 11:15:00,LONG,2022-02-02,11:30:00,7702.75,7682.6,7682.6,2022-02-02 12:15:00,7682.6,-20.149999999999636,1.5385350000000002,-21.688534999999636,-168845.24497499716,Initial SL Hit,7785,4962.779156327633,7785,6,-1.6884524497499716,2022,2,-1.6884524497499722
8,2022-02-02 12:45:00,LONG,2022-02-02,13:00:00,7684.95,7675.7,7675.7,2022-02-02 14:00:00,7675.7,-9.25,1.536065,-10.786065,-84131.307,Initial SL Hit,7800,10810.81081081081,7800,6,-0.84131307,2022,2,-2.529765519749972
9,2022-02-02 14:30:00,LONG,2022-02-02,14:45:00,7686.5,7662.15,7662.15,2022-02-03 09:15:00,7662.15,-24.350000000000364,1.5348650000000001,-25.884865000000364,-201901.94700000284,Initial SL Hit,7800,4106.776180698091,7800,6,-2.0190194700000283,2022,2,-4.548784989750001
10,2022-02-08 14:45:00,LONG,2022-02-08,15:00:00,7403.15,7363.8,7436.855384615379,2022-02-09 10:15:00,7436.15,33.0,1.48393,31.51607,255280.167,TSL Hit,8100,2541.2960609911406,8100,6,2.55280167,2022,2,-1.9959833197499997
11,2022-02-09 10:30:00,LONG,2022-02-09,10:45:00,7447.9,7428.65,7502.352769230767,2022-02-09 12:45:00,7498.75,50.850000000000364,1.4946650000000001,49.355335000000366,397557.22342500294,TSL Hit,8055,5194.805194805195,8055,6,3.9755722342500293,2022,2,0.0
12,2022-02-09 13:00:00,LONG,2022-02-09,13:15:00,7503.25,7479.55,7479.55,2022-02-10 09:45:00,7479.55,-23.699999999999818,1.49828,-25.19827999999982,-201460.24859999857,Initial SL Hit,7995,4219.409282700454,7995,6,-2.0146024859999856,2022,2,-2.014602485999985
13,2022-02-10 10:30:00,LONG,2022-02-10,10:45:00,7525.8,7465.85,7556.04076923077,2022-02-10 13:00:00,7551.85,26.050000000000182,1.5077650000000002,24.542235000000183,195847.03530000147,TSL Hit,7980,1668.0567139282787,7980,6,1.9584703530000147,2022,2,-0.05613213299997
14,2022-02-15 11:45:00,LONG,2022-02-15,12:00:00,7142.75,7079.45,7359.396615384619,2022-02-16 09:45:00,7347.6,204.85000000000036,1.449035,203.40096500000035,1708568.106000003,TSL Hit,8400,1579.7788309636605,8400,6,17.08568106000003,2022,2,0.0
15,2022-02-16 11:00:00,LONG,2022-02-16,11:15:00,7325.9,7304.95,7304.95,2022-02-16 14:30:00,7304.95,-20.949999999999818,1.463085,-22.413084999999818,-183563.16614999852,Initial SL Hit,8190,4773.269689737512,8190,6,-1.835631661499985,2022,2,-1.8356316614999884
16,2022-02-21 13:00:00,LONG,2022-02-21,13:15:00,7216.65,7187.25,7187.25,2022-02-21 13:30:00,7187.25,-29.399999999999636,1.44039,-30.840389999999637,-256283.64089999697,Initial SL hit,8310,3401.360544217729,8310,6,-2.56283640899997,2022,2,-4.398468070499959
17,2022-02-23 09:45:00,LONG,2022-02-23,10:00:00,7181.75,7139.85,7139.85,2022-02-23 10:30:00,7139.85,-41.899999999999636,1.43216,-43.33215999999964,-362040.196799997,Initial SL hit,8355,2386.634844868756,8355,6,-3.62040196799997,2022,2,-8.01887003849993
18,2022-02-23 10:45:00,LONG,2022-02-23,11:00:00,7146.15,7134.85,7134.85,2022-02-23 12:30:00,7134.85,-11.299999999999272,1.4281000000000001,-12.728099999999273,-106916.0399999939,Initial SL Hit,8400,8849.557522124464,8400,6,-1.069160399999939,2022,2,-9.088030438499871
19,2022-02-23 12:45:00,LONG,2022-02-23,13:00:00,7141.95,7124.95,7124.95,2022-02-23 13:45:00,7124.95,-17.0,1.42669,-18.42669,-154784.196,Initial SL Hit,8400,5882.35294117647,8400,6,-1.54784196,2022,2,-10.63587239849987
20,2022-02-25 10:00:00,LONG,2022-02-25,10:15:00,6965.55,6900.55,6955.575076923075,2022-02-25 11:30:00,6952.55,-13.0,1.3918100000000002,-14.39181,-123913.4841,TSL Hit,8610,1538.4615384615386,8610,6,-1.239134841,2022,2,-11.875007239499869
21,2022-02-25 12:45:00,LONG,2022-02-25,13:00:00,6932.15,6888.25,6899.900461538463,2022-02-28 09:15:00,6874.9,-57.25,1.380705,-58.630705,-507448.751775,Gap Open Outside ISL,8655,2277.9043280182423,8655,6,-5.074487517750001,2022,2,-16.94949475724987
22,2022-02-28 10:45:00,LONG,2022-02-28,11:00:00,6925.2,6851.4,7001.572769230771,2022-03-02 09:15:00,7001.5,76.30000000000018,1.39267,74.90733000000019,649446.5511000017,TSL Hit,8670,1355.013550135498,8670,6,6.4944655110000165,2022,2,-10.455029246249854
23,2022-03-02 10:00:00,LONG,2022-03-02,10:15:00,6981.15,6954.75,6954.75,2022-03-02 12:30:00,6954.75,-26.399999999999636,1.39359,-27.793589999999636,-238885.90604999688,Initial SL Hit,8595,3787.8787878788403,8595,6,-2.3888590604999687,2022,3,-12.843888306749822
24,2022-03-03 10:00:00,LONG,2022-03-03,10:15:00,7001.0,6983.85,6987.239692307688,2022-03-03 10:45:00,6983.85,-17.149999999999636,1.3984850000000002,-18.548484999999637,-158867.77402499688,Initial SL hit,8565,5830.903790087587,8565,6,-1.5886777402499688,2022,3,-14.432566046999792
25,2022-03-08 12:00:00,LONG,2022-03-08,12:15:00,6558.45,6527.6,6527.6,2022-03-08 12:30:00,6527.6,-30.849999999999454,1.308605,-32.158604999999454,-294251.235749995,Initial SL Hit,9150,3241.4910858995713,9150,6,-2.94251235749995,2022,3,-17.375078404499742
26,2022-03-08 13:00:00,LONG,2022-03-08,13:15:00,6532.15,6495.75,6495.75,2022-03-08 13:15:00,6495.75,-36.399999999999636,1.3027900000000001,-37.70278999999964,-346111.61219999666,Initial SL Hit,9180,2747.2527472527745,9180,6,-3.4611161219999667,2022,3,-20.83619452649971
27,2022-03-08 13:30:00,LONG,2022-03-08,13:45:00,6544.4,6487.3,6760.006153846155,2022-03-09 11:00:00,6747.05,202.65000000000055,1.3291450000000002,201.32085500000053,1845105.636075005,TSL Hit,9165,1751.313485113852,9165,6,18.451056360750048,2022,3,-2.385138165749659
28,2022-03-09 11:15:00,LONG,2022-03-09,11:30:00,6750.75,6735.3,7005.696615384612,2022-03-10 11:00:00,7002.8,252.05000000000018,1.3753549999999999,250.67464500000017,2229750.9672750016,TSL Hit,8895,6472.4919093851895,8895,6,22.297509672750017,2022,3,0.0
29,2022-03-10 11:30:00,LONG,2022-03-10,11:45:00,6997.1,6982.5,6982.5,2022-03-10 12:00:00,6982.5,-14.600000000000364,1.39796,-15.997960000000363,-137262.4968000031,Initial SL Hit,8580,6849.31506849298,8580,6,-1.372624968000031,2022,3,-1.3726249680000322
