Day,Time,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%
2019-07-05,11:05:00,11950,2019-07-11,6,CE,101.85,112.035,20.0,2019-07-05 15:30:00,104.6,18.5,81.85,1171.5481171548117,95891.21338912133,2.437,93036.15062761506,200.0,9.303615062761507
2019-07-05,11:05:00,11950,2019-07-11,6,PE,87.8,96.58,96.58,2019-07-05 11:25:00,170.4,77.0,-8.780000000000001,1171.5481171548117,-10286.192468619249,3.6875999999999998,-14606.393305439331,200.0,-1.4606393305439331
2020-02-01,11:05:00,11950,2020-02-06,5,CE,160.1,176.11,16.75,2020-02-01 15:29:00,174.3,14.3,143.35,1171.5481171548117,167941.42259414226,3.537,163797.6569037657,200.0,16.37976569037657
2020-02-01,11:05:00,11950,2020-02-06,5,PE,132.85,146.13500000000002,146.13500000000002,2020-02-01 11:26:00,343.15,119.35,-13.285000000000025,1171.5481171548117,-15564.016736401703,5.579700000000001,-22100.903765690407,200.0,-2.2100903765690405
2021-02-01,11:05:00,13750,2021-02-04,3,CE,208.3,229.13000000000002,229.13000000000002,2021-02-01 11:20:00,615.15,196.5,-20.830000000000013,960.1536245799322,-20000.0,8.748600000000001,-28399.999999999996,188.60160482820098,-2.8399999999999994
2021-02-01,11:05:00,13750,2021-02-04,3,PE,198.4,218.24000000000004,12.0,2021-02-01 15:29:00,198.75,12.0,186.4,1008.0645161290306,187903.22580645132,4.208,183661.29032258035,198.01267281105956,18.366129032258034
2022-02-01,11:05:00,17550,2022-02-03,2,CE,245.05,269.555,160.0,2022-02-01 15:30:00,258.8,57.15,85.05000000000001,797.7207977207977,67846.15384615386,8.101,61383.817663817674,200.0,6.138381766381768
2022-02-01,11:05:00,17550,2022-02-03,2,PE,210.05,231.05500000000004,231.05500000000004,2022-02-01 11:27:00,379.75,106.25,-21.005000000000024,797.7207977207977,-16756.125356125376,8.8221,-23793.698005698025,200.0,-2.3793698005698025
2023-02-01,11:05:00,17800,2023-02-02,1,CE,156.3,171.93000000000004,171.93000000000004,2023-02-01 12:32:00,215.9,11.8,-15.630000000000024,786.5168539325842,-12293.258426966311,6.5646,-17456.42696629215,200.0,-1.7456426966292151
2023-02-01,11:05:00,17800,2023-02-02,1,PE,95.95,105.54500000000002,105.54500000000002,2023-02-01 11:11:00,420.0,26.3,-9.595000000000013,786.5168539325842,-7546.6292134831565,4.0299000000000005,-10716.213483146079,200.0,-1.071621348314608
2024-02-01,11:05:00,21800,2024-02-01,0,CE,98.05,107.855,0.05,2024-02-01 15:30:00,97.85,0.05,98.0,642.2018348623853,62935.779816513765,1.962,61675.779816513765,200.0,6.167577981651377
2024-02-01,11:05:00,21800,2024-02-01,0,PE,98.2,108.02000000000001,108.02000000000001,2024-02-01 11:06:00,207.0,71.0,-9.820000000000007,642.2018348623853,-6306.422018348629,4.1244000000000005,-8955.119266055051,200.0,-0.8955119266055052
2024-07-23,11:05:00,24550,2024-07-25,2,CE,201.6,221.76000000000002,71.1,2024-07-23 15:30:00,220.0,37.9,130.5,570.264765784114,74419.55193482689,5.454,71309.32790224033,200.0,7.1309327902240325
2024-07-23,11:05:00,24550,2024-07-25,2,PE,232.35,255.585,255.585,2024-07-23 11:17:00,519.5,116.4,-23.235000000000014,570.264765784114,-13250.101832993898,9.758700000000001,-18815.144602851335,200.0,-1.8815144602851335
