Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2019-01-01,11000,2019-01-03,2,CE,,,,,,,,,,,,,,2019
2019-01-01,10750,2019-01-03,2,PE,,,,,,,,,,,,,,2019
2019-01-02,11000,2019-01-03,1,CE,,,,,,,,,,,,,,2019
2019-01-02,10750,2019-01-03,1,PE,,,,,,,,,,,,,,2019
2019-01-03,10900,2019-01-03,0,CE,,,,,,,,,,,,,,2019
2019-01-03,10700,2019-01-03,0,PE,,,,,,,,,,,,,,2019
2019-01-04,10800,2019-01-10,6,CE,,,,,,,,,,,,,,2019
2019-01-04,10600,2019-01-10,6,PE,,,,,,,,,,,,,,2019
2019-01-07,10900,2019-01-10,3,CE,,,,,,,,,,,,,,2019
2019-01-07,10700,2019-01-10,3,PE,,,,,,,,,,,,,,2019
2019-01-08,10900,2019-01-10,2,CE,,,,,,,,,,,,,,2019
2019-01-08,10700,2019-01-10,2,PE,,,,,,,,,,,,,,2019
2019-01-09,10950,2019-01-10,1,CE,,,,,,,,,,,,,,2019
2019-01-09,10750,2019-01-10,1,PE,,,,,,,,,,,,,,2019
2019-01-10,10950,2019-01-10,0,CE,,,,,,,,,,,,,,2019
2019-01-10,10750,2019-01-10,0,PE,,,,,,,,,,,,,,2019
2019-01-11,10950,2019-01-17,6,CE,,,,,,,,,,,,,,2019
2019-01-11,10750,2019-01-17,6,PE,,,,,,,,,,,,,,2019
2019-01-14,10900,2019-01-17,3,CE,,,,,,,,,,,,,,2019
2019-01-14,10700,2019-01-17,3,PE,,,,,,,,,,,,,,2019
2019-01-15,10900,2019-01-17,2,CE,,,,,,,,,,,,,,2019
2019-01-15,10650,2019-01-17,2,PE,,,,,,,,,,,,,,2019
2019-01-16,11000,2019-01-17,1,CE,,,,,,,,,,,,,,2019
2019-01-16,10800,2019-01-17,1,PE,,,,,,,,,,,,,,2019
2019-01-17,11050,2019-01-17,0,CE,,,,,,,,,,,,,,2019
2019-01-17,10800,2019-01-17,0,PE,,,,,,,,,,,,,,2019
2019-01-18,11000,2019-01-24,6,CE,,,,,,,,,,,,,,2019
2019-01-18,10800,2019-01-24,6,PE,,,,,,,,,,,,,,2019
2019-01-21,11050,2019-01-24,3,CE,,,,,,,,,,,,,,2019
2019-01-21,10800,2019-01-24,3,PE,,,,,,,,,,,,,,2019
2019-01-22,11050,2019-01-24,2,CE,,,,,,,,,,,,,,2019
2019-01-22,10850,2019-01-24,2,PE,,,,,,,,,,,,,,2019
2019-01-23,11050,2019-01-24,1,CE,,,,,,,,,,,,,,2019
2019-01-23,10800,2019-01-24,1,PE,,,,,,,,,,,,,,2019
2019-01-24,10950,2019-01-24,0,CE,,,,,,,,,,,,,,2019
2019-01-24,10750,2019-01-24,0,PE,,,,,,,,,,,,,,2019
2019-01-25,10950,2019-01-31,6,CE,66.45,86.385,22.1,2019-01-25 15:30:00,75.8,22.1,44.35,1003.260596940055,44494.60747429144,0.8855000000000002,43606.220215701025,137.32129420617002,4.360622021570102,2019
2019-01-25,10750,2019-01-31,6,PE,25.3,32.89,32.89,2019-01-25 13:38:00,81.6,20.25,-7.59,1860.4651162790697,-14120.93023255814,0.5819,-15203.534883720928,250.0,-1.5203534883720928,2019
2019-01-28,10900,2019-01-31,3,CE,32.4,42.12,13.85,2019-01-28 15:30:00,40.25,11.8,18.549999999999997,1834.8623853211009,34036.69724770642,0.4625,33188.07339449541,250.0,3.318807339449541,2019
2019-01-28,10700,2019-01-31,3,PE,50.0,65.0,65.0,2019-01-28 09:37:00,108.45,36.45,-15.0,1333.3333333333333,-20000.0,1.1500000000000001,-21533.33333333333,178.33333333333331,-2.153333333333333,2019
2019-01-29,10750,2019-01-31,2,CE,31.3,40.690000000000005,40.690000000000005,2019-01-29 09:30:00,45.5,18.3,-9.390000000000004,1860.4651162790697,-17469.767441860473,0.7199000000000001,-18809.116279069774,250.0,-1.8809116279069775,2019
2019-01-29,10550,2019-01-31,2,PE,38.2,49.660000000000004,12.45,2019-01-29 15:29:00,47.05,11.9,25.750000000000004,1745.2006980802792,44938.917975567194,0.5065000000000001,44054.97382198954,230.14834205933684,4.405497382198954,2019
2019-01-30,10800,2019-01-31,1,CE,16.65,21.645,2.6,2019-01-30 15:30:00,19.2,2.6,14.049999999999999,1851.851851851852,26018.51851851852,0.1925,25662.037037037036,250.0,2.566203703703704,2019
2019-01-30,10600,2019-01-31,1,PE,16.05,20.865000000000002,20.865000000000002,2019-01-30 09:46:00,43.85,10.95,-4.815000000000001,1886.7924528301887,-9084.90566037736,0.3691500000000001,-9781.415094339625,250.0,-0.9781415094339625,2019
2019-01-31,10800,2019-01-31,0,CE,2.6,3.3800000000000003,3.3800000000000003,2019-01-31 11:24:00,39.3,0.45,-0.7800000000000002,1851.851851851852,-1444.444444444445,0.059800000000000006,-1555.1851851851857,250.0,-0.15551851851851856,2019
2019-01-31,10600,2019-01-31,0,PE,3.8,4.9399999999999995,0.05,2019-01-31 15:29:00,4.2,0.05,3.75,1886.7924528301887,7075.471698113208,0.0385,7002.830188679245,250.0,0.7002830188679244,2019
2019-02-01,10950,2019-02-07,6,CE,,,,,,,,,,,,,,2019
2019-02-01,10750,2019-02-07,6,PE,,,,,,,,,,,,,,2019
2019-02-04,11000,2019-02-07,3,CE,,,,,,,,,,,,,,2019
2019-02-04,10750,2019-02-07,3,PE,,,,,,,,,,,,,,2019
2019-02-05,11000,2019-02-07,2,CE,,,,,,,,,,,,,,2019
2019-02-05,10800,2019-02-07,2,PE,,,,,,,,,,,,,,2019
2019-02-06,11050,2019-02-07,1,CE,,,,,,,,,,,,,,2019
2019-02-06,10850,2019-02-07,1,PE,,,,,,,,,,,,,,2019
