Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
LONG,2017-01-03 10:15:00,18069.6,17888.904,2017-01-04 09:15:00,18024.15,-45.44999999999709,3.609375,1650,-49.05937499999709,-80947.9687499952,-0.809479687499952,0 days 23:00:00,MA Cross Opp,2017
SHORT,2017-01-04 09:15:00,18024.15,18204.3915,2017-01-05 12:15:00,18095.1,-70.94999999999709,3.6119250000000003,1650,-74.56192499999709,-123027.1762499952,-1.230271762499952,1 days 03:00:00,MA Cross Opp,2017
LONG,2017-01-05 12:15:00,18095.1,17914.148999999998,2017-01-09 15:15:00,18277.65,182.5500000000029,3.6372750000000003,1650,178.91272500000292,295205.9962500048,2.952059962500048,4 days 03:00:00,MA Cross Opp,2017
SHORT,2017-01-09 15:15:00,18277.65,18460.4265,2017-01-10 12:15:00,18352.8,-75.14999999999782,3.663045,1620,-78.81304499999781,-127677.13289999646,-1.2767713289999645,0 days 21:00:00,MA Cross Opp,2017
LONG,2017-01-10 12:15:00,18352.8,18169.272,2017-01-13 10:15:00,18803.2,450.40000000000146,3.7156000000000002,1620,446.68440000000146,723628.7280000023,7.236287280000023,2 days 22:00:00,MA Cross Opp,2017
SHORT,2017-01-13 10:15:00,18803.2,18991.232,2017-01-13 15:15:00,18925.7,-122.5,3.7728900000000003,1590,-126.27289,-200773.8951,-2.007738951,0 days 05:00:00,MA Cross Opp,2017
LONG,2017-01-13 15:15:00,18925.7,18736.443,2017-01-17 14:15:00,19051.75,126.04999999999927,3.797745,1560,122.25225499999927,190713.51779999887,1.9071351779999888,3 days 23:00:00,MA Cross Opp,2017
SHORT,2017-01-17 14:15:00,19051.75,19242.2675,2017-01-18 09:15:00,19079.7,-27.950000000000728,3.813145,1560,-31.763145000000726,-49550.50620000113,-0.49550506200001126,0 days 19:00:00,MA Cross Opp,2017
LONG,2017-01-18 09:15:00,19079.7,18888.903000000002,2017-01-19 09:15:00,19150.8,71.09999999999854,3.8230500000000003,1560,67.27694999999855,104952.04199999773,1.0495204199999772,1 days 00:00:00,MA Cross Opp,2017
SHORT,2017-01-19 09:15:00,19150.8,19342.308,2017-01-19 14:15:00,19150.75,0.049999999999272404,3.8301550000000004,1560,-3.780155000000728,-5897.041800001136,-0.058970418000011356,0 days 05:00:00,MA Cross Opp,2017
LONG,2017-01-19 14:15:00,19150.75,18959.2425,2017-01-20 09:15:00,18959.2425,-191.5074999999997,3.81099925,1560,-195.31849924999972,-304696.8588299996,-3.046968588299996,0 days 19:00:00,ISL Hit,2017
SHORT,2017-01-20 12:15:00,18981.45,19171.2645,2017-01-24 12:15:00,18977.75,3.7000000000007276,3.7959199999999997,1560,-0.09591999999927214,-149.63519999886455,-0.0014963519999886454,4 days 00:00:00,MA Cross Opp,2017
