,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
0,LONG,2021-12-01 11:45:00,36309.75,36128.20125,2021-12-01 12:30:00,36128.20125,-181.54875000000175,7.243795125,150,-188.79254512500174,-28318.88176875026,-2.831888176875026,0 days 00:45:00,ISL Hit,2021
1,LONG,2021-12-01 12:45:00,36247.9,36066.6605,2021-12-01 13:15:00,36180.15,-67.75,7.242805000000001,150,-74.992805,-11248.920750000001,-1.124892075,0 days 00:30:00,MA Cross Opp,2021
2,SHORT,2021-12-01 13:15:00,36180.15,36361.050749999995,2021-12-01 14:45:00,36339.05,-158.90000000000146,7.251920000000002,150,-166.15192000000147,-24922.78800000022,-2.492278800000022,0 days 01:30:00,MA Cross Opp,2021
3,LONG,2021-12-01 14:45:00,36339.05,36157.354750000006,2021-12-02 12:30:00,36261.85,-77.20000000000437,7.26009,150,-84.46009000000437,-12669.013500000656,-1.2669013500000654,0 days 21:45:00,MA Cross Opp,2021
4,SHORT,2021-12-02 12:30:00,36261.85,36443.15925,2021-12-02 14:15:00,36360.8,-98.95000000000437,7.262265,150,-106.21226500000436,-15931.839750000654,-1.5931839750000656,0 days 01:45:00,MA Cross Opp,2021
5,LONG,2021-12-02 14:15:00,36360.8,36178.996,2021-12-03 12:30:00,36548.1,187.29999999999563,7.29089,150,180.00910999999564,27001.366499999345,2.7001366499999344,0 days 22:15:00,MA Cross Opp,2021
6,SHORT,2021-12-03 12:30:00,36548.1,36730.84049999999,2021-12-06 10:45:00,36321.8,226.29999999999563,7.286989999999999,150,219.01300999999563,32851.95149999935,3.2851951499999346,2 days 22:15:00,MA Cross Opp,2021
7,LONG,2021-12-06 10:45:00,36321.8,36140.191000000006,2021-12-06 11:15:00,36140.191000000006,-181.60899999999674,7.246199100000001,150,-188.85519909999675,-28328.279864999513,-2.8328279864999515,0 days 00:30:00,ISL Hit,2021
8,SHORT,2021-12-06 12:15:00,36109.55,36290.09775,2021-12-07 09:30:00,36290.09775,-180.5477499999979,7.239964775000001,150,-187.7877147749979,-28168.157216249685,-2.8168157216249683,0 days 21:15:00,ISL Hit,2021
9,LONG,2021-12-07 09:45:00,36292.25,36110.78875,2021-12-08 09:30:00,36952.85,660.5999999999985,7.324510000000001,150,653.2754899999985,97991.32349999978,9.799132349999978,0 days 23:45:00,MA Cross Opp,2021
10,SHORT,2021-12-08 09:30:00,36952.85,37137.61424999999,2021-12-08 09:45:00,37120.35,-167.5,7.40732,150,-174.90732,-26236.097999999998,-2.6236098,0 days 00:15:00,MA Cross Opp,2021
11,LONG,2021-12-08 09:45:00,37120.35,36934.74825,2021-12-08 10:15:00,36934.74825,-185.60175000000163,7.405509825,120,-193.00725982500163,-23160.871179000194,-2.316087117900019,0 days 00:30:00,ISL Hit,2021
12,LONG,2021-12-08 10:30:00,37158.2,36972.409,2021-12-08 15:15:00,37262.9,104.70000000000437,7.442110000000001,120,97.25789000000437,11670.946800000524,1.1670946800000523,0 days 04:45:00,MA Cross Opp,2021
13,SHORT,2021-12-08 15:15:00,37262.9,37449.214499999995,2021-12-09 12:00:00,37018.95,243.95000000000437,7.428185000000001,120,236.52181500000435,28382.617800000524,2.8382617800000522,0 days 20:45:00,MA Cross Opp,2021
14,LONG,2021-12-09 12:00:00,37018.95,36833.85525,2021-12-09 14:15:00,37054.1,35.150000000001455,7.407304999999999,150,27.742695000001454,4161.404250000218,0.4161404250000218,0 days 02:15:00,MA Cross Opp,2021
15,SHORT,2021-12-09 14:15:00,37054.1,37239.3705,2021-12-10 14:30:00,36968.9,85.19999999999709,7.4023,120,77.79769999999709,9335.723999999651,0.9335723999999651,1 days 00:15:00,MA Cross Opp,2021
16,LONG,2021-12-10 14:30:00,36968.9,36784.0555,2021-12-13 11:45:00,37441.1,472.1999999999971,7.441000000000001,150,464.7589999999971,69713.84999999957,6.971384999999956,2 days 21:15:00,MA Cross Opp,2021
17,SHORT,2021-12-13 11:45:00,37441.1,37628.305499999995,2021-12-14 12:00:00,36862.6,578.5,7.43037,120,571.06963,68528.3556,6.852835559999999,1 days 00:15:00,MA Cross Opp,2021
18,LONG,2021-12-14 12:00:00,36862.6,36678.287,2021-12-14 14:30:00,36777.25,-85.34999999999854,7.363985000000001,150,-92.71398499999854,-13907.097749999783,-1.3907097749999784,0 days 02:30:00,MA Cross Opp,2021
19,SHORT,2021-12-14 14:30:00,36777.25,36961.136249999996,2021-12-15 09:15:00,36961.136249999996,-183.88624999999593,7.373838625,150,-191.26008862499592,-28689.013293749387,-2.868901329374939,0 days 18:45:00,ISL Hit,2021
20,LONG,2021-12-15 10:00:00,36934.65,36749.97675,2021-12-15 15:15:00,36784.4,-150.25,7.371905000000001,150,-157.621905,-23643.28575,-2.364328575,0 days 05:15:00,MA Cross Opp,2021
21,SHORT,2021-12-15 15:15:00,36784.4,36968.322,2021-12-16 09:15:00,37094.5,-310.09999999999854,7.38789,150,-317.4878899999986,-47623.18349999979,-4.762318349999979,0 days 18:00:00,Gap SL Hit,2021
22,SHORT,2021-12-16 09:30:00,36933.55,37118.217749999996,2021-12-16 10:15:00,36881.75,51.80000000000291,7.381530000000001,150,44.41847000000291,6662.770500000437,0.6662770500000437,0 days 00:45:00,MA Cross Opp,2021
23,LONG,2021-12-16 10:15:00,36881.75,36697.34125,2021-12-16 11:00:00,36856.75,-25.0,7.37385,150,-32.37385,-4856.077499999999,-0.4856077499999999,0 days 00:45:00,MA Cross Opp,2021
24,SHORT,2021-12-16 11:00:00,36856.75,37041.033749999995,2021-12-17 13:30:00,35924.1,932.6500000000015,7.278085000000001,150,925.3719150000014,138805.78725000023,13.880578725000023,1 days 02:30:00,MA Cross Opp,2021
