,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
0,LONG,2017-01-02 14:15:00,18027.8,17892.5915,2017-01-03 09:15:00,17892.5915,-135.20850000000064,3.59203915,720,-138.80053915000065,-99936.38818800046,-1.9987277637600092,0 days 19:00:00,ISL Hit,2017
1,LONG,2017-01-03 10:15:00,18069.45,17933.929125000002,2017-01-03 14:45:00,18053.95,-15.5,3.61234,720,-19.11234,-13760.8848,-0.275217696,0 days 04:30:00,MA Cross Opp,2017
2,SHORT,2017-01-03 14:45:00,18053.95,18189.354625000004,2017-01-05 10:30:00,18024.35,29.600000000002183,3.6078300000000003,720,25.992170000002183,18714.362400001573,0.37428724800003144,1 days 19:45:00,MA Cross Opp,2017
3,LONG,2017-01-05 10:30:00,18024.35,17889.167375,2017-01-09 13:30:00,18292.85,268.5,3.63172,720,264.86828,190705.16160000002,3.8141032320000003,4 days 03:00:00,MA Cross Opp,2017
4,SHORT,2017-01-09 13:30:00,18292.85,18430.046374999998,2017-01-09 13:45:00,18329.35,-36.5,3.66222,720,-40.16222,-28916.7984,-0.578335968,0 days 00:15:00,MA Cross Opp,2017
5,LONG,2017-01-09 13:45:00,18329.35,18191.879875,2017-01-09 15:15:00,18277.65,-51.69999999999709,3.6607000000000003,720,-55.36069999999709,-39859.7039999979,-0.7971940799999581,0 days 01:30:00,MA Cross Opp,2017
6,SHORT,2017-01-09 15:15:00,18277.65,18414.732375000003,2017-01-10 10:45:00,18340.75,-63.099999999998545,3.66184,720,-66.76183999999854,-48068.52479999895,-0.961370495999979,0 days 19:30:00,MA Cross Opp,2017
7,LONG,2017-01-10 10:45:00,18340.75,18203.194375,2017-01-12 12:30:00,18854.4,513.6500000000015,3.7195150000000003,720,509.93048500000145,367149.949200001,7.342998984000021,2 days 01:45:00,MA Cross Opp,2017
8,SHORT,2017-01-12 12:30:00,18854.4,18995.808,2017-01-12 12:45:00,18884.4,-30.0,3.7738800000000006,690,-33.77388,-23303.977199999998,-0.46607954399999996,0 days 00:15:00,MA Cross Opp,2017
9,LONG,2017-01-12 12:45:00,18884.4,18742.767000000003,2017-01-12 15:15:00,18870.7,-13.700000000000728,3.7755100000000006,690,-17.475510000000728,-12058.101900000502,-0.24116203800001002,0 days 02:30:00,MA Cross Opp,2017
10,SHORT,2017-01-12 15:15:00,18870.7,19012.23025,2017-01-13 09:15:00,18886.95,-16.25,3.7757650000000003,690,-20.025765,-13817.77785,-0.276355557,0 days 18:00:00,MA Cross Opp,2017
11,SHORT,2017-01-13 09:30:00,18853.75,18995.153125,2017-01-13 12:00:00,18895.3,-41.54999999999927,3.7749050000000004,690,-45.324904999999276,-31274.184449999502,-0.6254836889999901,0 days 02:30:00,MA Cross Opp,2017
12,LONG,2017-01-13 12:00:00,18895.3,18753.58525,2017-01-17 11:45:00,19062.6,167.29999999999927,3.7957899999999998,690,163.50420999999926,112817.90489999948,2.2563580979999895,3 days 23:45:00,MA Cross Opp,2017
13,SHORT,2017-01-17 11:45:00,19062.6,19205.5695,2017-01-18 09:15:00,19079.7,-17.100000000002183,3.8142300000000007,690,-20.914230000002185,-14430.818700001508,-0.28861637400003015,0 days 21:30:00,MA Cross Opp,2017
14,LONG,2017-01-18 09:15:00,19079.7,18936.60225,2017-01-18 13:30:00,19174.5,94.79999999999927,3.82542,690,90.97457999999928,62772.4601999995,1.25544920399999,0 days 04:15:00,MA Cross Opp,2017
