,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
0,2022-01-10 15:15:00,LONG,2022-01-11 09:15:00,7739.45,7688.369629999999,7688.369629999999,2022-01-18 10:15:00,7928.05,188.60000000000036,180.76625000000035,72306.50000000015,MACD Reversal,400,12,28.92260000000006,2022,1
1,2022-01-27 14:15:00,LONG,2022-01-27 15:15:00,7360.35,7311.77169,7556.214999999999,2022-02-03 14:15:00,7624.95,264.59999999999945,257.1073499999994,102842.93999999977,MACD Reversal,400,12,41.13717599999991,2022,1
2,2022-02-09 10:15:00,LONG,2022-02-09 11:15:00,7476.7,7427.3537799999995,7502.828125,2022-02-11 09:15:00,7439.55,-37.149999999999636,-44.60812499999964,-17843.249999999854,TSL Hit,400,12,-7.137299999999942,2022,2
3,2022-02-15 13:15:00,LONG,2022-02-15 14:15:00,7254.45,7206.570629999999,7206.570629999999,2022-02-17 14:15:00,7273.0,18.550000000000182,11.286275000000181,4514.510000000072,MACD Reversal,400,12,1.8058040000000288,2022,2
4,2022-02-23 10:15:00,LONG,2022-02-23 11:15:00,7165.2,7117.90968,7117.90968,2022-02-23 13:15:00,7117.90968,-47.290320000000065,-54.43187484000006,-21772.749936000026,Initial SL Hit,400,12,-8.70909997440001,2022,2
5,2022-02-25 13:15:00,LONG,2022-02-25 14:15:00,6938.85,6893.05359,6893.05359,2022-02-28 09:15:00,6886.0,-52.850000000000364,-59.76242500000036,-26893.091250000165,Gap Open Outside ISL,450,12,-10.757236500000065,2022,2
6,2022-02-28 09:15:00,LONG,2022-02-28 10:15:00,6886.0,6840.5524,6840.5524,2022-03-03 12:15:00,6949.75,63.75,56.832125,25574.45625,MACD Reversal,450,12,10.229782499999999,2022,2
7,2022-03-09 09:15:00,LONG,2022-03-09 10:15:00,6743.2,6698.694879999999,6835.253750000001,2022-03-14 11:15:00,6884.5,141.30000000000018,134.48615000000018,60518.76750000008,MACD Reversal,450,12,24.207507000000035,2022,3
8,2022-03-14 12:15:00,LONG,2022-03-14 13:15:00,6910.2,6864.59268,6864.59268,2022-03-15 15:15:00,6920.4,10.199999999999818,3.2846999999998188,1478.1149999999184,MACD Reversal,450,12,0.5912459999999673,2022,3
9,2022-03-16 09:15:00,LONG,2022-03-16 10:15:00,7045.4,6998.90036,6998.90036,2022-03-21 14:15:00,7132.7,87.30000000000018,80.21095000000018,36094.927500000085,MACD Reversal,450,12,14.437971000000033,2022,3
