Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,8166.55,8112.65077,8223.091250000001,2017-01-09 14:15:00,8235.2,68.65000000000055,65.36965000000055,9805.447500000082,MACD Reversal,150,5,3.9221790000000327,2017,1,0.0,NIFTY,1000000,500000.0,7.5,9805.447500000082,0.9805447500000082
2017-01-03 13:15:00,LONG,2017-01-03 14:15:00,7324.75,7266.152,7266.152,2017-01-03 15:15:00,7317.05,-7.699999999999818,-10.628359999999818,-1859.962999999968,MACD Reversal,175,5,-0.7439851999999872,2017,1,0.0,FINNIFTY,1000000,500000.0,8.75,-1859.9629999999681,-0.1859962999999968
2017-01-05 12:15:00,LONG,2017-01-05 13:15:00,7331.1,7272.4512,7538.6469230769235,2017-01-19 15:15:00,7624.05,292.9499999999998,289.9589699999998,50742.819749999966,MACD Reversal,175,5,20.297127899999985,2017,1,0.0,FINNIFTY,1000000,500000.0,8.75,50742.819749999966,5.074281974999997
2017-01-10 12:15:00,LONG,2017-01-10 13:15:00,8274.9,8220.28566,8410.596249999999,2017-01-20 10:15:00,8407.6,132.70000000000073,129.36350000000073,19404.52500000011,TSL Hit,150,5,7.761810000000044,2017,1,0.0,NIFTY,1000000,500000.0,7.5,19404.52500000011,1.9404525000000112
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,8411.9,8356.381459999999,8356.381459999999,2017-01-20 11:15:00,8413.1,1.2000000000007276,-2.1649999999992726,-324.7499999998909,MACD Reversal,150,5,-0.1298999999999563,2017,1,-0.1298999999999566,NIFTY,1000000,500000.0,7.5,-324.7499999998909,-0.032474999999989096
2017-01-24 09:15:00,LONG,2017-01-24 10:15:00,8434.35,8378.683289999999,8528.711249999998,2017-01-31 11:15:00,8561.7,127.35000000000036,123.95079000000035,18592.61850000005,MACD Reversal,150,5,7.437047400000021,2017,1,0.0,NIFTY,1000000,500000.0,7.5,18592.61850000005,1.8592618500000053
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,7595.25,7534.488,8067.249230769232,2017-02-08 13:15:00,8178.65,583.3999999999996,580.2452199999997,101542.91349999994,MACD Reversal,175,5,40.617165399999976,2017,1,0.0,FINNIFTY,1000000,500000.0,8.75,101542.91349999994,10.154291349999994
2017-02-01 13:15:00,LONG,2017-02-01 14:15:00,8692.8,8635.42752,8755.213749999999,2017-02-09 10:15:00,8742.1,49.30000000000109,45.81302000000109,6871.953000000163,TSL Hit,150,5,2.748781200000065,2017,2,0.0,NIFTY,1000000,500000.0,7.5,6871.953000000163,0.6871953000000164
2017-02-09 14:15:00,LONG,2017-02-09 15:15:00,8782.0,8724.0388,8780.695,2017-02-13 11:15:00,8770.25,-11.75,-15.26045,-2289.0675,TSL Hit,150,5,-0.915627,2017,2,-0.9156270000000006,NIFTY,1000000,500000.0,7.5,-2289.0675,-0.22890675
2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8745.694919999998,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-6489.5355,TSL Hit,150,5,-2.5958142,2017,2,-3.5114412,NIFTY,1000000,500000.0,7.5,-6489.5355,-0.6489535500000001
2017-02-14 15:15:00,LONG,2017-02-15 09:15:00,8168.85,8103.4992,8165.169230769231,2017-02-15 10:15:00,8161.55,-7.300000000000182,-10.566080000000182,-1584.912000000027,TSL Hit,150,5,-0.6339648000000109,2017,2,-0.6339648000000082,FINNIFTY,1000000,500000.0,7.5,-1584.9120000000273,-0.15849120000000272
