,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
0,2017-01-03 13:15:00,LONG,2017-01-03 14:15:00,7324.75,7266.152,7266.152,2017-01-03 15:15:00,7317.05,-7.699999999999818,-10.628359999999818,-72538.55699999875,MACD Reversal,6825,5,-0.7253855699999875,2017,1
1,2017-01-05 12:15:00,LONG,2017-01-05 13:15:00,7331.1,7272.4512,7538.6469230769235,2017-01-19 15:15:00,7624.05,292.9499999999998,289.9589699999998,1978969.9702499986,MACD Reversal,6825,5,19.789699702499984,2017,1
2,2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,7595.25,7534.488,8067.249230769232,2017-02-08 13:15:00,8178.65,583.3999999999996,580.2452199999997,3815112.3214999977,MACD Reversal,6575,5,38.15112321499998,2017,1
3,2017-02-14 15:15:00,LONG,2017-02-15 09:15:00,8168.85,8103.4992,8165.169230769231,2017-02-15 10:15:00,8161.55,-7.300000000000182,-10.566080000000182,-64717.24000000112,TSL Hit,6125,5,-0.6471724000000112,2017,2
4,2017-02-16 12:15:00,LONG,2017-02-16 13:15:00,8177.4,8111.980799999999,8261.872307692307,2017-02-27 09:15:00,8326.05,148.64999999999964,145.34930999999963,890264.5237499977,MACD Reversal,6125,5,8.902645237499977,2017,2
5,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8373.55,8306.561599999999,8338.82923076923,2017-03-02 14:15:00,8306.561599999999,-66.98840000000018,-70.32442232000018,-420188.4233620011,Initial SL hit,5975,5,-4.201884233620011,2017,3
6,2017-03-08 15:15:00,LONG,2017-03-09 09:15:00,8308.85,8242.3792,8309.073846153846,2017-03-10 13:15:00,8296.75,-12.100000000000364,-15.421120000000364,-92912.24800000219,TSL Hit,6025,5,-0.929122480000022,2017,3
7,2017-03-10 14:15:00,LONG,2017-03-10 15:15:00,8326.45,8259.8384,8454.196923076925,2017-03-21 11:15:00,8548.25,221.79999999999927,218.42505999999926,1310550.3599999957,MACD Reversal,6000,5,13.105503599999956,2017,3
8,2017-03-24 09:15:00,LONG,2017-03-24 10:15:00,8600.0,8531.2,8551.316923076925,2017-03-27 11:15:00,8542.7,-57.29999999999927,-60.72853999999927,-353743.74549999577,TSL Hit,5825,5,-3.5374374549999574,2017,3
9,2017-03-27 12:15:00,LONG,2017-03-27 13:15:00,8548.25,8479.864,8693.41923076923,2017-04-06 11:15:00,8775.4,227.14999999999964,223.68526999999963,1308558.829499998,MACD Reversal,5850,5,13.085588294999978,2017,3
10,2017-04-07 13:15:00,LONG,2017-04-07 14:15:00,8793.85,8723.4992,8729.570000000002,2017-04-07 14:15:00,8733.25,-60.600000000000364,-64.10542000000036,-363798.2585000021,MACD Reversal,5675,5,-3.6379825850000205,2017,4
11,2017-04-11 10:15:00,LONG,2017-04-11 11:15:00,8814.0,8743.488,8791.577692307692,2017-04-17 14:15:00,8802.45,-11.549999999999272,-15.073289999999272,-85540.92074999587,MACD Reversal,5675,5,-0.8554092074999587,2017,4
12,2017-04-20 12:15:00,LONG,2017-04-20 13:15:00,8827.15,8756.532799999999,8802.318461538462,2017-04-20 15:15:00,8804.15,-23.0,-26.52626,-150536.52550000002,MACD Reversal,5675,5,-1.505365255,2017,4
13,2017-04-24 09:15:00,LONG,2017-04-24 10:15:00,8907.75,8836.488,8925.088461538464,2017-04-28 11:15:00,9027.65,119.89999999999964,116.31291999999964,654260.174999998,MACD Reversal,5625,5,6.54260174999998,2017,4
14,2017-05-02 11:15:00,LONG,2017-05-02 12:15:00,9076.55,9003.9376,9133.23923076923,2017-05-09 14:15:00,9166.8,90.25,86.60133,476307.315,MACD Reversal,5500,5,4.76307315,2017,5
15,2017-05-10 09:15:00,LONG,2017-05-10 10:15:00,9249.9,9175.9008,9179.625384615385,2017-05-12 11:15:00,9215.85,-34.04999999999927,-37.743149999999275,-203813.00999999608,MACD Reversal,5400,5,-2.038130099999961,2017,5
16,2017-05-15 09:15:00,LONG,2017-05-15 10:15:00,9310.15,9235.6688,9259.734615384616,2017-05-18 10:15:00,9270.45,-39.69999999999891,-43.41611999999891,-233361.64499999414,MACD Reversal,5375,5,-2.3336164499999414,2017,5
17,2017-05-25 11:15:00,LONG,2017-05-25 12:15:00,9220.35,9146.5872,9565.522307692308,2017-06-14 10:15:00,9600.75,380.39999999999964,376.6357799999996,2043249.106499998,MACD Reversal,5425,5,20.43249106499998,2017,5
18,2017-06-16 12:15:00,LONG,2017-06-16 13:15:00,9618.6,9541.6512,9635.209230769231,2017-06-21 12:15:00,9666.0,47.399999999999636,43.543079999999634,226424.01599999808,MACD Reversal,5200,5,2.264240159999981,2017,6
19,2017-06-21 13:15:00,LONG,2017-06-21 14:15:00,9690.75,9613.224,9654.33076923077,2017-06-23 10:15:00,9665.9,-24.850000000000364,-28.721330000000364,-147914.84950000187,MACD Reversal,5150,5,-1.4791484950000187,2017,6
20,2017-07-04 11:15:00,LONG,2017-07-04 12:15:00,9529.25,9453.016,9548.522307692308,2017-07-07 12:15:00,9552.35,23.100000000000364,19.283680000000363,101239.3200000019,MACD Reversal,5250,5,1.0123932000000189,2017,7
