,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
0,2022-01-10 15:15:00,LONG,2022-01-11 09:15:00,7739.45,7688.369629999999,7688.369629999999,2022-01-18 10:15:00,7928.05,188.60000000000036,180.76625000000035,189804.56250000038,MACD Reversal,1050,8,18.98045625000004,2022,1,0.0
1,2022-01-27 14:15:00,LONG,2022-01-27 15:15:00,7360.35,7311.77169,7556.214999999999,2022-02-03 14:15:00,7624.95,264.59999999999945,257.1073499999994,282818.0849999994,MACD Reversal,1100,8,28.28180849999994,2022,1,0.0
2,2022-02-09 10:15:00,LONG,2022-02-09 11:15:00,7476.7,7427.3537799999995,7502.828125,2022-02-11 09:15:00,7439.55,-37.149999999999636,-44.60812499999964,-46838.53124999962,TSL Hit,1050,8,-4.683853124999962,2022,2,-4.683853124999963
3,2022-02-15 13:15:00,LONG,2022-02-15 14:15:00,7254.45,7206.570629999999,7206.570629999999,2022-02-17 14:15:00,7273.0,18.550000000000182,11.286275000000181,12414.902500000198,MACD Reversal,1100,8,1.2414902500000198,2022,2,-3.4423628749999438
4,2022-02-23 10:15:00,LONG,2022-02-23 11:15:00,7165.2,7117.90968,7117.90968,2022-02-23 13:15:00,7117.90968,-47.290320000000065,-54.43187484000006,-59875.06232400007,Initial SL Hit,1100,8,-5.987506232400007,2022,2,-9.429869107399952
5,2022-02-25 13:15:00,LONG,2022-02-25 14:15:00,6938.85,6893.05359,6893.05359,2022-02-28 09:15:00,6886.0,-52.850000000000364,-59.76242500000036,-68726.78875000041,Gap Open Outside ISL,1150,8,-6.872678875000042,2022,2,-16.302547982399993
6,2022-02-28 09:15:00,LONG,2022-02-28 10:15:00,6886.0,6840.5524,6840.5524,2022-03-03 12:15:00,6949.75,63.75,56.832125,65356.94375,MACD Reversal,1150,8,6.535694374999999,2022,2,-9.766853607399995
7,2022-03-09 09:15:00,LONG,2022-03-09 10:15:00,6743.2,6698.694879999999,6835.253750000001,2022-03-14 11:15:00,6884.5,141.30000000000018,134.48615000000018,161383.3800000002,MACD Reversal,1200,8,16.138338000000022,2022,3,0.0
8,2022-03-14 12:15:00,LONG,2022-03-14 13:15:00,6910.2,6864.59268,6864.59268,2022-03-15 15:15:00,6920.4,10.199999999999818,3.2846999999998188,3777.4049999997915,MACD Reversal,1150,8,0.37774049999997916,2022,3,0.0
9,2022-03-16 09:15:00,LONG,2022-03-16 10:15:00,7045.4,6998.90036,6998.90036,2022-03-21 14:15:00,7132.7,87.30000000000018,80.21095000000018,92242.5925000002,MACD Reversal,1150,8,9.22425925000002,2022,3,0.0
10,2022-03-23 11:15:00,LONG,2022-03-23 12:15:00,7199.9,7152.380659999999,7152.380659999999,2022-03-25 13:15:00,7191.45,-8.449999999999818,-15.645674999999818,-17210.2424999998,MACD Reversal,1100,8,-1.72102424999998,2022,3,-1.721024249999978
11,2022-03-25 15:15:00,LONG,2022-03-28 09:15:00,7224.3,7176.6196199999995,7176.6196199999995,2022-03-28 09:15:00,7176.6196199999995,-47.680380000000696,-54.880839810000694,-60368.923791000765,Initial SL hit,1100,8,-6.036892379100077,2022,3,-7.757916629100052
12,2022-03-29 13:15:00,LONG,2022-03-29 14:15:00,7207.65,7160.07951,7349.65875,2022-04-07 13:15:00,7554.05,346.40000000000055,339.01915000000054,372921.0650000006,MACD Reversal,1100,8,37.29210650000006,2022,3,0.0
13,2022-04-08 11:15:00,LONG,2022-04-08 12:15:00,7629.8,7579.443319999999,7579.443319999999,2022-04-12 09:15:00,7579.443319999999,-50.35668000000078,-57.96130166000078,-60859.36674300081,Initial SL hit,1050,8,-6.085936674300081,2022,4,-6.085936674300086
14,2022-04-19 10:15:00,LONG,2022-04-19 11:15:00,7467.55,7418.2641699999995,7418.2641699999995,2022-04-19 14:15:00,7418.2641699999995,-49.285830000000715,-56.728737085000716,-59565.17393925075,Initial SL Hit,1050,8,-5.9565173939250755,2022,4,-12.042454068225169
