,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
0,2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,8166.55,8112.65077,8223.091250000001,2017-01-09 14:15:00,8235.2,68.65000000000055,65.36965000000055,55564.202500000465,MACD Reversal,850,7,5.556420250000047,2017,1,0.0
1,2017-01-10 12:15:00,LONG,2017-01-10 13:15:00,8274.9,8220.28566,8410.596249999999,2017-01-20 10:15:00,8407.6,132.70000000000073,129.36350000000073,109958.97500000062,TSL Hit,850,7,10.99589750000006,2017,1,0.0
2,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,8411.9,8356.381459999999,8356.381459999999,2017-01-20 11:15:00,8413.1,1.2000000000007276,-2.1649999999992726,-1786.1249999994,MACD Reversal,825,7,-0.17861249999994,2017,1,-0.17861249999993944
3,2017-01-24 09:15:00,LONG,2017-01-24 10:15:00,8434.35,8378.683289999999,8528.711249999998,2017-01-31 11:15:00,8561.7,127.35000000000036,123.95079000000037,102259.40175000031,MACD Reversal,825,7,10.225940175000032,2017,1,0.0
4,2017-02-01 13:15:00,LONG,2017-02-01 14:15:00,8692.8,8635.42752,8755.213749999999,2017-02-09 10:15:00,8742.1,49.30000000000109,45.81302000000109,36650.41600000087,TSL Hit,800,7,3.6650416000000874,2017,2,0.0
5,2017-02-09 14:15:00,LONG,2017-02-09 15:15:00,8782.0,8724.0388,8780.695,2017-02-13 11:15:00,8770.25,-11.75,-15.26045,-12208.36,TSL Hit,800,7,-1.2208360000000003,2017,2,-1.2208359999999985
6,2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8745.694919999998,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-34610.856,TSL Hit,800,7,-3.4610856,2017,2,-4.681921599999999
7,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8778.47712,8896.12125,2017-02-27 14:15:00,8899.15,62.350000000000364,58.80281000000036,47042.24800000029,MACD Reversal,800,7,4.70422480000003,2017,2,0.0
8,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8877.76745,8930.06875,2017-03-02 14:15:00,8889.7,-47.04999999999927,-50.61528999999927,-39226.849749999434,TSL Hit,775,7,-3.9226849749999433,2017,3,-3.9226849749999424
9,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8901.11235,8927.73125,2017-03-08 10:15:00,8901.11235,-59.137650000000576,-62.70992247000058,-48600.18991425045,Initial SL hit,775,7,-4.8600189914250445,2017,3,-8.782703966424986
10,2017-03-10 11:15:00,LONG,2017-03-10 12:15:00,8941.8,8882.784119999998,8924.05875,2017-03-10 13:15:00,8912.05,-29.75,-33.32077,-25823.59675,TSL Hit,775,7,-2.582359675,2017,3,-11.365063641424985
11,2017-03-10 13:15:00,LONG,2017-03-10 14:15:00,8940.9,8881.89006,9106.367499999998,2017-03-21 10:15:00,9113.95,173.0500000000011,169.43903000000108,131315.24825000085,MACD Reversal,775,7,13.131524825000085,2017,3,0.0
12,2017-03-24 11:15:00,LONG,2017-03-24 12:15:00,9120.5,9060.304699999999,9101.460000000001,2017-03-24 15:15:00,9100.4,-20.100000000000364,-23.744180000000362,-18401.73950000028,TSL Hit,775,7,-1.840173950000028,2017,3,-1.840173950000029
13,2017-03-28 11:15:00,LONG,2017-03-28 12:15:00,9107.55,9047.440169999998,9213.715,2017-04-07 14:15:00,9193.75,86.20000000000073,82.53974000000073,63968.29850000057,TSL Hit,775,7,6.396829850000057,2017,3,0.0
14,2017-04-11 12:15:00,LONG,2017-04-11 13:15:00,9230.25,9169.33035,9227.759999999998,2017-04-12 09:15:00,9169.33035,-60.91964999999982,-64.59956606999982,-48449.67455249987,Initial SL hit,750,7,-4.844967455249987,2017,4,-4.844967455249986
15,2017-04-21 10:15:00,LONG,2017-04-21 11:15:00,9160.6,9100.14004,9100.14004,2017-04-21 12:15:00,9105.45,-55.149999999999636,-58.80320999999964,-45572.48774999972,MACD Reversal,775,7,-4.557248774999971,2017,4,-9.402216230249955
16,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,9166.95,9106.44813,9256.68,2017-04-28 11:15:00,9285.9,118.94999999999891,115.25942999999891,89326.05824999916,MACD Reversal,775,7,8.932605824999916,2017,4,-0.4696104052500374
17,2017-05-02 15:15:00,LONG,2017-05-03 09:15:00,9318.8,9257.295919999999,9312.797499999999,2017-05-03 11:15:00,9309.1,-9.699999999998909,-13.42557999999891,-10069.184999999183,TSL Hit,750,7,-1.0069184999999183,2017,5,-1.4765289052499568
18,2017-05-03 12:15:00,LONG,2017-05-03 13:15:00,9316.4,9254.911759999999,9254.911759999999,2017-05-03 15:15:00,9304.0,-12.399999999999636,-16.124079999999637,-12093.059999999728,MACD Reversal,750,7,-1.209305999999973,2017,5,-2.6858349052499264
19,2017-05-04 12:15:00,LONG,2017-05-04 13:15:00,9341.55,9279.89577,9325.87375,2017-05-05 09:15:00,9324.2,-17.349999999998545,-21.083149999998547,-15812.36249999891,TSL Hit,750,7,-1.581236249999891,2017,5,-4.267071155249816
20,2017-05-08 13:15:00,LONG,2017-05-08 14:15:00,9326.4,9264.845759999998,9264.845759999998,2017-05-08 15:15:00,9310.75,-15.649999999999636,-19.377429999999638,-14533.07249999973,MACD Reversal,750,7,-1.4533072499999728,2017,5,-5.7203784052497895
