,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
0,2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,8166.55,8125.71725,8406.379,2017-01-20 12:15:00,8380.95,214.40000000000055,211.09050000000053,1810101.0375000045,TSL Hit,8575,7,18.101010375000044,2017,1
1,2017-01-24 10:15:00,LONG,2017-01-24 11:15:00,8441.65,8399.44175,8516.838,2017-01-31 15:15:00,8556.55,114.89999999999964,111.50035999999963,925452.987999997,MACD Reversal,8300,7,9.25452987999997,2017,1
2,2017-02-01 13:15:00,LONG,2017-02-01 14:15:00,8692.8,8649.336,8770.514000000001,2017-02-13 12:15:00,8763.5,70.70000000000073,67.20874000000073,541030.3570000059,TSL Hit,8050,7,5.4103035700000595,2017,2
3,2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,8771.35,8727.49325,8784.455,2017-02-14 15:15:00,8784.15,12.799999999999272,9.288899999999272,74078.97749999419,TSL Hit,7975,7,0.7407897749999418,2017,2
4,2017-02-14 15:15:00,LONG,2017-02-15 09:15:00,8797.45,8753.46275,8753.46275,2017-02-15 10:15:00,8764.05,-33.400000000001455,-36.91230000000146,-293452.7850000116,MACD Reversal,7950,7,-2.934527850000116,2017,2
5,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8792.616,8875.744,2017-02-28 09:15:00,8900.2,63.400000000001455,59.85260000000145,474331.8550000115,MACD Reversal,7925,7,4.743318550000115,2017,2
6,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8892.06625,8921.467,2017-03-02 14:15:00,8892.06625,-44.683750000000146,-48.24951325000015,-377552.44118125114,Initial SL hit,7825,7,-3.7755244118125115,2017,3
7,2017-03-02 15:15:00,LONG,2017-03-03 09:15:00,8898.4,8853.908,8853.908,2017-03-03 09:15:00,8879.1,-19.299999999999272,-22.855499999999275,-179987.0624999943,MACD Reversal,7875,7,-1.799870624999943,2017,3
8,2017-03-06 13:15:00,LONG,2017-03-06 14:15:00,8945.25,8900.52375,8923.457,2017-03-08 10:15:00,8900.52375,-44.72624999999971,-48.29540474999971,-377911.54216874775,Initial SL hit,7825,7,-3.7791154216874774,2017,3
9,2017-03-10 11:15:00,LONG,2017-03-10 12:15:00,8941.8,8897.090999999999,8928.585,2017-03-10 13:15:00,8912.05,-29.75,-33.32077,-260735.02525000004,TSL Hit,7825,7,-2.6073502525000003,2017,3
10,2017-03-10 13:15:00,LONG,2017-03-10 14:15:00,8940.9,8896.1955,9074.574,2017-03-21 11:15:00,9104.3,163.39999999999964,159.79095999999964,1250364.2619999973,MACD Reversal,7825,7,12.503642619999972,2017,3
11,2017-03-24 11:15:00,LONG,2017-03-24 12:15:00,9120.5,9074.8975,9109.37,2017-03-24 14:15:00,9107.35,-13.149999999999636,-16.795569999999636,-128905.99974999721,TSL Hit,7675,7,-1.2890599974999721,2017,3
12,2017-03-28 11:15:00,LONG,2017-03-28 12:15:00,9107.55,9062.01225,9196.81,2017-04-07 14:15:00,9193.75,86.20000000000073,82.53974000000073,633492.5045000056,TSL Hit,7675,7,6.334925045000056,2017,3
13,2017-04-11 15:15:00,LONG,2017-04-12 09:15:00,9238.85,9192.65575,9192.65575,2017-04-12 09:15:00,9192.65575,-46.194250000000466,-49.880551150000464,-377845.17496125354,Initial SL Hit,7575,7,-3.778451749612535,2017,4
14,2017-04-21 10:15:00,LONG,2017-04-21 11:15:00,9160.6,9114.797,9114.797,2017-04-21 12:15:00,9114.797,-45.802999999999884,-49.45807939999988,-378354.3074099991,Initial SL Hit,7650,7,-3.783543074099991,2017,4
15,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,9166.95,9121.11525,9262.922,2017-05-02 13:15:00,9303.95,137.0,133.30582,1016456.8775000001,MACD Reversal,7625,7,10.164568775000001,2017,4
16,2017-05-02 14:15:00,LONG,2017-05-02 15:15:00,9317.55,9270.962249999999,9323.481,2017-05-05 11:15:00,9296.5,-21.049999999999272,-24.77280999999927,-186415.39524999453,TSL Hit,7525,7,-1.8641539524999453,2017,5
17,2017-05-09 10:15:00,LONG,2017-05-09 11:15:00,9329.4,9282.752999999999,9441.581,2017-05-18 14:15:00,9436.7,107.30000000000109,103.54678000000109,776600.8500000082,TSL Hit,7500,7,7.7660085000000825,2017,5
