Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
0,1000000,2022-01-11,7739.45,7776.2,36.75,150,1.3056250000000063,5316.656249999999,0.5316656249999999,MIDCPNIFTY
0,1000000,2022-01-12,7776.2,7874.0,97.80000000000018,150,1.3056250000000063,14474.156250000025,1.4474156250000025,MIDCPNIFTY
0,1000000,2022-01-13,7874.0,7929.8,55.80000000000018,150,1.3056250000000063,8174.156250000026,0.8174156250000026,MIDCPNIFTY
0,1000000,2022-01-14,7929.8,7930.5,0.6999999999998181,150,1.3056250000000063,-90.84375000002822,-0.009084375000002823,MIDCPNIFTY
0,1000000,2022-01-17,7930.5,7944.3,13.800000000000182,150,1.3056250000000063,1874.1562500000264,0.18741562500000264,MIDCPNIFTY
0,1000000,2022-01-18,7944.3,7778.65,-165.65000000000055,150,1.3056250000000063,-25043.343750000084,-2.5043343750000084,MIDCPNIFTY
1,1000000,2022-01-27,7360.35,7358.95,-1.4000000000005457,150,1.2487750000000044,-397.31625000008256,-0.03973162500000826,MIDCPNIFTY
1,1000000,2022-01-28,7358.95,7414.4,55.44999999999982,150,1.2487750000000044,8130.183749999973,0.8130183749999973,MIDCPNIFTY
1,1000000,2022-01-31,7414.4,7513.5,99.10000000000036,150,1.2487750000000044,14677.683750000053,1.4677683750000055,MIDCPNIFTY
1,1000000,2022-02-01,7513.5,7605.9,92.39999999999964,150,1.2487750000000044,13672.683749999944,1.3672683749999943,MIDCPNIFTY
1,1000000,2022-02-02,7605.9,7689.95,84.05000000000018,150,1.2487750000000044,12420.183750000026,1.2420183750000025,MIDCPNIFTY
1,1000000,2022-02-03,7689.95,7604.7,-85.25,150,1.2487750000000044,-12974.816250000002,-1.2974816250000003,MIDCPNIFTY
2,1000000,2022-02-09,7476.7,7510.85,34.150000000000546,150,2.486041666666665,4749.593750000082,0.47495937500000823,MIDCPNIFTY
2,1000000,2022-02-10,7510.85,7516.4,5.549999999999272,150,2.486041666666665,459.5937499998911,0.04595937499998911,MIDCPNIFTY
2,1000000,2022-02-11,7516.4,7352.2,-164.19999999999982,150,2.486041666666665,-25002.90624999997,-2.500290624999997,MIDCPNIFTY
3,1000000,2022-02-15,7254.45,7310.3,55.850000000000364,150,2.4212416666666687,8014.313750000055,0.8014313750000055,MIDCPNIFTY
3,1000000,2022-02-16,7310.3,7272.5,-37.80000000000018,150,2.4212416666666687,-6033.186250000027,-0.6033186250000027,MIDCPNIFTY
3,1000000,2022-02-17,7272.5,7271.5,-1.0,150,2.4212416666666687,-513.1862500000003,-0.05131862500000003,MIDCPNIFTY
4,1000000,2022-02-23,7165.2,7095.2,-70.0,150,7.141554839999991,-11571.233226,-1.1571233226000002,MIDCPNIFTY
5,1000000,2022-02-25,6938.85,6946.95,8.099999999999454,150,3.456212499999996,696.5681249999187,0.06965681249999187,MIDCPNIFTY
5,1000000,2022-02-28,6946.95,7015.25,68.30000000000018,150,3.456212499999996,9726.568125000029,0.9726568125000029,MIDCPNIFTY
6,1000000,2022-02-28,6886.0,7015.25,129.25,150,2.305958333333334,19041.60625,1.904160625,MIDCPNIFTY
6,1000000,2022-03-02,7015.25,6995.05,-20.199999999999818,150,2.305958333333334,-3375.8937499999724,-0.33758937499999725,MIDCPNIFTY
6,1000000,2022-03-03,6995.05,6913.9,-81.15000000000055,150,2.305958333333334,-12518.393750000083,-1.2518393750000083,MIDCPNIFTY
