Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
0,1000000,2017-01-02,8166.55,8179.2,12.649999999999636,125,0.5467249999999998,1512.9093749999545,0.15129093749999545,NIFTY
0,1000000,2017-01-03,8179.2,8189.05,9.850000000000364,125,0.5467249999999998,1162.9093750000454,0.11629093750000453,NIFTY
0,1000000,2017-01-04,8189.05,8196.35,7.300000000000182,125,0.5467249999999998,844.1593750000228,0.08441593750000229,NIFTY
0,1000000,2017-01-05,8196.35,8270.5,74.14999999999964,125,0.5467249999999998,9200.409374999956,0.9200409374999956,NIFTY
0,1000000,2017-01-06,8270.5,8248.2,-22.299999999999272,125,0.5467249999999998,-2855.840624999909,-0.28558406249999085,NIFTY
0,1000000,2017-01-09,8248.2,8234.55,-13.650000000001455,125,0.5467249999999998,-1774.590625000182,-0.1774590625000182,NIFTY
1,1000000,2017-01-10,8274.9,8290.3,15.399999999999636,125,0.37072222222222234,1878.6597222221767,0.18786597222221768,NIFTY
1,1000000,2017-01-11,8290.3,8374.3,84.0,125,0.37072222222222234,10453.65972222222,1.0453659722222222,NIFTY
1,1000000,2017-01-12,8374.3,8409.15,34.850000000000364,125,0.37072222222222234,4309.909722222268,0.43099097222222676,NIFTY
1,1000000,2017-01-13,8409.15,8397.8,-11.350000000000364,125,0.37072222222222234,-1465.0902777778233,-0.14650902777778232,NIFTY
1,1000000,2017-01-16,8397.8,8418.7,20.900000000001455,125,0.37072222222222234,2566.159722222404,0.2566159722222404,NIFTY
1,1000000,2017-01-17,8418.7,8388.8,-29.900000000001455,125,0.37072222222222234,-3783.8402777779597,-0.37838402777779595,NIFTY
1,1000000,2017-01-18,8388.8,8413.75,24.950000000000728,125,0.37072222222222234,3072.409722222313,0.30724097222223135,NIFTY
1,1000000,2017-01-19,8413.75,8431.2,17.450000000000728,125,0.37072222222222234,2134.909722222313,0.2134909722222313,NIFTY
1,1000000,2017-01-20,8431.2,8343.85,-87.35000000000036,125,0.37072222222222234,-10965.090277777825,-1.0965090277777825,NIFTY
2,1000000,2017-01-20,8411.9,8343.85,-68.04999999999927,125,3.365,-8926.874999999909,-0.892687499999991,NIFTY
3,1000000,2017-01-24,8434.35,8476.75,42.399999999999636,125,0.6798420000000022,5215.019749999954,0.5215019749999954,NIFTY
3,1000000,2017-01-25,8476.75,8597.5,120.75,125,0.6798420000000022,15008.76975,1.500876975,NIFTY
3,1000000,2017-01-27,8597.5,8641.95,44.45000000000073,125,0.6798420000000022,5471.26975000009,0.5471269750000091,NIFTY
3,1000000,2017-01-30,8641.95,8633.7,-8.25,125,0.6798420000000022,-1116.2302500000003,-0.11162302500000003,NIFTY
3,1000000,2017-01-31,8633.7,8556.55,-77.15000000000146,125,0.6798420000000022,-9728.730250000182,-0.9728730250000183,NIFTY
4,1000000,2017-02-01,8692.8,8715.5,22.700000000000728,125,0.49814000000000036,2775.232500000091,0.2775232500000091,NIFTY
4,1000000,2017-02-02,8715.5,8722.3,6.799999999999272,125,0.49814000000000036,787.732499999909,0.0787732499999909,NIFTY
4,1000000,2017-02-03,8722.3,8738.55,16.25,125,0.49814000000000036,1968.9824999999998,0.19689824999999997,NIFTY
4,1000000,2017-02-06,8738.55,8796.1,57.55000000000109,125,0.49814000000000036,7131.4825000001365,0.7131482500000136,NIFTY
4,1000000,2017-02-07,8796.1,8770.75,-25.350000000000364,125,0.49814000000000036,-3231.0175000000454,-0.3231017500000045,NIFTY
4,1000000,2017-02-08,8770.75,8775.8,5.049999999999272,125,0.49814000000000036,568.982499999909,0.0568982499999909,NIFTY
4,1000000,2017-02-09,8775.8,8786.55,10.75,125,0.49814000000000036,1281.4824999999998,0.12814825,NIFTY
5,1000000,2017-02-09,8782.0,8786.55,4.549999999999272,125,1.1701500000000002,422.481249999909,0.0422481249999909,NIFTY
5,1000000,2017-02-10,8786.55,8794.05,7.5,125,1.1701500000000002,791.2312499999999,0.079123125,NIFTY
5,1000000,2017-02-13,8794.05,8802.05,8.0,125,1.1701500000000002,853.7312499999999,0.085373125,NIFTY
6,1000000,2017-02-13,8803.8,8802.05,-1.75,125,1.1711900000000004,-365.14875,-0.036514875,NIFTY
6,1000000,2017-02-14,8802.05,8784.15,-17.899999999999636,125,1.1711900000000004,-2383.8987499999544,-0.23838987499999542,NIFTY
6,1000000,2017-02-15,8784.15,8728.2,-55.94999999999891,125,1.1711900000000004,-7140.148749999864,-0.7140148749999864,NIFTY
7,1000000,2017-02-17,8836.8,8816.95,-19.849999999998545,125,0.5911983333333346,-2555.149791666485,-0.25551497916664845,NIFTY
7,1000000,2017-02-20,8816.95,8884.25,67.29999999999927,125,0.5911983333333346,8338.600208333242,0.8338600208333242,NIFTY
7,1000000,2017-02-21,8884.25,8903.25,19.0,125,0.5911983333333346,2301.1002083333333,0.23011002083333332,NIFTY
7,1000000,2017-02-22,8903.25,8930.1,26.850000000000364,125,0.5911983333333346,3282.3502083333788,0.32823502083333783,NIFTY
7,1000000,2017-02-23,8930.1,8941.2,11.100000000000364,125,0.5911983333333346,1313.6002083333788,0.1313600208333379,NIFTY
7,1000000,2017-02-27,8941.2,8896.45,-44.75,125,0.5911983333333346,-5667.649791666668,-0.5667649791666668,NIFTY
8,1000000,2017-03-01,8936.75,8941.8,5.049999999999272,100,1.7826449999999987,326.73549999992736,0.03267354999999274,NIFTY
8,1000000,2017-03-02,8941.8,8893.9,-47.899999999999636,100,1.7826449999999987,-4968.264499999964,-0.4968264499999964,NIFTY
9,1000000,2017-03-06,8960.25,8962.6,2.350000000000364,100,1.1907574900000004,115.92425100003634,0.011592425100003632,NIFTY
9,1000000,2017-03-07,8962.6,8944.95,-17.649999999999636,100,1.1907574900000004,-1884.0757489999635,-0.18840757489999635,NIFTY
9,1000000,2017-03-08,8944.95,8923.85,-21.100000000000364,100,1.1907574900000004,-2229.0757490000365,-0.22290757490000365,NIFTY
10,1000000,2017-03-10,8941.8,8936.85,-4.949999999998909,100,3.570770000000003,-852.0769999998912,-0.08520769999998913,NIFTY
11,1000000,2017-03-10,8940.9,8936.85,-4.049999999999272,100,0.5158528571428584,-456.5852857142131,-0.04565852857142131,NIFTY
11,1000000,2017-03-14,8936.85,9073.35,136.5,100,0.5158528571428584,13598.414714285715,1.3598414714285716,NIFTY
11,1000000,2017-03-15,9073.35,9082.6,9.25,100,0.5158528571428584,873.4147142857141,0.08734147142857142,NIFTY
11,1000000,2017-03-16,9082.6,9157.3,74.69999999999891,100,0.5158528571428584,7418.4147142856045,0.7418414714285605,NIFTY
11,1000000,2017-03-17,9157.3,9152.15,-5.149999999999636,100,0.5158528571428584,-566.5852857142495,-0.05665852857142495,NIFTY
11,1000000,2017-03-20,9152.15,9129.55,-22.600000000000364,100,0.5158528571428584,-2311.5852857143223,-0.23115852857143224,NIFTY
11,1000000,2017-03-21,9129.55,9126.1,-3.4499999999989086,100,0.5158528571428584,-396.58528571417673,-0.03965852857141767,NIFTY
12,1000000,2017-03-24,9120.5,9100.4,-20.100000000000364,100,3.644179999999995,-2374.418000000036,-0.2374418000000036,NIFTY
13,1000000,2017-03-28,9107.55,9108.3,0.75,100,0.45753249999999923,29.246750000000077,0.0029246750000000077,NIFTY
13,1000000,2017-03-29,9108.3,9145.05,36.75,100,0.45753249999999923,3629.2467500000002,0.36292467500000003,NIFTY
13,1000000,2017-03-30,9145.05,9158.95,13.900000000001455,100,0.45753249999999923,1344.2467500001455,0.13442467500001454,NIFTY
13,1000000,2017-03-31,9158.95,9170.7,11.75,100,0.45753249999999923,1129.24675,0.112924675,NIFTY
13,1000000,2017-04-03,9170.7,9243.0,72.29999999999927,100,0.45753249999999923,7184.2467499999275,0.7184246749999927,NIFTY
13,1000000,2017-04-05,9243.0,9256.9,13.899999999999636,100,0.45753249999999923,1344.2467499999636,0.13442467499999636,NIFTY
13,1000000,2017-04-06,9256.9,9256.65,-0.25,100,0.45753249999999923,-70.75324999999992,-0.0070753249999999926,NIFTY
13,1000000,2017-04-07,9256.65,9196.9,-59.75,100,0.45753249999999923,-6020.75325,-0.6020753249999999,NIFTY
14,1000000,2017-04-11,9230.25,9233.8,3.5499999999992724,100,1.8399580350000022,171.00419649992702,0.0171004196499927,NIFTY
14,1000000,2017-04-12,9233.8,9201.05,-32.75,100,1.8399580350000022,-3458.9958035000004,-0.34589958035000007,NIFTY
15,1000000,2017-04-21,9160.6,9119.3,-41.30000000000109,100,3.6532099999999943,-4495.321000000108,-0.4495321000000108,NIFTY
16,1000000,2017-04-24,9166.95,9217.7,50.75,100,0.7381140000000016,5001.1885999999995,0.5001188599999999,NIFTY
16,1000000,2017-04-25,9217.7,9303.75,86.04999999999927,100,0.7381140000000016,8531.188599999929,0.8531188599999929,NIFTY
16,1000000,2017-04-26,9303.75,9344.1,40.350000000000364,100,0.7381140000000016,3961.188600000036,0.39611886000000357,NIFTY
16,1000000,2017-04-27,9344.1,9328.7,-15.399999999999636,100,0.7381140000000016,-1613.811399999964,-0.16138113999999637,NIFTY
16,1000000,2017-04-28,9328.7,9304.65,-24.05000000000109,100,0.7381140000000016,-2478.8114000001096,-0.24788114000001096,NIFTY
17,1000000,2017-05-03,9318.8,9304.0,-14.799999999999272,100,3.725580000000001,-1852.5579999999272,-0.1852557999999927,NIFTY
18,1000000,2017-05-03,9316.4,9304.0,-12.399999999999636,100,3.7240800000000007,-1612.4079999999637,-0.16124079999999638,NIFTY
