,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,finnifty,17300,C,2022-10-04,2022-09-29 12:45:00,SELL,2022-09-29,13:00:00,146.55,318.6,3,2022-09-30 12:30:00,318.6,-172.05,4.6515,-176.7015,-204090.2325,Initial SL Hit,1155,-20.409023250000004,2022,9
1,finnifty,17300,P,2022-10-04,2022-09-30 11:30:00,SELL,2022-09-30,11:45:00,112.55,395.35,3,2022-10-04 09:15:00,3.0,109.55,1.1555,108.3945,125195.64749999999,Target Hit,1155,12.519564749999997,2022,9
2,finnifty,17300,C,2022-10-04,2022-10-03 13:30:00,SELL,2022-10-03,13:45:00,124.4,365.0,3,2022-10-04 09:15:00,365.0,-240.6,4.894,-245.494,-283545.57,Initial SL Hit,1155,-28.354557000000003,2022,10
3,finnifty,18150,C,2022-10-25,2022-10-20 12:45:00,SELL,2022-10-20,13:00:00,76.25,197.9,3,2022-10-24 18:15:00,270.65,-194.39999999999998,3.469,-197.86899999999997,-216666.55499999996,Gap Outside ISL,1095,-21.666655499999994,2022,10
4,finnifty,18150,P,2022-10-25,2022-10-21 11:00:00,SELL,2022-10-21,11:15:00,70.0,274.45,3,2022-10-25 09:15:00,3.0,67.0,0.73,66.27,72565.65,Target Hit,1095,7.256564999999999,2022,10
5,finnifty,18450,C,2022-11-01,2022-10-28 13:30:00,SELL,2022-10-28,13:45:00,32.05,118.75,3,2022-10-31 15:00:00,118.75,-86.7,1.5080000000000002,-88.208,-95264.64,Initial SL Hit,1080,-9.526463999999999,2022,10
6,finnifty,18450,P,2022-11-01,2022-10-31 10:00:00,SELL,2022-10-31,10:15:00,81.05,246.3,3,2022-11-01 09:15:00,3.0,78.05,0.8405,77.20949999999999,83386.26,Target Hit,1080,8.338626,2022,10
7,finnifty,18650,C,2022-11-07,2022-11-03 13:15:00,SELL,2022-11-03,13:30:00,95.4,179.0,3,2022-11-07 15:00:00,80.85,14.550000000000011,1.7625,12.787500000000012,13618.687500000013,Expiry Exit,1065,1.3618687500000013,2022,11
8,finnifty,18650,P,2022-11-07,2022-11-03 14:15:00,SELL,2022-11-03,14:30:00,140.0,264.65,3,2022-11-07 14:45:00,3.0,137.0,1.43,135.57,144382.05,Target Hit,1065,14.438204999999998,2022,11
9,finnifty,18800,C,2022-11-15,2022-11-10 13:30:00,SELL,2022-11-10,13:45:00,36.2,127.9,3,2022-11-11 09:15:00,127.9,-91.7,1.6410000000000002,-93.34100000000001,-99408.16500000001,Initial SL Hit,1065,-9.9408165,2022,11
10,finnifty,18800,P,2022-11-15,2022-11-11 10:30:00,SELL,2022-11-11,10:45:00,73.4,315.75,3,2022-11-15 09:15:00,3.0,70.4,0.7640000000000001,69.63600000000001,74162.34000000001,Target Hit,1065,7.416234000000001,2022,11
11,finnifty,18800,C,2022-11-15,2022-11-15 09:15:00,SELL,2022-11-15,09:30:00,184.0,318.45,3,2022-11-15 15:00:00,275.6,-91.60000000000002,4.596,-96.19600000000003,-102448.74000000003,Expiry Exit,1065,-10.244874000000003,2022,11
12,finnifty,19050,P,2022-11-22,2022-11-17 12:45:00,SELL,2022-11-17,13:00:00,83.2,138.85,3,2022-11-21 09:30:00,138.85,-55.64999999999999,2.2205000000000004,-57.87049999999999,-60764.024999999994,Initial SL Hit,1050,-6.0764024999999995,2022,11
13,finnifty,19050,C,2022-11-22,2022-11-17 13:30:00,SELL,2022-11-17,13:45:00,186.15,247.0,3,2022-11-22 12:45:00,3.0,183.15,1.8915000000000002,181.2585,190321.425,Target Hit,1050,19.0321425,2022,11
14,finnifty,19050,P,2022-11-22,2022-11-22 10:15:00,SELL,2022-11-22,10:30:00,85.75,143.45,3,2022-11-22 15:00:00,77.05,8.700000000000003,1.6280000000000001,7.072000000000003,7425.600000000003,Expiry Exit,1050,0.7425600000000002,2022,11
15,finnifty,19050,P,2022-11-29,2022-11-24 13:15:00,SELL,2022-11-24,13:30:00,39.35,101.85,3,2022-11-29 09:15:00,3.0,36.35,0.42350000000000004,35.926500000000004,37722.825000000004,Target Hit,1050,3.7722825,2022,11
16,finnifty,19050,C,2022-11-29,2022-11-28 10:15:00,SELL,2022-11-28,10:30:00,127.4,303.95,3,2022-11-29 15:00:00,179.4,-52.0,3.068,-55.068,-57821.399999999994,Expiry Exit,1050,-5.782139999999999,2022,11
17,finnifty,19250,P,2022-12-06,2022-12-01 12:45:00,SELL,2022-12-01,13:00:00,35.9,137.65,3,2022-12-06 15:00:00,6.35,29.549999999999997,0.4225,29.127499999999998,30146.962499999998,Expiry Exit,1035,3.01469625,2022,12
18,finnifty,19250,C,2022-12-06,2022-12-02 11:00:00,SELL,2022-12-02,11:15:00,90.0,279.35,3,2022-12-06 14:45:00,3.0,87.0,0.93,86.07,89082.45,Target Hit,1035,8.908244999999999,2022,12
19,finnifty,19250,C,2022-12-13,2022-12-08 13:15:00,SELL,2022-12-08,13:30:00,88.0,121.4,3,2022-12-08 14:15:00,121.4,-33.400000000000006,2.0940000000000003,-35.49400000000001,-36736.29000000001,Initial SL Hit,1035,-3.6736290000000005,2022,12
20,finnifty,19250,P,2022-12-13,2022-12-08 13:45:00,SELL,2022-12-08,14:00:00,83.25,158.3,3,2022-12-13 09:15:00,3.0,80.25,0.8625,79.3875,82166.0625,Target Hit,1035,8.21660625,2022,12
21,finnifty,19250,C,2022-12-13,2022-12-09 13:30:00,SELL,2022-12-09,13:45:00,70.35,145.0,3,2022-12-13 10:15:00,145.0,-74.65,2.1535,-76.8035,-79491.6225,Initial SL Hit,1035,-7.94916225,2022,12
22,finnifty,19450,C,2022-12-20,2022-12-15 12:45:00,SELL,2022-12-15,13:00:00,66.95,148.0,3,2022-12-19 09:15:00,3.0,63.95,0.6995,63.2505,65464.2675,Target Hit,1035,6.54642675,2022,12
23,finnifty,19450,P,2022-12-20,2022-12-19 12:15:00,SELL,2022-12-19,12:30:00,193.0,397.35,3,2022-12-20 15:00:00,223.75,-30.75,4.1675,-34.917500000000004,-36139.6125,Expiry Exit,1035,-3.61396125,2022,12
24,finnifty,19300,C,2022-12-27,2022-12-22 12:45:00,SELL,2022-12-22,13:00:00,19.35,115.0,3,2022-12-23 10:15:00,3.0,16.35,0.22350000000000003,16.1265,16690.9275,Target Hit,1035,1.6690927500000001,2022,12
25,finnifty,19300,P,2022-12-27,2022-12-27 09:45:00,SELL,2022-12-27,10:00:00,418.05,647.8,3,2022-12-27 15:00:00,293.55,124.5,7.1160000000000005,117.384,121492.44,Expiry Exit,1035,12.149244000000001,2022,12
26,finnifty,18950,C,2023-01-03,2022-12-29 14:15:00,SELL,2022-12-29,14:30:00,117.9,215.95,3,2022-12-29 15:00:00,215.95,-98.04999999999998,3.3385000000000002,-101.38849999999998,-106457.92499999997,Initial SL Hit,1050,-10.645792499999997,2022,12
27,finnifty,18950,P,2023-01-03,2022-12-29 14:45:00,SELL,2022-12-29,15:00:00,75.0,200.7,3,2023-01-03 10:00:00,3.0,72.0,0.78,71.22,74781.0,Target Hit,1050,7.4781,2022,12
28,finnifty,18950,C,2023-01-03,2023-01-02 12:15:00,SELL,2023-01-02,12:30:00,140.0,235.3,3,2023-01-03 13:45:00,235.3,-95.30000000000001,3.753,-99.05300000000001,-104005.65000000001,Initial SL Hit,1050,-10.400565,2023,1
29,finnifty,19150,C,2023-01-10,2023-01-05 12:45:00,SELL,2023-01-05,13:00:00,30.15,153.0,3,2023-01-06 13:30:00,3.0,27.15,0.3315,26.8185,28159.425,Target Hit,1050,2.8159425,2023,1
30,finnifty,18500,C,2023-01-17,2023-01-12 13:00:00,SELL,2023-01-12,13:15:00,128.05,230.5,3,2023-01-16 09:15:00,230.5,-102.44999999999999,3.5855,-106.03549999999998,-114518.33999999998,Initial SL Hit,1080,-11.451833999999998,2023,1
31,finnifty,18500,P,2023-01-17,2023-01-13 10:00:00,SELL,2023-01-13,10:15:00,107.4,176.75,3,2023-01-17 14:30:00,3.0,104.4,1.104,103.296,111559.68000000001,Target Hit,1080,11.155968000000001,2023,1
32,finnifty,18500,C,2023-01-17,2023-01-16 14:30:00,SELL,2023-01-16,14:45:00,56.65,300.05,3,2023-01-17 15:00:00,106.6,-49.949999999999996,1.6325,-51.582499999999996,-55709.1,Expiry Exit,1080,-5.57091,2023,1
33,finnifty,18600,P,2023-01-24,2023-01-19 12:45:00,SELL,2023-01-19,13:00:00,59.85,99.6,3,2023-01-23 09:45:00,3.0,56.85,0.6285000000000001,56.2215,60719.22,Target Hit,1080,6.071922000000001,2023,1
34,finnifty,18600,C,2023-01-24,2023-01-19 14:00:00,SELL,2023-01-19,14:15:00,207.7,266.75,3,2023-01-20 10:15:00,266.75,-59.05000000000001,4.7445,-63.79450000000001,-68898.06000000001,Initial SL Hit,1080,-6.889806000000001,2023,1
35,finnifty,18600,C,2023-01-24,2023-01-24 13:00:00,SELL,2023-01-24,13:15:00,301.0,393.35,3,2023-01-24 15:00:00,298.55,2.4499999999999886,5.9955,-3.545500000000011,-3829.140000000012,Expiry Exit,1080,-0.3829140000000012,2023,1
36,finnifty,18300,C,2023-02-07,2023-02-02 12:45:00,SELL,2023-02-02,13:00:00,60.5,442.85,3,2023-02-07 15:00:00,96.9,-36.400000000000006,1.574,-37.974000000000004,-41581.530000000006,Expiry Exit,1095,-4.158153,2023,2
37,finnifty,18300,P,2023-02-07,2023-02-03 11:00:00,SELL,2023-02-03,11:15:00,180.95,662.85,3,2023-02-07 14:00:00,3.0,177.95,1.8395,176.1105,192840.9975,Target Hit,1095,19.28409975,2023,2
38,finnifty,18400,C,2023-02-14,2023-02-09 12:45:00,SELL,2023-02-09,13:00:00,137.8,236.65,3,2023-02-14 15:00:00,192.65,-54.849999999999994,3.3045000000000004,-58.15449999999999,-62806.85999999999,Expiry Exit,1080,-6.280685999999999,2023,2
39,finnifty,18400,P,2023-02-14,2023-02-09 13:15:00,SELL,2023-02-09,13:30:00,88.5,145.55,3,2023-02-14 12:30:00,3.0,85.5,0.915,84.585,91351.79999999999,Target Hit,1080,9.135179999999998,2023,2
40,finnifty,18600,P,2023-02-21,2023-02-16 12:45:00,SELL,2023-02-16,13:00:00,81.9,167.65,3,2023-02-17 12:15:00,167.65,-85.75,2.4955000000000003,-88.2455,-95305.14000000001,Initial SL Hit,1080,-9.530514,2023,2
41,finnifty,18600,C,2023-02-21,2023-02-17 09:45:00,SELL,2023-02-17,10:00:00,44.4,189.85,3,2023-02-20 15:00:00,3.0,41.4,0.474,40.926,44200.08,Target Hit,1080,4.420008,2023,2
42,finnifty,18200,C,2023-02-28,2023-02-23 13:15:00,SELL,2023-02-23,13:30:00,29.5,100.75,3,2023-02-27 09:15:00,3.0,26.5,0.325,26.175,28661.625,Target Hit,1095,2.8661625,2023,2
43,finnifty,18200,P,2023-02-28,2023-02-24 10:15:00,SELL,2023-02-24,10:30:00,235.0,454.95,3,2023-02-28 15:00:00,214.15,20.849999999999994,4.4915,16.358499999999992,17912.55749999999,Expiry Exit,1095,1.7912557499999993,2023,2
44,finnifty,18100,C,2023-03-06,2023-03-02 12:45:00,SELL,2023-03-02,13:00:00,51.4,126.0,3,2023-03-03 10:15:00,126.0,-74.6,1.774,-76.374,-84775.14,Initial SL Hit,1110,-8.477514,2023,3
45,finnifty,18100,P,2023-03-06,2023-03-03 10:15:00,SELL,2023-03-03,10:30:00,26.05,192.35,3,2023-03-06 09:15:00,3.0,23.05,0.29050000000000004,22.7595,25263.045,Target Hit,1110,2.5263044999999997,2023,3
46,finnifty,18300,P,2023-03-14,2023-03-09 12:45:00,SELL,2023-03-09,13:00:00,63.4,129.0,3,2023-03-09 15:15:00,129.0,-65.6,1.9240000000000002,-67.524,-73938.78,Initial SL Hit,1095,-7.393878,2023,3
47,finnifty,18300,C,2023-03-14,2023-03-09 14:30:00,SELL,2023-03-09,14:45:00,100.9,196.0,3,2023-03-13 11:00:00,3.0,97.9,1.0390000000000001,96.861,106062.795,Target Hit,1095,10.6062795,2023,3
48,finnifty,17700,C,2023-03-21,2023-03-16 13:30:00,SELL,2023-03-16,13:45:00,48.1,150.85,3,2023-03-21 15:00:00,103.65,-55.550000000000004,1.5175,-57.0675,-64200.9375,Expiry Exit,1125,-6.4200937499999995,2023,3
49,finnifty,17700,P,2023-03-21,2023-03-17 11:30:00,SELL,2023-03-17,11:45:00,262.0,470.0,3,2023-03-21 14:15:00,3.0,259.0,2.65,256.35,288393.75,Target Hit,1125,28.839375,2023,3
50,finnifty,17850,P,2023-03-28,2023-03-23 13:15:00,SELL,2023-03-23,13:30:00,86.55,206.0,3,2023-03-24 09:15:00,206.0,-119.45,2.9255,-122.3755,-137672.4375,Initial SL Hit,1125,-13.767243749999999,2023,3
51,finnifty,17850,C,2023-03-28,2023-03-23 14:45:00,SELL,2023-03-23,15:00:00,96.6,205.0,3,2023-03-27 15:15:00,3.0,93.6,0.996,92.604,104179.5,Target Hit,1125,10.41795,2023,3
52,finnifty,17700,P,2023-04-03,2023-03-31 12:45:00,SELL,2023-03-31,13:00:00,7.8,105.55,3,2023-03-31 15:15:00,3.0,4.8,0.10800000000000001,4.692,5278.5,Target Hit,1125,0.52785,2023,3
53,finnifty,18200,P,2023-04-11,2023-04-06 13:15:00,SELL,2023-04-06,13:30:00,16.35,84.75,3,2023-04-10 11:45:00,3.0,13.350000000000001,0.1935,13.156500000000001,14406.367500000002,Target Hit,1095,1.4406367500000001,2023,4
54,finnifty,18200,C,2023-04-11,2023-04-10 14:00:00,SELL,2023-04-10,14:15:00,203.2,322.5,3,2023-04-11 10:00:00,322.5,-119.30000000000001,5.257000000000001,-124.55700000000002,-136389.915,Initial SL Hit,1095,-13.6389915,2023,4
55,finnifty,18600,P,2023-04-18,2023-04-13 13:15:00,SELL,2023-04-13,13:30:00,37.6,90.9,3,2023-04-18 09:15:00,3.0,34.6,0.406,34.194,36929.520000000004,Target Hit,1080,3.692952000000001,2023,4
56,finnifty,18800,C,2023-04-25,2023-04-20 13:30:00,SELL,2023-04-20,13:45:00,85.0,130.7,3,2023-04-24 13:00:00,130.7,-45.69999999999999,2.157,-47.856999999999985,-50967.70499999999,Initial SL Hit,1065,-5.096770499999999,2023,4
57,finnifty,18800,P,2023-04-25,2023-04-20 14:00:00,SELL,2023-04-20,14:15:00,116.95,163.45,3,2023-04-25 09:15:00,3.0,113.95,1.1995,112.7505,120079.2825,Target Hit,1065,12.007928249999999,2023,4
