,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
0,nifty,8400,C,2017-01-25,2017-01-23 12:15:00,SELL,2017-01-23,12:45:00,20.6,30.900000000000002,1,2017-01-23 14:45:00,30.900000000000002,-10.3,0.515,-10.815000000000001,-90197.1,Initial SL Hit,8340,-0.9019710000000001,63.0,16.2,2017,1,"15, 5, 30m, 1.5% SL"
1,nifty,8400,P,2017-01-25,2017-01-24 09:45:00,SELL,2017-01-24,10:15:00,13.85,20.775,1,2017-01-25 09:15:00,1.0,12.85,0.1485,12.7015,105930.51,Target Hit,8340,1.0593051,73.35,0.8,2017,1,"15, 5, 30m, 1.5% SL"
2,nifty,8900,P,2017-02-23,2017-02-20 12:15:00,SELL,2017-02-20,12:45:00,68.35,102.52499999999999,1,2017-02-23 13:45:00,1.0,67.35,0.6935,66.6565,523920.08999999997,Target Hit,7860,5.239200899999999,115.6,0.5,2017,2,"15, 5, 30m, 1.5% SL"
3,nifty,9100,C,2017-03-30,2017-03-27 12:45:00,SELL,2017-03-27,13:15:00,19.3,28.950000000000003,1,2017-03-27 13:45:00,28.950000000000003,-9.650000000000002,0.4825,-10.132500000000002,-77969.58750000001,Initial SL Hit,7695,-0.7796958750000001,73.1,18.25,2017,3,"15, 5, 30m, 1.5% SL"
4,nifty,9100,C,2017-03-30,2017-03-27 14:15:00,SELL,2017-03-27,14:45:00,28.2,42.3,1,2017-03-28 10:15:00,42.3,-14.099999999999998,0.705,-14.804999999999998,-113924.47499999999,Initial SL Hit,7695,-1.13924475,73.1,18.25,2017,3,"15, 5, 30m, 1.5% SL"
5,nifty,9100,P,2017-03-30,2017-03-28 11:45:00,SELL,2017-03-28,12:15:00,28.6,42.900000000000006,1,2017-03-30 13:45:00,1.0,27.6,0.29600000000000004,27.304000000000002,210104.28000000003,Target Hit,7695,2.1010428,81.9,1.0,2017,3,"15, 5, 30m, 1.5% SL"
6,nifty,9200,P,2017-04-27,2017-04-24 12:15:00,SELL,2017-04-24,12:45:00,37.15,55.724999999999994,1,2017-04-27 09:15:00,1.0,36.15,0.3815,35.768499999999996,272019.44249999995,Target Hit,7605,2.7201944249999994,120.0,0.4,2017,4,"15, 5, 30m, 1.5% SL"
7,nifty,9450,C,2017-05-25,2017-05-22 12:15:00,SELL,2017-05-22,12:45:00,40.55,60.824999999999996,1,2017-05-25 14:45:00,60.824999999999996,-20.275,1.01375,-21.28875,-157749.6375,Initial SL Hit,7410,-1.5774963750000002,84.7,1.55,2017,5,"15, 5, 30m, 1.5% SL"
8,nifty,9450,P,2017-05-25,2017-05-22 15:15:00,SELL,2017-05-23,09:15:00,42.5,63.75,1,2017-05-23 09:15:00,63.75,-21.25,1.0625,-22.3125,-165335.625,Initial SL Hit,7410,-1.65335625,78.5,22.6,2017,5,"15, 5, 30m, 1.5% SL"
9,nifty,9450,P,2017-05-25,2017-05-25 11:45:00,SELL,2017-05-25,12:15:00,35.25,52.875,1,2017-05-25 14:45:00,1.0,34.25,0.3625,33.8875,251106.37500000003,Target Hit,7410,2.51106375,107.5,0.05,2017,5,"15, 5, 30m, 1.5% SL"
10,nifty,9650,C,2017-06-29,2017-06-27 12:15:00,SELL,2017-06-27,12:45:00,5.4,8.100000000000001,1,2017-06-28 15:15:00,1.0,4.4,0.064,4.336,31479.36,Target Hit,7260,0.3147936,40.05,1.0,2017,6,"15, 5, 30m, 1.5% SL"
11,nifty,9650,P,2017-06-29,2017-06-29 10:15:00,SELL,2017-06-29,10:45:00,90.45,135.675,1,2017-06-29 13:15:00,135.675,-45.22500000000001,2.26125,-47.486250000000005,-344750.17500000005,Initial SL Hit,7260,-3.4475017500000003,172.75,49.55,2017,6,"15, 5, 30m, 1.5% SL"
12,nifty,9900,P,2017-07-27,2017-07-24 12:45:00,SELL,2017-07-24,13:15:00,18.45,27.674999999999997,1,2017-07-27 09:15:00,1.0,17.45,0.1945,17.255499999999998,121910.10749999998,Target Hit,7065,1.2191010749999998,89.1,0.35,2017,7,"15, 5, 30m, 1.5% SL"
13,nifty,9900,C,2017-08-31,2017-08-29 12:15:00,SELL,2017-08-29,12:45:00,15.85,23.775,1,2017-08-30 09:15:00,23.775,-7.924999999999999,0.39625,-8.32125,-58789.63124999999,Initial SL Hit,7065,-0.5878963125,65.3,7.5,2017,8,"15, 5, 30m, 1.5% SL"
14,nifty,9900,C,2017-08-31,2017-08-30 09:45:00,SELL,2017-08-30,10:15:00,19.7,29.549999999999997,1,2017-08-30 11:45:00,29.549999999999997,-9.849999999999998,0.4925,-10.342499999999998,-73069.76249999998,Initial SL Hit,7065,-0.7306976249999998,65.3,7.5,2017,8,"15, 5, 30m, 1.5% SL"
15,nifty,9900,P,2017-08-31,2017-08-30 13:45:00,SELL,2017-08-30,14:15:00,26.85,40.275000000000006,1,2017-08-31 09:15:00,40.275000000000006,-13.425000000000004,0.67125,-14.096250000000005,-99590.00625000003,Initial SL Hit,7065,-0.9959000625000004,120.0,21.25,2017,8,"15, 5, 30m, 1.5% SL"
16,nifty,9900,C,2017-08-31,2017-08-31 12:15:00,SELL,2017-08-31,12:45:00,12.35,18.525,1,2017-08-31 14:45:00,18.525,-6.174999999999999,0.30875,-6.483749999999999,-45807.69374999999,Initial SL Hit,7065,-0.4580769374999999,65.3,4.1,2017,8,"15, 5, 30m, 1.5% SL"
17,nifty,10100,C,2017-09-28,2017-09-25 12:15:00,SELL,2017-09-25,12:45:00,5.2,7.800000000000001,1,2017-09-27 09:45:00,1.0,4.2,0.062000000000000006,4.138,28676.34,Target Hit,6930,0.2867634,55.35,0.9,2017,9,"15, 5, 30m, 1.5% SL"
18,nifty,10200,P,2017-10-26,2017-10-24 13:45:00,SELL,2017-10-24,14:15:00,38.85,58.275000000000006,1,2017-10-26 12:15:00,1.0,37.85,0.3985,37.4515,257291.80500000002,Target Hit,6870,2.57291805,100.0,1.0,2017,10,"15, 5, 30m, 1.5% SL"
19,nifty,10350,C,2017-11-30,2017-11-27 12:15:00,SELL,2017-11-27,12:45:00,53.0,79.5,1,2017-11-27 14:15:00,79.5,-26.5,1.325,-27.825,-188236.125,Initial SL Hit,6765,-1.88236125,102.0,50.6,2017,11,"15, 5, 30m, 1.5% SL"
20,nifty,10350,P,2017-11-30,2017-11-28 09:45:00,SELL,2017-11-28,10:15:00,21.2,31.799999999999997,1,2017-11-28 13:45:00,31.799999999999997,-10.599999999999998,0.53,-11.129999999999997,-75294.44999999998,Initial SL Hit,6765,-0.7529444999999998,52.7,12.1,2017,11,"15, 5, 30m, 1.5% SL"
21,nifty,10350,P,2017-11-30,2017-11-28 14:15:00,SELL,2017-11-28,14:45:00,27.65,41.474999999999994,1,2017-11-30 09:15:00,41.474999999999994,-13.824999999999996,0.69125,-14.516249999999996,-98202.43124999997,Initial SL Hit,6765,-0.9820243124999996,57.6,12.1,2017,11,"15, 5, 30m, 1.5% SL"
22,nifty,10350,C,2017-11-30,2017-11-29 10:15:00,SELL,2017-11-29,10:45:00,56.0,84.0,1,2017-11-30 14:15:00,1.0,55.0,0.5700000000000001,54.43,368218.95,Target Hit,6765,3.6821895000000002,102.0,0.15,2017,11,"15, 5, 30m, 1.5% SL"
23,nifty,10450,P,2017-12-28,2017-12-26 12:15:00,SELL,2017-12-26,12:45:00,19.8,29.700000000000003,1,2017-12-28 14:15:00,1.0,18.8,0.20800000000000002,18.592000000000002,124659.36000000002,Target Hit,6705,1.2465936000000002,53.0,0.6,2017,12,"15, 5, 30m, 1.5% SL"
24,nifty,10450,C,2017-12-28,2017-12-28 10:45:00,SELL,2017-12-28,11:15:00,51.8,77.69999999999999,1,2017-12-28 13:45:00,77.69999999999999,-25.89999999999999,1.295,-27.194999999999993,-182342.47499999995,Initial SL Hit,6705,-1.8234247499999996,115.0,44.15,2017,12,"15, 5, 30m, 1.5% SL"
25,nifty,10850,P,2018-01-25,2018-01-22 12:15:00,SELL,2018-01-22,12:45:00,30.45,45.675,1,2018-01-25 09:15:00,1.0,29.45,0.3145,29.1355,187923.975,Target Hit,6450,1.8792397500000002,87.85,0.35,2018,1,"15, 5, 30m, 1.5% SL"
26,nifty,10850,C,2018-01-25,2018-01-25 12:45:00,SELL,2018-01-25,13:15:00,180.0,270.0,1,2018-01-25 15:15:00,207.4,-27.400000000000006,3.8739999999999997,-31.274000000000004,-201717.30000000002,Expiry Exit,6450,-2.017173,264.8,31.35,2018,1,"15, 5, 30m, 1.5% SL"
27,nifty,10600,C,2018-02-22,2018-02-19 12:15:00,SELL,2018-02-19,12:45:00,6.75,10.125,1,2018-02-21 12:45:00,1.0,5.75,0.0775,5.6725,37438.5,Target Hit,6600,0.37438499999999997,82.4,0.95,2018,2,"15, 5, 30m, 1.5% SL"
28,nifty,10600,P,2018-02-22,2018-02-20 13:45:00,SELL,2018-02-20,14:15:00,193.2,289.79999999999995,1,2018-02-22 15:15:00,217.45,-24.25,4.1065,-28.3565,-187152.9,Expiry Exit,6600,-1.871529,309.0,69.25,2018,2,"15, 5, 30m, 1.5% SL"
29,nifty,9950,P,2018-03-28,2018-03-26 12:15:00,SELL,2018-03-26,12:45:00,25.15,37.724999999999994,1,2018-03-28 09:15:00,1.0,24.15,0.2615,23.888499999999997,168055.59749999997,Target Hit,7035,1.6805559749999996,67.9,0.35,2018,3,"15, 5, 30m, 1.5% SL"
30,nifty,9950,C,2018-03-28,2018-03-28 12:15:00,SELL,2018-03-28,12:45:00,180.4,270.6,1,2018-03-28 15:15:00,163.95,16.450000000000017,3.4435000000000002,13.006500000000017,91500.72750000012,Expiry Exit,7035,0.9150072750000012,254.2,68.8,2018,3,"15, 5, 30m, 1.5% SL"
31,nifty,10550,P,2018-04-26,2018-04-23 12:45:00,SELL,2018-04-23,13:15:00,25.75,38.625,1,2018-04-25 13:45:00,38.625,-12.875,0.64375,-13.51875,-89629.3125,Initial SL Hit,6630,-0.896293125,67.6,12.4,2018,4,"15, 5, 30m, 1.5% SL"
32,nifty,10550,C,2018-04-26,2018-04-25 10:45:00,SELL,2018-04-25,11:15:00,51.8,77.69999999999999,1,2018-04-26 15:15:00,56.85,-5.050000000000004,1.0865,-6.136500000000004,-40684.99500000003,Expiry Exit,6630,-0.4068499500000003,92.6,18.25,2018,4,"15, 5, 30m, 1.5% SL"
33,nifty,10550,P,2018-04-26,2018-04-26 12:15:00,SELL,2018-04-26,12:45:00,9.55,14.325000000000001,1,2018-04-26 14:45:00,1.0,8.55,0.10550000000000001,8.444500000000001,55987.03500000001,Target Hit,6630,0.5598703500000002,67.6,0.05,2018,4,"15, 5, 30m, 1.5% SL"
34,nifty,10550,P,2018-05-31,2018-05-28 13:15:00,SELL,2018-05-28,13:45:00,11.3,16.950000000000003,1,2018-05-29 12:45:00,16.950000000000003,-5.650000000000002,0.28250000000000003,-5.932500000000002,-39332.47500000001,Initial SL Hit,6630,-0.39332475000000017,68.95,8.0,2018,5,"15, 5, 30m, 1.5% SL"
35,nifty,10550,C,2018-05-31,2018-05-29 13:45:00,SELL,2018-05-29,14:15:00,79.05,118.57499999999999,1,2018-05-31 13:15:00,118.57499999999999,-39.52499999999999,1.97625,-41.50124999999999,-275153.2874999999,Initial SL Hit,6630,-2.751532874999999,158.2,30.9,2018,5,"15, 5, 30m, 1.5% SL"
36,nifty,10550,P,2018-05-31,2018-05-31 09:45:00,SELL,2018-05-31,10:15:00,1.75,2.625,1,2018-05-31 11:45:00,1.0,0.75,0.0275,0.7225,4790.175,Target Hit,6630,0.04790175,68.95,0.65,2018,5,"15, 5, 30m, 1.5% SL"
37,nifty,10750,P,2018-06-28,2018-06-25 12:45:00,SELL,2018-06-25,13:15:00,39.55,59.324999999999996,1,2018-06-26 09:15:00,59.324999999999996,-19.775,0.98875,-20.763749999999998,-135172.01249999998,Initial SL Hit,6510,-1.3517201249999997,81.2,25.0,2018,6,"15, 5, 30m, 1.5% SL"
38,nifty,10750,C,2018-06-28,2018-06-26 09:45:00,SELL,2018-06-26,10:15:00,47.05,70.57499999999999,1,2018-06-26 14:45:00,70.57499999999999,-23.52499999999999,1.1762499999999998,-24.70124999999999,-160805.13749999995,Initial SL Hit,6510,-1.6080513749999994,119.9,36.4,2018,6,"15, 5, 30m, 1.5% SL"
