Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
2017-01-17 12:15:00,LONG,2017-01-17 13:15:00,7622.55,7590.5,7590.5,2017-01-20 09:15:00,7575.95,-46.600000000000364,-49.63970000000037,-309007.1325000023,Gap Open Outside ISL,6225,6.333,-4.1200951000000305,2017,1,0.0
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,7572.1,7553.65,7553.65,2017-01-20 12:15:00,7553.65,-18.450000000000728,-21.475150000000728,-134756.56625000457,Initial SL hit,6275,6.333,-1.7967542166667276,2017,1,-1.7967542166667272
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,7509.9,7494.55,7494.55,2017-01-23 12:15:00,7494.55,-15.349999999999454,-18.350889999999456,-116069.37924999656,Initial SL Hit,6325,6.333,-1.5475917233332874,2017,1,-3.3443459400000144
2017-01-23 13:15:00,LONG,2017-01-23 14:15:00,7511.3,7486.0,8146.24375,2017-02-16 09:15:00,8126.9,615.5999999999995,612.4723599999994,3873887.6769999964,TSL Hit,6325,6.333,51.65183569333328,2017,1,0.0
2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,8144.65,8116.35,8306.0125,2017-03-02 15:15:00,8300.6,155.95000000000073,152.66095000000072,889250.0337500043,TSL Hit,5825,6.333,11.856667116666724,2017,2,0.0
2017-03-03 12:15:00,LONG,2017-03-03 13:15:00,8241.75,8221.2,8323.20375,2017-03-10 13:15:00,8296.75,55.0,51.6923,298523.03250000003,TSL Hit,5775,6.333,3.9803071,2017,3,0.0
2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,8516.55,8494.8,8494.8,2017-03-14 14:15:00,8494.8,-21.75,-25.15227,-140223.90525,Initial SL hit,5575,6.333,-1.86965207,2017,3,-1.8696520700000008
2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,8515.65,8499.15,8499.15,2017-03-15 09:15:00,8499.15,-16.5,-19.90296,-110959.00200000001,Initial SL hit,5575,6.333,-1.4794533600000002,2017,3,-3.3491054300000016
2017-03-15 12:15:00,LONG,2017-03-15 13:15:00,8544.15,8534.4,8534.4,2017-03-15 13:15:00,8534.4,-9.75,-13.16571,-73069.6905,Initial SL hit,5550,6.333,-0.97426254,2017,3,-4.32336797
2017-03-16 11:15:00,LONG,2017-03-16 12:15:00,8584.35,8568.4,8568.4,2017-03-20 09:15:00,8568.4,-15.950000000000728,-19.380550000000728,-107077.53875000402,Initial SL hit,5525,6.333,-1.4277005166667203,2017,3,-5.751068486666718
2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,8596.5,8565.3,8565.3,2017-03-21 11:15:00,8565.3,-31.200000000000728,-34.63236000000073,-191343.78900000404,Initial SL hit,5525,6.333,-2.5512505200000537,2017,3,-8.302319006666771
2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,8551.6,8535.5,8535.5,2017-03-21 14:15:00,8535.5,-16.100000000000364,-19.517420000000364,-108321.68100000202,Initial SL hit,5550,6.333,-1.444289080000027,2017,3,-9.746608086666797
2017-03-22 11:15:00,LONG,2017-03-22 12:15:00,8488.8,8472.6,8472.6,2017-03-22 14:15:00,8472.6,-16.19999999999891,-19.592279999998908,-109716.76799999388,Initial SL hit,5600,6.333,-1.4628902399999184,2017,3,-11.209498326666711
2017-03-23 13:15:00,LONG,2017-03-23 14:15:00,8491.75,8474.35,8795.643125,2017-04-19 09:15:00,8785.35,293.60000000000036,290.14458000000036,1624809.648000002,TSL Hit,5600,6.333,21.664128640000023,2017,3,0.0
2017-04-19 14:15:00,LONG,2017-04-19 15:15:00,8791.5,8759.2,8800.654375,2017-04-21 11:15:00,8788.05,-3.4500000000007276,-6.9659100000007275,-37615.914000003926,TSL Hit,5400,6.333,-0.5015455200000524,2017,4,-0.5015455200000503
2017-04-21 14:15:00,LONG,2017-04-21 15:15:00,8819.3,8765.95,9256.559375,2017-05-19 11:15:00,9214.2,394.90000000000146,391.29330000000147,2103201.4875000077,TSL Hit,5375,6.333,28.0426865000001,2017,4,0.0
2017-05-19 12:15:00,LONG,2017-05-19 13:15:00,9246.15,9192.9,9192.9,2017-05-22 15:15:00,9192.9,-53.25,-56.93781,-291806.27625,Initial SL Hit,5125,6.333,-3.8907503500000002,2017,5,-3.8907503500000047
2017-05-23 11:15:00,LONG,2017-05-23 12:15:00,9172.5,9158.35,9158.35,2017-05-23 14:15:00,9158.35,-14.149999999999636,-17.816169999999637,-92198.67974999812,Initial SL Hit,5175,6.333,-1.229315729999975,2017,5,-5.120066079999987
2017-05-25 09:15:00,LONG,2017-05-25 10:15:00,9212.6,9159.6,9564.67,2017-06-15 13:15:00,9564.35,351.75,347.99461,1792172.2415,TSL Hit,5150,6.333,23.895629886666665,2017,5,0.0
2017-06-15 14:15:00,LONG,2017-06-15 15:15:00,9583.85,9545.85,9649.464375,2017-06-23 14:15:00,9641.1,57.25,53.40501,264354.79949999996,TSL Hit,4950,6.333,3.5247306599999995,2017,6,0.0
2017-07-12 14:15:00,LONG,2017-07-12 15:15:00,9638.7,9601.05,10110.576875,2017-08-08 09:15:00,10092.85,454.14999999999964,450.20368999999965,2217253.173249998,TSL Hit,4925,6.333,29.563375643333305,2017,7,0.0
2017-08-08 10:15:00,LONG,2017-08-08 11:15:00,10120.7,10060.4,10060.4,2017-08-09 09:15:00,10060.4,-60.30000000000109,-64.33622000000109,-302380.2340000051,Initial SL Hit,4700,6.333,-4.0317364533334015,2017,8,-4.031736453333394
2017-08-09 13:15:00,LONG,2017-08-09 14:15:00,10039.85,10017.2,10017.2,2017-08-09 15:15:00,10017.2,-22.649999999999636,-26.661409999999638,-125975.16224999829,Initial SL Hit,4725,6.333,-1.6796688299999771,2017,8,-5.711405283333363
2017-08-10 09:15:00,LONG,2017-08-10 10:15:00,10006.4,9954.15,9954.15,2017-08-10 14:15:00,9954.15,-52.25,-56.24211,-267150.02249999996,Initial SL Hit,4750,6.333,-3.5620003,2017,8,-9.273405583333357
2017-08-28 09:15:00,LONG,2017-08-28 10:15:00,10115.5,10074.25,10074.25,2017-08-29 09:15:00,10065.1,-50.399999999999636,-54.43611999999963,-255849.76399999828,Gap Open Outside ISL,4700,6.333,-3.411330186666644,2017,8,-12.684735770000003
2017-08-30 10:15:00,LONG,2017-08-30 11:15:00,10074.7,10055.95,10055.95,2017-08-31 09:15:00,10055.95,-18.75,-22.776130000000002,-107617.21425,Initial SL hit,4725,6.333,-1.4348961900000001,2017,8,-14.119631959999992
