,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,finnifty,18500,C,2022-01-11,2022-01-11 14:15:00,BUY,2022-01-11 14:20:00,49.2,26.8,33.73,2022-01-11 14:25:00,26.8,-22.400000000000002,1.14,-23.540000000000003,-26272.321428571428,Initial SL hit,1116.0714285714284,-1.0508928571428573,2022,1
1,finnifty,18500,C,2022-01-11,2022-01-11 15:00:00,BUY,2022-01-11 15:05:00,28.0,7.05,25.36,2022-01-11 15:20:00,38.6,10.600000000000001,0.9989999999999999,9.601,11457.040572792363,EOD Exit,1193.3174224343675,0.4582816229116945,2022,1
2,finnifty,18500,P,2022-01-11,2022-01-11 14:35:00,BUY,2022-01-11 14:40:00,22.8,3.85,3.85,2022-01-11 15:00:00,3.85,-18.95,0.39975,-19.34975,-25527.374670184698,Initial SL Hit,1319.2612137203166,-1.021094986807388,2022,1
3,finnifty,17500,C,2022-02-08,2022-02-08 14:50:00,BUY,2022-02-08 14:55:00,60.0,26.55,97.045,2022-02-08 15:20:00,132.85,72.85,2.89275,69.95724999999999,52284.94020926755,EOD Exit,747.3841554559043,2.091397608370702,2022,2
4,finnifty,17500,P,2022-02-08,2022-02-08 14:05:00,BUY,2022-02-08 14:10:00,37.45,27.05,28.220000000000006,2022-02-08 14:15:00,27.05,-10.400000000000002,0.9674999999999999,-11.367500000000001,-27325.721153846152,Initial SL hit,2403.8461538461534,-1.0930288461538462,2022,2
5,finnifty,16900,C,2022-02-28,2022-02-28 14:35:00,BUY,2022-02-28 14:40:00,50.5,30.0,30.0,2022-02-28 14:50:00,30.0,-20.5,1.2075,-21.7075,-26472.560975609755,Initial SL Hit,1219.5121951219512,-1.0589024390243902,2022,2
6,finnifty,16900,P,2022-02-28,2022-02-28 14:00:00,BUY,2022-02-28 14:05:00,90.0,60.0,68.715,2022-02-28 14:10:00,60.0,-30.0,2.25,-32.25,-26875.0,Initial SL hit,833.3333333333334,-1.075,2022,2
7,finnifty,17100,P,2022-03-22,2022-03-22 14:30:00,BUY,2022-03-22 14:35:00,89.1,64.45,67.53999999999999,2022-03-22 14:40:00,64.45,-24.64999999999999,2.3032500000000002,-26.95324999999999,-27335.953346855982,Initial SL hit,1014.1987829614608,-1.0934381338742394,2022,3
8,finnifty,18100,P,2022-04-05,2022-04-05 14:10:00,BUY,2022-04-05 14:15:00,20.0,11.0,14.669999999999998,2022-04-05 14:20:00,11.0,-9.0,0.46499999999999997,-9.465,-26291.666666666668,Initial SL hit,2777.777777777778,-1.0516666666666667,2022,4
9,finnifty,18100,P,2022-04-05,2022-04-05 14:30:00,BUY,2022-04-05 14:35:00,34.9,10.55,56.595000000000006,2022-04-05 15:20:00,106.35,71.44999999999999,2.11875,69.33124999999998,71181.98151950719,EOD Exit,1026.6940451745381,2.8472792607802875,2022,4
