,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,bankex,49800,P,2023-10-16,2023-10-16 13:30:00,BUY,2023-10-16 13:33:00,84.95,65.0,67.78928571428573,2023-10-16 13:39:00,65.0,-19.950000000000003,2.2492499999999995,-22.199250000000003,-27818.609022556393,Initial SL hit,1253.1328320802004,-1.1127443609022558,2023,10
1,bankex,49800,P,2023-10-16,2023-10-16 13:42:00,BUY,2023-10-16 13:45:00,71.5,60.05,60.05,2023-10-16 13:51:00,60.05,-11.450000000000003,1.9732500000000002,-13.423250000000003,-29308.40611353712,Initial SL Hit,2183.4061135371176,-1.1723362445414849,2023,10
2,bankex,49100,P,2023-10-23,2023-10-23 13:30:00,BUY,2023-10-23 13:33:00,79.5,54.55,64.21428571428571,2023-10-23 13:42:00,54.55,-24.950000000000003,2.0107500000000003,-26.960750000000004,-27014.77955911824,Initial SL hit,1002.004008016032,-1.0805911823647296,2023,10
3,bankex,49100,P,2023-10-23,2023-10-23 13:57:00,BUY,2023-10-23 14:00:00,39.6,25.05,439.47499999999997,2023-10-23 15:21:00,584.8,545.1999999999999,9.366,535.834,920676.9759450171,EOD Exit,1718.213058419244,36.82707903780068,2023,10
9,bankex,49300,P,2023-11-20,2023-11-20 14:57:00,BUY,2023-11-20 15:00:00,80.1,35.3,98.07142857142857,2023-11-20 15:21:00,123.9,43.80000000000001,3.06,40.74000000000001,22734.375000000007,EOD Exit,558.0357142857143,0.9093750000000003,2023,11
13,bankex,54100,P,2023-12-18,2023-12-18 13:33:00,BUY,2023-12-18 13:36:00,86.9,47.8,47.8,2023-12-18 14:00:00,47.8,-39.10000000000001,2.0204999999999997,-41.12050000000001,-26291.87979539642,Initial SL Hit,639.3861892583119,-1.051675191815857,2023,12
16,bankex,53900,P,2024-01-08,2024-01-08 14:12:00,BUY,2024-01-08 14:15:00,94.75,55.8,425.0785714285715,2024-01-08 15:06:00,410.65,315.9,7.5809999999999995,308.31899999999996,197894.09499358147,TSL Hit,641.8485237483953,7.915763799743258,2024,1
19,bankex,51900,P,2024-02-05,2024-02-05 14:33:00,BUY,2024-02-05 14:36:00,148.35,90.4,138.52857142857144,2024-02-05 15:03:00,90.4,-57.94999999999999,3.58125,-61.531249999999986,-26544.974115616908,Initial SL hit,431.4063848144953,-1.0617989646246762,2024,2
21,bankex,50800,P,2024-02-12,2024-02-12 13:36:00,BUY,2024-02-12 13:39:00,97.2,77.75,123.56071428571428,2024-02-12 13:57:00,116.6,19.39999999999999,3.207,16.19299999999999,20813.624678663225,TSL Hit,1285.3470437017993,0.8325449871465291,2024,2
22,bankex,52900,P,2024-02-19,2024-02-19 15:06:00,BUY,2024-02-19 15:09:00,137.2,73.45,100.13571428571429,2024-02-19 15:21:00,114.15,-23.049999999999983,3.77025,-26.820249999999984,-10517.745098039211,EOD Exit,392.1568627450981,-0.4207098039215685,2024,2
