,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
0,BANKNIFTY,18100,C,2017-01-05,2017-01-05 14:00:00,BUY,2017-01-05 14:05:00,34.95,25.95,25.95,2017-01-05 14:15:00,25.95,-9.000000000000004,0.9135,-9.913500000000004,-27537.5,Initial SL Hit,2777.7777777777765,-1.1015,2017,1,-27537.5,-1.1015,-1.1015,0.0
307,NIFTY,8550,C,2017-01-25,2017-01-25 13:30:00,BUY,2017-01-25 13:35:00,10.95,7.25,7.25,2017-01-25 14:00:00,7.25,-3.6999999999999993,0.2729999999999999,-3.973,-26844.5945945946,Initial SL Hit,6756.756756756759,-1.0737837837837838,2017,1,-54382.0945945946,-2.175283783783784,-1.1015,-1.073783783783784
1,BANKNIFTY,19300,C,2017-01-25,2017-01-25 14:00:00,BUY,2017-01-25 14:05:00,15.15,9.45,9.45,2017-01-25 14:10:00,9.45,-5.700000000000001,0.369,-6.069000000000001,-26618.42105263158,Initial SL Hit,4385.964912280701,-1.0647368421052632,2017,1,-81000.51564722619,-3.240020625889047,-1.1015,-2.138520625889047
308,NIFTY,8550,C,2017-01-25,2017-01-25 14:10:00,BUY,2017-01-25 14:15:00,10.55,6.0,21.0125,2017-01-25 14:45:00,20.75,10.2,0.4695,9.7305,53464.2857142857,TSL Hit,5494.5054945054935,2.1385714285714283,2017,1,-27536.229932940485,-1.1014491973176188,-1.1014491973176188,0.0
2,BANKNIFTY,19300,C,2017-01-25,2017-01-25 14:20:00,BUY,2017-01-25 14:25:00,11.35,7.3,148.5,2017-01-25 15:20:00,161.0,149.65,2.58525,147.06475,907807.098765432,EOD Exit,6172.83950617284,36.312283950617285,2017,1,880270.8688324916,35.210834753299665,35.210834753299665,0.0
309,NIFTY,8550,C,2017-01-25,2017-01-25 14:50:00,BUY,2017-01-25 14:55:00,21.5,15.5,43.1375,2017-01-25 15:20:00,42.6,21.1,0.9615,20.1385,83910.41666666667,TSL Hit,4166.666666666667,3.3564166666666666,2017,1,964181.2854991582,38.56725141996633,38.56725141996633,0.0
3,BANKNIFTY,20100,C,2017-02-02,2017-02-02 14:00:00,BUY,2017-02-02 14:05:00,54.8,24.65,41.9,2017-02-02 14:20:00,24.65,-30.15,1.19175,-31.34175,-25988.184079601982,Initial SL hit,829.1873963515754,-1.0395273631840796,2017,2,938193.1014195562,37.527724056782255,38.56725141996633,-1.039527363184078
4,BANKNIFTY,20100,C,2017-02-02,2017-02-02 14:25:00,BUY,2017-02-02 14:30:00,29.0,16.35,16.35,2017-02-02 15:00:00,16.35,-12.65,0.68025,-13.33025,-26344.367588932808,Initial SL Hit,1976.2845849802372,-1.0537747035573122,2017,2,911848.7338306233,36.473949353224945,38.56725141996633,-2.093302066741387
5,BANKNIFTY,20300,C,2017-02-16,2017-02-16 13:55:00,BUY,2017-02-16 14:00:00,29.15,14.85,14.85,2017-02-16 14:05:00,14.85,-14.3,0.6599999999999999,-14.96,-26153.84615384616,Initial SL Hit,1748.2517482517485,-1.0461538461538462,2017,2,885694.8876767772,35.427795507071096,38.56725141996633,-3.1394559128952366
310,NIFTY,9000,C,2017-02-23,2017-02-23 13:40:00,BUY,2017-02-23 13:45:00,8.35,6.4,7.675000000000001,2017-02-23 14:00:00,6.75,-1.5999999999999996,0.2264999999999999,-1.8265,-23416.66666666667,TSL Hit,12820.512820512826,-0.9366666666666668,2017,2,862278.2210101106,34.49112884040443,38.56725141996633,-4.076122579561904
6,BANKNIFTY,20700,P,2017-03-02,2017-03-02 14:10:00,BUY,2017-03-02 14:15:00,6.5,4.05,76.5,2017-03-02 15:05:00,75.95,69.45,1.23675,68.21325,696053.5714285714,TSL Hit,10204.08163265306,27.842142857142854,2017,3,1558331.792438682,62.33327169754728,62.33327169754728,0.0
7,BANKNIFTY,21600,P,2017-04-06,2017-04-06 14:10:00,BUY,2017-04-06 14:15:00,81.0,73.0,73.0,2017-04-06 14:30:00,73.0,-8.0,2.31,-10.31,-32218.75,Initial SL hit,3125.0,-1.28875,2017,4,1526113.042438682,61.04452169754728,62.33327169754728,-1.2887500000000003
311,NIFTY,9350,C,2017-04-27,2017-04-27 13:35:00,BUY,2017-04-27 13:40:00,16.9,13.5,13.5,2017-04-27 13:55:00,13.5,-3.3999999999999986,0.4559999999999999,-3.855999999999999,-28352.941176470587,Initial SL Hit,7352.941176470591,-1.1341176470588237,2017,4,1497760.1012622113,59.91040405048846,62.33327169754728,-2.4228676470588226
312,NIFTY,9350,C,2017-04-27,2017-04-27 14:00:00,BUY,2017-04-27 14:05:00,16.95,12.15,12.15,2017-04-27 14:15:00,12.15,-4.799999999999999,0.4365,-5.236499999999999,-27273.4375,Initial SL Hit,5208.333333333335,-1.0909375,2017,4,1470486.6637622113,58.81946655048846,62.33327169754728,-3.513805147058825
8,BANKNIFTY,22300,C,2017-04-27,2017-04-27 14:45:00,BUY,2017-04-27 14:50:00,42.55,24.35,24.35,2017-04-27 15:05:00,24.35,-18.2,1.0035,-19.203499999999995,-26378.434065934067,Initial SL Hit,1373.626373626374,-1.0551373626373628,2017,4,1444108.2296962773,57.7643291878511,62.33327169754728,-4.5689425096961855
9,BANKNIFTY,22700,C,2017-05-04,2017-05-04 14:05:00,BUY,2017-05-04 14:10:00,15.4,7.75,30.6,2017-05-04 14:40:00,24.45,9.05,0.59775,8.45225,27621.73202614379,TSL Hit,3267.97385620915,1.1048692810457517,2017,5,1471729.961722421,58.86919846889685,62.33327169754728,-3.4640732286504345
10,BANKNIFTY,22700,C,2017-05-04,2017-05-04 14:45:00,BUY,2017-05-04 14:50:00,28.75,16.35,16.35,2017-05-04 14:55:00,16.35,-12.4,0.6765,-13.0765,-26363.911290322583,Initial SL Hit,2016.1290322580649,-1.0545564516129031,2017,5,1445366.0504320983,57.814642017283944,62.33327169754728,-4.518629680263338
11,BANKNIFTY,22900,P,2017-05-11,2017-05-11 14:50:00,BUY,2017-05-11 14:55:00,23.45,11.45,56.9875,2017-05-11 15:20:00,75.1,51.64999999999999,1.4782499999999998,50.17174999999999,104524.47916666666,EOD Exit,2083.333333333333,4.180979166666667,2017,5,1549890.529598765,61.99562118395061,62.33327169754728,-0.337650513596671
12,BANKNIFTY,22800,P,2017-05-18,2017-05-18 14:50:00,BUY,2017-05-18 14:55:00,87.8,50.1,82.9625,2017-05-18 15:05:00,76.45,-11.349999999999994,2.46375,-13.813749999999995,-9160.311671087533,TSL Hit,663.1299734748011,-0.3664124668435012,2017,5,1540730.2179276776,61.62920871710711,62.33327169754728,-0.7040629804401703
313,NIFTY,9450,C,2017-05-25,2017-05-25 13:50:00,BUY,2017-05-25 13:55:00,4.1,2.9,16.7375,2017-05-25 14:15:00,16.35,12.250000000000002,0.30675,11.943250000000004,248817.70833333343,TSL Hit,20833.33333333334,9.952708333333335,2017,5,1789547.926261011,71.58191705044045,71.58191705044045,0.0
13,BANKNIFTY,22900,C,2017-05-25,2017-05-25 14:00:00,BUY,2017-05-25 14:05:00,87.8,25.95,197.0125,2017-05-25 14:50:00,173.15,85.35000000000001,3.91425,81.43575000000001,32916.63298302345,TSL Hit,404.2037186742118,1.316665319320938,2017,5,1822464.5592440346,72.89858236976139,72.89858236976139,0.0
314,NIFTY,9450,C,2017-05-25,2017-05-25 14:25:00,BUY,2017-05-25 14:30:00,22.35,16.1,21.4875,2017-05-25 14:40:00,19.5,-2.8500000000000014,0.62775,-3.477750000000001,-13911.000000000004,TSL Hit,4000.0,-0.5564400000000003,2017,5,1808553.5592440346,72.34214236976139,72.89858236976139,-0.5564399999999949
315,NIFTY,9450,C,2017-05-25,2017-05-25 14:45:00,BUY,2017-05-25 14:50:00,21.0,16.0,56.8375,2017-05-25 15:15:00,50.95,29.950000000000003,1.07925,28.87075,144353.75,TSL Hit,5000.0,5.774150000000001,2017,5,1952907.3092440346,78.1162923697614,78.1162923697614,0.0
14,BANKNIFTY,22900,C,2017-05-25,2017-05-25 14:55:00,BUY,2017-05-25 15:00:00,210.0,165.0,307.5625,2017-05-25 15:15:00,295.6,85.60000000000002,7.584,78.01600000000002,43342.22222222223,TSL Hit,555.5555555555555,1.7336888888888895,2017,5,1996249.5314662568,79.84998125865029,79.84998125865029,0.0
15,BANKNIFTY,23300,C,2017-06-01,2017-06-01 14:10:00,BUY,2017-06-01 14:15:00,60.6,45.45,45.45,2017-06-01 14:25:00,45.45,-15.15,1.59075,-16.74075,-27625.0,Initial SL Hit,1650.1650165016504,-1.105,2017,6,1968624.5314662568,78.74498125865028,79.84998125865029,-1.105000000000004
16,BANKNIFTY,23600,P,2017-06-08,2017-06-08 15:00:00,BUY,2017-06-08 15:05:00,39.95,25.45,55.7,2017-06-08 15:20:00,58.05,18.099999999999994,1.47,16.629999999999995,28672.413793103435,EOD Exit,1724.1379310344823,1.1468965517241374,2017,6,1997296.9452593604,79.89187781037442,79.89187781037442,0.0
17,BANKNIFTY,23400,P,2017-06-15,2017-06-15 14:05:00,BUY,2017-06-15 14:10:00,51.1,30.55,75.4625,2017-06-15 14:30:00,73.0,21.9,1.8615,20.0385,24377.73722627737,TSL Hit,1216.54501216545,0.9751094890510948,2017,6,2021674.6824856377,80.86698729942552,80.86698729942552,0.0
18,BANKNIFTY,23900,P,2017-06-22,2017-06-22 14:10:00,BUY,2017-06-22 14:15:00,59.25,46.25,99.9375,2017-06-22 14:35:00,97.55,38.3,2.352,35.948,69130.76923076923,TSL Hit,1923.076923076923,2.7652307692307696,2017,6,2090805.451716407,83.63221806865629,83.63221806865629,0.0
19,BANKNIFTY,23900,P,2017-06-22,2017-06-22 14:45:00,BUY,2017-06-22 14:50:00,98.8,87.05,144.4,2017-06-22 15:05:00,143.0,44.2,3.627,40.573,86325.53191489361,TSL Hit,2127.659574468085,3.453021276595744,2017,6,2177130.9836313007,87.08523934525203,87.08523934525203,0.0
316,NIFTY,9500,P,2017-06-29,2017-06-29 13:35:00,BUY,2017-06-29 13:40:00,19.3,12.0,12.0,2017-06-29 13:45:00,12.0,-7.300000000000001,0.4695,-7.769500000000001,-26607.876712328765,Initial SL Hit,3424.657534246575,-1.0643150684931506,2017,6,2150523.106918972,86.02092427675889,87.08523934525203,-1.0643150684931442
317,NIFTY,9500,P,2017-06-29,2017-06-29 13:50:00,BUY,2017-06-29 13:55:00,12.5,7.7,7.7,2017-06-29 14:00:00,7.7,-4.8,0.303,-5.103,-26578.125000000004,Initial SL Hit,5208.333333333334,-1.063125,2017,6,2123944.981918972,84.95779927675889,87.08523934525203,-2.1274400684931436
318,NIFTY,9500,P,2017-06-29,2017-06-29 14:05:00,BUY,2017-06-29 14:10:00,8.15,4.25,4.25,2017-06-29 14:20:00,4.25,-3.9,0.186,-4.086,-26192.30769230769,Initial SL Hit,6410.256410256409,-1.0476923076923077,2017,6,2097752.6742266645,83.91010696906659,87.08523934525203,-3.175132376185445
20,BANKNIFTY,23200,P,2017-06-29,2017-06-29 14:25:00,BUY,2017-06-29 14:30:00,15.4,8.5,8.5,2017-06-29 14:30:00,8.5,-6.9,0.3585,-7.258500000000001,-26298.91304347826,Initial SL Hit,3623.188405797101,-1.0519565217391305,2017,6,2071453.7611831862,82.85815044732746,87.08523934525203,-4.227088897924574
21,BANKNIFTY,23200,P,2017-06-29,2017-06-29 14:50:00,BUY,2017-06-29 14:55:00,14.0,6.55,6.55,2017-06-29 14:55:00,6.55,-7.45,0.30825,-7.75825,-26034.395973154365,Initial SL Hit,3355.704697986577,-1.0413758389261747,2017,6,2045419.3652100319,81.81677460840129,87.08523934525203,-5.268464736850746
22,BANKNIFTY,23500,C,2017-07-06,2017-07-06 14:05:00,BUY,2017-07-06 14:10:00,43.2,35.3,35.3,2017-07-06 14:15:00,35.3,-7.900000000000006,1.1775,-9.077500000000006,-28726.265822784808,Initial SL Hit,3164.556962025314,-1.1490506329113923,2017,7,2016693.099387247,80.66772397548989,87.08523934525203,-6.4175153697621425
319,NIFTY,10050,P,2017-07-27,2017-07-27 14:55:00,BUY,2017-07-27 15:00:00,12.4,3.3,3.3,2017-07-27 15:20:00,24.0,11.6,0.5459999999999999,11.054,30368.131868131863,EOD Exit,2747.2527472527468,1.2147252747252746,2017,7,2047061.231255379,81.88244925021516,87.08523934525203,-5.202790095036875
23,BANKNIFTY,24800,P,2017-08-03,2017-08-03 14:10:00,BUY,2017-08-03 14:15:00,31.95,22.25,97.525,2017-08-03 14:45:00,94.25,62.3,1.893,60.407,155688.1443298969,TSL Hit,2577.319587628866,6.227525773195876,2017,8,2202749.3755852757,88.10997502341104,88.10997502341104,0.0
24,BANKNIFTY,24800,P,2017-08-03,2017-08-03 14:55:00,BUY,2017-08-03 15:00:00,105.15,49.8,49.8,2017-08-03 15:20:00,106.9,1.75,3.18075,-1.4307500000000002,-646.2285456187894,EOD Exit,451.6711833785004,-0.0258491418247515,2017,8,2202103.147039657,88.08412588158629,88.10997502341104,-0.025849141824750177
320,NIFTY,9900,C,2017-08-31,2017-08-31 14:25:00,BUY,2017-08-31 14:30:00,9.55,6.55,6.55,2017-08-31 14:55:00,6.55,-3.000000000000001,0.2415,-3.2415000000000007,-27012.5,Initial SL Hit,8333.33333333333,-1.0804999999999998,2017,8,2175090.647039657,87.00362588158629,88.10997502341104,-1.1063491418247509
