,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Initial Target,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
19,bnf,47600,C,2024-01-03,2024-01-03 12:55:00,BUY,2024-01-03 13:00:00,105.55,84.4,126.69999999999999,84.4,2024-01-03 13:00:00,126.69999999999999,21.14999999999999,3.4837499999999997,17.66624999999999,8352.836879432623,Target Hit,472.81323877068576,0.8352836879432622,2024,1
20,bnf,47600,C,2024-01-03,2024-01-03 13:10:00,BUY,2024-01-03 13:15:00,136.5,101.95,171.05,101.95,2024-01-03 13:30:00,101.95,-34.55,3.5767499999999997,-38.126749999999994,-11035.238784370476,Initial SL hit,289.43560057887123,-1.1035238784370476,2024,1
21,bnf,47600,C,2024-01-03,2024-01-03 14:05:00,BUY,2024-01-03 14:10:00,153.1,105.1,212.25,105.1,2024-01-03 14:15:00,105.1,-48.0,3.8729999999999998,-51.873,-10806.875,Initial SL Hit,208.33333333333334,-1.0806875,2024,1
55,bnf,47200,C,2024-01-10,2024-01-10 13:35:00,BUY,2024-01-10 13:40:00,101.3,83.85,118.75,83.85,2024-01-10 13:40:00,83.85,-17.450000000000003,2.7772499999999996,-20.22725,-11591.547277936961,Initial SL Hit,573.0659025787965,-1.159154727793696,2024,1
56,bnf,47200,C,2024-01-10,2024-01-10 13:50:00,BUY,2024-01-10 13:55:00,102.75,83.05,122.45,83.05,2024-01-10 13:55:00,122.45,19.700000000000003,3.3779999999999997,16.322000000000003,8285.27918781726,Target Hit,507.6142131979695,0.8285279187817259,2024,1
57,bnf,47200,C,2024-01-10,2024-01-10 14:05:00,BUY,2024-01-10 14:10:00,147.75,118.8,176.7,118.8,2024-01-10 14:15:00,176.7,28.94999999999999,4.86675,24.08324999999999,8318.911917098441,Target Hit,345.42314335060445,0.831891191709844,2024,1
58,bnf,47200,C,2024-01-10,2024-01-10 14:25:00,BUY,2024-01-10 14:30:00,127.15,103.35,150.95000000000002,103.35,2024-01-10 14:30:00,150.95000000000002,23.80000000000001,4.1715,19.62850000000001,8247.268907563026,Target Hit,420.16806722689057,0.8247268907563027,2024,1
59,bnf,47200,C,2024-01-10,2024-01-10 14:35:00,BUY,2024-01-10 14:40:00,192.2,135.25,274.35,135.25,2024-01-10 14:45:00,135.25,-56.94999999999999,4.91175,-61.86174999999999,-10862.467076382793,Initial SL hit,175.59262510974543,-1.0862467076382794,2024,1
60,bnf,47200,C,2024-01-10,2024-01-10 14:50:00,BUY,2024-01-10 14:55:00,179.0,135.95,217.3,151.9,2024-01-10 15:05:00,135.95,-43.05000000000001,4.72425,-47.77425000000001,-11097.38675958188,Initial SL hit,232.28803716608587,-1.109738675958188,2024,1
61,bnf,47200,C,2024-01-10,2024-01-10 15:10:00,BUY,2024-01-10 15:15:00,149.25,127.25,171.25,152.70333333333335,2024-01-10 15:20:00,153.7,4.449999999999989,4.54425,-0.09425000000001127,-42.84090909091422,EOD Exit,454.54545454545456,-0.004284090909091422,2024,1
62,bnf,47200,P,2024-01-10,2024-01-10 12:40:00,BUY,2024-01-10 12:45:00,53.65,33.95,73.35,33.95,2024-01-10 12:45:00,33.95,-19.699999999999996,1.3139999999999998,-21.013999999999996,-10667.005076142132,Initial SL Hit,507.61421319796966,-1.066700507614213,2024,1
97,bnf,46400,P,2024-01-17,2024-01-17 12:20:00,BUY,2024-01-17 12:25:00,163.85,139.85,298.95000000000005,217.29333333333332,2024-01-17 13:00:00,172.0,8.150000000000006,5.03775,3.1122500000000057,1296.7708333333358,TSL Hit,416.6666666666667,0.12967708333333358,2024,1
98,bnf,46400,P,2024-01-17,2024-01-17 13:05:00,BUY,2024-01-17 13:10:00,202.0,168.65,235.35,168.65,2024-01-17 13:10:00,235.35,33.349999999999994,6.56025,26.789749999999994,8032.908545727137,Target Hit,299.8500749625188,0.8032908545727138,2024,1
99,bnf,46400,P,2024-01-17,2024-01-17 13:10:00,BUY,2024-01-17 13:15:00,245.7,177.55,308.95,177.55,2024-01-17 13:25:00,177.55,-68.14999999999998,6.34875,-74.49874999999997,-10931.584739545122,Initial SL Hit,146.73514306676455,-1.0931584739545122,2024,1
100,bnf,46400,P,2024-01-17,2024-01-17 14:20:00,BUY,2024-01-17 14:25:00,198.7,161.35,236.04999999999998,171.71,2024-01-17 14:40:00,236.04999999999998,37.349999999999994,6.521249999999999,30.828749999999996,8254.016064257028,Target Hit,267.73761713520753,0.8254016064257028,2024,1
101,bnf,46400,P,2024-01-17,2024-01-17 15:00:00,BUY,2024-01-17 15:05:00,369.0,304.05,433.95,304.05,2024-01-17 15:20:00,345.75,-23.25,10.72125,-33.97125,-5230.369515011548,EOD Exit,153.96458814472675,-0.5230369515011548,2024,1
139,bnf,44500,C,2024-01-25,2024-01-25 12:35:00,BUY,2024-01-25 12:40:00,146.25,103.3,220.10000000000002,103.3,2024-01-25 12:50:00,103.3,-42.95,3.74325,-46.693250000000006,-10871.53667054715,Initial SL Hit,232.8288707799767,-1.087153667054715,2024,1
140,bnf,44500,C,2024-01-25,2024-01-25 13:45:00,BUY,2024-01-25 13:50:00,97.75,58.8,136.7,66.92,2024-01-25 14:05:00,58.8,-38.95,2.34825,-41.29825,-10602.888318356869,Initial SL hit,256.73940949935815,-1.060288831835687,2024,1
141,bnf,44500,C,2024-01-25,2024-01-25 14:25:00,BUY,2024-01-25 14:30:00,98.9,44.4,153.4,63.773333333333326,2024-01-25 14:35:00,58.05,-40.85000000000001,2.35425,-43.20425000000001,-7927.385321100918,TSL Hit,183.48623853211006,-0.7927385321100919,2024,1
142,bnf,44500,C,2024-01-25,2024-01-25 14:50:00,BUY,2024-01-25 14:55:00,61.75,32.4,91.1,32.4,2024-01-25 15:00:00,91.1,29.349999999999994,2.29275,27.057249999999996,9218.824531516182,Target Hit,340.71550255536624,0.9218824531516182,2024,1
143,bnf,44500,C,2024-01-25,2024-01-25 15:05:00,BUY,2024-01-25 15:10:00,251.0,157.2,344.8,157.2,2024-01-25 15:15:00,344.8,93.80000000000001,8.937,84.86300000000001,9047.228144989338,Target Hit,106.6098081023454,0.9047228144989338,2024,1
144,bnf,44500,P,2024-01-25,2024-01-25 12:25:00,BUY,2024-01-25 12:30:00,118.35,83.3,171.00000000000003,83.3,2024-01-25 12:35:00,83.3,-35.05,3.0247499999999996,-38.074749999999995,-10862.981455064193,Initial SL Hit,285.30670470756064,-1.0862981455064193,2024,1
145,bnf,44500,P,2024-01-25,2024-01-25 13:20:00,BUY,2024-01-25 13:25:00,95.55,71.8,119.3,71.8,2024-01-25 13:30:00,71.8,-23.75,2.5102499999999996,-26.26025,-11056.947368421052,Initial SL Hit,421.05263157894734,-1.105694736842105,2024,1
164,bnf,46000,C,2024-01-31,2024-01-31 13:25:00,BUY,2024-01-31 13:30:00,92.0,74.7,109.3,74.7,2024-01-31 13:35:00,74.7,-17.299999999999997,2.5004999999999997,-19.800499999999996,-11445.375722543353,Initial SL Hit,578.034682080925,-1.1445375722543352,2024,1
165,bnf,46000,C,2024-01-31,2024-01-31 13:50:00,BUY,2024-01-31 13:55:00,105.5,54.3,148.85000000000002,54.3,2024-01-31 14:20:00,54.3,-51.2,2.3970000000000002,-53.597,-10468.1640625,Initial SL Hit,195.3125,-1.04681640625,2024,1
166,bnf,46000,C,2024-01-31,2024-01-31 14:30:00,BUY,2024-01-31 14:35:00,63.05,30.4,98.00000000000001,30.4,2024-01-31 14:40:00,98.00000000000001,34.95000000000002,2.41575,32.534250000000014,9964.548238897401,Target Hit,306.2787136294028,0.9964548238897402,2024,1
167,bnf,46000,P,2024-01-31,2024-01-31 12:30:00,BUY,2024-01-31 12:35:00,155.65,106.4,204.9,106.4,2024-01-31 13:00:00,106.4,-49.25,3.93075,-53.18075,-10798.121827411167,Initial SL hit,203.0456852791878,-1.0798121827411167,2024,1
201,bnf,45700,C,2024-02-07,2024-02-07 13:35:00,BUY,2024-02-07 13:40:00,103.25,72.5,134.0,72.5,2024-02-07 13:45:00,72.5,-30.75,2.63625,-33.38625,-10857.31707317073,Initial SL hit,325.2032520325203,-1.085731707317073,2024,2
202,bnf,45700,C,2024-02-07,2024-02-07 13:55:00,BUY,2024-02-07 14:00:00,68.7,46.5,90.9,46.5,2024-02-07 14:05:00,90.9,22.200000000000003,2.394,19.806000000000004,8921.621621621622,Target Hit,450.4504504504504,0.8921621621621622,2024,2
203,bnf,45700,C,2024-02-07,2024-02-07 14:10:00,BUY,2024-02-07 14:15:00,103.45,70.15,136.75,70.15,2024-02-07 14:15:00,70.15,-33.3,2.604,-35.903999999999996,-10781.98198198198,Initial SL Hit,300.3003003003003,-1.078198198198198,2024,2
204,bnf,45700,C,2024-02-07,2024-02-07 14:50:00,BUY,2024-02-07 14:55:00,106.2,76.1,150.55,76.1,2024-02-07 14:55:00,76.1,-30.10000000000001,2.7345,-32.834500000000006,-10908.47176079734,Initial SL Hit,332.22591362126235,-1.090847176079734,2024,2
205,bnf,45700,C,2024-02-07,2024-02-07 15:10:00,BUY,2024-02-07 15:15:00,129.3,104.5,154.10000000000002,104.5,2024-02-07 15:20:00,123.1,-6.200000000000017,3.786,-9.986000000000017,-4026.612903225811,EOD Exit,403.2258064516127,-0.4026612903225811,2024,2
206,bnf,45700,P,2024-02-07,2024-02-07 12:45:00,BUY,2024-02-07 12:50:00,92.85,64.95,126.0,64.95,2024-02-07 13:00:00,64.95,-27.89999999999999,2.367,-30.266999999999992,-10848.387096774193,Initial SL Hit,358.42293906810045,-1.0848387096774195,2024,2
235,bnf,45500,C,2024-02-14,2024-02-14 12:25:00,BUY,2024-02-14 12:30:00,198.8,103.0,294.6,141.92333333333332,2024-02-14 13:00:00,294.6,95.80000000000001,7.401,88.39900000000002,9227.453027139876,Target Hit,104.38413361169101,0.9227453027139876,2024,2
236,bnf,45500,C,2024-02-14,2024-02-14 14:10:00,BUY,2024-02-14 14:15:00,224.2,92.1,356.29999999999995,158.27,2024-02-14 14:20:00,356.29999999999995,132.09999999999997,8.7075,123.39249999999997,9340.840272520816,Target Hit,75.7002271006813,0.9340840272520816,2024,2
237,bnf,45500,C,2024-02-14,2024-02-14 14:25:00,BUY,2024-02-14 14:30:00,374.95,275.4,474.5,275.4,2024-02-14 14:35:00,474.5,99.55000000000001,12.74175,86.80825000000002,8720.065293822201,Target Hit,100.4520341536916,0.8720065293822201,2024,2
238,bnf,45500,C,2024-02-14,2024-02-14 14:40:00,BUY,2024-02-14 14:45:00,648.85,487.0,810.7,487.0,2024-02-14 15:00:00,487.0,-161.85000000000002,17.03775,-178.88775,-11052.68767377201,Initial SL hit,61.78560395427864,-1.105268767377201,2024,2
239,bnf,45500,P,2024-02-14,2024-02-14 13:30:00,BUY,2024-02-14 13:35:00,123.0,68.7,177.3,69.05,2024-02-14 13:45:00,68.7,-54.3,2.8754999999999997,-57.1755,-10529.558011049723,Initial SL hit,184.1620626151013,-1.0529558011049722,2024,2
240,bnf,45500,P,2024-02-14,2024-02-14 13:50:00,BUY,2024-02-14 13:55:00,62.6,38.0,87.2,38.0,2024-02-14 13:55:00,87.2,24.6,2.247,22.353,9086.58536585366,Target Hit,406.5040650406504,0.9086585365853659,2024,2
275,bnf,47200,C,2024-02-21,2024-02-21 12:40:00,BUY,2024-02-21 12:45:00,94.9,74.15,115.65,74.15,2024-02-21 12:50:00,115.65,20.75,3.1582500000000002,17.59175,8477.951807228917,Target Hit,481.9277108433735,0.8477951807228918,2024,2
276,bnf,47200,C,2024-02-21,2024-02-21 13:10:00,BUY,2024-02-21 13:15:00,114.65,97.2,132.10000000000002,97.2,2024-02-21 13:20:00,97.2,-17.450000000000003,3.17775,-20.627750000000002,-11821.06017191977,Initial SL hit,573.0659025787965,-1.182106017191977,2024,2
277,bnf,47200,P,2024-02-21,2024-02-21 12:25:00,BUY,2024-02-21 12:30:00,139.5,117.65,197.3,117.65,2024-02-21 12:30:00,117.65,-21.849999999999994,3.8572499999999996,-25.707249999999995,-11765.33180778032,Initial SL Hit,457.6659038901603,-1.1765331807780322,2024,2
278,bnf,47200,P,2024-02-21,2024-02-21 13:45:00,BUY,2024-02-21 13:50:00,97.25,28.7,165.8,63.61333333333333,2024-02-21 14:00:00,165.8,68.55000000000001,3.94575,64.60425000000001,9424.398249452955,Target Hit,145.87892049598833,0.9424398249452955,2024,2
279,bnf,47200,P,2024-02-21,2024-02-21 14:15:00,BUY,2024-02-21 14:20:00,122.95,62.6,183.3,98.17666666666666,2024-02-21 14:30:00,183.3,60.35000000000001,4.59375,55.75625000000001,9238.815244407622,Target Hit,165.7000828500414,0.9238815244407622,2024,2
280,bnf,47200,P,2024-02-21,2024-02-21 14:35:00,BUY,2024-02-21 14:40:00,201.8,141.55,262.05,141.55,2024-02-21 14:45:00,141.55,-60.25,5.15025,-65.40025,-10854.8132780083,Initial SL hit,165.97510373443984,-1.08548132780083,2024,2
281,bnf,47200,P,2024-02-21,2024-02-21 14:50:00,BUY,2024-02-21 14:55:00,158.85,107.0,210.7,107.0,2024-02-21 15:10:00,107.0,-51.849999999999994,3.98775,-55.83774999999999,-10769.093539054966,Initial SL Hit,192.86403085824494,-1.0769093539054966,2024,2
303,bnf,45900,C,2024-02-29,2024-02-29 12:30:00,BUY,2024-02-29 12:35:00,110.15,82.9,134.7,82.9,2024-02-29 12:40:00,134.7,24.549999999999983,3.6727499999999997,20.877249999999982,7661.376146788984,Target Hit,366.9724770642202,0.7661376146788985,2024,2
