,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,finnifty,19150,C,2021-10-19,2021-10-19 13:05:00,BUY,2021-10-19 13:10:00,10.95,8.05,8.05,2021-10-19 13:10:00,8.05,-2.8999999999999986,0.285,-3.1849999999999987,-27456.89655172414,Initial SL Hit,8620.689655172418,-1.0982758620689657,2021,10
1,finnifty,19150,C,2021-10-19,2021-10-19 13:30:00,BUY,2021-10-19 13:35:00,8.3,7.1,7.1,2021-10-19 13:35:00,7.1,-1.200000000000001,0.23099999999999998,-1.431000000000001,-29812.499999999993,Initial SL Hit,20833.333333333314,-1.1924999999999997,2021,10
2,finnifty,18650,C,2022-01-18,2022-01-18 13:05:00,BUY,2022-01-18 13:10:00,7.65,2.3,12.89642857142857,2022-01-18 13:50:00,6.9,-0.75,0.21825,-0.96825,-4524.532710280373,TSL Hit,4672.8971962616815,-0.18098130841121493,2022,1
3,finnifty,18650,C,2022-01-18,2022-01-18 14:00:00,BUY,2022-01-18 14:05:00,8.9,5.8,16.9,2022-01-18 14:20:00,13.0,4.1,0.32849999999999996,3.7714999999999996,30415.322580645152,TSL Hit,8064.516129032257,1.216612903225806,2022,1
5,finnifty,17250,C,2022-02-15,2022-02-15 13:15:00,BUY,2022-02-15 13:20:00,24.85,18.0,18.0,2022-02-15 13:20:00,18.0,-6.850000000000001,0.64275,-7.492750000000002,-27345.80291970803,Initial SL Hit,3649.6350364963496,-1.0938321167883212,2022,2
6,finnifty,17250,C,2022-02-15,2022-02-15 13:25:00,BUY,2022-02-15 13:30:00,15.5,11.0,240.65714285714287,2022-02-15 15:20:00,282.7,267.2,4.473,262.727,1459594.4444444443,EOD Exit,5555.555555555556,58.383777777777766,2022,2
9,finnifty,17450,C,2022-08-02,2022-08-02 14:00:00,BUY,2022-08-02 14:05:00,37.95,17.0,53.707142857142856,2022-08-02 15:00:00,51.25,13.299999999999997,1.338,11.961999999999996,14274.463007159899,TSL Hit,1193.3174224343675,0.570978520286396,2022,8
13,finnifty,18650,C,2022-11-07,2022-11-07 15:15:00,BUY,2022-11-07 15:20:00,38.2,22.95,22.95,2022-11-07 15:20:00,41.15,2.9499999999999957,1.1902499999999998,1.759749999999996,2884.836065573763,EOD Exit,1639.3442622950815,0.11539344262295051,2022,11
15,finnifty,19000,C,2022-11-15,2022-11-15 14:40:00,BUY,2022-11-15 14:45:00,11.6,4.8,16.139285714285712,2022-11-15 15:20:00,32.65,21.049999999999997,0.66375,20.386249999999997,74949.44852941175,EOD Exit,3676.470588235294,2.99797794117647,2022,11
18,finnifty,19100,C,2022-12-20,2022-12-20 14:15:00,BUY,2022-12-20 14:20:00,38.15,10.3,20.38571428571429,2022-12-20 14:45:00,12.95,-25.2,0.7664999999999998,-25.9665,-23309.245960502692,TSL Hit,897.6660682226212,-0.9323698384201077,2022,12
