,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
1,midcpnifty,9150,P,2023-09-18,2023-09-18 13:36:00,BUY,2023-09-18 13:39:00,6.3,4.6,6.245,2023-09-18 13:54:00,6.05,-0.25,0.18525,-0.43525,-6400.735294117647,TSL Hit,14705.882352941175,-0.25602941176470584,2023,9
6,midcpnifty,9150,P,2023-10-16,2023-10-16 13:42:00,BUY,2023-10-16 13:45:00,3.95,3.6,3.6,2023-10-16 13:48:00,3.6,-0.3500000000000001,0.11325,-0.4632500000000001,-33089.28571428571,Initial SL Hit,71428.5714285714,-1.3235714285714284,2023,10
12,midcpnifty,8975,P,2023-11-06,2023-11-06 14:39:00,BUY,2023-11-06 14:42:00,20.25,18.4,18.4,2023-11-06 14:42:00,18.4,-1.8500000000000014,0.57975,-2.429750000000001,-32834.459459459445,Initial SL Hit,13513.513513513502,-1.313378378378378,2023,11
16,midcpnifty,9475,P,2023-11-20,2023-11-20 14:09:00,BUY,2023-11-20 14:12:00,14.9,10.4,12.73,2023-11-20 14:21:00,10.4,-4.5,0.3795,-4.8795,-27108.333333333336,Initial SL hit,5555.555555555556,-1.0843333333333336,2023,11
17,midcpnifty,9475,P,2023-11-20,2023-11-20 14:51:00,BUY,2023-11-20 14:54:00,12.95,6.4,11.754999999999999,2023-11-20 15:06:00,11.7,-1.25,0.36974999999999997,-1.61975,-6182.251908396948,TSL Hit,3816.7938931297717,-0.24729007633587796,2023,11
22,midcpnifty,10325,P,2023-12-18,2023-12-18 14:06:00,BUY,2023-12-18 14:09:00,21.3,16.6,19.715,2023-12-18 14:12:00,19.55,-1.75,0.61275,-2.36275,-12567.819148936172,TSL Hit,5319.148936170213,-0.5027127659574468,2023,12
23,midcpnifty,10325,P,2023-12-18,2023-12-18 14:15:00,BUY,2023-12-18 14:18:00,20.45,15.15,15.15,2023-12-18 14:30:00,15.15,-5.299999999999999,0.534,-5.833999999999999,-27518.867924528302,Initial SL Hit,4716.9811320754725,-1.100754716981132,2023,12
24,midcpnifty,10325,P,2023-12-18,2023-12-18 14:42:00,BUY,2023-12-18 14:45:00,28.0,10.55,28.8,2023-12-18 15:18:00,28.65,0.6499999999999986,0.8497499999999999,-0.19975000000000132,-286.17478510028843,TSL Hit,1432.6647564469915,-0.011446991404011536,2023,12
25,midcpnifty,10475,P,2024-01-08,2024-01-08 14:27:00,BUY,2024-01-08 14:30:00,23.7,11.9,23.19,2024-01-08 14:45:00,22.9,-0.8000000000000007,0.6989999999999998,-1.4990000000000006,-3175.84745762712,TSL Hit,2118.64406779661,-0.1270338983050848,2024,1
29,midcpnifty,10750,P,2024-02-05,2024-02-05 14:27:00,BUY,2024-02-05 14:30:00,12.4,5.3,10.045,2024-02-05 14:45:00,7.85,-4.550000000000001,0.30374999999999996,-4.853750000000001,-17090.66901408451,TSL Hit,3521.1267605633802,-0.6836267605633803,2024,2
30,midcpnifty,10750,P,2024-02-05,2024-02-05 14:48:00,BUY,2024-02-05 14:51:00,10.4,6.5,6.5,2024-02-05 15:00:00,6.5,-3.9000000000000004,0.25349999999999995,-4.1535,-26624.999999999996,Initial SL Hit,6410.256410256409,-1.0649999999999997,2024,2
34,midcpnifty,11000,P,2024-03-04,2024-03-04 14:33:00,BUY,2024-03-04 14:36:00,32.4,27.25,35.58,2024-03-04 14:54:00,34.95,2.5500000000000043,1.0102499999999999,1.5397500000000044,7474.51456310682,TSL Hit,4854.368932038837,0.2989805825242728,2024,3
35,midcpnifty,10875,P,2024-03-11,2024-03-11 14:18:00,BUY,2024-03-11 14:21:00,20.65,10.95,17.495,2024-03-11 14:33:00,16.15,-4.5,0.5519999999999999,-5.052,-13020.61855670103,TSL Hit,2577.319587628866,-0.5208247422680412,2024,3
36,midcpnifty,10875,P,2024-03-11,2024-03-11 14:36:00,BUY,2024-03-11 14:39:00,18.8,15.25,15.25,2024-03-11 14:42:00,15.25,-3.5500000000000007,0.5107499999999999,-4.0607500000000005,-28596.830985915494,Initial SL Hit,7042.25352112676,-1.1438732394366198,2024,3
