,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
0,2017-01-17 12:15:00,LONG,2017-01-17 13:15:00,7622.55,7590.5,7590.5,2017-01-20 09:15:00,7575.95,-46.600000000000364,-49.63970000000037,-81409.1080000006,Gap Open Outside ISL,1640,5x,-3.2563643200000243,2017,1,0.0
1,2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,7572.1,7553.65,7553.65,2017-01-20 12:15:00,7553.65,-18.450000000000728,-21.475150000000728,-35219.24600000119,Initial SL hit,1640,5x,-1.4087698400000477,2017,1,-1.4087698400000477
2,2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,7509.9,7494.55,7494.55,2017-01-23 12:15:00,7494.55,-15.349999999999454,-18.350889999999456,-30829.495199999088,Initial SL Hit,1680,5x,-1.2331798079999634,2017,1,-2.6419496480000113
3,2017-01-23 13:15:00,LONG,2017-01-23 14:15:00,7511.3,7486.0,8146.24375,2017-02-16 09:15:00,8126.9,615.5999999999995,612.4723599999994,1028953.564799999,TSL Hit,1680,5x,41.158142591999955,2017,1,0.0
4,2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,8144.65,8116.35,8306.0125,2017-03-02 15:15:00,8300.6,155.95000000000073,152.66095000000072,232044.6440000011,TSL Hit,1520,5x,9.281785760000044,2017,2,0.0
5,2017-03-03 12:15:00,LONG,2017-03-03 13:15:00,8241.75,8221.2,8323.20375,2017-03-10 13:15:00,8296.75,55.0,51.6923,78572.296,TSL Hit,1520,5x,3.14289184,2017,3,0.0
6,2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,8516.55,8494.8,8494.8,2017-03-14 14:15:00,8494.8,-21.75,-25.15227,-37225.3596,Initial SL hit,1480,5x,-1.489014384,2017,3,-1.4890143840000007
7,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,8515.65,8499.15,8499.15,2017-03-15 09:15:00,8499.15,-16.5,-19.90296,-29456.3808,Initial SL hit,1480,5x,-1.1782552320000002,2017,3,-2.6672696159999987
8,2017-03-15 12:15:00,LONG,2017-03-15 13:15:00,8544.15,8534.4,8534.4,2017-03-15 13:15:00,8534.4,-9.75,-13.16571,-19485.2508,Initial SL hit,1480,5x,-0.779410032,2017,3,-3.446679648
9,2017-03-16 11:15:00,LONG,2017-03-16 12:15:00,8584.35,8568.4,8568.4,2017-03-20 09:15:00,8568.4,-15.950000000000728,-19.380550000000728,-27907.99200000105,Initial SL hit,1440,5x,-1.1163196800000421,2017,3,-4.562999328000039
