,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,midcpnifty,9200,C,2023-09-11,2023-09-11 13:30:00,BUY,2023-09-11 13:35:00,7.0,5.75,5.75,2023-09-11 13:40:00,5.75,-1.25,0.19125,-1.44125,-11530.0,Initial SL Hit,8000.0,-1.153,2023,9
1,midcpnifty,9125,C,2023-09-25,2023-09-25 13:30:00,BUY,2023-09-25 13:35:00,11.95,8.45,8.45,2023-09-25 13:45:00,8.45,-3.5,0.306,-3.806,-10874.285714285716,Initial SL Hit,2857.1428571428573,-1.0874285714285714,2023,9
2,midcpnifty,9125,C,2023-09-25,2023-09-25 14:10:00,BUY,2023-09-25 14:15:00,1.75,0.8,49.894999999999996,2023-09-25 15:20:00,64.0,62.25,0.98625,61.26375,644881.5789473685,EOD Exit,10526.315789473685,64.48815789473686,2023,9
3,midcpnifty,9025,C,2023-10-09,2023-10-09 14:45:00,BUY,2023-10-09 14:50:00,15.9,5.85,9.98,2023-10-09 15:00:00,6.4,-9.5,0.3345,-9.8345,-9785.572139303482,TSL Hit,995.0248756218905,-0.9785572139303481,2023,10
4,midcpnifty,9150,P,2023-10-16,2023-10-16 14:05:00,BUY,2023-10-16 14:10:00,4.35,1.7,1.7,2023-10-16 14:30:00,1.7,-2.6499999999999995,0.09075,-2.7407499999999994,-10342.452830188678,Initial SL Hit,3773.584905660378,-1.0342452830188678,2023,10
5,midcpnifty,8875,P,2023-10-23,2023-10-23 15:05:00,BUY,2023-10-23 15:10:00,11.35,1.8,9.35,2023-10-23 15:20:00,28.65,17.299999999999997,0.6,16.699999999999996,17486.910994764396,EOD Exit,1047.1204188481677,1.7486910994764397,2023,10
6,midcpnifty,8700,C,2023-10-30,2023-10-30 13:35:00,BUY,2023-10-30 13:40:00,14.95,11.75,14.665000000000001,2023-10-30 14:00:00,14.35,-0.5999999999999996,0.43949999999999995,-1.0394999999999996,-3248.4375,TSL Hit,3125.000000000001,-0.32484375,2023,10
7,midcpnifty,8700,C,2023-10-30,2023-10-30 14:25:00,BUY,2023-10-30 14:30:00,22.4,15.85,22.56,2023-10-30 14:50:00,22.2,-0.1999999999999993,0.6689999999999999,-0.8689999999999992,-1326.7175572519075,TSL Hit,1526.7175572519086,-0.13267175572519074,2023,10
8,midcpnifty,9250,C,2023-11-13,2023-11-13 13:50:00,BUY,2023-11-13 13:55:00,6.7,4.5,6.81,2023-11-13 14:10:00,6.25,-0.4500000000000002,0.19424999999999998,-0.6442500000000002,-2928.4090909090914,TSL Hit,4545.454545454545,-0.29284090909090915,2023,11
9,midcpnifty,9250,C,2023-11-13,2023-11-13 14:15:00,BUY,2023-11-13 14:20:00,6.45,4.5,4.5,2023-11-13 14:30:00,4.5,-1.9500000000000002,0.16424999999999998,-2.11425,-10842.307692307693,Initial SL Hit,5128.205128205128,-1.0842307692307693,2023,11
10,midcpnifty,9250,C,2023-11-13,2023-11-13 14:30:00,BUY,2023-11-13 14:35:00,4.7,3.7,3.7,2023-11-13 14:35:00,3.7,-1.0,0.126,-1.126,-11259.999999999998,Initial SL Hit,10000.0,-1.1259999999999997,2023,11
11,midcpnifty,9250,C,2023-11-13,2023-11-13 15:05:00,BUY,2023-11-13 15:10:00,5.95,0.4,0.4,2023-11-13 15:10:00,0.4,-5.55,0.09525,-5.64525,-10171.621621621622,Initial SL Hit,1801.801801801802,-1.017162162162162,2023,11
12,midcpnifty,9475,P,2023-11-20,2023-11-20 13:45:00,BUY,2023-11-20 13:50:00,8.9,5.25,10.73,2023-11-20 14:20:00,7.7,-1.2000000000000002,0.249,-1.4490000000000003,-3969.8630136986308,TSL Hit,2739.72602739726,-0.39698630136986307,2023,11
13,midcpnifty,9875,C,2023-12-04,2023-12-04 13:30:00,BUY,2023-12-04 13:35:00,11.7,9.7,9.7,2023-12-04 13:35:00,9.7,-2.0,0.32099999999999995,-2.3209999999999997,-11604.999999999998,Initial SL Hit,5000.0,-1.1604999999999999,2023,12
