,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,DD%
0,2022-01-11 11:15:00,LONG,2022-01-11 12:15:00,7784.85,7763.65,7763.65,2022-01-11 14:15:00,7763.65,-21.200000000000728,-28.97425000000073,-45634.44375000115,Initial SL Hit,1575,5x,-1.825377750000046,2022,0.0
1,2022-01-12 10:15:00,LONG,2022-01-12 11:15:00,7831.0,7815.65,7815.65,2022-01-12 11:15:00,7815.65,-15.350000000000364,-23.173325000000364,-36497.98687500058,Initial SL Hit,1575,5x,-1.459919475000023,2022,-1.459919475000023
2,2022-01-12 13:15:00,LONG,2022-01-12 14:15:00,7856.9,7831.05,7831.05,2022-01-18 14:15:00,7831.05,-25.849999999999454,-33.693974999999455,-53068.010624999144,Initial SL Hit,1575,5x,-2.1227204249999656,2022,-3.582639899999989
3,2022-01-20 14:15:00,LONG,2022-01-20 15:15:00,7754.95,7709.8,7709.8,2022-01-21 09:15:00,7705.95,-49.0,-56.73045,-89350.45874999999,Gap Open Outside ISL,1575,5x,-3.5740183499999993,2022,-7.156658249999989
4,2022-01-25 13:15:00,LONG,2022-01-25 14:15:00,7349.15,7301.5,7301.5,2022-01-27 09:15:00,7291.25,-57.899999999999636,-65.22019999999964,-112504.84499999938,Gap Open Outside ISL,1725,5x,-4.500193799999975,2022,-11.656852049999964
5,2022-01-27 14:15:00,LONG,2022-01-27 15:15:00,7360.35,7298.1,7490.913235294117,2022-02-07 09:15:00,7458.1,97.75,90.340775,155837.83687499998,TSL Hit,1725,5x,6.233513475,2022,-5.423338574999963
6,2022-02-09 09:15:00,LONG,2022-02-09 10:15:00,7459.85,7420.25,7531.133088235295,2022-02-10 14:15:00,7530.85,71.0,63.50465,104782.6725,TSL Hit,1650,5x,4.1913069,2022,-1.232031674999964
7,2022-02-16 11:15:00,LONG,2022-02-16 12:15:00,7340.25,7313.8,7313.8,2022-02-16 14:15:00,7313.8,-26.449999999999818,-33.77702499999982,-58265.36812499969,Initial SL Hit,1725,5x,-2.3306147249999873,2022,-3.562646399999952
8,2022-02-16 15:15:00,LONG,2022-02-17 09:15:00,7300.35,7263.8,7263.8,2022-02-17 10:15:00,7263.8,-36.55000000000018,-43.83207500000018,-75610.3293750003,Initial SL Hit,1725,5x,-3.0244131750000123,2022,-6.587059574999964
9,2022-02-17 10:15:00,LONG,2022-02-17 11:15:00,7324.6,7260.1,7260.1,2022-02-18 09:15:00,7240.65,-83.95000000000073,-91.23262500000072,-157376.27812500123,Gap Open Outside ISL,1725,5x,-6.295051125000049,2022,-12.882110700000014
10,2022-02-23 10:15:00,LONG,2022-02-23 11:15:00,7165.2,7134.65,7134.65,2022-02-23 12:15:00,7134.65,-30.550000000000182,-37.69992500000018,-65032.37062500031,Initial SL Hit,1725,5x,-2.601294825000012,2022,-15.483405525000025
11,2022-02-25 13:15:00,LONG,2022-02-25 14:15:00,6938.85,6896.6,6896.6,2022-02-28 09:15:00,6886.0,-52.850000000000364,-59.76242500000036,-107572.36500000066,Gap Open Outside ISL,1800,5x,-4.302894600000026,2022,-19.78630012500005
12,2022-02-28 10:15:00,LONG,2022-02-28 11:15:00,6933.5,6851.4,6851.4,2022-03-04 09:15:00,6851.4,-82.10000000000036,-88.99245000000036,-160186.41000000064,Initial SL Hit,1800,5x,-6.407456400000027,2022,-26.193756525000076
13,2022-03-08 13:15:00,LONG,2022-03-08 14:15:00,6589.15,6487.0,7495.950735294117,2022-04-12 12:15:00,7488.05,898.9000000000005,891.8614000000006,1672240.1250000012,TSL Hit,1875,5x,66.88960500000005,2022,0.0
14,2022-04-21 09:15:00,LONG,2022-04-21 10:15:00,7421.6,7387.35,7387.35,2022-04-22 09:15:00,7384.65,-36.95000000000073,-44.35312500000073,-73182.65625000121,Gap Open Outside ISL,1650,5x,-2.9273062500000484,2022,-2.9273062500000506
15,2022-04-26 13:15:00,LONG,2022-04-26 14:15:00,7308.2,7280.95,7280.95,2022-04-27 09:15:00,7264.4,-43.80000000000018,-51.08630000000018,-88123.86750000031,Gap Open Outside ISL,1725,5x,-3.5249547000000123,2022,-6.45226095000006
16,2022-04-28 11:15:00,LONG,2022-04-28 12:15:00,7251.3,7224.4,7224.4,2022-04-29 15:15:00,7224.4,-26.900000000000546,-34.13785000000055,-58887.79125000094,Initial SL Hit,1725,5x,-2.3555116500000377,2022,-8.8077726000001
17,2022-05-13 11:15:00,LONG,2022-05-13 12:15:00,6554.95,6524.75,6524.75,2022-05-13 13:15:00,6524.75,-30.199999999999818,-36.73984999999982,-68887.21874999967,Initial SL Hit,1875,5x,-2.7554887499999863,2022,-11.563261350000086
18,2022-05-17 10:15:00,LONG,2022-05-17 11:15:00,6620.85,6584.8,6645.632352941177,2022-05-19 09:15:00,6560.55,-60.30000000000018,-66.89070000000018,-125420.06250000033,Gap Open Outside ISL,1875,5x,-5.016802500000014,2022,-16.5800638500001
