,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
0,BANKNIFTY,18100,C,2017-01-05,2017-01-05 14:00:00,BUY,2017-01-05 14:05:00,34.95,25.95,25.95,2017-01-05 14:15:00,25.95,-9.000000000000004,0.9135,-9.913500000000004,-11015.0,Initial SL Hit,1111.1111111111106,-1.1015,2017,1,-11015.0,-1.1015,-1.1015,0.0
311,NIFTY,8550,C,2017-01-25,2017-01-25 13:30:00,BUY,2017-01-25 13:35:00,10.95,7.25,7.25,2017-01-25 14:00:00,7.25,-3.6999999999999993,0.2729999999999999,-3.973,-10737.837837837838,Initial SL Hit,2702.7027027027034,-1.0737837837837838,2017,1,-21752.83783783784,-2.175283783783784,-1.1015,-1.073783783783784
1,BANKNIFTY,19300,C,2017-01-25,2017-01-25 14:00:00,BUY,2017-01-25 14:05:00,15.15,9.45,9.45,2017-01-25 14:10:00,9.45,-5.700000000000001,0.369,-6.069000000000001,-10647.36842105263,Initial SL Hit,1754.3859649122803,-1.064736842105263,2017,1,-32400.20625889047,-3.2400206258890467,-1.1015,-2.138520625889047
312,NIFTY,8550,C,2017-01-25,2017-01-25 14:10:00,BUY,2017-01-25 14:15:00,10.55,6.0,21.0125,2017-01-25 14:45:00,20.75,10.2,0.4695,9.7305,21385.714285714283,TSL Hit,2197.802197802197,2.1385714285714283,2017,1,-11014.491973176187,-1.1014491973176184,-1.1014491973176184,0.0
2,BANKNIFTY,19300,C,2017-01-25,2017-01-25 14:20:00,BUY,2017-01-25 14:25:00,11.35,7.3,148.5,2017-01-25 15:20:00,161.0,149.65,2.58525,147.06475,363122.83950617287,EOD Exit,2469.135802469136,36.312283950617285,2017,1,352108.3475329967,35.210834753299665,35.210834753299665,0.0
313,NIFTY,8550,C,2017-01-25,2017-01-25 14:50:00,BUY,2017-01-25 14:55:00,21.5,15.5,43.1375,2017-01-25 15:20:00,42.6,21.1,0.9615,20.1385,33564.16666666667,TSL Hit,1666.6666666666667,3.356416666666667,2017,1,385672.51419966336,38.56725141996633,38.56725141996633,0.0
3,BANKNIFTY,20100,C,2017-02-02,2017-02-02 14:00:00,BUY,2017-02-02 14:05:00,54.8,24.65,41.9,2017-02-02 14:20:00,24.65,-30.15,1.19175,-31.34175,-10395.273631840795,Initial SL hit,331.6749585406302,-1.0395273631840796,2017,2,375277.2405678226,37.527724056782255,38.56725141996633,-1.039527363184078
4,BANKNIFTY,20100,C,2017-02-02,2017-02-02 14:25:00,BUY,2017-02-02 14:30:00,29.0,16.35,16.35,2017-02-02 15:00:00,16.35,-12.65,0.68025,-13.33025,-10537.747035573124,Initial SL Hit,790.513833992095,-1.0537747035573124,2017,2,364739.4935322495,36.473949353224945,38.56725141996633,-2.093302066741387
5,BANKNIFTY,20300,C,2017-02-16,2017-02-16 13:55:00,BUY,2017-02-16 14:00:00,29.15,14.85,14.85,2017-02-16 14:05:00,14.85,-14.3,0.6599999999999999,-14.96,-10461.53846153846,Initial SL Hit,699.3006993006993,-1.0461538461538462,2017,2,354277.95507071103,35.427795507071096,38.56725141996633,-3.1394559128952366
314,NIFTY,9000,C,2017-02-23,2017-02-23 13:40:00,BUY,2017-02-23 13:45:00,8.35,6.4,7.675000000000001,2017-02-23 14:00:00,6.75,-1.5999999999999996,0.2264999999999999,-1.8265,-9366.666666666668,TSL Hit,5128.20512820513,-0.9366666666666668,2017,2,344911.28840404435,34.49112884040443,38.56725141996633,-4.076122579561904
6,BANKNIFTY,20700,P,2017-03-02,2017-03-02 14:10:00,BUY,2017-03-02 14:15:00,6.5,4.05,76.5,2017-03-02 15:05:00,75.95,69.45,1.23675,68.21325,278421.4285714286,TSL Hit,4081.632653061224,27.84214285714286,2017,3,623332.7169754729,62.33327169754729,62.33327169754729,0.0
7,BANKNIFTY,21600,P,2017-04-06,2017-04-06 14:10:00,BUY,2017-04-06 14:15:00,81.0,73.0,73.0,2017-04-06 14:30:00,73.0,-8.0,2.31,-10.31,-12887.5,Initial SL hit,1250.0,-1.28875,2017,4,610445.2169754729,61.04452169754729,62.33327169754729,-1.2887500000000003
315,NIFTY,9350,C,2017-04-27,2017-04-27 13:35:00,BUY,2017-04-27 13:40:00,16.9,13.5,13.5,2017-04-27 13:55:00,13.5,-3.3999999999999986,0.4559999999999999,-3.855999999999999,-11341.176470588236,Initial SL Hit,2941.1764705882365,-1.1341176470588237,2017,4,599104.0405048847,59.91040405048847,62.33327169754729,-2.4228676470588226
316,NIFTY,9350,C,2017-04-27,2017-04-27 14:00:00,BUY,2017-04-27 14:05:00,16.95,12.15,12.15,2017-04-27 14:15:00,12.15,-4.799999999999999,0.4365,-5.236499999999999,-10909.375,Initial SL Hit,2083.333333333334,-1.0909375,2017,4,588194.6655048847,58.819466550488464,62.33327169754729,-3.513805147058825
8,BANKNIFTY,22300,C,2017-04-27,2017-04-27 14:45:00,BUY,2017-04-27 14:50:00,42.55,24.35,24.35,2017-04-27 15:05:00,24.35,-18.2,1.0035,-19.203499999999995,-10551.373626373626,Initial SL Hit,549.4505494505496,-1.0551373626373626,2017,4,577643.2918785111,57.764329187851104,62.33327169754729,-4.5689425096961855
9,BANKNIFTY,22700,C,2017-05-04,2017-05-04 14:05:00,BUY,2017-05-04 14:10:00,15.4,7.75,30.6,2017-05-04 14:40:00,24.45,9.05,0.59775,8.45225,11048.692810457514,TSL Hit,1307.18954248366,1.1048692810457514,2017,5,588691.9846889686,58.869198468896855,62.33327169754729,-3.4640732286504345
10,BANKNIFTY,22700,C,2017-05-04,2017-05-04 14:45:00,BUY,2017-05-04 14:50:00,28.75,16.35,16.35,2017-05-04 14:55:00,16.35,-12.4,0.6765,-13.0765,-10545.564516129032,Initial SL Hit,806.4516129032259,-1.0545564516129031,2017,5,578146.4201728395,57.81464201728395,62.33327169754729,-4.518629680263338
11,BANKNIFTY,22900,P,2017-05-11,2017-05-11 14:50:00,BUY,2017-05-11 14:55:00,23.45,11.45,56.9875,2017-05-11 15:20:00,75.1,51.64999999999999,1.4782499999999998,50.17174999999999,41809.79166666666,EOD Exit,833.3333333333334,4.180979166666666,2017,5,619956.2118395062,61.99562118395062,62.33327169754729,-0.337650513596671
12,BANKNIFTY,22800,P,2017-05-18,2017-05-18 14:50:00,BUY,2017-05-18 14:55:00,87.8,50.1,82.9625,2017-05-18 15:05:00,76.45,-11.349999999999994,2.46375,-13.813749999999995,-3664.1246684350126,TSL Hit,265.2519893899205,-0.3664124668435012,2017,5,616292.0871710712,61.62920871710712,62.33327169754729,-0.7040629804401703
317,NIFTY,9450,C,2017-05-25,2017-05-25 13:50:00,BUY,2017-05-25 13:55:00,4.1,2.9,16.7375,2017-05-25 14:15:00,16.35,12.250000000000002,0.30675,11.943250000000004,99527.0833333334,TSL Hit,8333.333333333336,9.95270833333334,2017,5,715819.1705044046,71.58191705044047,71.58191705044047,0.0
13,BANKNIFTY,22900,C,2017-05-25,2017-05-25 14:00:00,BUY,2017-05-25 14:05:00,87.8,25.95,197.0125,2017-05-25 14:50:00,173.15,85.35000000000001,3.91425,81.43575000000001,13166.65319320938,TSL Hit,161.68148746968473,1.316665319320938,2017,5,728985.823697614,72.8985823697614,72.8985823697614,0.0
318,NIFTY,9450,C,2017-05-25,2017-05-25 14:25:00,BUY,2017-05-25 14:30:00,22.35,16.1,21.4875,2017-05-25 14:40:00,19.5,-2.8500000000000014,0.62775,-3.477750000000001,-5564.400000000002,TSL Hit,1600.0,-0.5564400000000003,2017,5,723421.423697614,72.3421423697614,72.8985823697614,-0.5564399999999949
