,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,nifty,8550,C,2017-01-25,2017-01-25 13:30:00,BUY,2017-01-25 13:35:00,10.95,7.25,7.25,2017-01-25 14:00:00,7.25,-3.6999999999999993,0.27299999999999996,-3.9729999999999994,-10737.837837837838,Initial SL Hit,2702.7027027027034,-1.0737837837837838,2017,1
1,nifty,8550,C,2017-01-25,2017-01-25 14:10:00,BUY,2017-01-25 14:15:00,10.55,6.0,21.0125,2017-01-25 14:45:00,20.75,10.2,0.4695,9.7305,21385.714285714283,TSL Hit,2197.8021978021975,2.1385714285714283,2017,1
2,nifty,8550,C,2017-01-25,2017-01-25 14:50:00,BUY,2017-01-25 14:55:00,21.5,15.5,43.137499999999996,2017-01-25 15:20:00,42.6,21.1,0.9614999999999999,20.1385,33564.16666666667,TSL Hit,1666.6666666666667,3.356416666666667,2017,1
3,nifty,9000,C,2017-02-23,2017-02-23 13:40:00,BUY,2017-02-23 13:45:00,8.35,6.4,7.675000000000001,2017-02-23 14:00:00,6.75,-1.5999999999999996,0.22649999999999998,-1.8264999999999996,-9366.666666666668,TSL Hit,5128.20512820513,-0.9366666666666668,2017,2
4,nifty,9350,C,2017-04-27,2017-04-27 13:35:00,BUY,2017-04-27 13:40:00,16.9,13.5,13.5,2017-04-27 13:55:00,13.5,-3.3999999999999986,0.45599999999999996,-3.8559999999999985,-11341.176470588236,Initial SL Hit,2941.1764705882365,-1.1341176470588237,2017,4
5,nifty,9350,C,2017-04-27,2017-04-27 14:00:00,BUY,2017-04-27 14:05:00,16.95,12.15,12.15,2017-04-27 14:15:00,12.15,-4.799999999999999,0.4365,-5.236499999999999,-10909.375,Initial SL Hit,2083.333333333334,-1.0909375000000001,2017,4
6,nifty,9450,C,2017-05-25,2017-05-25 13:50:00,BUY,2017-05-25 13:55:00,4.1,2.9,16.7375,2017-05-25 14:15:00,16.35,12.250000000000002,0.30675,11.943250000000003,99527.08333333339,TSL Hit,8333.333333333336,9.952708333333339,2017,5
7,nifty,9450,C,2017-05-25,2017-05-25 14:25:00,BUY,2017-05-25 14:30:00,22.35,16.1,21.4875,2017-05-25 14:40:00,19.5,-2.8500000000000014,0.62775,-3.4777500000000012,-5564.400000000002,TSL Hit,1600.0,-0.5564400000000003,2017,5
8,nifty,9450,C,2017-05-25,2017-05-25 14:45:00,BUY,2017-05-25 14:50:00,21.0,16.0,56.8375,2017-05-25 15:15:00,50.95,29.950000000000003,1.07925,28.87075,57741.5,TSL Hit,2000.0,5.774150000000001,2017,5
9,nifty,9500,P,2017-06-29,2017-06-29 13:35:00,BUY,2017-06-29 13:40:00,19.3,12.0,12.0,2017-06-29 13:45:00,12.0,-7.300000000000001,0.4695,-7.769500000000001,-10643.150684931508,Initial SL Hit,1369.86301369863,-1.0643150684931508,2017,6
10,nifty,9500,P,2017-06-29,2017-06-29 13:50:00,BUY,2017-06-29 13:55:00,12.5,7.7,7.7,2017-06-29 14:00:00,7.7,-4.8,0.303,-5.103,-10631.25,Initial SL Hit,2083.3333333333335,-1.063125,2017,6
11,nifty,9500,P,2017-06-29,2017-06-29 14:05:00,BUY,2017-06-29 14:10:00,8.15,4.25,4.25,2017-06-29 14:20:00,4.25,-3.9000000000000004,0.186,-4.086,-10476.923076923078,Initial SL Hit,2564.102564102564,-1.0476923076923077,2017,6
12,nifty,10050,P,2017-07-27,2017-07-27 14:55:00,BUY,2017-07-27 15:00:00,12.4,3.3,3.3,2017-07-27 15:20:00,24.0,11.6,0.5459999999999999,11.054,12147.252747252745,EOD Exit,1098.9010989010987,1.2147252747252746,2017,7
13,nifty,9900,C,2017-08-31,2017-08-31 14:25:00,BUY,2017-08-31 14:30:00,9.55,6.55,6.55,2017-08-31 14:55:00,6.55,-3.000000000000001,0.24150000000000002,-3.2415000000000007,-10804.999999999998,Initial SL Hit,3333.333333333332,-1.0804999999999998,2017,8
14,nifty,10300,C,2017-10-26,2017-10-26 13:30:00,BUY,2017-10-26 13:35:00,29.1,22.3,37.0125,2017-10-26 14:05:00,35.25,6.149999999999999,0.9652499999999998,5.184749999999998,7624.632352941174,TSL Hit,1470.5882352941176,0.7624632352941174,2017,10
15,nifty,10300,C,2017-10-26,2017-10-26 14:55:00,BUY,2017-10-26 15:00:00,19.45,13.15,39.7125,2017-10-26 15:15:00,35.75,16.3,0.828,15.472000000000001,24558.730158730163,TSL Hit,1587.3015873015875,2.455873015873016,2017,10
16,nifty,10250,C,2017-11-30,2017-11-30 14:20:00,BUY,2017-11-30 14:25:00,55.45,42.1,42.1,2017-11-30 14:30:00,42.1,-13.350000000000001,1.4632500000000002,-14.813250000000002,-11096.067415730338,Initial SL Hit,749.063670411985,-1.1096067415730337,2017,11
17,nifty,10500,C,2017-12-28,2017-12-28 14:05:00,BUY,2017-12-28 14:10:00,29.55,22.7,25.712500000000002,2017-12-28 14:15:00,22.7,-6.850000000000001,0.78375,-7.633750000000001,-11144.160583941604,Initial SL hit,1459.8540145985398,-1.1144160583941605,2017,12
18,nifty,10500,C,2017-12-28,2017-12-28 14:30:00,BUY,2017-12-28 14:35:00,26.0,15.2,15.2,2017-12-28 15:00:00,15.2,-10.8,0.618,-11.418000000000001,-10572.222222222223,Initial SL Hit,925.9259259259259,-1.0572222222222223,2017,12
19,nifty,11050,P,2018-01-25,2018-01-25 13:30:00,BUY,2018-01-25 13:35:00,40.0,26.9,36.85,2018-01-25 13:40:00,34.6,-5.399999999999999,1.1189999999999998,-6.518999999999998,-4976.335877862593,TSL Hit,763.3587786259541,-0.4976335877862593,2018,1
20,nifty,10350,C,2018-02-22,2018-02-22 13:45:00,BUY,2018-02-22 13:50:00,33.4,21.15,35.4,2018-02-22 14:05:00,26.0,-7.399999999999999,0.8909999999999999,-8.290999999999999,-6768.1632653061215,TSL Hit,816.3265306122449,-0.6768163265306122,2018,2
21,nifty,10700,C,2018-05-31,2018-05-31 13:35:00,BUY,2018-05-31 13:40:00,5.4,3.05,3.05,2018-05-31 14:00:00,3.05,-2.3500000000000005,0.12674999999999997,-2.4767500000000005,-10539.361702127659,Initial SL Hit,4255.319148936169,-1.0539361702127659,2018,5
22,nifty,10600,P,2018-06-28,2018-06-28 13:30:00,BUY,2018-06-28 13:35:00,12.7,10.35,36.462500000000006,2018-06-28 14:40:00,31.0,18.3,0.6555,17.6445,75082.97872340426,TSL Hit,4255.319148936171,7.508297872340426,2018,6
23,nifty,10600,P,2018-06-28,2018-06-28 14:45:00,BUY,2018-06-28 14:50:00,35.85,25.9,25.9,2018-06-28 14:50:00,25.9,-9.950000000000003,0.92625,-10.876250000000002,-10930.904522613066,Initial SL Hit,1005.0251256281405,-1.0930904522613065,2018,6
24,nifty,10600,P,2018-06-28,2018-06-28 14:55:00,BUY,2018-06-28 15:00:00,28.35,19.2,19.2,2018-06-28 15:00:00,19.2,-9.150000000000002,0.7132499999999999,-9.863250000000003,-10779.50819672131,Initial SL Hit,1092.8961748633876,-1.077950819672131,2018,6
25,nifty,11150,P,2018-07-26,2018-07-26 14:40:00,BUY,2018-07-26 14:45:00,17.75,12.75,12.75,2018-07-26 14:55:00,12.75,-5.0,0.45749999999999996,-5.4575,-10915.0,Initial SL Hit,2000.0,-1.0915,2018,7
26,nifty,10950,P,2018-09-27,2018-09-27 13:40:00,BUY,2018-09-27 13:45:00,13.95,10.85,10.85,2018-09-27 13:45:00,10.85,-3.0999999999999996,0.37199999999999994,-3.4719999999999995,-11200.0,Initial SL Hit,3225.8064516129034,-1.1199999999999999,2018,9
27,nifty,10950,P,2018-09-27,2018-09-27 13:50:00,BUY,2018-09-27 13:55:00,15.2,9.0,9.0,2018-09-27 14:00:00,9.0,-6.199999999999999,0.363,-6.562999999999999,-10585.48387096774,Initial SL Hit,1612.9032258064517,-1.058548387096774,2018,9
28,nifty,10950,P,2018-09-27,2018-09-27 14:05:00,BUY,2018-09-27 14:10:00,8.15,5.3,7.950000000000001,2018-09-27 14:20:00,6.55,-1.6000000000000005,0.22049999999999997,-1.8205000000000005,-6387.7192982456145,TSL Hit,3508.7719298245606,-0.6387719298245614,2018,9
29,nifty,10150,C,2018-10-25,2018-10-25 14:35:00,BUY,2018-10-25 14:40:00,19.25,11.4,11.4,2018-10-25 15:00:00,11.4,-7.85,0.45974999999999994,-8.30975,-10585.668789808917,Initial SL Hit,1273.8853503184714,-1.0585668789808917,2018,10
30,nifty,10850,C,2018-11-29,2018-11-29 13:40:00,BUY,2018-11-29 13:45:00,7.1,5.1,27.4875,2018-11-29 14:25:00,26.3,19.200000000000003,0.501,18.699,93495.00000000001,TSL Hit,5000.0,9.3495,2018,11
31,nifty,10850,C,2018-11-29,2018-11-29 14:45:00,BUY,2018-11-29 14:50:00,22.45,17.15,17.15,2018-11-29 15:00:00,17.15,-5.300000000000001,0.5939999999999999,-5.894,-11120.754716981131,Initial SL Hit,1886.7924528301885,-1.1120754716981132,2018,11
32,nifty,10800,C,2019-01-31,2019-01-31 13:35:00,BUY,2019-01-31 13:40:00,16.95,7.3,7.3,2019-01-31 14:40:00,7.3,-9.649999999999999,0.36374999999999996,-10.013749999999998,-10376.943005181345,Initial SL Hit,1036.2694300518135,-1.0376943005181345,2019,1
33,nifty,10800,C,2019-01-31,2019-01-31 14:50:00,BUY,2019-01-31 14:55:00,11.5,6.1,29.125,2019-01-31 15:10:00,25.0,13.5,0.5475,12.9525,23986.11111111111,TSL Hit,1851.8518518518517,2.3986111111111112,2019,1
34,nifty,10750,P,2019-02-14,2019-02-14 13:30:00,BUY,2019-02-14 13:35:00,21.0,13.85,22.9,2019-02-14 13:50:00,13.85,-7.15,0.52275,-7.672750000000001,-10731.118881118882,Initial SL hit,1398.6013986013986,-1.0731118881118882,2019,2
35,nifty,10800,C,2019-02-21,2019-02-21 13:35:00,BUY,2019-02-21 13:40:00,13.8,10.25,10.25,2019-02-21 13:50:00,10.25,-3.5500000000000007,0.36075,-3.9107500000000006,-11016.19718309859,Initial SL Hit,2816.9014084507035,-1.101619718309859,2019,2
36,nifty,10800,C,2019-02-21,2019-02-21 14:00:00,BUY,2019-02-21 14:05:00,11.3,7.65,7.65,2019-02-21 14:35:00,7.65,-3.6500000000000004,0.28425000000000006,-3.9342500000000005,-10778.767123287673,Initial SL Hit,2739.72602739726,-1.0778767123287674,2019,2
37,nifty,11500,C,2019-03-28,2019-03-28 13:30:00,BUY,2019-03-28 13:35:00,32.35,19.6,53.8375,2019-03-28 14:05:00,51.9,19.549999999999997,1.26375,18.286249999999995,14342.156862745096,TSL Hit,784.3137254901961,1.4342156862745097,2019,3
38,nifty,11500,C,2019-03-28,2019-03-28 14:10:00,BUY,2019-03-28 14:15:00,56.95,44.15,44.15,2019-03-28 14:25:00,44.15,-12.800000000000004,1.5165,-14.316500000000005,-11184.765625,Initial SL Hit,781.2499999999998,-1.1184765625000002,2019,3
39,nifty,11500,C,2019-03-28,2019-03-28 14:40:00,BUY,2019-03-28 14:45:00,41.9,29.3,42.0625,2019-03-28 14:55:00,41.35,-0.5499999999999972,1.24875,-1.7987499999999972,-1427.579365079363,TSL Hit,793.6507936507937,-0.1427579365079363,2019,3
40,nifty,11500,C,2019-03-28,2019-03-28 15:05:00,BUY,2019-03-28 15:10:00,60.25,36.4,61.112500000000004,2019-03-28 15:20:00,66.75,6.5,1.905,4.595,1926.6247379454926,EOD Exit,419.2872117400419,0.19266247379454926,2019,3
