,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,sensex,65400,C,2023-09-01,2023-09-01 14:54:00,BUY,2023-09-01 14:57:00,27.85,11.9,11.9,2023-09-01 15:00:00,11.9,-15.950000000000001,0.59625,-16.54625,-25934.561128526646,Initial SL Hit,1567.398119122257,-1.0373824451410658,2023,9
2,sensex,66700,C,2023-09-08,2023-09-08 14:27:00,BUY,2023-09-08 14:30:00,58.1,44.15,44.15,2023-09-08 14:30:00,44.15,-13.950000000000003,1.53375,-15.483750000000002,-27748.65591397849,Initial SL Hit,1792.1146953405014,-1.1099462365591397,2023,9
6,sensex,67800,C,2023-09-15,2023-09-15 14:39:00,BUY,2023-09-15 14:42:00,80.0,56.55,56.55,2023-09-15 15:12:00,56.55,-23.450000000000003,2.04825,-25.498250000000002,-27183.635394456287,Initial SL Hit,1066.098081023454,-1.0873454157782516,2023,9
9,sensex,66000,C,2023-10-06,2023-10-06 14:39:00,BUY,2023-10-06 14:42:00,36.1,28.1,28.1,2023-10-06 14:45:00,28.1,-8.0,0.963,-8.963,-28009.374999999996,Initial SL Hit,3125.0,-1.120375,2023,10
13,sensex,63800,C,2023-10-27,2023-10-27 14:36:00,BUY,2023-10-27 14:39:00,81.75,66.3,66.3,2023-10-27 14:42:00,66.3,-15.450000000000003,2.2207500000000002,-17.67075,-28593.446601941745,Initial SL Hit,1618.122977346278,-1.1437378640776699,2023,10
15,sensex,64700,C,2023-11-10,2023-11-10 14:42:00,BUY,2023-11-10 14:45:00,99.75,80.4,197.32500000000002,2023-11-10 15:09:00,196.15,96.4,4.4384999999999994,91.9615,118813.3074935401,TSL Hit,1291.9896640826878,4.752532299741604,2023,11
16,sensex,65800,C,2023-11-17,2023-11-17 14:42:00,BUY,2023-11-17 14:45:00,102.1,64.2,64.2,2023-11-17 14:51:00,64.2,-37.89999999999999,2.4945,-40.394499999999994,-26645.448548812667,Initial SL Hit,659.6306068601584,-1.0658179419525067,2023,11
19,sensex,66000,C,2023-11-24,2023-11-24 14:30:00,BUY,2023-11-24 14:33:00,33.8,28.1,28.1,2023-11-24 14:33:00,28.1,-5.699999999999996,0.9285,-6.628499999999995,-29072.368421052633,Initial SL Hit,4385.964912280705,-1.1628947368421052,2023,11
21,sensex,67500,C,2023-12-01,2023-12-01 15:00:00,BUY,2023-12-01 15:03:00,24.65,15.0,15.0,2023-12-01 15:06:00,15.0,-9.649999999999999,0.59475,-10.244749999999998,-26540.80310880829,Initial SL Hit,2590.673575129534,-1.0616321243523317,2023,12
23,sensex,69700,C,2023-12-08,2023-12-08 14:33:00,BUY,2023-12-08 14:36:00,26.7,12.5,28.2625,2023-12-08 14:48:00,28.2,1.5,0.8234999999999999,0.6765000000000001,1191.0211267605637,TSL Hit,1760.5633802816903,0.047640845070422544,2023,12
