,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,bnf,18200,C,2017-01-05,2017-01-02 13:25:00,SELL,2017-01-02 13:30:00,46.0,69.0,10,2017-01-02 14:10:00,69.0,-23.0,1.1500000000000001,-24.15,-7969.499999999999,Initial SL Hit,330,-0.7969499999999999,2017,1
1,bnf,18200,C,2017-01-05,2017-01-03 09:15:00,SELL,2017-01-03 09:20:00,30.6,45.900000000000006,10,2017-01-03 09:50:00,45.900000000000006,-15.300000000000004,0.765,-16.065000000000005,-5301.450000000002,Initial SL Hit,330,-0.5301450000000002,2017,1
2,bnf,18200,C,2017-01-05,2017-01-03 11:55:00,SELL,2017-01-03 12:00:00,57.6,86.4,10,2017-01-04 14:20:00,10.0,47.6,0.6759999999999999,46.924,15484.92,Target Hit,330,1.548492,2017,1
3,bnf,18200,P,2017-01-05,2017-01-02 14:05:00,SELL,2017-01-02 14:10:00,230.2,345.29999999999995,10,2017-01-03 09:20:00,345.29999999999995,-115.09999999999997,5.755,-120.85499999999996,-39882.14999999999,Initial SL Hit,330,-3.9882149999999985,2017,1
4,bnf,18200,P,2017-01-05,2017-01-03 09:50:00,SELL,2017-01-03 09:55:00,246.95,370.42499999999995,10,2017-01-05 15:20:00,74.35,172.6,3.2129999999999996,169.387,55897.71,Expiry Exit,330,5.589771,2017,1
5,bnf,18200,C,2017-01-12,2017-01-06 14:20:00,SELL,2017-01-06 14:25:00,179.9,269.85,10,2017-01-11 09:15:00,295.8,-115.9,4.757000000000001,-120.65700000000001,-39816.810000000005,Gap Outside ISL,330,-3.981681000000001,2017,1
6,bnf,18200,C,2017-01-12,2017-01-12 12:20:00,SELL,2017-01-12 12:25:00,632.0,948.0,10,2017-01-12 15:20:00,662.0,-30.0,12.94,-42.94,-14170.199999999999,Expiry Exit,330,-1.41702,2017,1
7,bnf,18200,P,2017-01-12,2017-01-06 13:30:00,SELL,2017-01-06 13:35:00,103.5,155.25,10,2017-01-11 09:15:00,10.0,93.5,1.135,92.365,30480.449999999997,Target Hit,330,3.0480449999999997,2017,1
8,bnf,18900,C,2017-01-19,2017-01-16 09:35:00,SELL,2017-01-16 09:40:00,117.0,175.5,10,2017-01-16 10:35:00,175.5,-58.5,2.9250000000000003,-61.425,-19348.875,Initial SL Hit,315,-1.9348875,2017,1
9,bnf,18900,C,2017-01-19,2017-01-17 11:15:00,SELL,2017-01-17 11:20:00,212.8,319.20000000000005,10,2017-01-18 09:35:00,319.20000000000005,-106.40000000000003,5.32,-111.72000000000003,-35191.80000000001,Initial SL Hit,315,-3.519180000000001,2017,1
10,bnf,18900,C,2017-01-19,2017-01-18 13:35:00,SELL,2017-01-18 13:40:00,268.0,402.0,10,2017-01-19 15:20:00,215.0,53.0,4.83,48.17,15173.550000000001,Expiry Exit,315,1.517355,2017,1
11,bnf,18900,P,2017-01-19,2017-01-13 13:30:00,SELL,2017-01-13 13:35:00,131.5,197.25,10,2017-01-18 09:40:00,10.0,121.5,1.415,120.085,37826.775,Target Hit,315,3.7826775,2017,1
