,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
0,BANKNIFTY,18200,P,2017-01-05,2017-01-03 12:45:00,SELL,2017-01-03,13:00:00,189.1,390.0,2,2017-01-05 15:15:00,80.1,109.0,2.692,106.308,14351.580000000002,Expiry Exit,135.0,1.4351580000000002,390.0,41.05,2017,1,"35, 4, 15m, N Candles High SL",14351.580000000002,1.4351580000000002,1.4351580000000002,0.0
1,BANKNIFTY,18200,C,2017-01-05,2017-01-04 10:00:00,SELL,2017-01-04,10:15:00,30.1,74.9,2,2017-01-05 14:15:00,2.0,28.1,0.321,27.779,3750.165,Target Hit,135.0,0.3750165,125.6,1.55,2017,1,"35, 4, 15m, N Candles High SL",18101.745000000003,1.8101745,1.8101745,0.0
2,BANKNIFTY,18200,P,2017-01-12,2017-01-09 12:30:00,SELL,2017-01-09,12:45:00,71.7,123.85,2,2017-01-11 11:15:00,2.0,69.7,0.737,68.96300000000001,9310.005,Target Hit,135.0,0.9310005,190.0,2.0,2017,1,"35, 4, 15m, N Candles High SL",27411.75,2.741175,2.741175,0.0
3,BANKNIFTY,18200,C,2017-01-12,2017-01-09 15:00:00,SELL,2017-01-09,15:15:00,160.05,206.0,2,2017-01-10 09:15:00,206.0,-45.94999999999999,3.6605,-49.61049999999999,-6697.417499999998,Initial SL Hit,135.0,-0.6697417499999999,220.0,109.75,2017,1,"35, 4, 15m, N Candles High SL",20714.332500000004,2.07143325,2.741175,-0.66974175
4,BANKNIFTY,18200,C,2017-01-12,2017-01-10 12:30:00,SELL,2017-01-10,12:45:00,164.65,220.0,2,2017-01-10 15:15:00,220.0,-55.35,3.8465,-59.19649999999999,-7991.527499999999,Initial SL Hit,135.0,-0.79915275,228.0,109.75,2017,1,"35, 4, 15m, N Candles High SL",12722.805000000004,1.2722805000000001,2.741175,-1.4688945
5,BANKNIFTY,18900,P,2017-01-19,2017-01-16 12:30:00,SELL,2017-01-16,12:45:00,70.2,206.7,2,2017-01-19 11:15:00,2.0,68.2,0.7220000000000001,67.47800000000001,9109.53,Target Hit,135.0,0.910953,206.7,1.55,2017,1,"35, 4, 15m, N Candles High SL",21832.335000000006,2.1832335,2.741175,-0.5579415000000001
6,BANKNIFTY,18900,C,2017-01-19,2017-01-19 10:30:00,SELL,2017-01-19,10:45:00,172.8,390.2,2,2017-01-19 15:15:00,213.15,-40.35,3.8595000000000006,-44.20949999999999,-5968.282499999998,Expiry Exit,135.0,-0.5968282499999998,390.2,82.6,2017,1,"35, 4, 15m, N Candles High SL",15864.052500000009,1.5864052500000003,2.741175,-1.1547697499999998
7,BANKNIFTY,19000,C,2017-01-25,2017-01-23 12:30:00,SELL,2017-01-23,12:45:00,30.65,158.75,2,2017-01-25 09:15:00,158.75,-128.1,1.894,-129.994,-17549.19,Initial SL Hit,135.0,-1.754919,189.95,24.1,2017,1,"35, 4, 15m, N Candles High SL",-1685.1374999999898,-0.16851374999999957,2.741175,-2.90968875
1000,NIFTY,8400,P,2017-01-25,2017-01-24 09:30:00,SELL,2017-01-24,10:00:00,13.8,27.6,1,2017-01-25 09:00:00,1.0,12.8,0.148,12.652,5313.84,Target Hit,420.0,0.5313840000000001,73.35,0.8,2017,1,"20, 4, 30m, 2% SL",3628.7025000000103,0.3628702500000005,2.741175,-2.37830475
8,BANKNIFTY,19000,P,2017-01-25,2017-01-24 10:00:00,SELL,2017-01-24,10:15:00,76.3,279.65,2,2017-01-25 12:00:00,2.0,74.3,0.783,73.517,9924.795,Target Hit,135.0,0.9924795,279.65,1.55,2017,1,"35, 4, 15m, N Candles High SL",13553.49750000001,1.3553497500000005,2.741175,-1.3858252499999997
9,BANKNIFTY,19600,C,2017-02-02,2017-01-30 13:45:00,SELL,2017-01-30,14:00:00,268.5,390.4,2,2017-02-01 14:45:00,390.4,-121.89999999999998,6.589,-128.48899999999998,-16382.347499999996,Initial SL Hit,127.5,-1.6382347499999994,421.8,140.2,2017,1,"35, 4, 15m, N Candles High SL",-2828.849999999986,-0.28288499999999894,2.741175,-3.024059999999999
10,BANKNIFTY,19600,P,2017-02-02,2017-02-01 12:30:00,SELL,2017-02-01,12:45:00,182.05,331.25,2,2017-02-02 09:15:00,2.0,180.05,1.8405,178.20950000000002,22721.711250000004,Target Hit,127.5,2.2721711250000007,331.25,0.7,2017,2,"35, 4, 15m, N Candles High SL",19892.861250000016,1.9892861250000018,2.741175,-0.7518888749999983
11,BANKNIFTY,20100,P,2017-02-09,2017-02-06 12:30:00,SELL,2017-02-06,12:45:00,50.35,194.8,2,2017-02-09 09:15:00,2.0,48.35,0.5235000000000001,47.8265,6097.878750000001,Target Hit,127.5,0.6097878750000001,237.15,1.7,2017,2,"35, 4, 15m, N Candles High SL",25990.740000000016,2.5990740000000017,2.741175,-0.14210099999999848
12,BANKNIFTY,20100,C,2017-02-09,2017-02-07 13:00:00,SELL,2017-02-07,13:15:00,323.4,387.65,2,2017-02-09 15:15:00,33.0,290.4,3.564,286.836,36571.59,Expiry Exit,127.5,3.6571589999999996,449.35,16.65,2017,2,"35, 4, 15m, N Candles High SL",62562.330000000016,6.256233000000002,6.256233000000002,0.0
13,BANKNIFTY,20200,C,2017-02-16,2017-02-13 12:30:00,SELL,2017-02-13,12:45:00,97.0,218.9,2,2017-02-16 15:15:00,31.0,66.0,1.28,64.72,8251.8,Expiry Exit,127.5,0.82518,223.15,20.1,2017,2,"35, 4, 15m, N Candles High SL",70814.13000000002,7.081413000000001,7.081413000000001,0.0
14,BANKNIFTY,20200,P,2017-02-16,2017-02-14 11:00:00,SELL,2017-02-14,11:15:00,91.05,177.3,2,2017-02-16 14:30:00,2.0,89.05,0.9305,88.1195,11235.23625,Target Hit,127.5,1.123523625,177.3,1.85,2017,2,"35, 4, 15m, N Candles High SL",82049.36625000002,8.204936625000002,8.204936625000002,0.0
15,BANKNIFTY,20900,C,2017-02-23,2017-02-20 12:45:00,SELL,2017-02-20,13:00:00,25.45,89.25,2,2017-02-22 09:15:00,89.25,-63.8,1.147,-64.947,-7793.64,Initial SL Hit,120.0,-0.779364,102.7,17.5,2017,2,"35, 4, 15m, N Candles High SL",74255.72625000002,7.425572625000002,8.204936625000002,-0.7793640000000002
16,BANKNIFTY,20900,P,2017-02-23,2017-02-20 13:15:00,SELL,2017-02-20,13:45:00,311.75,489.95,2,2017-02-23 15:15:00,24.75,287.0,3.365,283.635,34036.2,Expiry Exit,120.0,3.4036199999999996,489.95,5.25,2017,2,"35, 4, 15m, N Candles High SL",108291.92625000002,10.829192625000001,10.829192625000001,0.0
1001,NIFTY,8900,P,2017-02-23,2017-02-20 14:00:00,SELL,2017-02-20,14:30:00,59.1,118.2,1,2017-02-23 13:30:00,1.0,58.1,0.601,57.499,22424.61,Target Hit,390.0,2.242461,115.6,0.6,2017,2,"20, 4, 30m, 2% SL",130716.53625000002,13.071653625000001,13.071653625000001,0.0
17,BANKNIFTY,20900,C,2017-02-23,2017-02-23 12:00:00,SELL,2017-02-23,12:15:00,48.5,102.0,2,2017-02-23 12:30:00,102.0,-53.5,1.505,-55.005,-6600.6,Initial SL Hit,120.0,-0.6600600000000001,106.4,17.5,2017,2,"35, 4, 15m, N Candles High SL",124115.93625000001,12.411593625000002,13.071653625000001,-0.6600599999999996
18,BANKNIFTY,20900,C,2017-03-02,2017-02-28 12:30:00,SELL,2017-02-28,12:45:00,26.8,84.95,2,2017-03-02 13:30:00,2.0,24.8,0.288,24.512,2941.44,Target Hit,120.0,0.294144,102.3,1.55,2017,2,"35, 4, 15m, N Candles High SL",127057.37625000002,12.705737625000001,13.071653625000001,-0.36591600000000035
19,BANKNIFTY,20900,P,2017-03-02,2017-03-01 10:00:00,SELL,2017-03-01,10:15:00,119.25,310.0,2,2017-03-02 15:00:00,310.0,-190.75,4.2925,-195.0425,-23405.1,Initial SL Hit,120.0,-2.3405099999999996,319.95,35.65,2017,3,"35, 4, 15m, N Candles High SL",103652.27625000002,10.365227625000001,13.071653625000001,-2.7064260000000004
