,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
0,midcpnifty,8775,P,2023-09-04,2023-09-01 11:25:00,SELL,2023-09-01,11:35:00,2.95,6.2,1,2023-09-01 15:05:00,1.0,1.9500000000000002,0.0395,1.9105,2607.8325,Target Hit,1365,0.26078324999999997,11.25,0.95,2023,9,"5, 5, 10m, 0% SL"
1,midcpnifty,8975,P,2023-09-11,2023-09-05 10:55:00,SELL,2023-09-05,11:05:00,40.4,48.0,1,2023-09-08 09:25:00,1.0,39.4,0.414,38.986,52046.31,Target Hit,1335,5.204631,64.95,1.0,2023,9,"5, 5, 10m, 0% SL"
2,midcpnifty,8975,C,2023-09-11,2023-09-05 13:15:00,SELL,2023-09-05,13:25:00,75.65,82.05,1,2023-09-05 13:45:00,82.05,-6.3999999999999915,1.577,-7.976999999999991,-10649.29499999999,Initial SL Hit,1335,-1.064929499999999,89.1,60.35,2023,9,"5, 5, 10m, 0% SL"
3,midcpnifty,8975,C,2023-09-11,2023-09-06 13:15:00,SELL,2023-09-06,13:25:00,96.8,105.65,1,2023-09-06 14:15:00,105.65,-8.850000000000009,2.0244999999999997,-10.874500000000008,-14517.457500000011,Initial SL Hit,1335,-1.451745750000001,122.3,60.35,2023,9,"5, 5, 10m, 0% SL"
4,midcpnifty,8975,C,2023-09-11,2023-09-07 12:05:00,SELL,2023-09-07,12:15:00,102.05,110.75,1,2023-09-07 14:25:00,116.75,-14.700000000000003,2.188,-16.888,-22545.480000000003,Gap Outside ISL,1335,-2.254548,123.1,60.35,2023,9,"5, 5, 10m, 0% SL"
5,midcpnifty,9250,C,2023-09-18,2023-09-12 12:05:00,SELL,2023-09-12,12:15:00,14.15,20.15,1,2023-09-14 09:15:00,20.15,-5.999999999999998,0.34299999999999997,-6.342999999999998,-8182.4699999999975,Initial SL Hit,1290,-0.8182469999999997,61.15,5.6,2023,9,"5, 5, 10m, 0% SL"
6,midcpnifty,9250,P,2023-09-18,2023-09-13 12:15:00,SELL,2023-09-13,12:35:00,292.0,339.0,1,2023-09-18 15:15:00,100.9,191.1,3.929,187.171,241450.59,Expiry Exit,1290,24.145059,366.8,54.1,2023,9,"5, 5, 10m, 0% SL"
7,midcpnifty,9250,C,2023-09-18,2023-09-14 12:15:00,SELL,2023-09-14,12:25:00,10.2,13.2,1,2023-09-15 09:15:00,10.7,-0.5,0.209,-0.709,-914.6099999999999,Gap Outside ISL,1290,-0.091461,61.15,5.6,2023,9,"5, 5, 10m, 0% SL"
8,midcpnifty,9250,C,2023-09-18,2023-09-15 09:55:00,SELL,2023-09-15,10:05:00,7.05,17.95,1,2023-09-18 09:15:00,1.0,6.05,0.0805,5.9695,7700.655,Target Hit,1290,0.7700655,61.15,0.95,2023,9,"5, 5, 10m, 0% SL"
9,midcpnifty,9125,P,2023-09-25,2023-09-20 10:45:00,SELL,2023-09-20,10:55:00,53.0,69.75,1,2023-09-21 12:15:00,69.75,-16.75,1.2275,-17.9775,-23730.3,Initial SL Hit,1320,-2.37303,133.6,25.6,2023,9,"5, 5, 10m, 0% SL"
