,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
0,nifty,8400,P,2017-01-25,2017-01-24 09:30:00,SELL,2017-01-24,10:00:00,13.8,27.6,1,2017-01-25 09:00:00,1.0,12.8,0.14800000000000002,12.652000000000001,10627.68,Target Hit,840,1.0627680000000002,73.35,0.8,2017,1,"20, 4, 30m, 2% SL"
1,nifty,8900,P,2017-02-23,2017-02-20 14:00:00,SELL,2017-02-20,14:30:00,59.1,118.2,1,2017-02-23 13:30:00,1.0,58.1,0.601,57.499,44849.22,Target Hit,780,4.484922,115.6,0.6,2017,2,"20, 4, 30m, 2% SL"
2,nifty,9100,P,2017-03-30,2017-03-28 12:00:00,SELL,2017-03-28,12:30:00,28.55,57.1,1,2017-03-30 14:00:00,1.0,27.55,0.29550000000000004,27.2545,20849.6925,Target Hit,765,2.0849692500000003,81.9,0.75,2017,3,"20, 4, 30m, 2% SL"
3,nifty,9200,P,2017-04-27,2017-04-24 14:30:00,SELL,2017-04-24,15:00:00,28.4,56.8,1,2017-04-27 09:00:00,1.0,27.4,0.294,27.105999999999998,20736.09,Target Hit,765,2.073609,120.0,0.5,2017,4,"20, 4, 30m, 2% SL"
4,nifty,9450,C,2017-05-25,2017-05-22 14:00:00,SELL,2017-05-22,14:30:00,36.0,72.0,1,2017-05-25 15:00:00,72.0,-36.0,1.08,-37.08,-27253.8,Initial SL Hit,735,-2.72538,84.7,1.55,2017,5,"20, 4, 30m, 2% SL"
5,nifty,9450,P,2017-05-25,2017-05-25 10:30:00,SELL,2017-05-25,11:00:00,32.35,64.7,1,2017-05-25 14:30:00,1.0,31.35,0.3335,31.0165,22797.1275,Target Hit,735,2.27971275,107.5,0.75,2017,5,"20, 4, 30m, 2% SL"
6,nifty,9650,C,2017-06-29,2017-06-27 15:00:00,SELL,2017-06-28,09:00:00,4.05,8.1,1,2017-06-28 15:00:00,1.0,3.05,0.050499999999999996,2.9995,2159.64,Target Hit,720,0.215964,40.05,1.0,2017,6,"20, 4, 30m, 2% SL"
7,nifty,9900,P,2017-07-27,2017-07-25 10:30:00,SELL,2017-07-25,11:00:00,16.85,33.7,1,2017-07-27 09:00:00,1.0,15.850000000000001,0.17850000000000002,15.671500000000002,11048.407500000001,Target Hit,705,1.1048407500000001,89.1,0.35,2017,7,"20, 4, 30m, 2% SL"
8,nifty,9900,C,2017-08-31,2017-08-29 14:00:00,SELL,2017-08-29,14:30:00,8.2,16.4,1,2017-08-30 09:00:00,16.4,-8.2,0.246,-8.446,-5954.429999999999,Initial SL Hit,705,-0.595443,65.3,7.5,2017,8,"20, 4, 30m, 2% SL"
9,nifty,9900,P,2017-08-31,2017-08-30 13:30:00,SELL,2017-08-30,14:00:00,27.4,54.8,1,2017-08-31 15:00:00,1.0,26.4,0.284,26.116,18411.78,Target Hit,705,1.841178,120.0,0.05,2017,8,"20, 4, 30m, 2% SL"
10,nifty,10100,C,2017-09-28,2017-09-25 14:30:00,SELL,2017-09-25,15:00:00,3.65,7.3,1,2017-09-27 10:00:00,1.0,2.65,0.04650000000000001,2.6035,1796.415,Target Hit,690,0.1796415,55.35,0.85,2017,9,"20, 4, 30m, 2% SL"
11,nifty,10200,P,2017-10-26,2017-10-24 14:00:00,SELL,2017-10-24,14:30:00,34.75,69.5,1,2017-10-26 12:00:00,1.0,33.75,0.3575,33.3925,23040.824999999997,Target Hit,690,2.3040825,100.0,1.0,2017,10,"20, 4, 30m, 2% SL"
12,nifty,10350,P,2017-11-30,2017-11-28 09:30:00,SELL,2017-11-28,10:00:00,23.0,46.0,1,2017-11-30 09:00:00,46.0,-23.0,0.6900000000000001,-23.69,-15990.75,Initial SL Hit,675,-1.5990750000000002,57.6,12.1,2017,11,"20, 4, 30m, 2% SL"
13,nifty,10350,C,2017-11-30,2017-11-28 10:30:00,SELL,2017-11-28,11:00:00,76.4,152.8,1,2017-11-30 14:30:00,1.0,75.4,0.774,74.626,50372.55,Target Hit,675,5.037255,102.0,0.15,2017,11,"20, 4, 30m, 2% SL"
14,nifty,10450,P,2017-12-28,2017-12-26 14:00:00,SELL,2017-12-26,14:30:00,17.55,35.1,1,2017-12-28 14:30:00,1.0,16.55,0.1855,16.3645,11046.0375,Target Hit,675,1.1046037499999999,53.0,0.25,2017,12,"20, 4, 30m, 2% SL"
15,nifty,10850,P,2018-01-25,2018-01-22 14:00:00,SELL,2018-01-22,14:30:00,24.3,48.6,1,2018-01-25 09:00:00,1.0,23.3,0.253,23.047,14865.315,Target Hit,645,1.4865315000000001,87.85,0.35,2018,1,"20, 4, 30m, 2% SL"
16,nifty,10600,C,2018-02-22,2018-02-19 15:00:00,SELL,2018-02-20,09:00:00,5.65,11.3,1,2018-02-21 13:00:00,1.0,4.65,0.0665,4.583500000000001,3025.1100000000006,Target Hit,660,0.30251100000000003,82.4,0.8,2018,2,"20, 4, 30m, 2% SL"
17,nifty,9950,P,2018-03-28,2018-03-26 14:00:00,SELL,2018-03-26,14:30:00,12.85,25.7,1,2018-03-28 09:00:00,1.0,11.85,0.1385,11.7115,8256.6075,Target Hit,705,0.82566075,67.9,0.45,2018,3,"20, 4, 30m, 2% SL"
