Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8228.0,8391.65625,2017-01-13 13:15:00,8378.2,131.65000000000146,128.32505000000145,433097.0437500049,TSL Hit,3375,7.5,11.549254500000131,2017,1
2017-01-16 09:15:00,LONG,2017-01-16 10:15:00,8397.65,8374.75,8402.796875,2017-01-17 11:15:00,8386.2,-11.449999999998909,-14.80676999999891,-49972.84874999632,TSL Hit,3375,7.5,-1.332609299999902,2017,1
2017-01-17 13:15:00,LONG,2017-01-17 14:15:00,8399.55,8386.7,8386.7,2017-01-17 14:15:00,8386.7,-12.849999999998545,-16.207249999998545,-54699.46874999509,Initial SL Hit,3375,7.5,-1.458652499999869,2017,1
2017-01-18 09:15:00,LONG,2017-01-18 10:15:00,8457.45,8407.85,8413.496875,2017-01-18 13:15:00,8407.85,-49.600000000000364,-52.973060000000366,-174811.09800000122,Initial SL hit,3300,7.5,-4.6616292800000325,2017,1
2017-01-18 14:15:00,LONG,2017-01-18 15:15:00,8422.75,8400.5,8418.43125,2017-01-19 13:15:00,8418.25,-4.5,-7.8682,-26555.175,TSL Hit,3375,7.5,-0.708138,2017,1
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,8411.9,8399.5,8399.5,2017-01-20 12:15:00,8399.5,-12.399999999999636,-15.762279999999636,-53197.69499999877,Initial SL Hit,3375,7.5,-1.4186051999999671,2017,1
2017-01-24 09:15:00,LONG,2017-01-24 10:15:00,8434.25,8399.45,8633.915625,2017-01-30 14:15:00,8630.35,196.10000000000036,192.68708000000038,635867.3640000012,TSL Hit,3300,7.5,16.956463040000035,2017,1
2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,8590.8,8555.45,8555.45,2017-01-31 15:15:00,8555.45,-35.349999999998545,-38.77924999999855,-127971.5249999952,Initial SL Hit,3300,7.5,-3.4125739999998723,2017,1
2017-02-01 10:15:00,LONG,2017-02-01 11:15:00,8572.1,8537.8,8537.8,2017-02-01 11:15:00,8537.8,-34.30000000000109,-37.72198000000109,-124482.5340000036,Initial SL Hit,3300,7.5,-3.319534240000096,2017,2
2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,8657.8,8540.7,8777.262499999999,2017-02-07 13:15:00,8776.1,118.30000000000109,114.8132200000011,370272.63450000354,TSL Hit,3225,7.5,9.873936920000094,2017,2
2017-02-08 09:15:00,LONG,2017-02-08 10:15:00,8780.05,8766.2,8766.2,2017-02-08 11:15:00,8766.2,-13.849999999998545,-17.359249999998546,-55983.58124999531,Initial SL Hit,3225,7.5,-1.492895499999875,2017,2
2017-02-08 12:15:00,LONG,2017-02-08 13:15:00,8766.9,8756.4,8756.4,2017-02-08 13:15:00,8756.4,-10.5,-14.00466,-45165.0285,Initial SL Hit,3225,7.5,-1.20440076,2017,2
2017-02-08 14:15:00,LONG,2017-02-08 15:15:00,8774.6,8715.15,8771.65625,2017-02-09 10:15:00,8742.1,-32.5,-36.00334,-116110.7715,TSL Hit,3225,7.5,-3.09628724,2017,2
2017-02-09 12:15:00,LONG,2017-02-09 13:15:00,8765.0,8744.35,8783.753125,2017-02-13 11:15:00,8770.25,5.25,1.74295,5621.01375,TSL Hit,3225,7.5,0.14989370000000002,2017,2
2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8763.65,8794.134375,2017-02-14 11:15:00,8790.2,-13.599999999998545,-17.118799999998544,-55208.129999995304,TSL Hit,3225,7.5,-1.4722167999998748,2017,2
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,8800.45,8779.7,8793.806250000001,2017-02-14 15:15:00,8784.15,-16.30000000000109,-19.81692000000109,-63909.56700000352,TSL Hit,3225,7.5,-1.704255120000094,2017,2
2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8814.35,8814.35,2017-02-17 13:15:00,8814.35,-22.44999999999891,-25.980229999998908,-81837.72449999656,Initial SL hit,3150,7.5,-2.182339319999908,2017,2
2017-02-20 09:15:00,LONG,2017-02-20 10:15:00,8835.75,8809.85,8934.09375,2017-02-23 14:15:00,8929.55,93.79999999999927,90.24693999999927,284277.8609999977,TSL Hit,3150,7.5,7.580742959999939,2017,2
