Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2018-03-27 12:15:00,LONG,2018-03-27 13:15:00,33212.55,33157.95,33157.95,2018-03-27 13:15:00,33157.95,-54.60000000000582,-61.23705000000582,-51439.12200000489,Initial SL hit,840,7.5,-1.3717099200001306,2018,3
2018-03-28 10:15:00,LONG,2018-03-28 11:15:00,32996.38,32946.04,32946.04,2018-03-28 14:15:00,32946.04,-50.33999999999651,-56.93424199999651,-48963.448119996996,Initial SL Hit,860,7.5,-1.3056919498665867,2018,3
2018-04-02 10:15:00,LONG,2018-04-02 11:15:00,33119.09,33023.82,33302.977857142854,2018-04-04 12:15:00,33285.22,166.13000000000466,159.48956900000465,133971.2379600039,TSL Hit,840,7.5,3.572566345600104,2018,4
2018-04-05 09:15:00,LONG,2018-04-05 10:15:00,33443.87,33329.92,33842.46928571429,2018-04-11 09:15:00,33803.49,359.61999999999534,352.89526399999534,296432.0217599961,TSL Hit,840,7.5,7.9048539135998945,2018,4
2018-04-11 10:15:00,LONG,2018-04-11 11:15:00,33876.09,33802.19,34155.175,2018-04-16 09:15:00,34139.54,263.45000000000437,256.6484370000044,215584.68708000367,TSL Hit,840,7.5,5.7489249888000975,2018,4
2018-04-16 11:15:00,LONG,2018-04-16 12:15:00,34132.39,34085.27,34388.45142857143,2018-04-18 14:15:00,34341.48,209.09000000000378,202.2426130000038,165838.94266000311,TSL Hit,820,7.5,4.422371804266749,2018,4
2018-04-19 11:15:00,LONG,2018-04-19 12:15:00,34432.83,34359.0,34359.0,2018-04-20 09:15:00,34359.0,-73.83000000000175,-80.70918300000174,-66181.53006000143,Initial SL Hit,820,7.5,-1.7648408016000383,2018,4
2018-04-20 11:15:00,LONG,2018-04-20 12:15:00,34387.65,34343.54,34343.54,2018-04-20 12:15:00,34343.54,-44.11000000000058,-50.983119000000585,-41806.15758000048,Initial SL Hit,820,7.5,-1.1148308688000128,2018,4
2018-04-20 13:15:00,LONG,2018-04-20 14:15:00,34410.55,34311.29,34553.63857142857,2018-04-25 09:15:00,34545.34,134.7899999999936,127.8944109999936,104873.41701999475,TSL Hit,820,7.5,2.7966244538665266,2018,4
2018-04-25 11:15:00,LONG,2018-04-25 12:15:00,34568.2,34522.19,34522.19,2018-04-25 13:15:00,34522.19,-46.00999999999476,-52.91903899999476,-43393.6119799957,Initial SL Hit,820,7.5,-1.1571629861332189,2018,4
2018-04-26 10:15:00,LONG,2018-04-26 11:15:00,34587.26,34551.81,34551.81,2018-04-26 11:15:00,34551.81,-35.450000000004366,-42.36390700000437,-34738.40374000358,Initial SL Hit,820,7.5,-0.9263574330667622,2018,4
2018-04-26 12:15:00,LONG,2018-04-26 13:15:00,34585.1,34518.04,35187.31785714286,2018-05-02 15:15:00,35162.52,577.4199999999983,570.4452379999982,467765.0951599985,TSL Hit,820,7.5,12.473735870933293,2018,4
2018-05-03 11:15:00,LONG,2018-05-03 12:15:00,35079.62,35020.08,35020.08,2018-05-04 09:15:00,35020.08,-59.54000000000087,-66.54997000000087,-53239.97600000069,Initial SL Hit,800,7.5,-1.4197326933333518,2018,5
2018-05-04 12:15:00,LONG,2018-05-04 13:15:00,34951.94,34889.4,34889.4,2018-05-04 13:15:00,34889.4,-62.54000000000087,-69.52413400000087,-55619.307200000694,Initial SL Hit,800,7.5,-1.483181525333352,2018,5
2018-05-07 11:15:00,LONG,2018-05-07 12:15:00,35050.41,34999.06,35296.63785714286,2018-05-10 12:15:00,35264.23,213.8199999999997,206.7885359999997,165430.82879999976,TSL Hit,800,7.5,4.411488767999994,2018,5
2018-05-11 11:15:00,LONG,2018-05-11 12:15:00,35366.83,35318.63,35627.83142857143,2018-05-15 13:15:00,35602.04,235.20999999999913,228.11311299999912,182490.49039999928,TSL Hit,800,7.5,4.866413077333314,2018,5
2018-05-16 10:15:00,LONG,2018-05-16 11:15:00,35352.48,35279.01,35279.01,2018-05-17 10:15:00,35279.01,-73.47000000000116,-80.53314900000116,-64426.51920000093,Initial SL Hit,800,7.5,-1.7180405120000248,2018,5
2018-05-28 11:15:00,LONG,2018-05-28 12:15:00,35132.86,35074.56,35095.26642857143,2018-05-29 12:15:00,35074.56,-58.30000000000291,-65.32074200000291,-52256.59360000233,Initial SL hit,800,7.5,-1.3935091626667289,2018,5
2018-05-30 10:15:00,LONG,2018-05-30 11:15:00,34833.78,34745.19,35198.36,2018-06-01 15:15:00,35190.97,357.1900000000023,350.1875250000023,280150.0200000019,TSL Hit,800,7.5,7.47066720000005,2018,5
2018-06-04 11:15:00,LONG,2018-06-04 12:15:00,35253.99,35201.76,35201.76,2018-06-04 12:15:00,35201.76,-52.229999999995925,-59.275574999995925,-47420.45999999674,Initial SL Hit,800,7.5,-1.2645455999999131,2018,6
2018-06-07 09:15:00,LONG,2018-06-07 10:15:00,35469.21,35291.54,35353.42,2018-06-08 10:15:00,35351.43,-117.77999999999884,-124.86206399999884,-99889.65119999908,TSL Hit,800,7.5,-2.6637240319999753,2018,6
2018-06-08 12:15:00,LONG,2018-06-08 13:15:00,35320.26,35260.84,35478.00785714285,2018-06-11 15:15:00,35476.81,156.54999999999563,149.47029299999562,119576.2343999965,TSL Hit,800,7.5,3.1886995839999064,2018,6
