date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
2019-01-25,Friday,2019-01-31,6,10900,C,87.95,12:35:00,108.95,0.0,0.05,2019-01-31,15:20:00,EOD exit,87.9,0.88,4725,411169.50000000006,8.223390000000002,2019,1,89.55,0.05,8.30655,128.75625
2019-01-29,Tuesday,2019-01-31,2,10650,P,63.45,10:35:00,78.1,62.032500000000006,78.1,2019-01-29,12:50:00,SL hit,-14.649999999999991,1.4155000000000002,6825,-109647.03749999995,-2.192940749999999,2019,1,79.8,50.25,1.8018000000000003,181.715625
2019-01-30,Wednesday,2019-01-31,1,10700,P,60.0,09:50:00,63.7,59.879999999999995,63.7,2019-01-30,10:25:00,SL hit,-3.700000000000003,1.237,7500,-37027.50000000002,-0.7405500000000004,2019,1,69.6,49.55,1.5675000000000001,200.625
2019-01-30,Wednesday,2019-01-31,1,10650,P,48.6,10:30:00,54.0,35.28000000000001,54.0,2019-01-30,10:35:00,SL hit,-5.399999999999999,1.026,7500,-48194.999999999985,-0.9638999999999996,2019,1,66.35,40.8,1.1700000000000006,199.6875
2019-01-30,Wednesday,2019-01-31,1,10600,P,37.55,10:40:00,45.1,0.1625,0.05,2019-01-31,15:25:00,EOD exit,37.5,0.37599999999999995,7500,278430.0,5.5686,2019,1,45.1,0.05,5.625,198.75
2019-02-11,Monday,2019-02-14,3,11000,P,125.0,13:05:00,151.8,114.50750000000001,151.8,2019-02-12,14:45:00,SL hit,-26.80000000000001,2.7680000000000002,3750,-110880.00000000004,-2.217600000000001,2019,2,155.0,91.0,2.55,103.125
2019-02-12,Tuesday,2019-02-14,2,10900,C,46.8,10:30:00,62.1,0.0,0.05,2019-02-14,15:25:00,EOD exit,46.75,0.46849999999999997,6525,301986.78750000003,6.03973575,2019,2,55.5,0.05,6.100875,177.80625
2019-02-13,Wednesday,2019-02-14,1,10850,P,32.0,12:50:00,39.15,29.067500000000003,39.15,2019-02-13,13:30:00,SL hit,-7.149999999999999,0.7115,7350,-57782.02499999999,-1.1556404999999996,2019,2,39.6,26.0,0.882,199.36875
2019-02-15,Friday,2019-02-21,6,10750,P,85.0,14:30:00,157.2,96.45,157.2,2019-02-19,15:10:00,SL hit,-72.19999999999999,2.422,1350,-100739.69999999998,-2.0147939999999998,2019,2,158.85,55.95,0.7843499999999998,36.28125
2019-02-15,Friday,2019-02-21,6,10800,C,30.45,12:35:00,73.0,0.0,0.05,2019-02-21,15:25:00,EOD exit,30.4,0.305,2325,69970.875,1.3994175,2019,2,54.7,0.05,1.4136,62.775000000000006
2019-02-20,Wednesday,2019-02-21,1,10650,P,32.6,11:15:00,59.35,0.15750000000000003,0.05,2019-02-21,15:25:00,EOD exit,32.550000000000004,0.3265,3750,120838.125,2.4167625000000004,2019,2,41.75,0.05,2.44125,99.84375
2019-02-22,Friday,2019-02-28,6,10750,P,48.85,14:55:00,64.9,35.120000000000005,64.9,2019-02-26,09:55:00,SL hit,-16.050000000000004,1.1375,6225,-106992.18750000003,-2.1398437500000007,2019,2,68.75,14.35,4.295249999999999,167.296875
2019-02-22,Friday,2019-02-28,6,10800,C,67.0,13:25:00,77.65,0.0,77.65,2019-02-22,14:15:00,SL hit,-10.650000000000006,1.4465000000000001,7350,-88909.27500000004,-1.7781855000000006,2019,2,79.5,63.8,0.47040000000000043,198.45
2019-02-25,Monday,2019-02-28,3,10850,C,41.5,10:25:00,54.95,0.0,54.95,2019-02-25,14:10:00,SL hit,-13.450000000000003,0.9645,7350,-105946.57500000001,-2.1189315000000004,2019,2,56.95,40.25,0.18375,199.36875
2019-02-26,Tuesday,2019-02-28,2,10750,P,28.75,12:35:00,90.0,0.8125,0.05,2019-02-28,15:25:00,EOD exit,28.7,0.28800000000000003,1650,46879.799999999996,0.9375959999999999,2019,2,85.45,0.05,0.9471,44.34375
2019-02-26,Tuesday,2019-02-28,2,10800,C,53.5,10:15:00,86.25,0.0,86.25,2019-02-26,11:50:00,SL hit,-32.75,1.3975,3075,-105003.5625,-2.10007125,2019,2,89.15,48.85,0.2859749999999999,83.025
2019-02-27,Wednesday,2019-02-28,1,10900,C,21.2,12:35:00,68.6,0.0,0.05,2019-02-28,15:25:00,EOD exit,21.15,0.2125,2100,43968.75,0.8793749999999999,2019,2,31.7,0.05,0.8883,57.225
