Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2017-01-11 09:15:00,LONG,2017-01-11 10:15:00,188.445,187.05,193.44883333333334,2017-01-19 09:15:00,192.85,4.405000000000001,4.023705000000001,800705.2238850003,TSL Hit,198997,5,10.676069651800004,2017,1
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,192.5,192.475,192.475,2017-01-20 11:15:00,192.475,-0.025000000000005684,-0.4099750000000057,-79865.17987500111,Initial SL Hit,194805,5,-1.0648690650000148,2017,1
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,190.74,190.4,190.4,2017-01-23 10:15:00,190.4,-0.3400000000000034,-0.7211400000000034,-141778.28742000068,Initial SL Hit,196603,5,-1.890377165600009,2017,1
2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,192.0,191.71,198.07094444444445,2017-01-31 09:15:00,197.6,5.599999999999994,5.210399999999995,1017653.644799999,TSL Hit,195312,5,13.568715263999987,2017,1
2017-01-31 11:15:00,LONG,2017-01-31 12:15:00,197.0,196.5,196.5,2017-01-31 12:15:00,196.5,-0.5,-0.8935,-170082.1925,Initial SL Hit,190355,5,-2.2677625666666668,2017,1
2017-02-01 11:15:00,LONG,2017-02-01 12:15:00,198.6,197.05,205.36033333333336,2017-02-08 09:15:00,205.301,6.700999999999993,6.297098999999993,1189030.8273779987,TSL Hit,188822,5,15.853744365039985,2017,2
2017-02-08 13:15:00,LONG,2017-02-08 14:15:00,204.95,204.9,204.9,2017-02-08 14:15:00,204.9,-0.04999999999998295,-0.459849999999983,-84139.2143499969,Initial SL hit,182971,5,-1.121856191333292,2017,2
2017-02-08 15:15:00,LONG,2017-02-09 09:15:00,205.7,204.61,204.61,2017-02-09 10:15:00,204.5,-1.1999999999999886,-1.6101999999999888,-293545.90079999797,Gap Open Outside ISL,182304,5,-3.913945343999973,2017,2
2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,202.9,202.005,204.14977777777779,2017-02-10 15:15:00,203.938,1.0379999999999825,0.6311619999999825,116651.36083999676,TSL Hit,184820,5,1.5553514778666235,2017,2
2017-02-14 10:15:00,LONG,2017-02-14 11:15:00,204.32,204.0,204.0,2017-02-14 11:15:00,204.0,-0.3199999999999932,-0.7283199999999932,-133672.93951999876,Initial SL Hit,183536,5,-1.7823058602666504,2017,2
2017-02-14 13:15:00,LONG,2017-02-14 14:15:00,204.44,204.2,204.2,2017-02-14 14:15:00,204.2,-0.2400000000000091,-0.6486400000000091,-118978.73792000167,Initial SL Hit,183428,5,-1.586383172266689,2017,2
2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,209.245,208.546,208.546,2017-02-17 12:15:00,208.546,-0.6990000000000123,-1.1167910000000123,-200146.8158560022,Initial SL hit,179216,5,-2.6686242114133627,2017,2
2017-02-17 14:15:00,LONG,2017-02-17 15:15:00,207.465,206.9,210.6832777777778,2017-02-23 15:15:00,210.5,3.0349999999999966,2.6170349999999964,473036.92735499935,TSL Hit,180753,5,6.307159031399992,2017,2
2017-02-27 15:15:00,LONG,2017-02-28 09:15:00,208.75,208.292,208.292,2017-02-28 09:15:00,208.292,-0.4579999999999984,-0.8750419999999984,-157193.4199219997,Initial SL Hit,179641,5,-2.0959122656266627,2017,2
2017-02-28 11:15:00,LONG,2017-02-28 12:15:00,208.51,208.156,208.156,2017-02-28 13:15:00,208.115,-0.3949999999999818,-0.8116249999999818,-145968.32137499674,Gap Open Outside ISL,179847,5,-1.9462442849999564,2017,2
2017-03-01 12:15:00,LONG,2017-03-01 13:15:00,209.851,209.601,209.601,2017-03-02 12:15:00,209.601,-0.25,-0.6694519999999999,-119629.73349599999,Initial SL hit,178698,5,-1.5950631132799997,2017,3
2017-03-09 09:15:00,LONG,2017-03-09 10:15:00,208.898,208.19,213.8951111111111,2017-03-17 10:15:00,213.5,4.602000000000004,4.179602000000004,750292.8938260006,TSL Hit,179513,5,10.003905251013341,2017,3
2017-03-17 11:15:00,LONG,2017-03-17 12:15:00,213.75,213.2,213.2,2017-03-20 09:15:00,213.15,-0.5999999999999943,-1.0268999999999944,-180158.30909999902,Gap Open Outside ISL,175439,5,-2.402110787999987,2017,3
2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,213.299,212.772,212.772,2017-03-21 10:15:00,212.772,-0.5270000000000152,-0.9530710000000153,-167559.4125100027,Initial SL Hit,175810,5,-2.2341255001333695,2017,3
2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,212.53,212.2,212.2,2017-03-21 14:15:00,212.2,-0.3300000000000125,-0.7547300000000126,-133169.0895800022,Initial SL Hit,176446,5,-1.775587861066696,2017,3
2017-03-22 10:15:00,LONG,2017-03-22 11:15:00,210.97,210.775,210.775,2017-03-22 11:15:00,210.775,-0.19499999999999318,-0.6167449999999932,-109626.4237499988,Initial SL Hit,177750,5,-1.461685649999984,2017,3
2017-03-22 12:15:00,LONG,2017-03-22 13:15:00,211.13,210.85,210.85,2017-03-22 14:15:00,210.85,-0.28000000000000114,-0.7019800000000012,-124682.8796800002,Initial SL Hit,177616,5,-1.6624383957333362,2017,3
2017-03-28 10:15:00,LONG,2017-03-28 11:15:00,213.956,213.5,216.8146111111111,2017-03-31 15:15:00,216.68,2.724000000000018,2.293364000000018,401957.9082800032,TSL Hit,175270,5,5.35943877706671,2017,3
2017-04-03 13:15:00,LONG,2017-04-03 14:15:00,217.5,217.075,218.09922222222224,2017-04-06 15:15:00,218.065,0.5649999999999977,0.12943499999999775,22316.40608999961,TSL Hit,172414,5,0.2975520811999948,2017,4
2017-04-07 09:15:00,LONG,2017-04-07 10:15:00,218.128,217.542,217.542,2017-04-07 14:15:00,217.542,-0.5859999999999843,-1.0216699999999843,-175642.44138999732,Initial SL Hit,171917,5,-2.3418992185332974,2017,4
2017-04-10 11:15:00,LONG,2017-04-10 12:15:00,217.0,216.77,219.05872222222223,2017-04-17 09:15:00,218.63,1.6299999999999955,1.1943699999999955,206400.27406999923,TSL Hit,172811,5,2.752003654266656,2017,4
2017-04-18 10:15:00,LONG,2017-04-18 11:15:00,221.35,220.751,220.751,2017-04-18 12:15:00,220.751,-0.5989999999999895,-1.0411009999999896,-176378.12591499824,Initial SL hit,169415,5,-2.35170834553331,2017,4
2017-04-19 11:15:00,LONG,2017-04-19 12:15:00,218.5,218.032,218.032,2017-04-19 14:15:00,218.032,-0.4679999999999893,-0.9045319999999893,-155240.30449999816,Initial SL Hit,171625,5,-2.0698707266666423,2017,4
2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,219.6,219.01,225.47016666666664,2017-05-03 10:15:00,225.35,5.75,5.30505,905916.8632499999,TSL Hit,170765,5,12.078891509999998,2017,4
2017-05-03 12:15:00,LONG,2017-05-03 13:15:00,225.102,224.648,229.38472222222222,2017-05-09 09:15:00,229.165,4.062999999999988,3.608732999999988,601182.439202998,TSL Hit,166591,5,8.015765856039973,2017,5
2017-05-09 11:15:00,LONG,2017-05-09 12:15:00,229.265,229.2,229.2,2017-05-09 13:15:00,229.2,-0.06499999999999773,-0.5234649999999977,-85621.07618999963,Initial SL Hit,163566,5,-1.141614349199995,2017,5
2017-05-10 14:15:00,LONG,2017-05-10 15:15:00,230.156,229.76,230.24083333333334,2017-05-11 15:15:00,229.76,-0.396000000000015,-0.855916000000015,-139456.96162800243,Initial SL hit,162933,5,-1.8594261550400324,2017,5
