Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2022-01-11 11:15:00,LONG,2022-01-11 12:15:00,7784.85,7763.65,7763.65,2022-01-11 14:15:00,7763.65,-21.200000000000728,-28.97425000000073,-23179.400000000584,Initial SL Hit,800,1,-0.3708704000000093,2022,1
2022-01-12 10:15:00,LONG,2022-01-12 11:15:00,7831.0,7815.65,7815.65,2022-01-12 11:15:00,7815.65,-15.350000000000364,-23.173325000000364,-18538.66000000029,Initial SL Hit,800,1,-0.2966185600000047,2022,1
2022-01-12 13:15:00,LONG,2022-01-12 14:15:00,7856.9,7831.05,7831.05,2022-01-18 14:15:00,7831.05,-25.849999999999454,-33.693974999999455,-26955.179999999564,Initial SL Hit,800,1,-0.43128287999999304,2022,1
2022-01-20 14:15:00,LONG,2022-01-20 15:15:00,7754.95,7709.8,7709.8,2022-01-21 09:15:00,7705.95,-49.0,-56.73045,-45384.36,Gap Open Outside ISL,800,1,-0.72614976,2022,1
2022-01-25 13:15:00,LONG,2022-01-25 14:15:00,7349.15,7301.5,7301.5,2022-01-27 09:15:00,7291.25,-57.899999999999636,-65.22019999999964,-55437.16999999969,Gap Open Outside ISL,850,1,-0.886994719999995,2022,1
2022-01-27 14:15:00,LONG,2022-01-27 15:15:00,7360.35,7298.1,7490.913235294117,2022-02-07 09:15:00,7458.1,97.75,90.340775,76789.65874999999,TSL Hit,850,1,1.2286345399999998,2022,1
2022-02-09 09:15:00,LONG,2022-02-09 10:15:00,7459.85,7420.25,7531.133088235295,2022-02-10 14:15:00,7530.85,71.0,63.50465,53978.9525,TSL Hit,850,1,0.86366324,2022,2
2022-02-16 11:15:00,LONG,2022-02-16 12:15:00,7340.25,7313.8,7313.8,2022-02-16 14:15:00,7313.8,-26.449999999999818,-33.77702499999982,-28710.471249999846,Initial SL Hit,850,1,-0.4593675399999975,2022,2
2022-02-17 10:15:00,LONG,2022-02-17 11:15:00,7324.6,7260.1,7260.1,2022-02-18 09:15:00,7240.65,-83.95000000000073,-91.23262500000072,-77547.73125000061,Gap Open Outside ISL,850,1,-1.2407637000000098,2022,2
2022-02-23 10:15:00,LONG,2022-02-23 11:15:00,7165.2,7134.65,7134.65,2022-02-23 12:15:00,7134.65,-30.550000000000182,-37.69992500000018,-32044.93625000015,Initial SL Hit,850,1,-0.5127189800000025,2022,2
2022-02-25 13:15:00,LONG,2022-02-25 14:15:00,6938.85,6896.6,6896.6,2022-02-28 09:15:00,6886.0,-52.850000000000364,-59.76242500000036,-53786.18250000033,Gap Open Outside ISL,900,1,-0.8605789200000052,2022,2
2022-02-28 10:15:00,LONG,2022-02-28 11:15:00,6933.5,6851.4,6851.4,2022-03-04 09:15:00,6851.4,-82.10000000000036,-88.99245000000036,-80093.20500000032,Initial SL Hit,900,1,-1.2814912800000051,2022,2
2022-03-08 13:15:00,LONG,2022-03-08 14:15:00,6589.15,6487.0,7495.950735294117,2022-04-12 12:15:00,7488.05,898.9000000000005,891.8614000000006,847268.3300000005,TSL Hit,950,1,13.556293280000009,2022,3
2022-04-21 09:15:00,LONG,2022-04-21 10:15:00,7421.6,7387.35,7387.35,2022-04-22 09:15:00,7384.65,-36.95000000000073,-44.35312500000073,-37700.15625000062,Gap Open Outside ISL,850,1,-0.6032025000000099,2022,4
2022-04-26 13:15:00,LONG,2022-04-26 14:15:00,7308.2,7280.95,7280.95,2022-04-27 09:15:00,7264.4,-43.80000000000018,-51.08630000000018,-43423.35500000015,Gap Open Outside ISL,850,1,-0.6947736800000024,2022,4
2022-04-28 11:15:00,LONG,2022-04-28 12:15:00,7251.3,7224.4,7224.4,2022-04-29 15:15:00,7224.4,-26.900000000000546,-34.13785000000055,-29017.172500000466,Initial SL Hit,850,1,-0.4642747600000075,2022,4
2022-05-13 11:15:00,LONG,2022-05-13 12:15:00,6554.95,6524.75,6524.75,2022-05-13 13:15:00,6524.75,-30.199999999999818,-36.73984999999982,-34902.85749999983,Initial SL Hit,950,1,-0.5584457199999974,2022,5
2022-05-17 10:15:00,LONG,2022-05-17 11:15:00,6620.85,6584.8,6645.632352941177,2022-05-19 09:15:00,6560.55,-60.30000000000018,-66.89070000000018,-63546.16500000017,Gap Open Outside ISL,950,1,-1.0167386400000027,2022,5
2022-05-20 12:15:00,LONG,2022-05-20 13:15:00,6605.5,6583.2,6583.2,2022-05-25 09:15:00,6583.2,-22.300000000000182,-28.89435000000018,-27449.63250000017,Initial SL hit,950,1,-0.4391941200000028,2022,5
2022-05-26 14:15:00,LONG,2022-05-26 15:15:00,6550.95,6495.7,6719.435294117647,2022-06-06 09:15:00,6673.3,122.35000000000036,115.73787500000036,109950.98125000035,TSL Hit,950,1,1.7592157000000057,2022,5
2022-06-08 11:15:00,LONG,2022-06-08 12:15:00,6703.45,6680.5,6680.5,2022-06-08 12:15:00,6680.5,-22.949999999999818,-29.641974999999817,-28159.876249999827,Initial SL Hit,950,1,-0.4505580199999973,2022,6
2022-06-09 14:15:00,LONG,2022-06-09 15:15:00,6696.2,6668.75,6668.75,2022-06-10 09:15:00,6635.0,-61.19999999999982,-67.86559999999982,-64472.319999999825,Gap Open Outside ISL,950,1,-1.0315571199999973,2022,6
2022-06-15 10:15:00,LONG,2022-06-15 11:15:00,6455.05,6431.35,6431.35,2022-06-16 11:15:00,6431.35,-23.699999999999818,-30.14319999999982,-28636.03999999983,Initial SL Hit,950,1,-0.45817663999999725,2022,6
2022-06-21 09:15:00,LONG,2022-06-21 10:15:00,6237.6,6151.95,6310.6080882352935,2022-07-01 09:15:00,6291.25,53.649999999999636,47.38557499999963,47385.57499999963,TSL Hit,1000,1,0.7581691999999941,2022,6
2022-07-01 14:15:00,LONG,2022-07-01 15:15:00,6390.25,6339.05,6339.05,2022-07-04 09:15:00,6339.05,-51.19999999999982,-57.564649999999816,-57564.64999999981,Initial SL hit,1000,1,-0.9210343999999969,2022,7
2022-07-04 11:15:00,LONG,2022-07-04 12:15:00,6384.7,6367.05,6367.05,2022-07-04 12:15:00,6367.05,-17.649999999999636,-24.025874999999637,-24025.874999999636,Initial SL hit,1000,1,-0.38441399999999415,2022,7
2022-07-04 13:15:00,LONG,2022-07-04 14:15:00,6393.35,6368.5,7319.049999999999,2022-08-22 09:15:00,7306.2,912.8499999999995,906.0002249999994,906000.2249999994,TSL Hit,1000,1,14.496003599999991,2022,7
2022-08-24 13:15:00,LONG,2022-08-24 14:15:00,7319.5,7288.5,7365.971323529411,2022-08-25 14:15:00,7325.25,5.75,-1.572375,-1336.51875,TSL Hit,850,1,-0.0213843,2022,8
2022-08-30 10:15:00,LONG,2022-08-30 11:15:00,7375.4,7359.15,7366.6772058823535,2022-09-01 09:15:00,7359.15,-16.25,-23.617275,-20074.68375,Initial SL hit,850,1,-0.32119494,2022,8
2022-09-01 13:15:00,LONG,2022-09-01 14:15:00,7403.9,7375.8,7571.125,2022-09-16 11:15:00,7543.85,139.95000000000073,132.47612500000074,112604.70625000063,TSL Hit,850,1,1.80167530000001,2022,9
2022-09-20 15:15:00,LONG,2022-09-21 09:15:00,7498.25,7488.8,7488.8,2022-09-21 09:15:00,7488.8,-9.449999999999818,-16.943524999999816,-14401.996249999844,Initial SL Hit,850,1,-0.2304319399999975,2022,9
2022-09-22 14:15:00,LONG,2022-09-22 15:15:00,7504.9,7476.3,7476.3,2022-09-23 09:15:00,7476.3,-28.599999999999454,-36.090599999999455,-30677.009999999536,Initial SL Hit,850,1,-0.4908321599999926,2022,9
2022-09-27 12:15:00,LONG,2022-09-27 13:15:00,7090.05,7052.9,7052.9,2022-09-27 14:15:00,7052.9,-37.150000000000546,-44.221475000000545,-39799.327500000494,Initial SL Hit,900,1,-0.6367892400000079,2022,9
2022-09-28 09:15:00,LONG,2022-09-28 10:15:00,7097.65,7012.55,7012.55,2022-09-29 12:15:00,7012.55,-85.09999999999945,-92.15509999999945,-82939.5899999995,Initial SL Hit,900,1,-1.3270334399999921,2022,9
2022-09-30 09:15:00,LONG,2022-09-30 10:15:00,7088.5,6996.3,7225.7955882352935,2022-10-11 14:15:00,7224.95,136.44999999999982,129.29327499999982,116363.94749999983,TSL Hit,900,1,1.8618231599999973,2022,9
2022-10-14 10:15:00,LONG,2022-10-14 11:15:00,7290.95,7270.8,7270.8,2022-10-14 11:15:00,7270.8,-20.149999999999636,-27.430874999999638,-23316.243749999692,Initial SL hit,850,1,-0.37305989999999506,2022,10
2022-10-18 09:15:00,LONG,2022-10-18 10:15:00,7333.95,7286.35,7296.003676470588,2022-10-20 09:15:00,7286.35,-47.599999999999454,-54.910149999999454,-46673.62749999954,Initial SL hit,850,1,-0.7467780399999926,2022,10
2022-10-27 10:15:00,LONG,2022-10-27 11:15:00,7327.45,7300.75,7300.75,2022-10-27 14:15:00,7300.75,-26.699999999999818,-34.01409999999982,-28911.984999999848,Initial SL hit,850,1,-0.4625917599999975,2022,10
2022-10-31 09:15:00,LONG,2022-10-31 10:15:00,7375.75,7318.2,7418.613235294118,2022-11-09 15:15:00,7417.35,41.600000000000364,34.203450000000366,29072.932500000312,TSL Hit,850,1,0.46516692000000504,2022,10
2022-11-22 11:15:00,LONG,2022-11-22 12:15:00,7190.85,7178.8,7416.830882352941,2022-12-09 12:15:00,7394.55,203.69999999999982,196.40729999999982,166946.20499999984,TSL Hit,850,1,2.671139279999997,2022,11
2022-12-13 10:15:00,LONG,2022-12-13 11:15:00,7405.75,7394.3,7441.389705882353,2022-12-15 14:15:00,7421.85,16.100000000000364,8.686200000000364,7383.270000000309,TSL Hit,850,1,0.11813232000000495,2022,12
2022-12-19 15:15:00,LONG,2022-12-20 09:15:00,7351.25,7343.65,7343.65,2022-12-20 09:15:00,7343.65,-7.600000000000364,-14.947450000000364,-12705.33250000031,Initial SL hit,850,1,-0.20328532000000493,2022,12
2022-12-20 11:15:00,LONG,2022-12-20 12:15:00,7279.2,7254.75,7254.75,2022-12-21 13:15:00,7254.75,-24.449999999999818,-31.71697499999982,-26959.428749999846,Initial SL Hit,850,1,-0.43135085999999756,2022,12
2022-12-26 11:15:00,LONG,2022-12-26 12:15:00,7082.5,7054.05,7054.05,2022-12-26 12:15:00,7054.05,-28.449999999999818,-35.51827499999982,-31966.447499999835,Initial SL Hit,900,1,-0.5114631599999974,2022,12
2022-12-26 13:15:00,LONG,2022-12-26 14:15:00,7091.65,7067.4,7139.381617647059,2023-01-04 10:15:00,7136.8,45.150000000000546,38.03577500000055,34232.1975000005,TSL Hit,900,1,0.547715160000008,2022,12
2023-01-05 13:15:00,LONG,2023-01-05 14:15:00,7126.35,7094.15,7141.511029411765,2023-01-06 10:15:00,7139.8,13.449999999999818,6.316924999999817,5685.232499999835,TSL Hit,900,1,0.09096371999999736,2023,1
2023-01-09 13:15:00,LONG,2023-01-09 14:15:00,7159.35,7133.85,7133.85,2023-01-10 09:15:00,7133.85,-25.5,-32.6466,-27749.61,Initial SL Hit,850,1,-0.44399376,2023,1
2023-01-18 09:15:00,LONG,2023-01-18 10:15:00,7031.2,6990.1,6990.1,2023-01-20 13:15:00,6990.1,-41.099999999999454,-48.11064999999945,-43299.584999999504,Initial SL Hit,900,1,-0.6927933599999921,2023,1
2023-01-23 12:15:00,LONG,2023-01-23 13:15:00,7049.95,7036.35,7036.35,2023-01-23 14:15:00,7036.35,-13.599999999999454,-20.643149999999455,-18578.834999999508,Initial SL Hit,900,1,-0.2972613599999921,2023,1
2023-01-23 15:15:00,LONG,2023-01-24 09:15:00,7062.4,7039.05,7039.05,2023-01-24 11:15:00,7039.05,-23.349999999999454,-30.400724999999454,-27360.65249999951,Initial SL Hit,900,1,-0.43777043999999216,2023,1
2023-01-30 13:15:00,LONG,2023-01-30 14:15:00,6805.85,6760.55,6963.7,2023-02-01 13:15:00,6963.4,157.54999999999927,150.66537499999927,135598.83749999935,TSL Hit,900,1,2.1695813999999896,2023,1
2023-02-01 15:15:00,LONG,2023-02-02 09:15:00,6949.7,6923.2,6923.2,2023-02-02 09:15:00,6923.2,-26.5,-33.43645,-30092.805,Initial SL Hit,900,1,-0.48148488,2023,2
2023-02-03 14:15:00,LONG,2023-02-03 15:15:00,6955.4,6922.2,6986.256617647059,2023-02-13 14:15:00,6980.2,24.800000000000182,17.83220000000018,16048.980000000163,TSL Hit,900,1,0.2567836800000026,2023,2
2023-02-15 09:15:00,LONG,2023-02-15 10:15:00,6993.05,6945.55,7010.359558823529,2023-02-17 12:15:00,6989.4,-3.6500000000005457,-10.641225000000546,-9577.102500000492,TSL Hit,900,1,-0.15323364000000786,2023,2
2023-02-20 11:15:00,LONG,2023-02-20 12:15:00,7023.0,7008.8,7015.262500000001,2023-02-20 14:15:00,7008.8,-14.199999999999818,-21.215899999999817,-19094.309999999834,Initial SL hit,900,1,-0.30550895999999733,2023,2
