Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2017-01-16 11:15:00,LONG,2017-01-16 12:15:00,27284.29,27245.95,27245.95,2017-01-17 10:15:00,27245.95,-38.340000000000146,-43.793024000000145,-10072.395520000033,Initial SL hit,230,1,-0.16115832832000054,2017,1
2017-01-17 13:15:00,LONG,2017-01-17 14:15:00,27239.94,27197.43,27197.43,2017-01-17 14:15:00,27197.43,-42.5099999999984,-47.9537369999984,-11029.359509999631,Initial SL hit,230,1,-0.17646975215999408,2017,1
2017-01-18 15:15:00,LONG,2017-01-19 09:15:00,27281.86,27223.92,27223.92,2017-01-19 09:15:00,27223.92,-57.94000000000233,-63.39057800000233,-14579.832940000535,Initial SL hit,230,1,-0.2332773270400086,2017,1
2017-01-19 10:15:00,LONG,2017-01-19 11:15:00,27301.11,27244.71,27246.72270833333,2017-01-20 09:15:00,27238.21,-62.900000000001455,-68.35393200000145,-15721.404360000333,Gap Open Outside ISL,230,1,-0.2515424697600053,2017,1
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,27229.13,27176.32,27176.32,2017-01-20 12:15:00,27176.32,-52.81000000000131,-58.25054500000131,-13397.6253500003,Initial SL Hit,230,1,-0.21436200560000482,2017,1
2017-01-20 15:15:00,LONG,2017-01-23 09:15:00,27039.24,27009.81,28322.39625,2017-02-13 11:15:00,28265.36,1226.119999999999,1220.589539999999,280735.59419999976,TSL Hit,230,1,4.491769507199996,2017,1
2017-02-13 12:15:00,LONG,2017-02-13 13:15:00,28264.45,28197.38,28340.41625,2017-02-14 11:15:00,28316.92,52.469999999997526,46.81186299999753,10298.609859999457,TSL Hit,220,1,0.1647777577599913,2017,2
2017-02-14 12:15:00,LONG,2017-02-14 13:15:00,28352.03,28284.07,28284.07,2017-02-15 09:15:00,28284.07,-67.95999999999913,-73.62360999999913,-16197.194199999809,Initial SL Hit,220,1,-0.25915510719999696,2017,2
2017-02-15 12:15:00,LONG,2017-02-15 13:15:00,28175.41,28107.51,28107.51,2017-02-15 13:15:00,28107.51,-67.90000000000146,-73.52829200000146,-16176.22424000032,Initial SL Hit,220,1,-0.25881958784000514,2017,2
2017-02-16 10:15:00,LONG,2017-02-16 11:15:00,28203.81,28160.76,28745.90291666667,2017-02-28 14:15:00,28727.99,524.1800000000003,518.4868200000003,114067.10040000007,TSL Hit,220,1,1.825073606400001,2017,2
2017-03-01 12:15:00,LONG,2017-03-01 13:15:00,28950.23,28917.73,28917.73,2017-03-02 14:15:00,28917.73,-32.5,-38.286796,-8423.09512,Initial SL hit,220,1,-0.13476952192,2017,3
2017-03-02 15:15:00,LONG,2017-03-03 09:15:00,28841.04,28784.31,28784.31,2017-03-03 09:15:00,28784.31,-56.72999999999956,-62.49253499999956,-13748.357699999904,Initial SL Hit,220,1,-0.21997372319999844,2017,3
2017-03-03 12:15:00,LONG,2017-03-03 13:15:00,28761.13,28716.21,28920.663541666665,2017-03-08 10:15:00,28866.1,104.96999999999753,99.20727699999753,21825.60093999946,TSL Hit,220,1,0.3492096150399913,2017,3
2017-03-08 11:15:00,LONG,2017-03-08 12:15:00,28867.52,28815.48,28815.48,2017-03-09 09:15:00,28815.48,-52.04000000000087,-57.80830000000087,-12717.826000000192,Initial SL Hit,220,1,-0.20348521600000308,2017,3
2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,28892.97,28855.87,28855.87,2017-03-09 13:15:00,28855.87,-37.10000000000218,-42.87488400000218,-9432.474480000481,Initial SL Hit,220,1,-0.15091959168000768,2017,3
2017-03-14 10:15:00,LONG,2017-03-14 11:15:00,29457.92,29413.1,29413.1,2017-03-14 11:15:00,29413.1,-44.81999999999971,-50.70710199999971,-10648.491419999938,Initial SL hit,210,1,-0.17037586271999902,2017,3
2017-03-14 12:15:00,LONG,2017-03-14 13:15:00,29433.77,29396.05,29396.05,2017-03-14 14:15:00,29396.05,-37.720000000001164,-43.60298200000116,-9156.626220000244,Initial SL hit,210,1,-0.14650601952000392,2017,3
2017-03-15 12:15:00,LONG,2017-03-15 13:15:00,29444.32,29416.93,29416.93,2017-03-15 13:15:00,29416.93,-27.389999999999418,-33.27612499999942,-6987.986249999878,Initial SL hit,210,1,-0.11180777999999804,2017,3
2017-03-16 11:15:00,LONG,2017-03-16 12:15:00,29545.19,29506.86,29506.86,2017-03-20 09:15:00,29506.86,-38.32999999999811,-44.23520499999811,-9289.393049999604,Initial SL hit,210,1,-0.14863028879999368,2017,3
2017-03-20 10:15:00,LONG,2017-03-20 11:15:00,29523.4,29490.43,29490.43,2017-03-20 11:15:00,29490.43,-32.970000000001164,-38.87138300000117,-8162.990430000245,Initial SL hit,210,1,-0.13060784688000393,2017,3
2017-03-20 12:15:00,LONG,2017-03-20 13:15:00,29523.47,29492.85,29492.85,2017-03-20 13:15:00,29492.85,-30.62000000000262,-36.52163200000262,-7669.54272000055,Initial SL hit,210,1,-0.12271268352000879,2017,3
2017-03-20 14:15:00,LONG,2017-03-20 15:15:00,29516.1,29485.18,29485.18,2017-03-21 10:15:00,29485.18,-30.919999999998254,-36.820127999998256,-7732.226879999634,Initial SL hit,210,1,-0.12371563007999414,2017,3
2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,29432.01,29382.32,29382.32,2017-03-21 13:15:00,29382.32,-49.68999999999869,-55.57143299999869,-11670.000929999725,Initial SL Hit,210,1,-0.18672001487999562,2017,3
2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,29499.12,29408.08,29445.176666666666,2017-03-22 09:15:00,29286.11,-213.0099999999984,-218.8885229999984,-45966.58982999966,Gap Open Outside ISL,210,1,-0.7354654372799946,2017,3
2017-03-22 10:15:00,LONG,2017-03-22 11:15:00,29263.82,29219.59,29219.59,2017-03-22 14:15:00,29219.59,-44.22999999999956,-50.07834099999956,-10516.451609999907,Initial SL Hit,210,1,-0.16826322575999852,2017,3
2017-03-23 13:15:00,LONG,2017-03-23 14:15:00,29270.31,29241.88,29448.46875,2017-03-24 12:15:00,29434.5,164.1899999999987,158.31951899999868,33247.09898999972,TSL Hit,210,1,0.5319535838399956,2017,3
2017-03-24 13:15:00,LONG,2017-03-24 14:15:00,29505.26,29423.76,29423.76,2017-03-24 14:15:00,29423.76,-81.5,-87.392902,-18352.509420000002,Initial SL Hit,210,1,-0.29364015072000005,2017,3
2017-03-27 12:15:00,LONG,2017-03-27 13:15:00,29211.4,29163.54,29742.813958333336,2017-04-07 14:15:00,29695.5,484.09999999999854,478.20930999999854,100423.95509999969,TSL Hit,210,1,1.606783281599995,2017,3
2017-04-10 13:15:00,LONG,2017-04-10 14:15:00,29665.99,29601.5,29601.5,2017-04-10 14:15:00,29601.5,-64.4900000000016,-70.4167490000016,-14787.517290000336,Initial SL Hit,210,1,-0.2366002766400054,2017,4
2017-04-11 12:15:00,LONG,2017-04-11 13:15:00,29777.61,29724.57,29724.57,2017-04-12 09:15:00,29724.57,-53.04000000000087,-58.99021800000087,-12387.945780000184,Initial SL Hit,210,1,-0.19820713248000296,2017,4
2017-04-12 11:15:00,LONG,2017-04-12 12:15:00,29653.8,29597.21,29597.21,2017-04-12 14:15:00,29597.21,-56.590000000000146,-62.51510100000014,-13128.17121000003,Initial SL Hit,210,1,-0.21005073936000046,2017,4
2017-04-13 10:15:00,LONG,2017-04-13 11:15:00,29609.69,29576.35,29576.35,2017-04-13 11:15:00,29576.35,-33.340000000000146,-39.25860400000015,-8244.30684000003,Initial SL Hit,210,1,-0.13190890944000047,2017,4
2017-04-25 09:15:00,LONG,2017-04-25 10:15:00,29841.39,29780.84,29912.64520833333,2017-05-03 14:15:00,29892.39,51.0,45.026622,9455.59062,TSL Hit,210,1,0.15128944992,2017,4
2017-05-04 11:15:00,LONG,2017-05-04 12:15:00,30077.6,30032.74,30032.74,2017-05-04 12:15:00,30032.74,-44.859999999996944,-50.871033999996946,-10682.91713999936,Initial SL hit,210,1,-0.17092667423998975,2017,5
2017-05-04 13:15:00,LONG,2017-05-04 14:15:00,30156.8,30068.72,30068.72,2017-05-05 09:15:00,30068.72,-88.07999999999811,-94.10255199999811,-19761.535919999602,Initial SL hit,210,1,-0.3161845747199936,2017,5
2017-05-05 12:15:00,LONG,2017-05-05 13:15:00,29928.42,29846.73,29846.73,2017-05-05 15:15:00,29846.73,-81.68999999999869,-87.66751499999869,-18410.178149999723,Initial SL Hit,210,1,-0.2945628503999956,2017,5
2017-05-08 09:15:00,LONG,2017-05-08 10:15:00,29962.75,29877.41,30403.296875,2017-05-19 11:15:00,30398.89,436.1399999999994,430.10383599999943,90321.80555999988,TSL Hit,210,1,1.4451488889599982,2017,5
2017-05-19 12:15:00,LONG,2017-05-19 13:15:00,30442.93,30338.52,30468.134583333333,2017-05-23 09:15:00,30446.9,3.970000000001164,-2.1189829999988365,-444.98642999975567,TSL Hit,210,1,-0.00711978287999609,2017,5
2017-05-23 11:15:00,LONG,2017-05-23 12:15:00,30420.18,30377.77,30377.77,2017-05-23 14:15:00,30377.77,-42.409999999999854,-48.48979499999985,-10182.856949999968,Initial SL Hit,210,1,-0.16292571119999952,2017,5
2017-05-24 14:15:00,LONG,2017-05-24 15:15:00,30327.66,30247.6,31196.758541666666,2017-06-06 14:15:00,31186.24,858.5800000000017,852.4286100000018,179010.00810000036,TSL Hit,210,1,2.864160129600006,2017,5
2017-06-07 13:15:00,LONG,2017-06-07 14:15:00,31225.85,31179.69,31179.69,2017-06-07 14:15:00,31179.69,-46.159999999999854,-52.40055399999986,-10480.110799999971,Initial SL Hit,200,1,-0.16768177279999955,2017,6
2017-06-08 11:15:00,LONG,2017-06-08 12:15:00,31256.95,31218.66,31218.66,2017-06-08 12:15:00,31218.66,-38.29000000000087,-44.53756100000087,-8907.512200000174,Initial SL Hit,200,1,-0.14252019520000278,2017,6
2017-06-09 11:15:00,LONG,2017-06-09 12:15:00,31172.57,31132.18,31132.18,2017-06-09 12:15:00,31132.18,-40.38999999999942,-46.620474999999416,-9324.094999999883,Initial SL Hit,200,1,-0.14918551999999813,2017,6
2017-06-09 13:15:00,LONG,2017-06-09 14:15:00,31209.83,31146.38,31236.129791666666,2017-06-12 09:15:00,31146.38,-63.45000000000073,-69.68562100000072,-13937.124200000144,Initial SL hit,200,1,-0.22299398720000232,2017,6
2017-06-13 10:15:00,LONG,2017-06-13 11:15:00,31197.85,31146.18,31146.18,2017-06-13 14:15:00,31146.18,-51.669999999998254,-57.904402999998254,-11580.880599999651,Initial SL Hit,200,1,-0.1852940895999944,2017,6
