Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year,Entry Time,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%,Cumulative ROI%,Max Cumulative ROI%,DD
2017-01-02,8300,2017-01-05,3,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-02,8150,2017-01-05,3,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-03,8300,2017-01-05,2,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-03,8100,2017-01-05,2,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-04,8300,2017-01-05,1,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-04,8100,2017-01-05,1,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-05,8300,2017-01-05,0,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-05,8150,2017-01-05,0,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-06,8350,2017-01-12,6,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-06,8200,2017-01-12,6,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-09,8350,2017-01-12,3,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-09,8200,2017-01-12,3,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-10,8350,2017-01-12,2,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-10,8200,2017-01-12,2,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-11,8400,2017-01-12,1,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-11,8250,2017-01-12,1,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-12,8450,2017-01-12,0,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-12,8300,2017-01-12,0,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-13,8550,2017-01-19,6,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-13,8350,2017-01-19,6,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-16,8450,2017-01-19,3,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-16,8300,2017-01-19,3,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-17,8500,2017-01-19,2,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-17,8350,2017-01-19,2,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-18,8500,2017-01-19,1,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-18,8300,2017-01-19,1,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-19,8500,2017-01-19,0,CE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
2017-01-19,8350,2017-01-19,0,PE,,,,,,,,,,,,,,2017,09:15:00,0,,,,,0.0,,,,
