Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year,Entry Time,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%
2019-01-01,11000,2019-01-03,2,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-01,10750,2019-01-03,2,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-02,11000,2019-01-03,1,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-02,10750,2019-01-03,1,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-03,10900,2019-01-03,0,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-03,10700,2019-01-03,0,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-04,10800,2019-01-10,6,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-04,10600,2019-01-10,6,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-07,10900,2019-01-10,3,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-07,10700,2019-01-10,3,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-08,10900,2019-01-10,2,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-08,10700,2019-01-10,2,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-09,10950,2019-01-10,1,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-09,10750,2019-01-10,1,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-10,10950,2019-01-10,0,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-10,10750,2019-01-10,0,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-11,10950,2019-01-17,6,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-11,10750,2019-01-17,6,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-14,10900,2019-01-17,3,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-14,10700,2019-01-17,3,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-15,10900,2019-01-17,2,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-15,10650,2019-01-17,2,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-16,11000,2019-01-17,1,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-16,10800,2019-01-17,1,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-17,11050,2019-01-17,0,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-17,10800,2019-01-17,0,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-18,11000,2019-01-24,6,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-18,10800,2019-01-24,6,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-21,11050,2019-01-24,3,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-21,10800,2019-01-24,3,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-22,11050,2019-01-24,2,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-22,10850,2019-01-24,2,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-23,11050,2019-01-24,1,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-23,10800,2019-01-24,1,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-24,10950,2019-01-24,0,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-24,10750,2019-01-24,0,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-01-25,10950,2019-01-31,6,CE,66.45,86.385,22.1,2019-01-25 15:30:00,75.8,22.1,44.35,1003.260596940055,44494.60747429144,0.8855000000000002,43606.22021570103,137.32129420617002,4.360622021570102,2019,09:15:00,11400,1.8,1.7,-0.10000000000000009,-100.3260596940056,-0.01003260596940056,4.350589415600702
2019-01-25,10750,2019-01-31,6,PE,25.3,32.89,32.89,2019-01-25 13:38:00,81.6,20.25,-7.59,1860.4651162790697,-14120.93023255814,0.5819,-15203.534883720928,250.0,-1.5203534883720928,2019,09:15:00,10550,6.2,9.4,3.2,5953.488372093023,0.5953488372093022,-0.9250046511627906
2019-01-28,10900,2019-01-31,3,CE,32.4,42.12,13.85,2019-01-28 15:30:00,40.25,11.8,18.55,1834.8623853211009,34036.69724770642,0.4625,33188.07339449541,250.0,3.318807339449541,2019,09:15:00,11100,4.45,3.2,-1.25,-2293.577981651376,-0.2293577981651376,3.089449541284403
2019-01-28,10700,2019-01-31,3,PE,50.0,65.0,65.0,2019-01-28 09:37:00,108.45,36.45,-15.0,1333.3333333333333,-20000.0,1.15,-21533.33333333333,178.33333333333331,-2.153333333333333,2019,09:15:00,10400,6.7,8.8,2.1000000000000005,2800.0000000000005,0.2800000000000001,-1.8733333333333329
2019-01-29,10750,2019-01-31,2,CE,31.3,40.690000000000005,40.690000000000005,2019-01-29 09:30:00,45.5,18.3,-9.390000000000004,1860.4651162790697,-17469.767441860473,0.7199000000000001,-18809.11627906977,250.0,-1.8809116279069773,2019,09:15:00,10950,5.2,7.25,2.05,3813.9534883720926,0.38139534883720927,-1.499516279069768
2019-01-29,10550,2019-01-31,2,PE,38.2,49.66,12.45,2019-01-29 15:29:00,47.05,11.9,25.750000000000004,1745.2006980802792,44938.9179755672,0.5065000000000001,44054.97382198954,230.14834205933684,4.405497382198954,2019,09:15:00,10350,7.9,3.35,-4.550000000000001,-7940.663176265271,-0.7940663176265271,3.6114310645724266
2019-01-30,10800,2019-01-31,1,CE,16.65,21.645,2.6,2019-01-30 15:30:00,19.2,2.6,14.05,1851.851851851852,26018.51851851852,0.1925,25662.03703703704,250.0,2.566203703703704,2019,09:15:00,11000,1.95,0.75,-1.2,-2222.222222222222,-0.2222222222222222,2.3439814814814817
2019-01-30,10600,2019-01-31,1,PE,16.05,20.865,20.865,2019-01-30 09:46:00,43.85,10.95,-4.815000000000001,1886.7924528301887,-9084.90566037736,0.3691500000000001,-9781.415094339623,250.0,-0.9781415094339624,2019,09:15:00,10400,2.4,2.8,0.3999999999999999,754.7169811320754,0.07547169811320753,-0.9026698113207549
2019-01-31,10800,2019-01-31,0,CE,2.6,3.3800000000000003,3.3800000000000003,2019-01-31 11:24:00,39.3,0.45,-0.7800000000000002,1851.851851851852,-1444.444444444445,0.0598,-1555.1851851851857,250.0,-0.1555185185185185,2019,09:15:00,11000,0.1,0.15,0.04999999999999999,92.59259259259258,0.009259259259259257,-0.14625925925925926
2019-01-31,10600,2019-01-31,0,PE,3.8,4.94,0.05,2019-01-31 15:29:00,4.2,0.05,3.75,1886.7924528301887,7075.471698113208,0.0385,7002.830188679245,250.0,0.7002830188679244,2019,09:15:00,10400,0.2,0.05,-0.15000000000000002,-283.01886792452837,-0.028301886792452834,0.6719811320754716
2019-02-01,10950,2019-02-07,6,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-01,10750,2019-02-07,6,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-04,11000,2019-02-07,3,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-04,10750,2019-02-07,3,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-05,11000,2019-02-07,2,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-05,10800,2019-02-07,2,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-06,11050,2019-02-07,1,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-06,10850,2019-02-07,1,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-07,11200,2019-02-07,0,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-07,10950,2019-02-07,0,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-08,11150,2019-02-14,6,CE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-08,10900,2019-02-14,6,PE,,,,,,,,,,,,,,2019,09:15:00,0,,,,,0.0,
2019-02-11,11050,2019-02-14,3,CE,16.9,21.97,7.55,2019-02-11 15:29:00,13.0,4.9,9.349999999999998,1809.9547511312217,16923.076923076922,0.2445,16480.542986425335,250.0,1.6480542986425333,2019,09:15:00,11250,1.5,1.0,-0.5,-904.9773755656108,-0.09049773755656108,1.5575565610859723
2019-02-11,10800,2019-02-14,3,PE,34.8,45.24,16.25,2019-02-11 15:30:00,37.4,15.45,18.55,1851.851851851852,34351.85185185185,0.5105,33406.481481481474,250.0,3.340648148148148,2019,09:15:00,10600,7.0,2.0,-5.0,-9259.25925925926,-0.9259259259259259,2.4147222222222218
2019-02-12,11000,2019-02-14,2,CE,13.75,17.875,17.875,2019-02-12 09:18:00,19.05,5.15,-4.125,1818.181818181818,-7499.999999999999,0.31625,-8074.999999999999,250.0,-0.8074999999999999,2019,09:15:00,11200,0.95,1.0,0.050000000000000044,90.90909090909098,0.009090909090909097,-0.7984090909090907
2019-02-12,10750,2019-02-14,2,PE,7.15,9.295,9.295,2019-02-12 09:39:00,16.6,5.25,-2.145,1860.4651162790697,-3990.697674418604,0.16445,-4296.651162790697,250.0,-0.4296651162790696,2019,09:15:00,10550,1.25,1.5,0.25,465.1162790697674,0.046511627906976744,-0.38315348837209284
2019-02-13,11000,2019-02-14,1,CE,8.25,10.725,0.95,2019-02-13 15:29:00,8.35,0.95,7.3,1818.181818181818,13272.727272727272,0.092,13105.454545454544,250.0,1.3105454545454545,2019,09:15:00,11200,0.65,0.35,-0.30000000000000004,-545.4545454545455,-0.05454545454545455,1.256
2019-02-13,10750,2019-02-14,1,PE,7.05,9.165,9.165,2019-02-13 10:12:00,16.6,4.75,-2.115000000000001,1860.4651162790697,-3934.883720930234,0.16215,-4236.558139534885,250.0,-0.4236558139534885,2019,09:15:00,10550,0.8,0.95,0.1499999999999999,279.0697674418603,0.02790697674418603,-0.3957488372093025
2019-02-14,10900,2019-02-14,0,CE,1.15,1.495,0.05,2019-02-14 15:29:00,1.2,0.05,1.1,1834.8623853211009,2018.3486238532107,0.012,1996.3302752293573,250.0,0.1996330275229357,2019,09:15:00,11100,0.05,0.05,0.0,0.0,0.0,0.1996330275229357
2019-02-14,10700,2019-02-14,0,PE,3.65,4.745,4.745,2019-02-14 09:17:00,7.3,0.05,-1.0950000000000002,1869.1588785046729,-2046.7289719626167,0.08395,-2203.6448598130846,250.0,-0.2203644859813084,2019,09:15:00,10500,0.2,0.15,-0.05000000000000002,-93.45794392523368,-0.009345794392523369,-0.22971028037383176
2019-02-15,10900,2019-02-21,6,CE,20.8,27.040000000000003,17.9,2019-02-15 15:29:00,23.25,11.45,2.900000000000002,1834.8623853211009,5321.100917431197,0.387,4611.00917431193,250.0,0.4611009174311929,2019,09:15:00,11100,2.4,2.25,-0.1499999999999999,-275.229357798165,-0.0275229357798165,0.4335779816513764
